経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.95,-0.95,,,-0.05600911,1.817792,1.515476,,,-0.0531953,1.814033,1.514937,,46.050527461344,11.3105035215316,37.358572399434
0.011, 0.96,-0.96,,,-0.05627092,1.8176,1.515839,,,-0.05341426,1.813806,1.5153,,46.050527461344,11.1372071129588,37.5036968397854
0.021, 1,-1,,,-0.05687516,1.817267,1.516184,,,-0.05388819,1.813314,1.515628,,46.050527461344,11.0105600413454,37.5976665797715
0.033, 1.06,-1.06,,,-0.05767543,1.816851,1.517141,,,-0.05450833,1.812671,1.516557,,46.050527461344,10.9199635609418,37.6577039409052
0.044, 1.22,-1.22,,,-0.05929939,1.816324,1.517054,,,-0.05563834,1.811499,1.51638,,46.050527461344,10.8858570122704,37.6967111501697
0.055, 1.28,-1.28,,,-0.06019045,1.815846,1.516915,,,-0.05633509,1.810776,1.516206,,46.050527461344,10.8378501752513,37.7561781905236
0.067, 1.34,-1.34,,,-0.06104263,1.815379,1.516676,,,-0.05700466,1.810081,1.515932,,46.050527461344,10.799186182983,37.8208122688408
0.078, 1.29,-1.29,,,-0.06157983,1.814436,1.516404,,,-0.05769724,1.809363,1.515689,,46.050527461344,10.7176277501471,37.935859972019
0.088, 1.21,-1.21,,,-0.06184226,1.813605,1.515979,,,-0.0581874,1.808854,1.515302,,46.050527461344,10.6290641047387,38.0891703938629
0.099, 1.05,-1.05,,,-0.06215114,1.812148,1.516197,,,-0.05897379,1.808039,1.515606,,46.050527461344,10.55237901174,38.2318393812759
0.11, 0.91,-0.91,,,-0.0622154,1.811137,1.515634,,,-0.05943827,1.807557,1.515113,,46.050527461344,10.5210421047,38.3298013667208
0.121, 0.98,-0.98,,,-0.06373002,1.810057,1.515715,,,-0.06073797,1.806209,1.515158,,46.050527461344,10.4564327858178,38.3834285954969
0.132, 0.89,-0.89,,,-0.06417251,1.808927,1.516067,,,-0.06146772,1.805452,1.515568,,46.050527461344,10.3962536982627,38.4055993889258
0.143, 0.98,-0.98,,,-0.06542824,1.80832,1.516442,,,-0.06242396,1.80446,1.515893,,46.050527461344,10.3573096682463,38.3978061432996
0.155, 1.08,-1.08,,,-0.06613005,1.808291,1.516676,,,-0.06282544,1.804043,1.516075,,46.050527461344,10.3498229273507,38.379108500967
0.165, 1.19,-1.19,,,-0.06695896,1.808181,1.515759,,,-0.06333378,1.803516,1.515095,,46.050527461344,10.3975403351118,38.3545198206392
0.176, 1.18,-1.18,,,-0.06802011,1.807013,1.515403,,,-0.06442216,1.802387,1.51474,,46.050527461344,10.402723594774,38.3875915956801
0.187, 0.98,-0.98,,,-0.06834965,1.80529,1.51511,,,-0.06534331,1.801431,1.514553,,46.050527461344,10.3836417543113,38.4394702960773
0.199, 0.86,-0.86,,,-0.06848205,1.804267,1.514262,,,-0.0658531,1.800902,1.513775,,46.050527461344,10.334452440825,38.520452431718
0.209, 0.55,-0.55,,,-0.06784517,1.802705,1.514037,,,-0.06617197,1.800572,1.513727,,46.050527461344,10.2722447871429,38.6221402852515
0.22, 0.41,-0.41,,,-0.06789122,1.801726,1.513261,,,-0.06661892,1.800108,1.513024,,46.050527461344,10.2160963648596,38.7111034967152
0.232, 0.21,-0.21,,,-0.06752855,1.800657,1.513079,,,-0.06688148,1.799836,1.512959,,46.050527461344,10.186361990909,38.7699592351554
0.243, 0.31,-0.31,,,-0.06831272,1.800579,1.513061,,,-0.06734696,1.799353,1.512881,,46.050527461344,10.2041896379203,38.7461970076942
0.254, 0.32,-0.32,,,-0.06841697,1.800546,1.513346,,,-0.06741881,1.799278,1.513161,,46.050527461344,10.1933304912158,38.7242072142733
0.265, 0.43,-0.43,,,-0.06924017,1.800457,1.513456,,,-0.0679113,1.798767,1.51321,,46.050527461344,10.2061942983859,38.6914530430199
0.276, 0.29,-0.29,,,-0.06952769,1.799112,1.512889,,,-0.06865302,1.797998,1.512727,,46.050527461344,10.2325263844508,38.6493859090925
0.287, 0.3,-0.3,,,-0.07031822,1.798418,1.512787,,,-0.06938967,1.797234,1.512615,,46.050527461344,10.2603261073728,38.6255690401194
0.298, 0.15,-0.15,,,-0.07055962,1.797082,1.51198,,,-0.07010078,1.796496,1.511894,,46.050527461344,10.299365760035,38.5963016803403
0.309, 0.06,-0.06,,,-0.07055521,1.796464,1.511773,,,-0.07036528,1.796222,1.511737,,46.050527461344,10.3161039919039,38.6014140767918
0.321, 0.02,0.02,,,-0.07061383,1.795814,1.510848,,,-0.07067855,1.795897,1.51086,,46.050527461344,10.3455446677284,38.6010486616814
0.332, 0.11,0.11,,,-0.07055171,1.795219,1.509972,,,-0.07090136,1.795666,1.510038,,46.050527461344,10.3601399278049,38.6161604547995
0.343, 0.2,0.2,,,-0.0705995,1.794577,1.509105,,,-0.07120529,1.795351,1.50922,,46.050527461344,10.3808183249417,38.6173967190049
0.354, 0.28,0.28,,,-0.07061511,1.793957,1.509048,,,-0.07148194,1.795063,1.509212,,46.050527461344,10.3851008534321,38.6172601152253
0.365, 0.25,0.25,,,-0.07098965,1.793796,1.508506,,,-0.07175721,1.794778,1.508652,,46.050527461344,10.4181649445104,38.5622326977084
0.376, 0.26,0.26,,,-0.07242929,1.792218,1.508001,,,-0.07323137,1.793249,1.508153,,46.050527461344,10.5044020567976,38.4379881450687
0.388, 0.21,0.21,,,-0.07302277,1.791965,1.508094,,,-0.07366773,1.792796,1.508217,,46.050527461344,10.567678635055,38.3477340278877
0.398, 0.16,0.16,,,-0.07416332,1.791125,1.507482,,,-0.07465994,1.791767,1.507576,,46.050527461344,10.6229527931489,38.2724551000452
0.41, 0.25,0.25,,,-0.07418927,1.790504,1.507485,,,-0.0749411,1.791475,1.507628,,46.050527461344,10.6238970667753,38.2693268734924
0.421, 0.34,0.34,,,-0.07414736,1.789912,1.506887,,,-0.07517195,1.791236,1.507081,,46.050527461344,10.6078435613516,38.2793740814819
0.432, 0.34,0.34,,,-0.07466397,1.789336,1.506143,,,-0.07570598,1.790682,1.506341,,46.050527461344,10.6037241036231,38.2977711954994
0.443, 0.6,0.6,,,-0.0746537,1.787499,1.505283,,,-0.07648975,1.789869,1.505633,,46.050527461344,10.613073778563,38.3087780450405
0.454, 0.77,0.77,,,-0.07535253,1.78561,1.503588,,,-0.07768831,1.788625,1.504037,,46.050527461344,10.650575784931,38.3111037243882
0.465, 0.94,0.94,,,-0.07545999,1.784309,1.500929,,,-0.07830597,1.787985,1.501485,,46.050527461344,10.7186924058544,38.3191394417231
0.476, 1.11,1.11,,,-0.0766377,1.781866,1.49918,,,-0.0800091,1.786218,1.499843,,46.050527461344,10.741840770081,38.3439125371534
0.488, 1.29,1.29,,,-0.07707823,1.780097,1.497658,,,-0.08101611,1.785173,1.498434,,46.050527461344,10.729813661061,38.3828480294336
0.499, 1.59,1.59,,,-0.07724356,1.777842,1.495636,,,-0.08208503,1.784065,1.496589,,46.050527461344,10.6721182009738,38.4616854857346
0.51, 1.99,1.99,,,-0.07718599,1.775075,1.493662,,,-0.08325808,1.782848,1.494854,,46.050527461344,10.5835323574511,38.5728160755328
0.521, 2.48,2.48,,,-0.07756226,1.77117,1.492404,,,-0.085172,1.780862,1.493891,,46.050527461344,10.4692957392143,38.7064623833034
0.532, 2.77,2.77,,,-0.07776015,1.768908,1.490534,,,-0.08627178,1.779721,1.492191,,46.050527461344,10.4100404347188,38.7744159334649
0.543, 2.87,2.87,,,-0.07872391,1.767183,1.488517,,,-0.08755824,1.778387,1.490237,,46.050527461344,10.3789229474998,38.8236206148764
0.554, 2.94,2.94,,,-0.08011367,1.765265,1.485722,,,-0.08915299,1.776733,1.487487,,46.050527461344,10.3975215520921,38.8187780108896
0.566, 3.01,3.01,,,-0.08145949,1.763363,1.482807,,,-0.09071828,1.775109,1.484624,,46.050527461344,10.4201098408224,38.8236718412937
0.577, 2.8,2.8,,,-0.08363983,1.762588,1.479413,,,-0.09224834,1.773522,1.481106,,46.050527461344,10.4518966865615,38.7942576324516
0.588, 2.77,2.77,,,-0.08515364,1.761228,1.47659,,,-0.09366725,1.77205,1.478271,,46.050527461344,10.4817497350456,38.7735860655038
0.599, 2.57,2.57,,,-0.08729246,1.760475,1.473264,,,-0.09516668,1.770494,1.474821,,46.050527461344,10.507847887138,38.746787819041
0.61, 2.47,2.47,,,-0.08861709,1.759817,1.470752,,,-0.0961812,1.769442,1.472244,,46.050527461344,10.4961195988858,38.7441957623231
0.62, 2.08,2.08,,,-0.09139583,1.75968,1.468016,,,-0.09776658,1.767797,1.469262,,46.050527461344,10.4800601170467,38.6972279678025
0.632, 1.86,1.86,,,-0.09364121,1.758908,1.466139,,,-0.09933266,1.766173,1.467237,,46.050527461344,10.4558684414533,38.6319381913432
0.643, 1.54,1.54,,,-0.09598862,1.758697,1.464692,,,-0.1007126,1.764741,1.465594,,46.050527461344,10.4588788472462,38.5561811502721
0.654, 1.32,1.32,,,-0.09836782,1.757851,1.46226,,,-0.1023864,1.763005,1.463026,,46.050527461344,10.4917875515252,38.4864312604089
0.666, 1.07,1.07,,,-0.1009111,1.756928,1.459623,,,-0.1041839,1.76114,1.460248,,46.050527461344,10.568497403959,38.3943876337152
0.677, 0.75,0.75,,,-0.1039327,1.756059,1.457441,,,-0.1062275,1.75902,1.457882,,46.050527461344,10.6451602988435,38.324456743844
0.687, 0.62,0.62,,,-0.1062564,1.754608,1.454943,,,-0.1081367,1.75704,1.455308,,46.050527461344,10.7329316423303,38.2765497983387
0.699, 0.51,0.51,,,-0.1083199,1.753272,1.451945,,,-0.1098545,1.755258,1.452246,,46.050527461344,10.7803963330992,38.2647916280097
0.71, 0.42,0.42,,,-0.1100311,1.752083,1.449429,,,-0.1113152,1.753743,1.449682,,46.050527461344,10.7924225883456,38.30981964886
0.721, 0.44,0.44,,,-0.1116115,1.750343,1.447006,,,-0.1129403,1.752057,1.447271,,46.050527461344,10.7830071728368,38.3715679723332
0.732, 0.36,0.36,,,-0.1132364,1.749194,1.445153,,,-0.1143355,1.75061,1.445373,,46.050527461344,10.7841204936405,38.4272408427087
0.743, 0.46,0.46,,,-0.1142053,1.747457,1.442736,,,-0.1156208,1.749276,1.443021,,46.050527461344,10.7795750028744,38.4875172604567
0.754, 0.39,0.39,,,-0.1158189,1.74632,1.441131,,,-0.1170041,1.747841,1.441371,,46.050527461344,10.7669690353383,38.5361379607105
0.765, 0.3,0.3,,,-0.1175348,1.745149,1.439931,,,-0.1184581,1.746333,1.440118,,46.050527461344,10.740630972858,38.5565294899101
0.776, 0.21,0.21,,,-0.1187959,1.744522,1.438737,,,-0.1194257,1.74533,1.438864,,46.050527461344,10.7279976845659,38.5551702823031
0.788, 0.1,0.1,,,-0.1201216,1.743872,1.438389,,,-0.1204385,1.744279,1.438452,,46.050527461344,10.711657311205,38.5354481116235
0.798, 0.09,-0.09,,,-0.1221082,1.743198,1.437279,,,-0.1218277,1.742838,1.437223,,46.050527461344,10.7013633626386,38.5164533560703
0.81, 0.2,-0.2,,,-0.1240979,1.741909,1.435408,,,-0.1234837,1.74112,1.435286,,46.050527461344,10.6963781784569,38.5034008649296
0.821, 0.21,-0.21,,,-0.1248122,1.741249,1.43458,,,-0.124163,1.740415,1.434451,,46.050527461344,10.7143398679269,38.4976361854305
0.832, 0.31,-0.31,,,-0.1266729,1.740006,1.432947,,,-0.1257274,1.738792,1.432757,,46.050527461344,10.7288967081904,38.5115731860441
0.843, 0.3,-0.3,,,-0.1271604,1.739443,1.431477,,,-0.1262392,1.738261,1.431292,,46.050527461344,10.7218872267498,38.5405878288309
0.854, 0.38,-0.38,,,-0.1282355,1.738896,1.430934,,,-0.1270687,1.737401,1.430701,,46.050527461344,10.6828637957865,38.5661224903324
0.865, 0.46,-0.46,,,-0.1293002,1.738352,1.429697,,,-0.1278906,1.736549,1.429416,,46.050527461344,10.6425161619347,38.5976984539867
0.877, 0.54,-0.54,,,-0.1297956,1.738403,1.429155,,,-0.1281419,1.736288,1.428826,,46.050527461344,10.620154976988,38.6141557943339
0.888, 0.64,-0.64,,,-0.1310517,1.737772,1.428259,,,-0.1291077,1.735286,1.427871,,46.050527461344,10.6407223835538,38.61853394547
0.899, 0.74,-0.74,,,-0.1317969,1.737714,1.427649,,,-0.1295447,1.734833,1.4272,,46.050527461344,10.6473049781832,38.6016770390675
0.91, 0.84,-0.84,,,-0.1331504,1.737045,1.426278,,,-0.1305818,1.733757,1.425765,,46.050527461344,10.6574845210842,38.5918996235428
0.921, 0.96,-0.96,,,-0.134693,1.736296,1.425616,,,-0.1317593,1.732535,1.42503,,46.050527461344,10.6879292346887,38.549419263182
0.932, 1.08,-1.08,,,-0.1362545,1.735538,1.42485,,,-0.132952,1.731298,1.42419,,46.050527461344,10.7254841750213,38.5081000349478
0.944, 1.17,-1.17,,,-0.1368724,1.735534,1.424208,,,-0.1332955,1.730942,1.423493,,46.050527461344,10.7215747456039,38.5102891105159
0.955, 1.17,-1.17,,,-0.1373944,1.734959,1.423479,,,-0.1338305,1.730387,1.422766,,46.050527461344,10.7101504007613,38.5300249415734
0.966, 1.06,-1.06,,,-0.1376992,1.733865,1.423259,,,-0.1344676,1.729726,1.422611,,46.050527461344,10.6888863149195,38.582094887262
0.977, 0.94,-0.94,,,-0.1378828,1.732819,1.421657,,,-0.1350165,1.729156,1.421079,,46.050527461344,10.670882790542,38.6549183621662
