経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.82,-0.82,,,0.1594054,1.816544,1.213243,,,0.1577464,1.812785,1.21322,,44.8235181620417,32.2345817021514,23.821882331781
0.01, 0.23,-0.23,,,0.1599484,1.813579,1.214612,,,0.1594925,1.812531,1.214607,,44.8235181620417,32.2367195513021,23.532301102051
0.022, 0.25,0.25,,,0.1606594,1.811746,1.216742,,,0.1611456,1.812873,1.216743,,44.8235181620417,32.1125706213081,23.3357470462279
0.033, 0.68,0.68,,,0.1605852,1.810384,1.218393,,,0.1619195,1.813488,1.218387,,44.8235181620417,32.002095729652,23.2604971466886
0.043, 1.14,1.14,,,0.1597562,1.808767,1.219226,,,0.1620113,1.814006,1.219211,,44.8235181620417,31.9513030293027,23.2923941292249
0.055, 1.02,1.02,,,0.1599507,1.808937,1.218669,,,0.161981,1.81364,1.218663,,44.8235181620417,32.001754220203,23.3534577262529
0.066, 1.43,1.43,,,0.1595079,1.806826,1.218634,,,0.162331,1.813374,1.218637,,44.8235181620417,32.1084383569753,23.3248546023521
0.077, 2.1,2.1,,,0.1593707,1.803259,1.21915,,,0.1635184,1.812916,1.219176,,44.8235181620417,32.2446323252354,23.2475044197015
0.088, 2.68,2.68,,,0.1592751,1.799582,1.21871,,,0.1645477,1.81191,1.218783,,44.8235181620417,32.433780748657,23.1635887178938
0.099, 2.93,2.93,,,0.1590149,1.798456,1.218909,,,0.1647783,1.811904,1.219005,,44.8235181620417,32.4771831845301,23.2064225405343
0.11, 3.25,3.25,,,0.1579912,1.797466,1.219213,,,0.1644076,1.812395,1.219329,,44.8235181620417,32.4897404869697,23.2667655526249
0.121, 3.53,3.53,,,0.1577342,1.795745,1.218874,,,0.1647136,1.811956,1.219014,,44.8235181620417,32.5192059222292,23.3040942429475
0.132, 3.86,3.86,,,0.1572462,1.794375,1.219226,,,0.1648741,1.81211,1.219393,,44.8235181620417,32.5643329808197,23.283263874106
0.144, 4.33,4.33,,,0.1578899,1.791395,1.219541,,,0.1663994,1.811282,1.219747,,44.8235181620417,32.6499767204392,23.1786390393112
0.154, 4.61,4.61,,,0.158013,1.78964,1.219538,,,0.1670331,1.810844,1.219761,,44.8235181620417,32.6984198357795,23.0586343264808
0.166, 4.84,4.84,,,0.1586493,1.788027,1.219835,,,0.1680812,1.810309,1.220053,,44.8235181620417,32.6973372508262,22.9552064823047
0.177, 4.98,4.98,,,0.1593733,1.787011,1.220343,,,0.1690395,1.809975,1.220538,,44.8235181620417,32.6726700233251,22.8389054394487
0.189, 4.94,4.94,,,0.1595808,1.78695,1.220111,,,0.169148,1.809715,1.220279,,44.8235181620417,32.6303535874998,22.8036223907255
0.199, 4.71,4.71,,,0.1600541,1.787733,1.21982,,,0.1691941,1.809457,1.21996,,44.8235181620417,32.5747729246755,22.8261261558672
0.21, 4.72,4.72,,,0.1599031,1.787858,1.219889,,,0.1690606,1.809596,1.220024,,44.8235181620417,32.5549722068227,22.8511844116874
0.221, 4.72,4.72,,,0.1597538,1.78797,1.219907,,,0.1689218,1.809706,1.220041,,44.8235181620417,32.5430774327141,22.8764714788384
0.233, 4.61,4.61,,,0.1596072,1.788658,1.219787,,,0.1685667,1.809875,1.219925,,44.8235181620417,32.5513658670413,22.9011352912449
0.244, 4.5,4.5,,,0.159182,1.788856,1.218705,,,0.1679522,1.80956,1.218865,,44.8235181620417,32.5890172837932,22.9663857941176
0.255, 4.47,4.47,,,0.1589861,1.788913,1.218339,,,0.1677109,1.809484,1.218516,,44.8235181620417,32.6264159835529,22.9940087858998
0.266, 4.37,4.37,,,0.1591122,1.78943,1.218328,,,0.16763,1.809532,1.218503,,44.8235181620417,32.6366441915504,22.9738580208617
