経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.02,0.02,,,0.1504734,1.569642,0.9238975,,,0.1504982,1.569727,0.9238907,,45.7999961295596,43.9614629354103,16.6279106565747
0.011, 0.87,0.87,,,0.1490319,1.564522,0.9232244,,,0.1501983,1.568673,0.9228743,,45.7999961295596,43.5948115607779,16.2790416789515
0.023, 2.46,2.46,,,0.1519746,1.557339,0.9244242,,,0.155127,1.569198,0.9233808,,45.7999961295596,43.1703938628475,15.565348402248
0.033, 3.23,3.23,,,0.1499174,1.553586,0.924787,,,0.1540217,1.569127,0.9233117,,45.7999961295596,42.7759641096336,15.5941752148379
0.045, 4.79,4.79,,,0.1535838,1.542382,0.9219319,,,0.1592862,1.565578,0.9198911,,45.7999961295596,42.8780720197893,14.5510619236317
0.055, 6.72,6.72,,,0.1567251,1.532721,0.922627,,,0.1642168,1.565335,0.9196569,,45.7999961295596,42.4885395120741,13.7893088759444
0.067, 7.6,7.6,,,0.1577541,1.52441,0.9190905,,,0.1658344,1.5614,0.9158636,,45.7999961295596,42.5465039108524,13.145549050433
0.077, 8.33,8.33,,,0.1574374,1.518036,0.9167247,,,0.1660818,1.558635,0.9131981,,45.7999961295596,42.4960868708969,12.8582192217455
0.089, 8.39,8.39,,,0.1558736,1.516269,0.9153122,,,0.1647245,1.557129,0.9117457,,45.7999961295596,42.5201837776182,13.0539212114934
0.1, 7.94,7.94,,,0.1526143,1.519341,0.9160407,,,0.1615324,1.557864,0.9124549,,45.7999961295596,42.4042276593056,13.9184694571024
0.111, 7.91,7.91,,,0.1526418,1.520411,0.9169216,,,0.1618392,1.558694,0.913255,,45.7999961295596,42.3810118469628,14.4101568325226
0.122, 7.58,7.58,,,0.1531328,1.524458,0.9190515,,,0.1623851,1.561025,0.9155019,,45.7999961295596,42.4963395878892,15.0753062485984
0.133, 7.41,7.41,,,0.1539184,1.525889,0.9194808,,,0.1632796,1.56159,0.9160466,,45.7999961295596,42.680129728056,15.5202708625276
0.144, 6.41,6.41,,,0.1539697,1.532049,0.9202383,,,0.1624384,1.5628,0.9172131,,45.7999961295596,42.7681196375902,16.2183947234513
0.155, 6.17,6.17,,,0.155208,1.535136,0.9218858,,,0.1636051,1.564685,0.9190296,,45.7999961295596,42.9975661759935,16.6290444679454
0.166, 6.51,6.51,,,0.1589427,1.53594,0.9244006,,,0.1678312,1.567106,0.9213641,,45.7999961295596,42.9737014956975,16.6922715273327
0.178, 6.36,6.36,,,0.1608488,1.539562,0.9272187,,,0.1696595,1.569981,0.9241352,,45.7999961295596,42.8395497539424,16.9787091625847
0.188, 6.84,6.84,,,0.1653281,1.54006,0.9301906,,,0.1746572,1.572775,0.9268287,,45.7999961295596,42.6935612946851,16.7797474651461
0.2, 6.82,6.82,,,0.1669556,1.542036,0.9319444,,,0.176387,1.574611,0.9285986,,45.7999961295596,42.7676620149285,16.9953321350146
0.211, 6.37,6.37,,,0.1678436,1.545496,0.9330009,,,0.176778,1.575883,0.9298248,,45.7999961295596,42.7471270517603,17.2482933065286
0.222, 6.43,6.43,,,0.1686729,1.545837,0.9335986,,,0.1777918,1.576526,0.9304448,,45.7999961295596,42.8903014731579,17.3732345384443
0.233, 7.34,7.34,,,0.1723319,1.545014,0.9375552,,,0.1825519,1.580077,0.9338678,,45.7999961295596,42.6713324446499,17.1331260750433
0.244, 8.11,8.11,,,0.1750578,1.542655,0.9391179,,,0.1861911,1.58142,0.9351631,,45.7999961295596,42.7655105053998,16.8680891294127
0.255, 6.76,6.76,,,0.1700716,1.548651,0.9378706,,,0.179752,1.580859,0.9346216,,45.7999961295596,43.0457292535856,17.5124918464619
0.267, 6.32,6.32,,,0.1692746,1.548244,0.9349886,,,0.1784337,1.578377,0.9322293,,45.7999961295596,43.5864172585215,17.5411479043273
0.277, 7.88,7.88,,,0.1747489,1.541767,0.9367068,,,0.1855617,1.579521,0.9333321,,45.7999961295596,43.4151673453218,16.6278747980825
0.289, 8.21,8.21,,,0.1746982,1.54141,0.9381442,,,0.1858027,1.580749,0.9345156,,45.7999961295596,43.1994802226186,16.4638734229378
0.299, 7.97,7.97,,,0.1748132,1.542318,0.9379833,,,0.1855514,1.58053,0.9343048,,45.7999961295596,42.968087080356,16.4645479040996
0.311, 8.21,8.21,,,0.1756217,1.542379,0.9394311,,,0.1866008,1.581755,0.9354858,,45.7999961295596,42.7265340319858,16.4203770719663
0.321, 8.34,8.34,,,0.1759784,1.543425,0.9412346,,,0.1870996,1.583374,0.9370458,,45.7999961295596,42.4746776435393,16.4799773010053
0.333, 8.55,8.55,,,0.1762906,1.543458,0.9424168,,,0.1876615,1.584424,0.9380587,,45.7999961295596,42.3813226205614,16.4670665362859
0.344, 7.36,7.36,,,0.1727812,1.548586,0.9411297,,,0.1830614,1.58373,0.9373894,,45.7999961295596,42.6227322349631,17.2062159273177
0.355, 7.71,7.71,,,0.174503,1.54696,0.9412174,,,0.1851851,1.583801,0.937458,,45.7999961295596,42.8093125073282,17.0052376165828
0.366, 7.78,7.78,,,0.1751493,1.546773,0.9413459,,,0.1859265,1.583954,0.9376059,,45.7999961295596,42.8836727747529,16.9763117662527
0.377, 7.97,7.97,,,0.1753086,1.546196,0.9415733,,,0.1864487,1.584263,0.9379035,,45.7999961295596,43.1479908429933,17.0484351467865
0.388, 8.19,8.19,,,0.174768,1.545628,0.9420365,,,0.1862799,1.584732,0.9383554,,45.7999961295596,43.2950140758811,17.1006604792744
0.4, 8.77,8.77,,,0.1759477,1.542769,0.9421549,,,0.1881632,1.584736,0.9383596,,45.7999961295596,43.4348348744896,16.8784778468512
0.411, 8.46,8.46,,,0.1739655,1.544075,0.9417461,,,0.1860232,1.584474,0.9381067,,45.7999961295596,43.573129125861,17.2451838629955
0.422, 9.32,9.32,,,0.1765361,1.541914,0.944032,,,0.1896349,1.586474,0.9400344,,45.7999961295596,43.519341387644,17.0131179471184
0.433, 8.67,8.67,,,0.1733227,1.544613,0.9432473,,,0.1859235,1.585931,0.9395112,,45.7999961295596,43.6628641486796,17.5759904058612
0.445, 7.52,7.52,,,0.1696204,1.550182,0.9427212,,,0.1809669,1.585867,0.9394492,,45.7999961295596,43.8164375327991,18.2430112937175
0.455, 7.98,7.98,,,0.1711662,1.548414,0.9433279,,,0.1831398,1.586322,0.939888,,45.7999961295596,43.8297017597982,18.1252178545693
0.467, 7.95,7.95,,,0.1706337,1.549411,0.9441597,,,0.18262,1.587168,0.9407032,,45.7999961295596,43.8152968912395,18.2159381321482
0.477, 8.33,8.33,,,0.1721181,1.547705,0.9445082,,,0.1844403,1.587325,0.9408546,,45.7999961295596,43.6712926018808,17.9032759863077
0.489, 8.46,8.46,,,0.1720971,1.547762,0.9452515,,,0.1846209,1.588019,0.9415239,,45.7999961295596,43.6530969784382,17.9129816848483
0.499, 8.44,8.44,,,0.1720041,1.547776,0.9451358,,,0.1845024,1.587921,0.9414297,,45.7999961295596,43.6712755264084,17.9206092983916
0.511, 8.53,8.53,,,0.1712673,1.547791,0.9455767,,,0.1839092,1.588356,0.9418489,,45.7999961295596,43.6984357728871,17.9307504214796
0.523, 8.56,8.56,,,0.1703381,1.547792,0.9456474,,,0.1830548,1.58848,0.9419681,,45.7999961295596,43.7898510221947,17.9549839319804
0.533, 8.58,8.58,,,0.1682584,1.547706,0.9455802,,,0.1810233,1.588477,0.9419655,,45.7999961295596,43.8904426303968,17.9581070358915
0.544, 8.61,8.61,,,0.1678023,1.548259,0.9462844,,,0.1805933,1.589181,0.9426441,,45.7999961295596,43.8663320632976,17.9361735915297
0.555, 8.57,8.57,,,0.1665388,1.548619,0.9465141,,,0.1792065,1.5894,0.942855,,45.7999961295596,43.7937442299133,17.8499407481106
0.566, 8.73,8.73,,,0.1642554,1.549023,0.9478174,,,0.1770631,1.590589,0.9440014,,45.7999961295596,43.6439342799216,17.7537529042533
0.577, 9.08,9.08,,,0.1614268,1.54905,0.9497414,,,0.1745649,1.592331,0.9456809,,45.7999961295596,43.4629069511972,17.5538110746961
0.589, 9.19,9.19,,,0.1578386,1.549554,0.9507735,,,0.1711195,1.593367,0.9466797,,45.7999961295596,43.4754881592982,17.5270008754026
0.599, 9.02,9.02,,,0.1540385,1.550188,0.9504433,,,0.1669861,1.593201,0.9465196,,45.7999961295596,43.5560399930332,17.3890805768778
