経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,0.08582976,1.781643,1.629664,,,0.0846616,1.777882,1.627548,,40.3596549843873,20.3894681901024,32.9485925826424
0.011, 0.29,-0.29,,,0.08601548,1.778004,1.629606,,,0.0856397,1.776779,1.628913,,40.6045275046018,20.1884164548359,32.9439719597975
0.022, 0.61,0.61,,,0.08622749,1.773868,1.627973,,,0.08699675,1.776414,1.629417,,40.6851305647542,19.8246235142916,32.9467825825628
0.033, 1.44,1.44,,,0.08623472,1.770743,1.625541,,,0.0880433,1.776804,1.629011,,40.5989882213391,19.3603584938523,33.0694493615481
0.044, 2.15,2.15,,,0.08624686,1.768135,1.623406,,,0.08890933,1.777171,1.628619,,40.5178763121078,18.9461502208997,33.1600484032726
0.056, 2.62,2.62,,,0.08563778,1.766732,1.621576,,,0.08887766,1.777725,1.627962,,40.3949124199018,18.7782009965246,33.3043395605684
0.066, 2.7,2.7,,,0.08359945,1.767492,1.620006,,,0.08697765,1.778767,1.626626,,40.1628328436467,18.9166660026205,33.6180808762677
0.077, 2.86,2.86,,,0.08264503,1.765797,1.620784,,,0.08624323,1.777745,1.627803,,40.3901654385607,19.1728083346519,33.6528089721362
0.088, 2.67,2.67,,,0.08278269,1.766417,1.621511,,,0.08614756,1.777556,1.628023,,40.4322394026772,19.3175724825346,33.5692313646831
0.1, 2.41,2.41,,,0.08282632,1.76732,1.622334,,,0.08586766,1.777396,1.628196,,40.4676505174437,19.4337796102922,33.464387963841
0.112, 2.53,2.53,,,0.08311963,1.766507,1.622433,,,0.08630291,1.77709,1.628583,,40.5356143128887,19.3914256084275,33.424205962072
0.123, 2.78,2.78,,,0.08343881,1.765194,1.62218,,,0.08692269,1.776815,1.628941,,40.5965191080229,19.2911669719382,33.4290451509642
0.133, 3,3,,,0.08416358,1.76394,1.622091,,,0.08791964,1.776477,1.629391,,40.6714189603769,19.1905924392085,33.4421556987113
0.144, 3.03,3.03,,,0.08436555,1.763202,1.622735,,,0.08815527,1.775871,1.630112,,40.8050072115412,19.2136221289016,33.4336999247541
0.155, 3.26,3.26,,,0.08532406,1.761764,1.622791,,,0.08938785,1.775394,1.630725,,40.9099701406905,19.0903320951719,33.4085955651583
0.168, 3.26,3.26,,,0.08607654,1.760959,1.623724,,,0.09014174,1.774617,1.631659,,41.0805267897087,19.1075544166848,33.356429996824
0.177, 3.39,3.39,,,0.08791003,1.758507,1.625725,,,0.09210569,1.772704,1.633929,,41.4979776948795,19.1210184267115,33.2098438960309
0.188, 3.33,3.33,,,0.08877935,1.758357,1.626348,,,0.09288937,1.772307,1.634406,,41.5842259062238,19.0558020747837,33.182396781615
0.199, 3.49,3.49,,,0.08915477,1.757027,1.626667,,,0.09345427,1.771674,1.63514,,41.7213829311301,19.005383327281,33.1944657255425
0.21, 4.23,4.23,,,0.09344423,1.751444,1.627721,,,0.09852716,1.769208,1.637991,,42.2518939544859,18.5020308428567,33.0494471531203
0.221, 4.25,4.25,,,0.09465696,1.749051,1.63021,,,0.09975198,1.766919,1.640519,,42.7396411646383,18.6870043132643,32.9887131127106
0.233, 4.14,4.14,,,0.09370686,1.751392,1.628358,,,0.09873703,1.768737,1.638516,,42.3526836381685,18.446516774375,33.3868311679737
0.244, 4.64,4.64,,,0.09516019,1.748667,1.627838,,,0.1007473,1.768084,1.639242,,42.4919716820365,18.1762718096472,33.4110271124352
0.255, 4.38,4.38,,,0.09564009,1.748409,1.629987,,,0.1009335,1.76674,1.640715,,42.7775726191384,18.4412285005572,33.3538140344446
0.266, 4.64,4.64,,,0.09494284,1.749917,1.626468,,,0.1006448,1.769224,1.637982,,42.2485164260353,18.0278244823571,33.8660269815232
0.278, 4.65,4.65,,,0.09424263,1.750822,1.625411,,,0.1000337,1.770125,1.636977,,42.0553211156431,18.0662408802748,34.0496327065876
0.288, 4.45,4.45,,,0.0935626,1.753491,1.623824,,,0.09921667,1.771913,1.634961,,41.6696544948905,18.0412816621948,34.3606351165059
0.299, 4.87,4.87,,,0.09402193,1.753787,1.620426,,,0.100196,1.773884,1.632714,,41.2412069854619,17.5080641764557,34.6075635236034
0.311, 4.71,4.71,,,0.09406595,1.754931,1.620275,,,0.1000936,1.774389,1.632131,,41.1307491692783,17.6189608322813,34.577568748698
0.322, 5.13,5.13,,,0.09182191,1.759209,1.612079,,,0.09848611,1.780225,1.625226,,39.8365752066417,17.0710652704243,35.2674963828457
0.333, 5.38,5.38,,,0.09281352,1.759045,1.610476,,,0.09974742,1.781132,1.624132,,39.6322091221727,16.8648874783284,34.9619922750563
0.344, 4.97,4.97,,,0.09225307,1.763922,1.607612,,,0.09876533,1.784272,1.620252,,38.917754279398,16.8752437523692,35.1649547556898
0.355, 5.26,5.26,,,0.09066228,1.768739,1.599117,,,0.09761839,1.790171,1.612685,,37.5447223698934,16.5048186983254,35.6525824375351
0.366, 5.27,5.27,,,0.09281386,1.765444,1.603316,,,0.09963378,1.787107,1.616673,,38.2633060619066,16.3908262593446,34.9197748769712
0.377, 4.86,4.86,,,0.09317696,1.770667,1.599809,,,0.09956364,1.790658,1.612061,,37.4294663459513,16.3765153058843,34.8714888559775
0.389, 5.18,5.18,,,0.09391001,1.773788,1.592971,,,0.1006787,1.79508,1.606119,,36.368335016216,15.7423288440019,35.0039023146372
0.4, 5.34,5.34,,,0.09722991,1.772432,1.593507,,,0.1040505,1.794559,1.606807,,36.4948027953687,15.2105883866297,34.2628882820139
0.411, 4.96,4.96,,,0.09786652,1.777485,1.58962,,,0.1042711,1.798033,1.601988,,35.6443042484914,15.0507056154399,34.3536170973291
0.422, 4.77,4.77,,,0.09871092,1.781073,1.586138,,,0.1048774,1.800847,1.597966,,34.9425296515579,14.8527667388011,34.2249158463799
0.434, 4.73,4.73,,,0.1011594,1.781679,1.585537,,,0.1072207,1.801398,1.597111,,34.8034089473199,14.4855347981053,33.74910439147
0.452, 4.41,4.41,,,0.10113,1.786448,1.5813,,,0.1068386,1.804837,1.592044,,33.925200323751,14.4977779118519,33.7105035784498
0.458, 4.43,4.43,,,0.1012905,1.79005,1.575619,,,0.107032,1.808502,1.586433,,32.9661393381319,14.2918289310868,33.7861410912138
0.467, 4.41,4.41,,,0.1027988,1.792592,1.571683,,,0.108509,1.811018,1.582415,,32.2933281575679,13.9730392519577,33.6358461978045
0.478, 3.9,3.9,,,0.1043376,1.796903,1.5694,,,0.1094351,1.813211,1.57883,,31.696086187878,13.9419900666285,33.536917740619
0.489, 3.27,3.27,,,0.1018918,1.804155,1.563381,,,0.1063106,1.817762,1.571306,,30.4236458865756,14.8569092484174,33.9142276251547
0.5, 3.18,3.18,,,0.1000951,1.810796,1.552532,,,0.1044444,1.823929,1.560344,,28.6167603730649,15.5166201265179,34.468586253334
0.511, 2.18,2.18,,,0.1014655,1.813778,1.557154,,,0.1044993,1.822839,1.562349,,28.9437351799129,15.6769810109363,33.7985481294958
0.522, 1.59,1.59,,,0.1009353,1.820595,1.550333,,,0.1031948,1.827213,1.554154,,27.6103832532873,16.3078787368249,34.0634228581381
0.533, 1.79,1.79,,,0.100095,1.82464,1.540215,,,0.1026146,1.832018,1.544561,,26.0727198837047,16.7554319923775,34.4681798570897
0.544, 2.22,2.22,,,0.104534,1.821232,1.542241,,,0.1075803,1.83052,1.547496,,26.560668584432,15.262579785145,33.4013999610679
0.555, 2.44,2.44,,,0.1084509,1.820761,1.540536,,,0.1117207,1.831053,1.546202,,26.3878050390858,14.2183232910583,32.6559053244738
0.567, 2.68,2.68,,,0.1109937,1.820926,1.537237,,,0.1145301,1.832303,1.543422,,25.9780363889702,13.5775516732255,32.2740192133216
0.578, 2.57,2.57,,,0.1107593,1.822772,1.534621,,,0.1141589,1.833715,1.540482,,25.5081637833783,13.6920008810944,31.9794160871441
0.588, 2.53,2.53,,,0.1106759,1.823866,1.532834,,,0.1140217,1.834637,1.538517,,25.1966542319282,13.7478829260074,31.6938219802312
0.599, 2.58,2.58,,,0.1117227,1.826072,1.527207,,,0.115141,1.837114,1.532973,,24.341598241454,13.7194872690969,31.4758091781803
0.611, 2.94,2.94,,,0.1120376,1.826555,1.521747,,,0.1158856,1.839141,1.528273,,23.6199477945889,13.6191671609067,31.2617749612102
0.622, 3.29,3.29,,,0.1126881,1.826545,1.517292,,,0.1169453,1.840683,1.524532,,23.0567594396058,13.392261452804,30.9293291729893
0.633, 3.62,3.62,,,0.1135849,1.827187,1.511399,,,0.1182195,1.842752,1.519342,,22.279212433676,13.3315701010754,30.7909973555785
0.644, 3.94,3.94,,,0.1141388,1.828182,1.504382,,,0.1191584,1.845174,1.51305,,21.3349832034269,13.4989635188223,30.7340062587298
0.655, 4.22,4.22,,,0.1138289,1.829085,1.498154,,,0.1191747,1.847288,1.50739,,20.4762576939233,13.7809529935011,30.5973956489419
0.666, 3.96,3.96,,,0.1125841,1.832082,1.493766,,,0.1176952,1.849159,1.502353,,19.686558074251,14.4954027136341,30.5500077977991
0.677, 4.01,4.01,,,0.1096402,1.836254,1.480842,,,0.1148241,1.853453,1.489753,,17.7449248849967,16.2806740941177,31.1548688432961
0.688, 4.23,4.23,,,0.1090691,1.835519,1.479684,,,0.1145655,1.85373,1.488897,,17.6127316999316,16.1329627196902,30.7175625787606
0.7, 3.63,3.63,,,0.1089246,1.838958,1.478276,,,0.1137137,1.854635,1.486041,,17.1729238786822,16.3913709669157,30.4103031124033
0.711, 3.58,3.58,,,0.1056886,1.843582,1.463151,,,0.1104297,1.85895,1.471042,,14.9015035522675,18.6724611333788,31.1374586915862
0.722, 3.23,3.23,,,0.1024082,1.846281,1.459633,,,0.1067398,1.860139,1.466666,,14.213400432351,19.4881684051395,31.009997119937
0.733, 3.67,3.67,,,0.1061353,1.844014,1.459416,,,0.1109109,1.859931,1.467143,,14.3350110933653,17.981529461451,29.9275077892613
0.744, 4.14,4.14,,,0.1083335,1.843691,1.450613,,,0.1135108,1.861713,1.459359,,13.2435323802184,18.0334832939269,29.636934474582
0.755, 4.06,4.06,,,0.1075997,1.844184,1.449975,,,0.1126768,1.861985,1.458281,,13.0696665046394,17.6235404739924,28.8847223471261
0.766, 4.11,4.11,,,0.1073894,1.845105,1.444378,,,0.1124332,1.86322,1.452648,,12.2464639542468,17.6969496376016,28.349302125441
0.777, 4.33,4.33,,,0.1088675,1.844405,1.441818,,,0.1140487,1.863649,1.450327,,11.9462771485782,17.0258357589991,27.5831273841628
0.788, 4.35,4.35,,,0.1094439,1.844642,1.439698,,,0.1145574,1.864105,1.447972,,11.6193040492775,16.4712107534495,26.765780867047
0.799, 4.35,4.35,,,0.1086832,1.84594,1.432847,,,0.1136754,1.865448,1.441018,,10.5983043486675,16.8581768176556,26.3580988396647
0.81, 4.45,4.45,,,0.1076018,1.846383,1.427344,,,0.1126272,1.866428,1.435525,,9.78506362890217,17.0219510890167,25.8078793060073
0.822, 4.03,4.03,,,0.1058958,1.848851,1.424617,,,0.1104826,1.867079,1.431843,,9.20645526852319,17.2651365525532,25.3636796732438
0.833, 3.47,3.47,,,0.1037133,1.852859,1.415641,,,0.107688,1.868571,1.421805,,7.71060033946039,18.5107137205975,25.233593601479
0.844, 2.94,2.94,,,0.1006135,1.856229,1.408866,,,0.1040225,1.869553,1.414016,,6.53759051423354,19.5946783720928,25.0784731795554
0.855, 2.47,2.47,,,0.09847203,1.85913,1.401936,,,0.1013385,1.870348,1.406202,,5.39517566676874,20.4649690990867,24.8238027532492
0.866, 2.39,2.39,,,0.09713028,1.86,1.395375,,,0.09986803,1.870899,1.399439,,4.42332557917157,20.9387297897554,24.4165407824892
0.878, 2.56,2.56,,,0.09677523,1.859503,1.390258,,,0.09963916,1.871228,1.394498,,3.71536155036183,20.8796401173426,23.7847107358049
0.888, 2.48,2.48,,,0.09634116,1.86013,1.384494,,,0.09907116,1.871543,1.388514,,2.86286474632109,21.0907390605986,23.269038298008
0.9, 2.11,2.11,,,0.0946199,1.862046,1.378183,,,0.09693566,1.871786,1.381522,,1.92508598923335,21.6646047085046,22.848484779493
0.911, 1.65,1.65,,,0.09244498,1.864248,1.370451,,,0.09426203,1.8719,1.373005,,1.10588358170557,22.5072229248463,22.4770847159723
0.922, 1.41,1.41,,,0.09183835,1.865324,1.363629,,,0.09337272,1.871868,1.365748,,1.11205945992557,22.9346100474357,21.9938795814916
0.933, 1.53,1.53,,,0.09207841,1.864554,1.355578,,,0.09370397,1.871705,1.357833,,1.83055916195858,23.272349232116,21.4435490572632
0.944, 1.6,1.6,,,0.09171784,1.864063,1.35152,,,0.09339873,1.871552,1.353773,,2.36065695888112,23.0998152433881,20.7742041976065
0.956, 1.53,1.53,,,0.09112732,1.863896,1.343061,,,0.09270838,1.87109,1.345186,,3.54071810045614,23.8088656991325,20.411218926909
0.966, 1.97,1.97,,,0.09040257,1.861435,1.33732,,,0.09239468,1.870721,1.33997,,4.2694832563609,23.8898580800566,19.8464135246849
0.977, 2.1,2.1,,,0.09072158,1.860399,1.332052,,,0.09279771,1.870301,1.334797,,4.97515959874916,24.0030001605094,19.3665398148791
0.989, 1.72,1.72,,,0.09003192,1.861414,1.325344,,,0.09173572,1.869565,1.32754,,6.02824838096062,24.6123315646938,19.0279707622377
1, 1.47,1.47,,,0.08879013,1.861603,1.317627,,,0.09022763,1.868576,1.319465,,7.21294850151346,25.390062985726,18.7022936912959
1.011, 1.73,1.73,,,0.09028126,1.859884,1.313633,,,0.09194338,1.868116,1.315702,,7.70214541927684,25.0710436414925,18.0648099556835
1.022, 1.83,1.83,,,0.09137718,1.858762,1.309291,,,0.09310029,1.867521,1.311387,,8.29564359163211,24.8543456508203,17.4092723230497
1.033, 1.85,1.85,,,0.09278417,1.857904,1.304426,,,0.09449276,1.866781,1.306473,,8.98056298971032,24.8715901704474,16.9118040464316
1.044, 1.6,1.6,,,0.09247441,1.858178,1.299394,,,0.09394413,1.865864,1.301091,,9.76658028374882,25.1031745580014,16.4693426967635
1.055, 1.32,1.32,,,0.09252612,1.85836,1.293378,,,0.09372109,1.864688,1.294727,,10.6924397207363,25.5250104444973,16.0844803307633
1.066, 0.66,0.66,,,0.0909906,1.860181,1.287593,,,0.09159985,1.863341,1.288243,,11.6667029994775,26.2455561082949,15.9311545409942
1.077, 0.32,0.32,,,0.09119941,1.859803,1.27897,,,0.09149331,1.861352,1.279287,,12.9754286797359,27.284911088015,15.7636748921115
1.089, 0.68,0.68,,,0.09282708,1.857108,1.274458,,,0.0934357,1.860391,1.275101,,13.5642353660355,27.2001689333408,15.2687013420183
1.099, 0.92,0.92,,,0.09541076,1.854639,1.268916,,,0.09620158,1.85908,1.269748,,14.329147376126,27.1844373005727,14.669972098678
1.11, 0.92,0.92,,,0.09639123,1.853262,1.263793,,,0.09716256,1.857711,1.264583,,15.088811239759,27.25953352086,14.12056791883
1.122, 0.78,0.78,,,0.09598488,1.852536,1.258984,,,0.09663565,1.856308,1.25961,,15.8310888573435,27.3619470819725,13.6377333221015
1.133, 0.56,0.56,,,0.09635631,1.85177,1.253073,,,0.0968226,1.854498,1.253504,,16.741899680461,27.7644945147891,13.2783706128842
1.144, 0.7,0.7,,,0.09736679,1.849532,1.248026,,,0.09794089,1.852954,1.248534,,17.483016165919,27.840794555884,12.7943006057239
1.156, 0.75,0.75,,,0.09830421,1.847695,1.243165,,,0.09890507,1.851373,1.24368,,18.2117751319649,27.9594725045051,12.308006518277
1.166, 0.79,0.79,,,0.1002015,1.846017,1.238751,,,0.1008174,1.849871,1.239255,,18.8795712462704,27.9464456265731,11.8263006102774
1.178, 0.74,0.74,,,0.1007521,1.844038,1.232661,,,0.1013278,1.847683,1.233112,,19.8138352307978,28.4046881278794,11.5015140252239
1.188, 0.71,0.71,,,0.1020404,1.842039,1.226942,,,0.1025837,1.845523,1.227347,,20.6973474961096,28.7467627750147,11.1529310617643
1.199, 0.6,0.6,,,0.1030515,1.840828,1.222519,,,0.1035053,1.843758,1.222833,,21.3936015928001,28.8705565351817,10.810390254231
1.211, 0.41,0.41,,,0.104129,1.838937,1.215714,,,0.1044342,1.840929,1.215914,,22.4669521306205,29.4654045236342,10.5189845102698
1.222, 0.4,0.4,,,0.1056091,1.837217,1.211701,,,0.1059113,1.839198,1.211883,,23.1007817151288,29.5337098285281,10.225372615268
1.279, 0.39,0.39,,,0.105615,1.835042,1.206693,,,0.1059112,1.836987,1.206853,,23.8875050799531,29.7679033482725,9.94057678669206
1.304, 2.73,-2.73,,,0.1072171,1.83161,1.170435,,,0.1048971,1.818182,1.170058,,29.8037823309841,32.7982737835718,9.9716080427752
1.325, 3.86,-3.86,,,0.1098081,1.831316,1.160092,,,0.1064656,1.812322,1.160293,,31.43961942187,32.2221883242473,9.98634929814116
1.349, 4.69,-4.69,,,0.1113834,1.832478,1.155199,,,0.1073179,1.809379,1.155621,,32.233345437946,32.5198069788594,10.0117413794477
1.361, 5.63,-5.63,,,0.1125586,1.833074,1.148407,,,0.1076124,1.805377,1.149468,,33.2855189748342,32.450487390902,10.3008359582129
1.374, 6.18,-6.18,,,0.113553,1.833403,1.144455,,,0.1080997,1.803004,1.145941,,33.8960695677515,32.4416320508895,10.4698037345197
1.384, 7.04,-7.04,,,0.1112694,1.831697,1.135675,,,0.104949,1.797122,1.137419,,35.3692901043084,33.9539827401125,10.6737779368959
1.396, 4.8,-4.8,,,0.1181159,1.814879,1.128524,,,0.1144382,1.791178,1.129696,,36.8064711487126,34.6807216777676,9.17729463044693
1.408, 0.84,-0.84,,,0.128382,1.79522,1.130421,,,0.1278899,1.791043,1.130669,,36.8397922256512,33.4891303234208,7.40029887768611
1.419, 1,1,,,0.1328267,1.786112,1.131779,,,0.1333351,1.791073,1.131391,,36.8334196593329,32.2303162491334,7.19821834520458
1.43, 0.12,-0.12,,,0.1261349,1.789456,1.12753,,,0.1260616,1.788847,1.127575,,37.3579064560085,33.2950778243116,7.88806999349994
1.441, 2.17,-2.17,,,0.1185552,1.787925,1.111637,,,0.1170731,1.777197,1.112348,,40.0127531011904,36.6614491611959,8.60692518552501
1.452, 3.38,-3.38,,,0.1124573,1.78407,1.099803,,,0.1099318,1.767377,1.100817,,42.142528968539,39.3932413003314,9.16941173859045
1.464, 6.14,-6.14,,,0.1050567,1.786997,1.087715,,,0.09983161,1.756814,1.089523,,44.3408457823014,42.1392265721672,10.301561665792
1.475, 4.6,-4.6,,,0.1083914,1.779204,1.087676,,,0.1046514,1.756549,1.089282,,44.3950023507234,41.3280904043813,10.0896243168388
1.486, 3.21,-3.21,,,0.112263,1.775375,1.091084,,,0.1097094,1.759579,1.092502,,43.7741381724463,39.4632507373758,10.3585826447175
1.497, 5.87,-5.87,,,0.1056196,1.78515,1.086211,,,0.1002285,1.756452,1.089154,,44.4147415968754,40.0208946864545,11.9628471870436
1.508, 5.37,-5.37,,,0.1121021,1.776016,1.079854,,,0.1075458,1.749699,1.082565,,45.7747244303338,40.8620392895237,11.2653679252049
1.519, 6.61,-6.61,,,0.1099946,1.781368,1.078192,,,0.1040437,1.74906,1.081887,,45.9017249642269,40.6081509198557,12.103120485672
1.53, 6.14,-6.14,,,0.1171815,1.772318,1.072256,,,0.112147,1.742205,1.075661,,47.248324042379,41.5265039791543,11.2730049302581
1.541, 7.07,-7.07,,,0.1136696,1.78012,1.074144,,,0.1073013,1.745635,1.078692,,46.5782961638244,40.1812265425697,12.6411122735081
1.552, 5.61,-5.61,,,0.123179,1.766823,1.069769,,,0.118826,1.73937,1.073421,,47.7969521420042,40.673594375567,11.5352747955781
1.564, 3.36,-3.36,,,0.1313532,1.753962,1.070246,,,0.1291793,1.737452,1.072517,,48.1660862903308,40.3728372491186,10.6001792355425
1.575, 1.78,-1.78,,,0.1343446,1.748311,1.073474,,,0.1332507,1.739566,1.074836,,47.7603730649221,38.8386094645929,11.1039014039453
1.586, 3.53,-3.53,,,0.1297802,1.746269,1.062393,,,0.1274105,1.728951,1.064991,,49.7740596252731,41.3391040841115,11.2923625396009
1.596, 5.8,-5.8,,,0.1218624,1.747798,1.052445,,,0.1172726,1.719471,1.056554,,51.5232812683206,43.7441468126354,12.1037881366448
