経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.64,-0.64,,,0.3672689,1.53421,1.023294,,,0.3657188,1.531408,1.023264,,44.8235181620417,31.1260386156118,28.9559885389429
0.011, 0.44,-0.44,,,0.365865,1.53355,1.022659,,,0.3647944,1.531616,1.022635,,44.8235181620417,31.2120204495858,28.9779612568914
0.022, 0.24,-0.24,,,0.3649567,1.533016,1.022742,,,0.3643799,1.531975,1.022728,,44.8235181620417,31.2724403013024,29.0093288997818
0.033, 0.15,-0.15,,,0.364399,1.533037,1.022951,,,0.3640312,1.532373,1.022943,,44.8235181620417,31.2423567339402,29.0000261823911
0.045, 0.23,-0.23,,,0.3646065,1.533592,1.023306,,,0.364059,1.532602,1.023294,,44.8235181620417,31.19866743013,28.9704412188245
0.055, 0.06,0.06,,,0.3634467,1.533361,1.024285,,,0.3635959,1.533632,1.024287,,44.8235181620417,31.0778550474527,28.8633848367528
0.067, 0.11,0.11,,,0.3635287,1.533756,1.025351,,,0.3637965,1.534244,1.025354,,44.8235181620417,30.9470261926364,28.75841166232
0.077, 0.01,-0.01,,,0.3626524,1.535263,1.025597,,,0.3626373,1.535236,1.025597,,44.8235181620417,30.8970872659095,28.7996694188534
0.088, 0.07,-0.07,,,0.3613818,1.53629,1.02526,,,0.3612207,1.535998,1.025258,,44.8235181620417,30.9177315121014,28.8995506874016
0.099, 0.27,-0.27,,,0.3590505,1.538881,1.024865,,,0.3583994,1.537709,1.024856,,44.8235181620417,30.9272152295,29.0695404307345
0.111, 0.34,-0.34,,,0.3582472,1.54022,1.025361,,,0.3574268,1.538746,1.02535,,44.8235181620417,30.9377849469465,29.1030493378701
0.123, 0.32,-0.32,,,0.3587254,1.539871,1.025466,,,0.3579408,1.538457,1.025456,,44.8235181620417,30.9421562678937,29.0267527118696
0.134, 0.3,-0.3,,,0.3579769,1.540753,1.026194,,,0.3572591,1.539455,1.026185,,44.8235181620417,30.9398715696799,28.9413924250927
0.144, 0.3,-0.3,,,0.3569147,1.541996,1.02687,,,0.3561947,1.540685,1.026861,,44.8235181620417,30.954460853341,28.7992800980815
0.155, 0.27,-0.27,,,0.3562199,1.542866,1.027686,,,0.3555806,1.541698,1.027679,,44.8235181620417,30.9390485319078,28.7001091691872
0.166, 0.29,-0.29,,,0.3553309,1.543746,1.027847,,,0.3546365,1.54248,1.02784,,44.8235181620417,30.9026470397392,28.7460319447939
0.177, 0.35,-0.35,,,0.3542736,1.54536,1.028588,,,0.3534418,1.543848,1.028581,,44.8235181620417,30.8623216040016,28.8160038157989
0.188, 0.4,-0.4,,,0.3533859,1.54685,1.029356,,,0.3524264,1.545109,1.029349,,44.8235181620417,30.8276379043614,28.8642249499973
0.2, 0.43,-0.43,,,0.3516664,1.549038,1.030452,,,0.3506259,1.547156,1.030443,,44.8235181620417,30.8237139607924,28.9407128212892
0.211, 0.5,-0.5,,,0.3507637,1.550445,1.030915,,,0.3495459,1.548246,1.030904,,44.8235181620417,30.8307422252528,28.9808606721134
0.222, 0.6,-0.6,,,0.3498481,1.552505,1.032089,,,0.3483956,1.549888,1.032076,,44.8235181620417,30.8244379608243,29.029160353485
0.233, 0.7,-0.7,,,0.3482417,1.554626,1.032642,,,0.3465494,1.551583,1.032628,,44.8235181620417,30.8135130735509,29.0844234125218
0.245, 0.9,-0.9,,,0.3468411,1.557914,1.034156,,,0.344657,1.553992,1.034141,,44.8235181620417,30.7592028258769,29.110583036315
0.255, 1.09,-1.09,,,0.3454942,1.561937,1.036807,,,0.342833,1.557162,1.036801,,44.8235181620417,30.6281110087848,29.1336041882719
0.266, 1.37,-1.37,,,0.3442092,1.566586,1.039656,,,0.3408618,1.560583,1.039667,,44.8235181620417,30.4672327375511,29.1444539434665
