経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.98,-0.98,,,0.2850247,1.785659,1.11066,,,0.2819804,1.781969,1.109686,,46.050527461344,13.2034024586404,40.9779271059465
0.01, 0.86,-0.86,,,0.2825314,1.787435,1.10833,,,0.2798554,1.784173,1.107475,,46.050527461344,13.2405808848054,40.8166765894134
0.021, 0.76,-0.76,,,0.279334,1.790041,1.106279,,,0.2769733,1.787163,1.105524,,46.050527461344,13.2433983377597,40.8069196644556
0.033, 0.76,-0.76,,,0.2756504,1.793832,1.103342,,,0.2732984,1.790975,1.102589,,46.050527461344,13.2305866107805,40.9182346693562
0.044, 0.86,-0.86,,,0.2718353,1.798513,1.100008,,,0.269149,1.79528,1.099145,,46.050527461344,13.1890710146132,41.1866064547563
0.055, 0.96,-0.96,,,0.2673403,1.803906,1.095958,,,0.2643127,1.800297,1.094983,,46.050527461344,13.1559667961746,41.4648512783268
0.066, 1.16,-1.16,,,0.2636085,1.809134,1.092575,,,0.2599562,1.804816,1.091394,,46.050527461344,13.1351543565791,41.7108644401009
0.077, 1.16,-1.16,,,0.2598426,1.813062,1.089669,,,0.2561723,1.808741,1.088482,,46.050527461344,13.1137519594105,41.8314206906915
0.09, 1.23,-1.23,,,0.2574729,1.816025,1.087876,,,0.2535785,1.811432,1.086619,,46.050527461344,13.1030302702592,41.771810216369
0.1, 1.28,-1.28,,,0.2559029,1.818003,1.085813,,,0.2518676,1.813206,1.084513,,46.050527461344,13.1307198563839,41.5457275460383
0.111, 1.41,-1.41,,,0.2545107,1.82039,1.084647,,,0.2500737,1.815067,1.083226,,46.050527461344,13.1440626305562,41.2744290246604
0.122, 1.46,-1.46,,,0.2532899,1.821982,1.084453,,,0.2487327,1.816458,1.083006,,46.050527461344,13.1364759981467,40.9582425013063
0.132, 1.61,-1.61,,,0.2524572,1.823865,1.084376,,,0.2474693,1.817769,1.08281,,46.050527461344,13.099278788962,40.6934770556877
0.144, 1.85,-1.85,,,0.2520449,1.825994,1.084977,,,0.2463246,1.818956,1.083203,,46.050527461344,13.039110800464,40.472001347824
0.155, 2.09,-2.09,,,0.2523029,1.827454,1.086251,,,0.2458438,1.819455,1.084275,,46.050527461344,12.985159991485,40.2524346777801
0.166, 2.26,-2.26,,,0.2523967,1.828516,1.088204,,,0.2454473,1.819866,1.086109,,46.050527461344,12.9088855635987,40.0730568396943
0.177, 2.43,-2.43,,,0.2531282,1.828938,1.090013,,,0.2456838,1.819621,1.087797,,46.050527461344,12.855671561256,39.8892120580156
0.188, 2.5,-2.5,,,0.2541096,1.828464,1.092425,,,0.2464568,1.818819,1.090173,,46.050527461344,12.838623409562,39.6645090858589
0.201, 2.58,-2.58,,,0.2557257,1.827312,1.094039,,,0.2478761,1.817347,1.09173,,46.050527461344,12.9206975216659,39.4601498315789
0.21, 2.57,-2.57,,,0.2576569,1.825267,1.095911,,,0.2498455,1.815304,1.093604,,46.050527461344,13.0081043038159,39.3375889205228
0.222, 2.57,-2.57,,,0.2587655,1.824113,1.098239,,,0.2509704,1.814137,1.095946,,46.050527461344,13.0161886862473,39.2351190103511
0.233, 2.76,-2.76,,,0.2608937,1.823198,1.100643,,,0.2525486,1.8125,1.098203,,46.050527461344,12.9904021615271,39.1736507246261
0.244, 2.68,-2.68,,,0.2627483,1.820725,1.103716,,,0.2546564,1.810313,1.101381,,46.050527461344,12.9345124326515,39.0385905677367
0.255, 2.77,-2.77,,,0.2655855,1.818439,1.107311,,,0.257241,1.807632,1.104928,,46.050527461344,12.9401866121466,38.8355597852133
0.266, 2.87,-2.87,,,0.2690544,1.815494,1.110447,,,0.2604599,1.804293,1.108001,,46.050527461344,13.002156062988,38.6517423242905
0.277, 2.78,-2.78,,,0.2715528,1.812332,1.1133,,,0.2632193,1.801431,1.110929,,46.050527461344,13.0474940036633,38.5469296592988
0.288, 2.89,-2.89,,,0.2740564,1.810452,1.115387,,,0.2654129,1.799155,1.112931,,46.050527461344,13.027314210322,38.5685403772313
0.3, 3.17,-3.17,,,0.2768112,1.80959,1.118124,,,0.2672983,1.797199,1.115431,,46.050527461344,12.9541791080456,38.6547476074417
0.31, 3.28,-3.28,,,0.2792665,1.807859,1.120975,,,0.2693742,1.795046,1.118194,,46.050527461344,12.8279683147533,38.7976624816581
0.322, 3.31,-3.31,,,0.2816792,1.805505,1.123459,,,0.2717136,1.792619,1.120678,,46.050527461344,12.7515128868591,38.8295765396669
0.333, 3.41,-3.41,,,0.2852157,1.802579,1.127239,,,0.2749413,1.789271,1.124388,,46.050527461344,12.7355976927622,38.7700548578012
0.344, 3.25,-3.25,,,0.2885719,1.797968,1.130596,,,0.2788075,1.785261,1.127903,,46.050527461344,12.7579938824274,38.6247220966859
0.355, 3.27,-3.27,,,0.2924512,1.794063,1.134436,,,0.2826599,1.781264,1.131749,,46.050527461344,12.7836241665746,38.4920320153725
0.366, 3.2,-3.2,,,0.2962404,1.78965,1.138225,,,0.286676,1.777098,1.135615,,46.050527461344,12.803627228776,38.3710727836321
0.378, 3.13,-3.13,,,0.2991385,1.786143,1.141195,,,0.2897972,1.77386,1.138655,,46.050527461344,12.807648502538,38.3084809318199
0.389, 3.06,-3.06,,,0.3023487,1.782331,1.145114,,,0.2932124,1.770318,1.142633,,46.050527461344,12.7994189785908,38.3059469317084
0.4, 2.99,-2.99,,,0.3055583,1.778532,1.148541,,,0.2966205,1.766782,1.146121,,46.050527461344,12.7778509493393,38.3059537618973
0.411, 2.84,-2.84,,,0.3087286,1.77416,1.152505,,,0.3002481,1.763019,1.150212,,46.050527461344,12.7576540805257,38.3248289891434
0.422, 2.86,-2.86,,,0.3125639,1.770326,1.156365,,,0.3040178,1.759109,1.154051,,46.050527461344,12.7549160285183,38.3498821223219
0.433, 2.7,-2.7,,,0.3157037,1.765984,1.160287,,,0.3076129,1.75538,1.158096,,46.050527461344,12.7331652917117,38.3906959165715
0.444, 2.64,-2.64,,,0.3194747,1.761643,1.164436,,,0.3115592,1.751286,1.162299,,46.050527461344,12.6885889171077,38.4323668995382
0.456, 2.58,-2.58,,,0.3228236,1.757707,1.168601,,,0.3151049,1.747608,1.166523,,46.050527461344,12.6689990813396,38.42816974841
0.466, 2.51,-2.51,,,0.3262434,1.753697,1.17279,,,0.3187255,1.743852,1.170774,,46.050527461344,12.657658406312,38.3967064828739
0.478, 2.44,-2.44,,,0.329749,1.749598,1.177001,,,0.3224359,1.740003,1.175048,,46.050527461344,12.6571444345913,38.3364539707873
0.489, 2.38,-2.38,,,0.3332767,1.745504,1.181452,,,0.3261557,1.736144,1.179565,,46.050527461344,12.6336818816715,38.2718164773756
0.5, 2.41,-2.41,,,0.3375376,1.741305,1.18612,,,0.3303321,1.731812,1.184231,,46.050527461344,12.603902257719,38.185510209425
0.511, 2.45,-2.45,,,0.3420135,1.736885,1.190825,,,0.3347261,1.727254,1.18893,,46.050527461344,12.5976560498968,38.0819030727882
0.522, 2.47,-2.47,,,0.3455781,1.733382,1.195933,,,0.3382111,1.723639,1.19403,,46.050527461344,12.5685773740883,38.0517921846701
0.534, 2.59,-2.59,,,0.3491989,1.730451,1.200827,,,0.341471,1.720257,1.198844,,46.050527461344,12.4863914176399,38.1099922249682
0.544, 2.61,-2.61,,,0.3517663,1.727923,1.204491,,,0.3439585,1.717677,1.202487,,46.050527461344,12.4083744377901,38.2558953068633
0.555, 2.54,-2.54,,,0.3546488,1.724448,1.208186,,,0.347034,1.714486,1.206228,,46.050527461344,12.3713522521979,38.3460538013986
0.567, 2.55,-2.55,,,0.3577295,1.721372,1.211901,,,0.3500569,1.711351,1.209925,,46.050527461344,12.360604949838,38.3950433318573
0.578, 2.49,-2.49,,,0.3612175,1.717268,1.215805,,,0.3537591,1.70751,1.213883,,46.050527461344,12.3888742482523,38.3478603863838
0.589, 2.33,-2.33,,,0.3645221,1.712721,1.219813,,,0.3575584,1.703569,1.218016,,46.050527461344,12.4645117610162,38.2256683055326
0.6, 2.26,-2.26,,,0.3686477,1.707983,1.224044,,,0.3618988,1.699067,1.222303,,46.050527461344,12.5434892361914,38.0751070347531
0.611, 2.2,-2.2,,,0.3715944,1.704464,1.228242,,,0.3650475,1.6958,1.226559,,46.050527461344,12.5471058212562,38.0262097118457
0.622, 2.22,-2.22,,,0.3736599,1.702456,1.231556,,,0.36704,1.693733,1.229861,,46.050527461344,12.4572154116384,38.1369099997382
0.633, 2.14,-2.14,,,0.3750515,1.700463,1.234452,,,0.3686511,1.692062,1.232811,,46.050527461344,12.4068965556495,38.2486177405052
0.644, 2.06,-2.06,,,0.3767174,1.698172,1.237308,,,0.3705492,1.690093,1.23572,,46.050527461344,12.3989624373757,38.3137879886573
0.656, 1.98,-1.98,,,0.3788706,1.695378,1.240294,,,0.3729437,1.687609,1.23876,,46.050527461344,12.4419277411541,38.3008516107293
