経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.97,-0.97,,,0.379415,1.653149,1.26405,,,0.376391,1.649462,1.263113,,45.0005395849294,12.4523693925571,40.7296087553916
0.007, 0.8,-0.8,,,0.378641,1.652703,1.263898,,,0.3761652,1.649688,1.26313,,45.0005395849294,12.4569934304966,40.7675811910256
0.013, 0.53,-0.53,,,0.3785297,1.650969,1.263644,,,0.376885,1.648968,1.263132,,45.0005395849294,12.4798660258432,40.8046417964308
0.026, 0.44,-0.44,,,0.3779224,1.650963,1.263614,,,0.3765545,1.649299,1.263188,,45.0005395849294,12.4840529316879,40.8067659852035
0.037, 0.35,-0.35,,,0.3779352,1.650336,1.2642,,,0.3768442,1.649009,1.26386,,45.0005395849294,12.4885711016981,40.8086681928344
0.049, 0.26,-0.26,,,0.3779827,1.649674,1.264203,,,0.377169,1.648685,1.263949,,45.0005395849294,12.492581276403,40.8018209283821
0.061, 0.17,-0.17,,,0.3782021,1.648836,1.264929,,,0.3776682,1.648185,1.264763,,45.0005395849294,12.4977747813486,40.7625507568419
0.071, 0.01,0.01,,,0.3786188,1.647191,1.265238,,,0.3786386,1.647215,1.265244,,45.0005395849294,12.4966537765822,40.6844748666121
0.084, 0.09,0.09,,,0.3788098,1.646389,1.266017,,,0.3791044,1.646749,1.266109,,45.0005395849294,12.4928339933952,40.6504912613424
0.093, 0.09,0.09,,,0.3787373,1.64647,1.26665,,,0.3790279,1.646825,1.26674,,45.0005395849294,12.483342592034,40.6643189789323
0.106, 0,0,,,0.3792593,1.646562,1.266605,,,0.3792737,1.64658,1.26661,,45.0005395849294,12.4809562947591,40.6854345081638
0.119, 0.09,0.09,,,0.3788654,1.646357,1.266968,,,0.37915,1.646703,1.267057,,45.0005395849294,12.4768948936369,40.7737010403516
0.13, 0.18,0.18,,,0.3784696,1.646145,1.266612,,,0.3790292,1.646824,1.266787,,45.0005395849294,12.4870547997446,40.8613596857202
0.141, 0.18,0.18,,,0.3784887,1.646125,1.26724,,,0.3790483,1.646805,1.267415,,45.0005395849294,12.4865809553841,40.8590613271285
0.153, 0.18,0.18,,,0.3786274,1.645982,1.267324,,,0.379189,1.646664,1.267499,,45.0005395849294,12.4882389837589,40.8298793447117
0.164, 0.27,0.27,,,0.3792673,1.644718,1.268396,,,0.3801085,1.645745,1.268658,,45.0005395849294,12.4873391063608,40.7011063767783
0.176, 0.27,0.27,,,0.3808917,1.64309,1.269838,,,0.3817314,1.644122,1.270097,,45.0005395849294,12.4758037709473,40.4873043862335
0.189, 0.27,0.27,,,0.3814248,1.642555,1.270848,,,0.3822636,1.64359,1.271106,,45.0005395849294,12.4759147615183,40.3810198155166
0.199, 0.36,0.36,,,0.381152,1.642214,1.270599,,,0.382267,1.643586,1.270944,,45.0005395849294,12.4813669598715,40.4467808750155
0.211, 0.27,0.27,,,0.3808943,1.643082,1.270391,,,0.3817365,1.644117,1.270651,,45.0005395849294,12.4833895495832,40.5005686132326
0.221, 0.27,0.27,,,0.38104,1.64295,1.270756,,,0.3818777,1.643976,1.271015,,45.0005395849294,12.4713453650907,40.6044933536569
0.232, 0.26,0.26,,,0.380052,1.643983,1.271554,,,0.3808726,1.644981,1.271808,,45.0005395849294,12.4352051276505,40.8158979478697
0.244, 0.17,0.17,,,0.3787654,1.645936,1.270853,,,0.379288,1.646565,1.271016,,45.0005395849294,12.4126646502431,41.0947711488264
0.255, 0.25,0.25,,,0.3768184,1.647313,1.270487,,,0.3776017,1.648252,1.270731,,45.0005395849294,12.3977534939263,41.238621758933
0.267, 0.25,0.25,,,0.3761898,1.64794,1.270441,,,0.376974,1.64888,1.270686,,45.0005395849294,12.401411060125,41.2332122492609
0.278, 0.34,0.34,,,0.3755209,1.647975,1.27081,,,0.3765907,1.649263,1.271143,,45.0005395849294,12.399884512888,41.1052964700445
0.289, 0.25,0.25,,,0.3751943,1.648903,1.27101,,,0.3759902,1.649863,1.271257,,45.0005395849294,12.3979285175189,41.0337331650071
0.3, 0.34,0.34,,,0.373659,1.649812,1.271145,,,0.3747371,1.651116,1.271479,,45.0005395849294,12.4056884659737,40.9568730484158
0.312, 0.44,0.44,,,0.3708518,1.651989,1.270575,,,0.3722135,1.65364,1.270998,,45.0005395849294,12.4211622591078,40.8882877057737
0.323, 0.35,0.35,,,0.3681043,1.655348,1.270276,,,0.3691907,1.656663,1.270613,,45.0005395849294,12.4317473444794,40.9398624627612
0.334, 0.25,0.25,,,0.3621416,1.66196,1.2689,,,0.3629369,1.662916,1.269148,,45.0005395849294,12.4339842313704,41.1303905843568
0.345, 0.15,0.15,,,0.3561405,1.668667,1.267191,,,0.3566182,1.669235,1.267341,,45.0005395849294,12.4280667263929,41.4485373719482
0.356, 0.04,-0.04,,,0.3511875,1.674928,1.265733,,,0.3510674,1.674786,1.265696,,45.0005395849294,12.4304624151776,41.6754499102399
0.367, 0.04,-0.04,,,0.3455633,1.680594,1.264459,,,0.3454238,1.680429,1.264415,,45.0005395849294,12.4536210246877,41.7867000283453
0.379, 0.22,-0.22,,,0.3409837,1.686411,1.262941,,,0.3402753,1.685578,1.262717,,45.0005395849294,12.462834095848,41.8094240670816
0.39, 0.31,-0.31,,,0.3364527,1.691519,1.262499,,,0.3354814,1.690372,1.262192,,45.0005395849294,12.4613152325736,41.6882223636324
0.401, 0.38,-0.38,,,0.332415,1.696091,1.262316,,,0.3312038,1.694649,1.261935,,45.0005395849294,12.4660775818399,41.4572526930866
0.412, 0.46,-0.46,,,0.3277312,1.701301,1.261297,,,0.3262859,1.699567,1.260842,,45.0005395849294,12.5006152861906,41.2343392304426
0.423, 0.45,-0.45,,,0.3229942,1.705963,1.260865,,,0.3215889,1.704264,1.260424,,45.0005395849294,12.5357975896263,41.0109237489086
0.434, 0.53,-0.53,,,0.3179216,1.7116,1.260281,,,0.3162655,1.709588,1.25976,,45.0005395849294,12.5643076522022,40.8640849311232
0.445, 0.53,-0.53,,,0.3125771,1.716924,1.25902,,,0.3109325,1.714921,1.258504,,45.0005395849294,12.57860153019,40.783608229467
0.456, 0.53,-0.53,,,0.3070081,1.72248,1.258158,,,0.3053704,1.720483,1.257643,,45.0005395849294,12.5998323188605,40.7538866621208
0.468, 0.53,-0.53,,,0.3012702,1.728209,1.257108,,,0.299637,1.726216,1.256593,,45.0005395849294,12.6292311597775,40.7603172850454
0.479, 0.52,-0.52,,,0.2957905,1.733661,1.256179,,,0.2941715,1.731682,1.255667,,45.0005395849294,12.666227732161,40.7085888488058
0.49, 0.52,-0.52,,,0.2905173,1.738893,1.255369,,,0.2889198,1.736934,1.254863,,45.0005395849294,12.7076827104011,40.6201037505706
0.501, 0.51,-0.51,,,0.2861,1.743252,1.254673,,,0.2845329,1.74132,1.254176,,45.0005395849294,12.7585812786797,40.4857197823902
0.512, 0.41,-0.41,,,0.2809697,1.747714,1.253821,,,0.2797048,1.746148,1.253418,,45.0005395849294,12.8205208474443,40.3769114568452
0.523, 0.4,-0.4,,,0.2762876,1.752337,1.252121,,,0.275051,1.750802,1.251725,,45.0005395849294,12.8971248319489,40.3087530010143
0.534, 0.31,-0.31,,,0.2716559,1.756302,1.25111,,,0.2707187,1.755135,1.250808,,45.0005395849294,12.9691303917227,40.2315479598795
0.546, 0.21,-0.21,,,0.2670216,1.760276,1.250175,,,0.2663792,1.759474,1.249967,,45.0005395849294,13.0317367576865,40.1553537867137
0.557, 0.2,-0.2,,,0.2631513,1.764091,1.248734,,,0.2625351,1.763318,1.248535,,45.0005395849294,13.0967627180965,40.0503225556746
0.568, 0.2,-0.2,,,0.2591434,1.768056,1.247879,,,0.2585475,1.767306,1.247685,,45.0005395849294,13.1516296261724,39.9719768729801
0.579, 0.01,-0.01,,,0.2543982,1.771528,1.246124,,,0.2543658,1.771488,1.246113,,45.0005395849294,13.2298557805597,39.9272596257284
0.591, 0.09,-0.09,,,0.2501523,1.776335,1.244235,,,0.249872,1.775981,1.244142,,45.0005395849294,13.3133855766899,39.9076740588284
0.602, 0.09,-0.09,,,0.2457859,1.780668,1.242403,,,0.2455204,1.780333,1.242315,,45.0005395849294,13.3768294945774,39.8973126621458
0.612, 0.08,-0.08,,,0.2413609,1.785075,1.240683,,,0.2411037,1.78475,1.240597,,45.0005395849294,13.421542472961,39.9116867948541
0.623, 0.08,-0.08,,,0.2370119,1.789405,1.239058,,,0.2367631,1.78909,1.238975,,45.0005395849294,13.4617236209564,39.9046175492599
0.634, 0.08,-0.08,,,0.2327307,1.79365,1.237247,,,0.2324979,1.793355,1.237169,,45.0005395849294,13.5313898410046,39.8881806994797
0.646, 0.07,-0.07,,,0.2286509,1.79768,1.234889,,,0.2284404,1.797413,1.234818,,45.0005395849294,13.6128270379861,39.8256195835178
0.657, 0.06,-0.06,,,0.2247742,1.80151,1.233495,,,0.2245846,1.801269,1.23343,,45.0005395849294,13.6715845924597,39.7178392014143
0.668, 0.06,-0.06,,,0.2209195,1.805326,1.231633,,,0.2207474,1.805106,1.231574,,45.0005395849294,13.7155701557169,39.5997213282896
0.68, 0.14,-0.14,,,0.2171349,1.809682,1.230439,,,0.2167138,1.80914,1.230296,,45.0005395849294,13.7600637142795,39.4567620578449
0.691, 0.05,-0.05,,,0.212765,1.813401,1.228627,,,0.2126287,1.813225,1.228581,,45.0005395849294,13.8098259098666,39.3219819387036
0.701, 0.04,-0.04,,,0.2088486,1.817294,1.227476,,,0.2087226,1.817131,1.227434,,45.0005395849294,13.8376973497728,39.2151816887187
0.712, 0.04,-0.04,,,0.2048509,1.821271,1.226245,,,0.2047344,1.821119,1.226206,,45.0005395849294,13.8669382425696,39.1213041562838
0.724, 0.03,-0.03,,,0.2009933,1.825093,1.224929,,,0.2008923,1.824961,1.224895,,45.0005395849294,13.9220331082027,39.0049518870105
0.735, 0.06,0.06,,,0.1968618,1.828549,1.223473,,,0.1970527,1.828801,1.223539,,45.0005395849294,14.0314723724548,38.8351124078351
0.746, 0.16,0.16,,,0.1928478,1.831882,1.222556,,,0.1933307,1.832523,1.222723,,45.0005395849294,14.1635212697777,38.6396767954575
0.757, 0.44,0.44,,,0.1885749,1.834232,1.221479,,,0.1898761,1.835977,1.221932,,45.0005395849294,14.3555204433248,38.378285463195
