経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.25,-0.25,,,0.483562,1.574574,1.426596,,,0.4828884,1.573559,1.426443,,46.050527461344,14.3312852252767,34.3088076425261
0.011, 0.65,0.65,,,0.4818375,1.570105,1.427236,,,0.4836142,1.572806,1.427646,,46.050527461344,14.59940087859,34.0737193680254
0.022, 1.35,1.35,,,0.4817089,1.565405,1.428373,,,0.485349,1.571007,1.429213,,46.050527461344,14.8437987006704,33.756590278592
0.035, 1.96,1.96,,,0.4811002,1.56179,1.42995,,,0.4863613,1.569957,1.431165,,46.050527461344,15.0220751707832,33.5289503251739
0.045, 2.58,2.58,,,0.4801636,1.558475,1.430636,,,0.4870532,1.569239,1.432232,,46.050527461344,15.1680567998516,33.3619795253702
0.056, 3.21,3.21,,,0.4789032,1.555387,1.430533,,,0.4874596,1.568817,1.432549,,46.050527461344,15.3186539291231,33.2651650116739
0.066, 3.68,3.68,,,0.4780505,1.553035,1.429138,,,0.4878311,1.568432,1.431514,,46.050527461344,15.48073260607,33.2323766894757
0.078, 3.97,3.97,,,0.4774367,1.551699,1.428543,,,0.4879469,1.568312,1.43117,,46.050527461344,15.6634777273229,33.1707478943097
0.088, 4.16,4.16,,,0.4774511,1.550394,1.427729,,,0.4884259,1.567815,1.430529,,46.050527461344,15.8218612720316,33.0930886456077
0.1, 4.15,4.15,,,0.4778408,1.550054,1.428079,,,0.4887732,1.567455,1.430857,,46.050527461344,15.8598320001184,33.0160919252368
0.111, 3.95,3.95,,,0.4780962,1.551124,1.428963,,,0.4885105,1.567727,1.431568,,46.050527461344,15.8383852067214,32.9462942240507
0.122, 3.68,3.68,,,0.4782991,1.55281,1.429611,,,0.4880084,1.568248,1.432001,,46.050527461344,15.7280725320535,32.9918857354918
0.133, 3.58,3.58,,,0.4781121,1.55367,1.429605,,,0.487574,1.568699,1.431901,,46.050527461344,15.658682934659,32.9964653772029
0.144, 3.49,3.49,,,0.4780152,1.554431,1.430098,,,0.487229,1.569057,1.432309,,46.050527461344,15.6094253192829,32.9963697545572
0.155, 3.39,3.39,,,0.4778467,1.555232,1.430334,,,0.4868292,1.569471,1.432478,,46.050527461344,15.5634393644281,33.0237895482172
0.166, 3.39,3.39,,,0.4778719,1.555226,1.429878,,,0.4868466,1.569453,1.432014,,46.050527461344,15.5555590338925,33.0187625291279
0.178, 3.39,3.39,,,0.4772967,1.55584,1.429589,,,0.4862657,1.570056,1.431713,,46.050527461344,15.5346091367438,33.0159860573076
0.19, 3.39,3.39,,,0.4773352,1.555792,1.428898,,,0.4863061,1.570014,1.431026,,46.050527461344,15.5453683919345,33.0148966421653
0.2, 3.4,3.4,,,0.4766311,1.556468,1.427459,,,0.4856266,1.570719,1.429602,,46.050527461344,15.5447314768121,33.0379416997836
0.211, 3.41,3.41,,,0.4758396,1.557219,1.425935,,,0.4848682,1.571505,1.428096,,46.050527461344,15.5369040802411,33.0755213995513
0.222, 3.52,3.52,,,0.4735296,1.558833,1.421638,,,0.4828742,1.573574,1.423895,,46.050527461344,15.5047817014684,33.1706078754356
0.233, 3.64,3.64,,,0.4710349,1.560602,1.416474,,,0.4807168,1.575812,1.418842,,46.050527461344,15.4639371713683,33.2979362583997
