経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.37,-0.37,,,0.0916785,1.791476,1.613691,,,0.0912215,1.790333,1.612309,,37.5063059719757,20.3575182736014,52.0858771044097
0.011, 0.29,0.29,,,0.08959903,1.789765,1.610723,,,0.08996098,1.790665,1.61182,,37.4276119496433,20.7100311570454,52.302540944137
0.022, 0.73,0.73,,,0.0868196,1.789322,1.607796,,,0.08772288,1.791553,1.610533,,37.2164703177062,21.2535827187112,52.502306896328
0.033, 1.36,1.36,,,0.08460923,1.788034,1.604535,,,0.08629316,1.792166,1.609634,,37.0700139905038,21.6414571980516,52.6583049975354
0.044, 1.99,1.99,,,0.08244883,1.78659,1.601393,,,0.08493118,1.792647,1.608904,,36.9549662873256,21.987331137807,52.7960664941664
0.055, 2.53,2.53,,,0.08083012,1.785329,1.598835,,,0.08396798,1.792992,1.608374,,36.8720648685815,22.1871500239626,52.8888341208921
0.066, 3.14,3.14,,,0.0798047,1.783846,1.595986,,,0.08366613,1.793372,1.607839,,36.7806291287069,22.1732010705183,52.8508548550691
0.079, 3.78,3.78,,,0.07942148,1.781921,1.593543,,,0.08402526,1.793421,1.607798,,36.7688846187559,21.9700388068571,52.7256370004997
0.089, 4.31,4.31,,,0.08003993,1.779914,1.592073,,,0.0852202,1.793108,1.608302,,36.8442762447166,21.4962388426017,52.4805732349938
0.1, 4.79,4.79,,,0.08026978,1.777936,1.590902,,,0.08597849,1.792695,1.608906,,36.9434608339888,21.0951786834355,52.2339487713059
0.111, 5.17,5.17,,,0.08061355,1.77498,1.591845,,,0.08670692,1.791042,1.611156,,37.3380647570217,20.3883804825073,51.8181439416793
0.123, 5.4,5.4,,,0.08110629,1.772371,1.593457,,,0.0874394,1.789273,1.613522,,37.7561064735393,19.7655304267844,51.4623593977139
0.134, 5.42,5.42,,,0.08103846,1.771578,1.594318,,,0.08740252,1.788592,1.614406,,37.9159807069929,19.5922536550049,51.3190927687651
0.144, 5.36,5.36,,,0.08142967,1.772493,1.593577,,,0.08774801,1.789317,1.613481,,37.7457519070457,19.7195700851383,51.3807249790256
0.155, 5.18,5.18,,,0.081733,1.774529,1.592389,,,0.08785203,1.790723,1.611641,,37.413753496203,20.0337826838772,51.5214063814456
0.166, 5,5,,,0.08212306,1.776462,1.591239,,,0.08804423,1.792069,1.609862,,37.0933220103978,20.3003171484416,51.6257750841536
0.177, 4.79,4.79,,,0.08256717,1.780838,1.586996,,,0.08823726,1.795772,1.604843,,36.1995678767105,20.8900237121394,51.6659024444108
0.188, 4.5,4.5,,,0.08274034,1.784313,1.584487,,,0.08808468,1.798344,1.601242,,35.5672153205692,21.3541043174763,51.6554283496101
0.2, 4.05,4.05,,,0.08278217,1.78737,1.58373,,,0.0876236,1.800063,1.598767,,35.1389966224716,21.6008517245658,51.4573050578688
0.211, 3.75,3.75,,,0.0832267,1.789764,1.582709,,,0.08771692,1.801587,1.596566,,34.7553005112396,21.6632164725944,51.1723495736255
0.221, 3.66,3.66,,,0.08444551,1.790976,1.58167,,,0.08879906,1.80263,1.595099,,34.4909346316764,21.3361375053645,50.6999532132055
0.233, 3.5,3.5,,,0.08484745,1.793059,1.579929,,,0.08898345,1.804263,1.592687,,34.0728519340249,21.3203905046713,50.3606567454377
0.244, 3.18,3.18,,,0.08633493,1.797004,1.576592,,,0.09005699,1.807306,1.588125,,33.2816291822101,21.3096995513704,49.8676605350542
0.254, 2.85,2.85,,,0.08648552,1.800956,1.573232,,,0.08980939,1.810259,1.583497,,32.4973766382493,21.5715006949717,49.4675890457429
0.266, 2.38,2.38,,,0.08604048,1.805787,1.569492,,,0.08883004,1.813619,1.578015,,31.5836988433075,22.0872328969222,49.1074126902635
0.278, 1.85,1.85,,,0.08524029,1.810625,1.566069,,,0.08742937,1.81677,1.572655,,30.7047115781949,22.6290171471894,48.7169922579808
0.288, 1.27,1.27,,,0.08321069,1.816437,1.561126,,,0.08472608,1.820696,1.56561,,29.5759921134085,23.4343766826455,48.2538542187231
0.3, 1.02,1.02,,,0.08246808,1.821127,1.554903,,,0.08367836,1.824556,1.558457,,28.4260819873118,24.0611148234453,47.8325340114952
0.311, 0.84,0.84,,,0.08172005,1.825732,1.547652,,,0.08271696,1.8286,1.550581,,27.1736404793427,24.714623889952,47.4087788418959
0.322, 0.86,0.86,,,0.08182301,1.829865,1.538997,,,0.08282584,1.832826,1.541974,,25.8042627209424,25.2496974795464,46.9198158581051
0.333, 1.19,1.19,,,0.08074757,1.832094,1.530529,,,0.08210279,1.836213,1.534584,,24.6552234439407,25.6137653351972,46.3024999630031
0.344, 1.28,1.28,,,0.08140458,1.834609,1.523814,,,0.08283845,1.839093,1.528126,,23.6368012858969,25.6876782252437,45.6141637628877
0.355, 1.57,1.57,,,0.0816565,1.836039,1.516964,,,0.0833836,1.841615,1.522187,,22.7095006790346,25.6413131949006,44.8489640310865
