経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.32,-0.32,,,0.07516548,1.847477,1.233388,,,0.07460803,1.845995,1.233641,,44.7500116682395,40.0902279347899,22.3327747756568
0.01, 1.98,1.98,,,0.07614337,1.836422,1.234812,,,0.07946432,1.84561,1.233256,,44.7500116682395,39.8351272065779,21.6536217646249
0.022, 4.03,4.03,,,0.07623978,1.826702,1.236282,,,0.08280683,1.845466,1.233113,,44.7500116682395,39.6095021589089,21.1288105339728
0.032, 5.48,5.48,,,0.07619464,1.818738,1.236351,,,0.08498389,1.844342,1.231989,,44.7500116682395,39.3958196966713,20.8580601352605
0.044, 7.05,7.05,,,0.0758243,1.811131,1.237392,,,0.08695608,1.844066,1.231712,,44.7500116682395,39.1830558948515,20.6671409853458
0.055, 8.19,8.19,,,0.07633848,1.804884,1.237494,,,0.08913916,1.84321,1.230856,,44.7500116682395,39.065064380223,20.5035067328588
0.066, 9.53,9.53,,,0.07656819,1.7982,1.238134,,,0.09126596,1.842857,1.230503,,44.7500116682395,39.0793223997186,20.232850249245
0.077, 10.29,10.29,,,0.07650133,1.792374,1.236318,,,0.0923038,1.840694,1.22834,,44.7500116682395,39.3246798633507,20.0087551639075
0.088, 10.58,10.58,,,0.07568969,1.78814,1.233386,,,0.09194165,1.837842,1.225489,,44.7500116682395,39.6334317260001,19.8702696672446
0.1, 10.11,10.11,,,0.07345762,1.786682,1.229063,,,0.08918694,1.834149,1.221796,,44.7500116682395,40.0104001010868,19.9497047650813
0.111, 9.49,9.49,,,0.0716586,1.786274,1.225131,,,0.08663359,1.830782,1.218428,,44.7500116682395,40.2369472242681,20.1342957449061
0.121, 9.18,9.18,,,0.07039344,1.785855,1.223006,,,0.08503297,1.828872,1.216519,,44.7500116682395,40.3040196800512,20.3170050076669
0.133, 8.98,8.98,,,0.07047966,1.786467,1.22261,,,0.08486721,1.828511,1.216157,,44.7500116682395,40.2095206004191,20.4571434100629
0.144, 8.9,8.9,,,0.07120393,1.787613,1.223475,,,0.08539215,1.829292,1.216939,,44.7500116682395,40.0075314217152,20.4424516735671
0.157, 9.22,9.22,,,0.072212,1.786199,1.223964,,,0.0867928,1.829374,1.21702,,44.7500116682395,39.7526970708735,20.4026675303061
0.167, 9.17,9.17,,,0.07255957,1.785393,1.223073,,,0.08695695,1.828356,1.216002,,44.7500116682395,39.5150099094658,20.3632214813997
0.178, 8.86,8.86,,,0.07256569,1.786057,1.222041,,,0.08647308,1.827549,1.215195,,44.7500116682395,39.4954106821879,20.3756814536464
