経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 1,-1,,,-0.1039944,1.586182,0.98172,,,-0.1046101,1.581342,0.9827057,,45.8734855478893,44.5454440931956,13.2915076276135
0.011, 0.77,-0.77,,,-0.1042421,1.584792,0.9816628,,,-0.1047131,1.581059,0.9824222,,45.8734855478893,44.5026290535749,13.2529059608198
0.023, 0.72,-0.72,,,-0.105325,1.584017,0.9820032,,,-0.1057672,1.580501,0.9827157,,45.8734855478893,44.5069798839551,13.204807770023
0.033, 0.86,-0.86,,,-0.1057771,1.583979,0.9814532,,,-0.1063087,1.579795,0.9822946,,45.8734855478893,44.6142309264127,13.1686248439017
0.045, 0.97,-0.97,,,-0.1061171,1.583911,0.9809368,,,-0.1067209,1.579189,0.9818803,,45.8734855478893,44.6897557410584,13.1338463753895
0.056, 0.93,-0.93,,,-0.1069131,1.58318,0.981055,,,-0.1074912,1.578674,0.9819493,,45.8734855478893,44.749840913515,13.0865857365164
0.066, 1,-1,,,-0.1072374,1.583297,0.9810165,,,-0.1078669,1.578424,0.9819835,,45.8734855478893,44.7925125191672,13.1110728177831
0.077, 0.93,-0.93,,,-0.1073231,1.583349,0.9816689,,,-0.1079094,1.578821,0.9825675,,45.8734855478893,44.8058860291899,13.1219379409029
0.089, 1.04,-1.04,,,-0.1080199,1.583385,0.9816689,,,-0.1086754,1.578335,0.9826705,,45.8734855478893,44.8244607281209,13.1266908986593
0.101, 0.98,-0.98,,,-0.1081245,1.583401,0.9822123,,,-0.108744,1.57864,0.9831554,,45.8734855478893,44.8480556159521,13.1253222995425
0.11, 1.04,-1.04,,,-0.1083346,1.583412,0.9820218,,,-0.1089955,1.578356,0.9830203,,45.8734855478893,44.8930768066134,13.1181617001706
0.122, 0.99,-0.99,,,-0.1084583,1.583403,0.9824817,,,-0.1090896,1.578588,0.9834304,,45.8734855478893,44.9244683551653,13.1082869544529
0.133, 1.15,-1.15,,,-0.1085933,1.584023,0.9823656,,,-0.1093278,1.578438,0.9834638,,45.8734855478893,44.9554398470948,13.1036629165135
0.144, 1.07,-1.07,,,-0.1085887,1.583965,0.9828353,,,-0.1092729,1.578765,0.9838551,,45.8734855478893,44.9746053573726,13.0816671466772
0.155, 1.22,-1.22,,,-0.1085329,1.585097,0.9832791,,,-0.1093133,1.579164,0.984439,,45.8734855478893,44.9902703957981,13.0513812349665
0.166, 1.23,-1.23,,,-0.1084666,1.585688,0.9839097,,,-0.1092566,1.579679,0.9850841,,45.8734855478893,44.9878969051275,13.0450581875183
