経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.69,-0.69,,,-0.1816161,1.803149,1.35812,,,-0.1819641,1.799726,1.357784,,45.8734855478893,54.0947381362463,8.22144041855398
0.01, 0.96,0.96,,,-0.1795867,1.797096,1.357389,,,-0.1791186,1.80187,1.357861,,45.8734855478893,53.9728431686157,8.10217507368066
0.022, 2.55,2.55,,,-0.1774642,1.791627,1.357038,,,-0.1762719,1.804268,1.358284,,45.8734855478893,53.8163567088962,7.95050816606011
0.033, 3.97,3.97,,,-0.1753957,1.78619,1.355866,,,-0.1736114,1.805851,1.357782,,45.8734855478893,53.6290558515937,7.76804052123449
0.045, 4.85,4.85,,,-0.1737245,1.78213,1.353904,,,-0.1716053,1.80618,1.356224,,45.8734855478893,53.487080128362,7.63028585479246
0.054, 5.49,5.49,,,-0.1728013,1.778739,1.352198,,,-0.1704684,1.805949,1.354773,,45.8734855478893,53.3180397812974,7.4629803757287
0.066, 6.04,6.04,,,-0.171937,1.775379,1.350135,,,-0.1694355,1.805329,1.352894,,45.8734855478893,53.131186301373,7.27594077315463
0.077, 6.52,6.52,,,-0.1716493,1.772017,1.348348,,,-0.1690232,1.804402,1.351218,,45.8734855478893,52.893273743729,7.03575461635398
0.088, 6.99,6.99,,,-0.1705297,1.769801,1.347209,,,-0.1678192,1.804509,1.35016,,45.8734855478893,52.6289386000162,6.77045300090045
0.099, 7.46,7.46,,,-0.1700782,1.767002,1.345996,,,-0.1672879,1.804065,1.349023,,45.8734855478893,52.3835196646833,6.52425883911831
0.11, 7.81,7.81,,,-0.1693639,1.765566,1.345698,,,-0.1665123,1.804409,1.348716,,45.8734855478893,52.1485440883007,6.2848141847088
0.121, 7.99,7.99,,,-0.1694591,1.764821,1.34606,,,-0.1665925,1.804553,1.348993,,45.8734855478893,51.9428631924531,6.07447638063733
0.132, 8.27,8.27,,,-0.1693803,1.764244,1.347095,,,-0.1664138,1.805405,1.349976,,45.8734855478893,51.7856663930797,5.91307602683354
0.143, 8.33,8.33,,,-0.1694864,1.764336,1.347782,,,-0.1664847,1.805778,1.350555,,45.8734855478893,51.6778860109761,5.80440985459666
0.154, 8.44,8.44,,,-0.1702109,1.764454,1.349488,,,-0.167144,1.806463,1.352148,,45.8734855478893,51.5573878169919,5.68706421971352
0.166, 8.51,8.51,,,-0.1706525,1.764474,1.350511,,,-0.1675663,1.806816,1.353051,,45.8734855478893,51.4199166033926,5.55527273513779
0.177, 8.55,8.55,,,-0.170547,1.76448,1.350746,,,-0.1674499,1.807029,1.353226,,45.8734855478893,51.3478342039927,5.48722996563277
0.188, 8.3,8.3,,,-0.1712553,1.763882,1.349082,,,-0.1682354,1.805216,1.35154,,45.8734855478893,51.4054673386055,5.54245247042244
0.199, 8,8,,,-0.1713975,1.763871,1.347242,,,-0.1684753,1.803711,1.349728,,45.8734855478893,51.5338953819954,5.66544965979967
0.209, 7.85,7.85,,,-0.1710233,1.763095,1.344796,,,-0.1681924,1.802141,1.347305,,45.8734855478893,51.5735070629846,5.70158904346618
0.221, 7.7,7.7,,,-0.1703748,1.761416,1.34102,,,-0.167705,1.799731,1.343532,,45.8734855478893,51.5126500791733,5.63916666571803
0.232, 7.54,7.54,,,-0.1692859,1.760242,1.33759,,,-0.1668259,1.797778,1.33999,,45.8734855478893,51.2812227859658,5.40914126879867
0.243, 7.26,7.26,,,-0.1683626,1.759184,1.333839,,,-0.1661328,1.795356,1.335994,,45.8734855478893,50.949606865706,5.07717103248552
0.255, 6.63,6.63,,,-0.1685777,1.758305,1.329181,,,-0.1666325,1.791335,1.331012,,45.8734855478893,50.6727417403094,4.79946707450484
0.265, 5.77,5.77,,,-0.1693165,1.756358,1.32211,,,-0.167669,1.785147,1.323612,,45.8734855478893,50.4739285994811,4.60040633932607
0.277, 4.93,4.93,,,-0.1700209,1.753731,1.314037,,,-0.1686562,1.778327,1.315302,,45.8734855478893,50.3743444441535,4.50093317456939
0.288, 3.83,3.83,,,-0.1710158,1.750312,1.303468,,,-0.1700062,1.769409,1.304494,,45.8734855478893,50.3606635756267,4.4924389807992
0.299, 2.99,2.99,,,-0.1707655,1.746072,1.292202,,,-0.1700404,1.760983,1.293041,,45.8734855478893,50.2917947801419,4.44422083480846
0.311, 2.13,2.13,,,-0.1703875,1.741816,1.280645,,,-0.1699193,1.75243,1.28126,,45.8734855478893,50.1799675110678,4.36690779131041
0.321, 1.63,1.63,,,-0.169384,1.736344,1.269058,,,-0.1690634,1.744463,1.269542,,45.8734855478893,50.0632669021564,4.30042700064773
0.333, 0.99,0.99,,,-0.1685311,1.731551,1.257686,,,-0.1683561,1.736506,1.257987,,45.8734855478893,49.9456271422603,4.23974632108946
0.343, 0.61,0.61,,,-0.167237,1.726228,1.246734,,,-0.1671403,1.72928,1.246921,,45.8734855478893,49.8167858724371,4.16461765740455
0.355, 0.36,0.36,,,-0.1666366,1.720979,1.237418,,,-0.1665851,1.722796,1.237526,,45.8734855478893,49.6121021841806,3.99203841867465
0.365, 0.3,0.3,,,-0.1654618,1.715776,1.228762,,,-0.1654239,1.717281,1.228846,,45.8734855478893,49.3491296631692,3.74491535119124
0.377, 0.1,0.1,,,-0.1642964,1.710568,1.219197,,,-0.1642856,1.711058,1.219223,,45.8734855478893,49.118470766222,3.54110507335054
0.388, 0.04,0.04,,,-0.1623262,1.705275,1.209613,,,-0.1623229,1.705455,1.209623,,45.8734855478893,48.9283558710597,3.41191119502125
0.399, 0.45,-0.45,,,-0.1603953,1.700549,1.198125,,,-0.1604284,1.698322,1.198003,,45.8734855478893,48.8808245859483,3.47761419791383
0.41, 0.81,-0.81,,,-0.1587254,1.695285,1.186928,,,-0.1587743,1.69124,1.186695,,45.8734855478893,48.9043272662282,3.62201421134654
0.421, 1.29,-1.29,,,-0.1571517,1.690846,1.176201,,,-0.1572239,1.684388,1.175803,,45.8734855478893,49.0277180452455,3.82822444684007
0.432, 2.01,-2.01,,,-0.1566831,1.687195,1.166195,,,-0.1567986,1.677185,1.165558,,45.8734855478893,49.1296586157711,3.95086561261673
0.444, 2.81,-2.81,,,-0.1568286,1.683742,1.156537,,,-0.1570169,1.669741,1.155626,,45.8734855478893,49.2576939232947,4.04258907420203
0.454, 3.47,-3.47,,,-0.1568588,1.68026,1.147585,,,-0.1571191,1.662929,1.146443,,45.8734855478893,49.3575649465595,4.11208880839385
