経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.48,-0.48,,,0.3970771,1.793334,1.292355,,,0.3953229,1.791674,1.292311,,36.9183803800545,10.4615690879307,46.5917004096975
0.011, 0.21,0.21,,,0.3956705,1.790128,1.292109,,,0.3964183,1.790839,1.292129,,37.1168725020007,10.1895090004815,46.4714207817607
0.022, 0.59,0.59,,,0.3947641,1.788446,1.29219,,,0.3968998,1.790482,1.292245,,37.2015941661079,10.017103077797,46.3845100420853
0.033, 0.97,0.97,,,0.3938952,1.786765,1.292422,,,0.397401,1.790118,1.292509,,37.2879789812318,9.82204910222858,46.2933714154314
0.044, 1.46,1.46,,,0.3931797,1.784312,1.292845,,,0.3984348,1.789358,1.292968,,37.4678554231131,9.49686636621424,46.1766093348193
0.055, 2.05,2.05,,,0.3923157,1.781336,1.294358,,,0.3996966,1.788478,1.294508,,37.6762410737968,8.95694846508578,45.9552087590343
0.066, 2.42,2.42,,,0.3929345,1.778638,1.295401,,,0.4015737,1.787077,1.295546,,38.0042779750311,8.28372918073022,45.6808571431824
0.077, 2.76,2.76,,,0.3929983,1.77644,1.296319,,,0.4028285,1.78614,1.296453,,38.2226357016255,7.70736709875201,45.3864111113514
0.089, 3.22,3.22,,,0.3931726,1.773431,1.297705,,,0.4045798,1.784819,1.297828,,38.5287408660452,6.99243456963548,45.0535794174532
0.1, 3.48,3.48,,,0.3936994,1.771382,1.298337,,,0.4059638,1.783741,1.29844,,38.776738197718,6.44259838033452,44.7851837263917
0.111, 3.63,3.63,,,0.3939965,1.770269,1.299508,,,0.4067172,1.783182,1.299588,,38.9054394486671,6.03045922775607,44.5714124716974
0.123, 3.58,3.58,,,0.3946765,1.770065,1.300572,,,0.4071912,1.782839,1.300629,,38.9847413578188,5.73220451179517,44.4139253892923
0.134, 3.69,3.69,,,0.3946233,1.769407,1.300959,,,0.4074961,1.782605,1.300999,,39.0382832092326,5.52495736823712,44.2866857987849
0.144, 3.74,3.74,,,0.3953777,1.768476,1.301972,,,0.4083996,1.781904,1.301996,,39.198399914395,5.15149288009717,44.1199028291781
0.155, 3.88,3.88,,,0.3956248,1.767433,1.30306,,,0.4090704,1.781388,1.303063,,39.3162377497715,4.79848736927303,43.9350198587745
0.168, 3.94,3.94,,,0.3964764,1.766339,1.303974,,,0.4100965,1.78057,1.303965,,39.5018208145456,4.38927623333292,43.7439794730054
0.177, 3.91,3.91,,,0.3976968,1.765541,1.304754,,,0.4111764,1.779696,1.304736,,39.6990220307746,4.02404126914018,43.600395240269
0.188, 3.84,3.84,,,0.3980688,1.765726,1.305619,,,0.4112741,1.779633,1.305589,,39.7138947672784,3.89204061002695,43.5179924253204
0.2, 3.74,3.74,,,0.3982331,1.766192,1.306449,,,0.41112,1.779776,1.30641,,39.6824895583486,3.86766323867071,43.4910439147
