経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.42,-0.42,,,-0.06466003,1.804397,1.551322,,,-0.06448138,1.802325,1.55161,,46.050527461344,41.7366723091617,9.08536370187136
0.011, 0.19,-0.19,,,-0.06750973,1.800181,1.548913,,,-0.0674378,1.799259,1.549037,,46.050527461344,42.1558683276168,8.60838599219309
0.022, 2.45,2.45,,,-0.06286697,1.790735,1.548229,,,-0.06397209,1.802854,1.546664,,46.050527461344,41.3782957084784,8.78268302345145
0.033, 3.08,3.08,,,-0.06486379,1.785313,1.54316,,,-0.06619981,1.800543,1.541314,,46.050527461344,41.5087762236568,8.30730443176812
0.045, 3.76,3.76,,,-0.06621064,1.780289,1.5426,,,-0.0678001,1.798883,1.540417,,46.050527461344,41.6058263788729,8.06246008608315
0.055, 3.26,3.26,,,-0.06958704,1.779609,1.541459,,,-0.07082355,1.795746,1.539598,,46.050527461344,42.0879079472664,7.67516446525881
0.067, 3.01,3.01,,,-0.07204752,1.778484,1.536749,,,-0.07307808,1.793408,1.535107,,46.050527461344,42.4768974549578,7.19022873164529
0.08, 3.02,3.02,,,-0.07375096,1.776702,1.534138,,,-0.07474588,1.791678,1.532516,,46.050527461344,42.6133612156826,7.03243599828335
0.089, 2.79,2.79,,,-0.07424797,1.777432,1.533735,,,-0.07514855,1.79126,1.532146,,46.050527461344,42.7318308435397,7.30656307167259
0.1, 3.1,3.1,,,-0.0740609,1.775973,1.532228,,,-0.07508703,1.791324,1.530486,,46.050527461344,42.6252935558305,7.29062226436702
0.111, 2.73,2.73,,,-0.07508597,1.776852,1.529931,,,-0.07597667,1.790401,1.528369,,46.050527461344,42.7000977855389,7.34277929496513
0.121, 1.93,1.93,,,-0.07759809,1.778512,1.527551,,,-0.07819533,1.788099,1.526434,,46.050527461344,42.9032071152355,7.30865737836856
0.133, 1.1,1.1,,,-0.08028059,1.780149,1.524283,,,-0.08060052,1.785604,1.523641,,46.050527461344,43.1161177661184,7.26709055578386
0.143, 0.3,0.3,,,-0.08391744,1.780592,1.517028,,,-0.08399849,1.78208,1.51686,,46.050527461344,43.3172873221447,6.89907186269499
0.155, 0.5,-0.5,,,-0.08829962,1.780226,1.508065,,,-0.08817527,1.777747,1.508326,,46.050527461344,43.5099225570406,6.42406722385831
0.166, 1.65,-1.65,,,-0.09406037,1.780204,1.500312,,,-0.09368971,1.772027,1.501134,,46.050527461344,43.7565231150671,6.06384946035815
0.178, 2.64,-2.64,,,-0.09945498,1.779718,1.492845,,,-0.09893204,1.766588,1.494112,,46.050527461344,44.0443131277371,5.72922911072078
0.189, 3.51,-3.51,,,-0.1043516,1.779076,1.485817,,,-0.1037054,1.761637,1.487447,,46.050527461344,44.1844139640937,5.50758478256663
0.2, 3.97,-3.97,,,-0.1085206,1.777136,1.479227,,,-0.1078093,1.75738,1.481028,,46.050527461344,44.2320750227958,5.36731831412722
0.21, 4.48,-4.48,,,-0.1128027,1.775304,1.473718,,,-0.1119985,1.753034,1.475755,,46.050527461344,44.2276285697698,5.38324930303613
0.222, 5.12,-5.12,,,-0.1176846,1.773588,1.468157,,,-0.1167634,1.748091,1.470525,,46.050527461344,44.2336767021116,5.45915874269881
0.233, 5.58,-5.58,,,-0.1223845,1.771068,1.461898,,,-0.1213596,1.743323,1.464486,,46.050527461344,44.1906430964434,5.4973279731528
0.245, 6.41,-6.41,,,-0.1284519,1.76907,1.453717,,,-0.1273014,1.73716,1.456619,,46.050527461344,44.228075947148,5.35529333954122
0.255, 6.86,-6.86,,,-0.1332516,1.76641,1.44543,,,-0.1319966,1.732289,1.448493,,46.050527461344,44.1807598129894,5.30954259931949
0.267, 7.37,-7.37,,,-0.1384043,1.763747,1.437302,,,-0.1370599,1.727037,1.440513,,46.050527461344,44.1779799260746,5.18700900901926
0.278, 10.38,-10.38,,,-0.1470163,1.769622,1.4358,,,-0.1457825,1.717988,1.440891,,46.050527461344,44.9599375265381,5.54990804858086
0.289, 9.58,-9.58,,,-0.1487305,1.764065,1.423521,,,-0.1473087,1.716405,1.427888,,46.050527461344,44.5850489439959,5.26704217527859
0.3, 12.35,-12.35,,,-0.1578088,1.768238,1.421838,,,-0.1565464,1.706823,1.428029,,46.050527461344,45.1618105920294,5.62918349075022
0.311, 9.7,-9.7,,,-0.1575303,1.755883,1.409184,,,-0.1557925,1.707605,1.413502,,46.050527461344,44.2236738903504,5.27514619450329
0.322, 8.74,-8.74,,,-0.1620253,1.746706,1.399051,,,-0.1600515,1.703187,1.402449,,46.050527461344,43.6358200154135,4.94462609268794
0.333, 7.25,-7.25,,,-0.1647907,1.736395,1.392137,,,-0.1628558,1.700278,1.394758,,46.050527461344,43.1440464088574,4.95578704836798
0.344, 6.83,-6.83,,,-0.1695953,1.729272,1.385233,,,-0.1677054,1.695247,1.387606,,46.050527461344,43.0194296109183,4.901288970497
0.356, 7.98,-7.98,,,-0.1781635,1.726121,1.377145,,,-0.1763033,1.686328,1.379768,,46.050527461344,43.504495971896,4.41871776293097
0.366, 7.9,-7.9,,,-0.1839532,1.719623,1.366168,,,-0.1821675,1.680245,1.368499,,46.050527461344,43.5588984271213,4.06794188192197
0.378, 9.01,-9.01,,,-0.1919526,1.716735,1.358615,,,-0.1902978,1.671811,1.361282,,46.050527461344,44.0447400145483,3.78635923037431
0.389, 5.17,-5.17,,,-0.1888955,1.700555,1.355355,,,-0.1874379,1.674778,1.357016,,46.050527461344,42.941182965964,4.71534219815972
0.4, 5.15,-5.15,,,-0.1945402,1.694547,1.350833,,,-0.193102,1.668902,1.352503,,46.050527461344,42.970129306861,4.7249292221667
0.411, 4.49,-4.49,,,-0.1987069,1.686708,1.343148,,,-0.1975082,1.664331,1.344568,,46.050527461344,43.1070131242081,4.55831658039759
0.422, 3.4,-3.4,,,-0.2027949,1.676806,1.334411,,,-0.2018175,1.659861,1.335405,,46.050527461344,42.8545795847928,4.52744455309504
0.433, 3.74,-3.74,,,-0.2092822,1.671826,1.325286,,,-0.2082713,1.653166,1.326267,,46.050527461344,43.033988158729,4.14685148209409
0.479, 4.5,-4.5,,,-0.2161641,1.668511,1.315145,,,-0.2151106,1.646072,1.316223,,46.050527461344,43.4316964026533,3.66719633833569
0.502, 5.59,-5.59,,,-0.2351238,1.654169,1.296088,,,-0.234189,1.626281,1.297537,,46.050527461344,44.2094227010438,3.33113609948398
0.524, 11.42,-11.42,,,-0.2602798,1.655959,1.278325,,,-0.2605318,1.598954,1.281418,,46.050527461344,46.3837314005416,2.8670326557027
0.536, 10.92,-10.92,,,-0.2605575,1.653347,1.267557,,,-0.2606806,1.5988,1.26943,,46.050527461344,46.2116584495699,1.72146941128324
0.546, 9.88,-9.88,,,-0.2624888,1.646622,1.266515,,,-0.2621865,1.597238,1.26791,,46.050527461344,45.7216538619596,1.41194616416587
0.556, 5.3,-5.3,,,-0.2580796,1.628751,1.267028,,,-0.2573207,1.602285,1.267667,,46.050527461344,44.4245326727782,1.99507899113555
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.33,0.33,,,-0.05371351,1.811836,1.541583,,,-0.05373475,1.813473,1.541421,,46.050527461344,45.5839709125019,5.44539292369654
0.011, 2.07,2.07,,,-0.05356388,1.803126,1.542251,,,-0.05376479,1.813442,1.541312,,46.050527461344,45.170645441475,5.07767262448873
0.023, 3.65,3.65,,,-0.05388103,1.794667,1.542713,,,-0.05433077,1.812855,1.541181,,46.050527461344,44.837704464553,4.77819487781361
0.033, 4.93,4.93,,,-0.05481672,1.787044,1.543423,,,-0.05555049,1.81159,1.541472,,46.050527461344,44.5216033185612,4.62084183786725
0.044, 6.26,6.26,,,-0.0549269,1.779946,1.545362,,,-0.05599263,1.811131,1.542879,,46.050527461344,44.2787354588123,4.72409978109244
0.055, 4.3,4.3,,,-0.06296095,1.78204,1.545245,,,-0.06337357,1.803475,1.543514,,46.050527461344,45.1331477039751,4.50419587046774
0.066, 5.62,5.62,,,-0.06247704,1.775721,1.542764,,,-0.06311041,1.803748,1.540647,,46.050527461344,44.919280826635,4.27049241678268
0.077, 2.86,2.86,,,-0.07049455,1.781757,1.54465,,,-0.07057326,1.796006,1.543567,,46.050527461344,45.8939590393567,4.1085153388969
0.088, 5.17,5.17,,,-0.06634638,1.774205,1.542857,,,-0.06671952,1.800004,1.541056,,46.050527461344,45.3593908837468,3.83292745883957
