経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.11,0.11,,,-0.1977932,1.791429,1.314433,,,-0.1978064,1.792003,1.314405,,36.8595587925592,35.629609096901,2.83082219538211
0.01, 1,1,,,-0.1967948,1.787677,1.313528,,,-0.1968898,1.792683,1.313316,,36.695624011757,35.6612909284845,2.42946620365574
0.021, 1.88,1.88,,,-0.1958947,1.783922,1.312544,,,-0.1960474,1.7933,1.312191,,36.5461828919703,35.6450180032398,2.12495140605132
0.032, 2.44,2.44,,,-0.1943787,1.782194,1.31192,,,-0.1945453,1.794401,1.311485,,36.2798362576029,35.5196532996074,1.95474629832216
0.052, 2.87,2.87,,,-0.1921562,1.781659,1.312026,,,-0.1923388,1.79601,1.311519,,35.8886918252883,35.181405265848,1.91662957494596
0.059, 3.11,3.11,,,-0.1893228,1.782468,1.312293,,,-0.1895327,1.798023,1.31169,,35.3938309733133,34.6516899595084,2.1136850093289
0.066, 3.34,3.34,,,-0.187414,1.782669,1.313384,,,-0.187637,1.799371,1.3127,,35.0601967322099,34.3414217949054,2.2292338776235
0.077, 3.56,3.56,,,-0.1853842,1.78303,1.314039,,,-0.1855995,1.800795,1.313261,,34.7041458108743,34.0708711792207,2.36297730214365
0.088, 3.48,3.48,,,-0.1836018,1.784696,1.315392,,,-0.1837795,1.802053,1.314578,,34.3877953629847,33.8873200956682,2.50459998998239
0.1, 3.29,3.29,,,-0.1818591,1.786863,1.316154,,,-0.1819953,1.803268,1.315358,,34.0793815946898,33.7060127291955,2.57389823359929
0.111, 3.15,3.15,,,-0.1799044,1.788861,1.316367,,,-0.1800111,1.804602,1.315601,,33.7372369381173,33.4554404162772,2.56330589115183
0.121, 2.88,2.88,,,-0.1772123,1.792002,1.317582,,,-0.1772938,1.806396,1.316887,,33.2730333893788,33.069999191761,2.53543551846257
0.133, 2.64,2.64,,,-0.1750313,1.794615,1.318681,,,-0.1750934,1.807822,1.318033,,32.9002689956093,32.7711920842663,2.57199623941178
0.144, 2.36,2.36,,,-0.1720492,1.797971,1.319904,,,-0.1720795,1.809739,1.319316,,32.3927313128875,32.407378653155,2.6156889583165
