経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,0.08080104,1.538032,0.9210585,,,0.08054255,1.533451,0.9210981,,44.7500116682395,44.5976643030418,3.23863762489285
0.01, 0.15,0.15,,,0.08159132,1.532843,0.9212226,,,0.08163224,1.533573,0.9212194,,44.7500116682395,44.8491108801495,3.20778245961935
0.022, 1.08,1.08,,,0.08235301,1.528373,0.9214233,,,0.08265466,1.53377,0.9214169,,44.7500116682395,45.0225157179724,3.20387409741899
0.034, 2.14,2.14,,,0.08174676,1.523962,0.922294,,,0.08234788,1.534667,0.9223136,,44.7500116682395,45.1943222915739,3.23355596429177
0.044, 2.9,2.9,,,0.08130765,1.518727,0.9207624,,,0.08211254,1.533217,0.9208633,,44.7500116682395,45.4859986817735,3.24485800606293
0.056, 3.77,3.77,,,0.08149445,1.513347,0.9196006,,,0.08249605,1.53216,0.9198067,,44.7500116682395,45.7068255216841,3.17095279997905
0.066, 4.9,4.9,,,0.08220348,1.508588,0.9203928,,,0.08342016,1.533036,0.9206823,,44.7500116682395,45.7476598065007,2.99623955407973
0.077, 6.34,6.34,,,0.08379322,1.503761,0.9227791,,,0.08519818,1.535426,0.9230731,,44.7500116682395,45.5872050069839,2.65800155216045
0.088, 7.82,7.82,,,0.08662894,1.498865,0.925377,,,0.08809442,1.537923,0.9255698,,44.7500116682395,45.3227400896804,2.21372764109178
0.099, 9.05,9.05,,,0.0884732,1.495259,0.9280381,,,0.08989906,1.540471,0.9281178,,44.7500116682395,45.1291964396502,1.84004949610281
0.11, 9.94,9.94,,,0.08990936,1.491838,0.9291081,,,0.09130071,1.541502,0.9291489,,44.7500116682395,45.0695244936269,1.63194836547886
0.122, 10.33,10.33,,,0.09032514,1.49049,0.9296968,,,0.0917208,1.542103,0.9297497,,44.7500116682395,45.0797253808684,1.57929539912778
0.133, 10.17,10.17,,,0.08894186,1.49145,0.9298383,,,0.09049298,1.5423,0.9299469,,44.7500116682395,45.148836648062,1.7862982567081
0.145, 9.09,9.09,,,0.08697819,1.495617,0.9285457,,,0.08858213,1.541058,0.9287049,,44.7500116682395,45.2361093877532,2.07112631523827
0.156, 9.17,9.17,,,0.08597683,1.495217,0.9284327,,,0.08770858,1.541027,0.9286739,,44.7500116682395,45.3421378263834,2.23396975990747
0.166, 9.02,9.02,,,0.08489967,1.496087,0.9284841,,,0.08672091,1.541129,0.9287759,,44.7500116682395,45.4174577353598,2.39726890624769
0.177, 8.83,8.83,,,0.08437053,1.497452,0.9289277,,,0.08621111,1.54158,0.9292263,,44.7500116682395,45.4369306041416,2.47195531519615
0.188, 8.85,8.85,,,0.08435991,1.498797,0.9304254,,,0.08621086,1.542991,0.9306374,,44.7500116682395,45.3245056935317,2.45495220006079
0.199, 8.81,8.81,,,0.08460217,1.501568,0.9331775,,,0.08649293,1.545582,0.9332289,,44.7500116682395,45.1196273448893,2.48009754079046
0.21, 8.56,8.56,,,0.08497883,1.505669,0.936306,,,0.08684973,1.54845,0.9360965,,44.7500116682395,44.7746174240398,2.50413105482024
0.222, 8.5,8.5,,,0.08576535,1.508959,0.9394822,,,0.0876147,1.551436,0.9390831,,44.7500116682395,44.5169382994878,2.50936255269206
0.232, 8.19,8.19,,,0.08617979,1.512873,0.9419253,,,0.08799453,1.553791,0.9414375,,44.7500116682395,44.374709859264,2.57579852023956
0.244, 7.79,7.79,,,0.08569516,1.516918,0.9439683,,,0.08753594,1.555847,0.9434932,,44.7500116682395,44.3664009343699,2.74402372693815
0.255, 7,7,,,0.08491793,1.521766,0.944733,,,0.0867474,1.556699,0.9443455,,44.7500116682395,44.44450756045,3.02226065310267
0.266, 6.27,6.27,,,0.08363117,1.526666,0.9459696,,,0.08542223,1.557973,0.9456193,,44.7500116682395,44.4545240325891,3.29728760389002
0.278, 5.97,5.97,,,0.08344366,1.530958,0.9488152,,,0.08525957,1.560763,0.9484096,,44.7500116682395,44.3291524987677,3.52620032033586
0.289, 5.75,5.75,,,0.08376755,1.535014,0.9518781,,,0.08554537,1.563719,0.9513661,,44.7500116682395,44.0916565826515,3.62639022804863
0.3, 6.07,6.07,,,0.08475475,1.537649,0.9562401,,,0.08660948,1.567921,0.9555679,,44.7500116682395,43.8398787413783,3.65098232347092
0.31, 6.07,6.07,,,0.08620183,1.540639,0.9593513,,,0.08800106,1.570946,0.9585928,,44.7500116682395,43.6721907717317,3.59646290125937
0.322, 6.23,6.23,,,0.08722863,1.543087,0.9626309,,,0.08904501,1.57415,0.9617969,,44.7500116682395,43.5650797481482,3.58435639129242
0.333, 6.4,6.4,,,0.08722624,1.545592,0.9660405,,,0.08910003,1.57752,0.9651662,,44.7500116682395,43.5353171996681,3.60684606916932
0.344, 6.26,6.26,,,0.08753939,1.548745,0.9684947,,,0.0894043,1.580003,0.9676496,,44.7500116682395,43.5586866912629,3.65146470556763
0.356, 6.27,6.27,,,0.08673694,1.550775,0.9705374,,,0.08866987,1.582078,0.9697243,,44.7500116682395,43.6266675621803,3.74266651146959
0.366, 6.26,6.26,,,0.08680484,1.553424,0.9731236,,,0.0887781,1.584656,0.9723024,,44.7500116682395,43.6140556182289,3.82571691371081
0.377, 6.38,6.38,,,0.08722599,1.556085,0.9764475,,,0.08925769,1.587903,0.9755493,,44.7500116682395,43.5060839908339,3.89927890279844
0.388, 6.67,6.67,,,0.08761887,1.558218,0.9801608,,,0.08976684,1.591476,0.9791228,,44.7500116682395,43.3389287759277,4.00032044969964
0.4, 6.77,6.77,,,0.08747271,1.560236,0.9827465,,,0.08966906,1.593987,0.9816341,,44.7500116682395,43.2412707338924,4.06514876151598
0.411, 7.12,7.12,,,0.08754525,1.561572,0.9859495,,,0.08985514,1.597074,0.984721,,44.7500116682395,43.1473009939063,4.10326889998668
0.422, 7.3,7.3,,,0.08843327,1.563371,0.9887223,,,0.09078139,1.599792,0.987439,,44.7500116682395,43.1092021997762,4.0879197578015
0.433, 7.51,7.51,,,0.08818402,1.563179,0.989571,,,0.09056409,1.600641,0.9882872,,44.7500116682395,43.1603773907084,4.01624759662725
0.444, 7.76,7.76,,,0.08905143,1.564307,0.9919775,,,0.09149455,1.603024,0.9906704,,44.7500116682395,43.187933788148,3.98147766585122
0.455, 7.8,7.8,,,0.08893938,1.566234,0.9941194,,,0.0914124,1.60514,0.9927867,,44.7500116682395,43.1615419379295,4.01722260610414
0.466, 8.02,8.02,,,0.08877493,1.57035,0.9994173,,,0.09140918,1.61032,0.9979663,,44.7500116682395,43.0540518388576,4.18801788484984
0.478, 7.98,7.98,,,0.08856372,1.573253,1.002204,,,0.09127948,1.613031,1.000678,,44.7500116682395,42.9466573624315,4.36062401744886
0.489, 8.11,8.11,,,0.08825705,1.575498,1.00516,,,0.09111641,1.615916,1.003562,,44.7500116682395,42.8902707373075,4.51657259978622
