経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.48,-0.48,,,-0.09234748,1.803842,1.522976,,,-0.09243436,1.801435,1.52288,,34.7297316987932,34.3679160979586,3.26164789123607
0.01, 0.3,0.3,,,-0.09124126,1.800122,1.523615,,,-0.09119648,1.8016,1.523674,,34.6891876970083,34.0667491601713,3.06286015017309
0.022, 1.04,1.04,,,-0.08947369,1.796689,1.524551,,,-0.08933879,1.801895,1.524746,,34.6159441654818,33.8787003971755,2.81730567827761
0.033, 1.15,1.15,,,-0.08833811,1.795454,1.526848,,,-0.08820363,1.801221,1.527033,,34.7880922485324,34.1388076539098,2.47851869991906
0.043, 1.03,1.03,,,-0.08801384,1.795061,1.529078,,,-0.08789584,1.800208,1.529218,,35.0439750333826,34.5678323143071,2.23125219846708
0.055, 1.05,1.05,,,-0.08885704,1.794728,1.528772,,,-0.08872539,1.799997,1.52891,,35.0963489224808,34.7448639824783,2.26425332374071
0.066, 0.89,0.89,,,-0.08992827,1.79572,1.527499,,,-0.08979821,1.800189,1.527623,,35.0470315429511,34.8146480232864,2.48191202318166
0.077, 0.69,0.69,,,-0.09059817,1.796984,1.526435,,,-0.0904922,1.80044,1.526539,,34.9831248797602,34.7258521514526,2.64722799626161
0.088, 1.26,1.26,,,-0.091848,1.794078,1.525469,,,-0.09163585,1.80036,1.525684,,35.002116220219,34.7305274158094,2.93271431425472
0.1, 1.47,1.47,,,-0.09159401,1.793481,1.524784,,,-0.09133904,1.800827,1.525048,,34.8848111395829,34.5832378055513,3.0450397602376
0.119, 1.38,1.38,,,-0.0900383,1.794133,1.525833,,,-0.08980389,1.801002,1.526064,,34.8419892697731,34.5830465602599,2.92676756753065
0.127, 1.09,1.09,,,-0.08788468,1.794564,1.529581,,,-0.08769041,1.800025,1.529736,,35.0901607712649,35.0543159394982,2.76972658184331
0.132, 0.66,0.66,,,-0.08648451,1.796363,1.531497,,,-0.0863584,1.799635,1.531576,,35.1891404548678,35.4233988614075,2.74288201816147
0.144, 0.23,0.23,,,-0.08561739,1.798013,1.533091,,,-0.08557041,1.799152,1.533116,,35.3107929507896,35.7184561951522,2.80428264232691
0.156, 0.09,-0.09,,,-0.08559137,1.799734,1.532831,,,-0.0856116,1.799294,1.532821,,35.2752144963931,35.8337292945667,3.05985465357851
0.166, 0.23,-0.23,,,-0.08533581,1.801247,1.531564,,,-0.08539376,1.800087,1.531534,,35.0766711480295,35.6703443439774,3.34614821453168
0.178, 0.36,-0.36,,,-0.08490214,1.802723,1.530351,,,-0.0849984,1.800924,1.530299,,34.8662330255574,35.4829854300685,3.61145772739122
0.189, 0.44,-0.44,,,-0.08387455,1.804064,1.529433,,,-0.08399715,1.801859,1.529364,,34.6301168076152,35.2309104755747,3.78775515024708
0.199, 0.53,-0.53,,,-0.08196944,1.805494,1.529123,,,-0.08212144,1.802842,1.52904,,34.3813237589262,35.0418986559326,3.86193783275827
0.21, 0.79,-0.79,,,-0.07962377,1.807509,1.529599,,,-0.07985201,1.803574,1.529484,,34.1956860526403,34.9367274060194,3.83435752965725
0.222, 0.92,-0.92,,,-0.07790995,1.808929,1.529506,,,-0.07818002,1.804327,1.529382,,34.0030678932168,34.8466611190354,3.80451942221155
0.233, 1.24,-1.24,,,-0.07546985,1.811615,1.529314,,,-0.07583604,1.805402,1.52917,,33.726445239529,34.7116795093192,3.7216803289419
0.244, 1.51,-1.51,,,-0.07341211,1.81382,1.529145,,,-0.07386451,1.806286,1.529002,,33.4975656068111,34.6737207340632,3.68875711051132
0.255, 1.81,-1.81,,,-0.07173366,1.81667,1.527773,,,-0.0722952,1.807622,1.527624,,33.1475935536676,34.507583217315,3.7459612238788
0.266, 2,-2,,,-0.07087198,1.819426,1.524764,,,-0.07151637,1.809467,1.524599,,32.6577733811598,34.1372264651609,3.8907825745942
0.277, 2.16,-2.16,,,-0.06962134,1.822165,1.521779,,,-0.07034981,1.811416,1.521585,,32.1332456033504,33.6929397474879,4.08202274339094
0.288, 2.26,-2.26,,,-0.06907639,1.824331,1.518805,,,-0.06987868,1.813052,1.518585,,31.6861858289516,33.3489441097019,4.29021330680184
0.299, 2.52,-2.52,,,-0.0685619,1.827205,1.51575,,,-0.06949776,1.814658,1.515504,,31.2418171490108,33.0724409843213,4.47968957929451
0.31, 2.63,-2.63,,,-0.06788439,1.829485,1.512508,,,-0.06889942,1.816381,1.512268,,30.7587144673648,32.7891520661891,4.61570937773563
0.322, 2.72,-2.72,,,-0.06679308,1.831673,1.509539,,,-0.06787045,1.818097,1.509314,,30.2709877477793,32.4755985806867,4.69239617828159
0.332, 2.8,-2.8,,,-0.06487697,1.833638,1.507506,,,-0.06598311,1.819674,1.507309,,29.8173129353534,32.1154153950183,4.65004174953014
0.343, 2.77,-2.77,,,-0.06202981,1.834944,1.506421,,,-0.06311113,1.821153,1.50627,,29.3870656711287,31.7501539638433,4.5680606987511
0.355, 2.56,-2.56,,,-0.05968573,1.835567,1.504479,,,-0.0606707,1.822818,1.504372,,28.8948720079503,31.3062121707137,4.47737158390944
0.366, 2.36,-2.36,,,-0.05807687,1.836092,1.502299,,,-0.05897579,1.824309,1.502208,,28.4469311391731,30.8486099996243,4.41703326757379
0.377, 2.12,-2.12,,,-0.05799188,1.83531,1.501443,,,-0.05879514,1.824732,1.50134,,28.3184826052162,30.6343025750951,4.41636817792187
0.388, 2.06,-2.06,,,-0.0579555,1.835216,1.500947,,,-0.05873268,1.824962,1.500835,,28.2481179983448,30.5157714755371,4.42168676070319
0.399, 1.78,-1.78,,,-0.05670126,1.835229,1.498651,,,-0.05737394,1.826348,1.498556,,27.8226757720675,30.1120458351215,4.41556947269803
0.41, 1.45,-1.45,,,-0.05425761,1.835912,1.494822,,,-0.05480352,1.828704,1.494754,,27.0858008339661,29.4347677109646,4.40224206645091
0.422, 1.11,-1.11,,,-0.05233055,1.83594,1.492128,,,-0.05274935,1.830392,1.492081,,26.5459017158573,28.9278037641171,4.3794031951624
0.432, 0.73,-0.73,,,-0.04947896,1.835898,1.489635,,,-0.04975076,1.832256,1.489608,,25.938745726863,28.3212983506232,4.32032889067486
0.444, 0.35,-0.35,,,-0.04654387,1.835837,1.487185,,,-0.04667353,1.834077,1.487174,,25.3322830020502,27.7076690500232,4.25606748454385
0.455, 0.07,0.07,,,-0.04453394,1.835266,1.484707,,,-0.04450971,1.835597,1.484709,,24.814998639654,27.2297385289822,4.22799668849671
0.466, 0.31,0.31,,,-0.04410094,1.834751,1.483089,,,-0.04398548,1.836318,1.483096,,24.5650734871416,27.036452718586,4.24154735654611
0.477, 0.71,0.71,,,-0.04158519,1.834203,1.481149,,,-0.04132523,1.837741,1.48116,,24.0672619935273,26.5693360942475,4.22299101374803
0.488, 1.12,1.12,,,-0.03865872,1.833563,1.479454,,,-0.03825338,1.839158,1.479462,,23.5619885184523,26.0639396757709,4.15694564763283
0.499, 1.6,1.6,,,-0.03641571,1.832278,1.478021,,,-0.03584358,1.840278,1.478026,,23.1553395571533,25.6370750626385,4.10045187391926
0.511, 1.96,1.96,,,-0.03484439,1.831557,1.476214,,,-0.03415548,1.841311,1.47622,,22.7731068139104,25.2195865914283,4.05004209103959
0.521, 2.22,2.22,,,-0.033642,1.830952,1.47499,,,-0.03285789,1.842038,1.474998,,22.5005293396459,24.9444631642216,4.05622682716093
0.532, 2.51,2.51,,,-0.03245528,1.830309,1.473517,,,-0.03156839,1.84283,1.473533,,22.1995007131856,24.6207190367612,4.06428132751553
0.544, 3,3,,,-0.0298637,1.829062,1.471816,,,-0.02880557,1.844039,1.471835,,21.7337876926825,24.1296404019339,4.0540053081952
0.555, 3.57,3.57,,,-0.02653457,1.82785,1.469324,,,-0.02528646,1.845639,1.469327,,21.1021044950612,23.5024565913031,4.02189957800816
0.566, 4.08,4.08,,,-0.02259336,1.826685,1.467703,,,-0.02117386,1.847055,1.467671,,20.5283549603678,22.9383171325045,3.98953600818712
0.577, 4.47,4.47,,,-0.01834215,1.82615,1.466116,,,-0.0168123,1.848466,1.466009,,19.9409040665807,22.392035202794,3.9217630311468
0.588, 4.81,4.81,,,-0.01492006,1.825616,1.464732,,,-0.01329189,1.84959,1.464563,,19.4606632341172,21.9445400038477,3.88806373249337
0.599, 5.15,5.15,,,-0.01263915,1.825059,1.462304,,,-0.01088312,1.850748,1.462123,,18.9515870513277,21.4428028591171,3.91336531379596
0.61, 5.16,5.16,,,-0.01187331,1.825762,1.460174,,,-0.01008476,1.851488,1.460012,,18.618570942327,21.1362742229806,3.97832894873146
0.622, 5.29,5.29,,,-0.01007423,1.825955,1.45826,,,-0.008193761,1.852356,1.458101,,18.2214108210684,20.7846868301434,4.07510845770918
0.632, 5.53,5.53,,,-0.006888844,1.826403,1.454482,,,-0.004843727,1.853953,1.454289,,17.466992542572,20.1797848035125,4.24786869644705
0.644, 5.53,5.53,,,-0.004521022,1.827317,1.45246,,,-0.0024205,1.854882,1.452245,,17.0139000037566,19.8185514762884,4.36188162599479
0.655, 5.53,5.53,,,-0.001448067,1.828076,1.451451,,,0.0006604344,1.855637,1.451192,,16.6379681098477,19.4741289516912,4.38409681565206
0.666, 5.55,5.55,,,0.001022294,1.828799,1.449647,,,0.00314495,1.856469,1.449352,,16.2122680439363,19.0850267458817,4.40117442253598
0.677, 5.56,5.56,,,0.004013292,1.829588,1.448029,,,0.006152287,1.857306,1.447686,,15.7731381189432,18.69572134195,4.43597167406794
0.688, 5.57,5.57,,,0.006053932,1.830373,1.445797,,,0.008228883,1.858123,1.445446,,15.3317303259252,18.3009381264564,4.50615229272369
0.699, 5.61,5.61,,,0.008579465,1.83111,1.443107,,,0.01081062,1.859077,1.442772,,14.7996637270292,17.7736099711652,4.58163356491468
0.711, 5.61,5.61,,,0.01035964,1.831862,1.440866,,,0.01264071,1.859798,1.440567,,14.3839493974066,17.3655813116923,4.68178078394632
0.721, 5.63,5.63,,,0.01232583,1.832568,1.438089,,,0.01465631,1.860636,1.437819,,13.8858484745342,16.8719362333557,4.7557162989938
0.732, 5.63,5.63,,,0.01496435,1.833361,1.435873,,,0.01732731,1.861406,1.435592,,13.4124608829385,16.4281447043837,4.82661536815288
0.743, 5.44,5.44,,,0.01651434,1.834828,1.434207,,,0.01882287,1.861915,1.433891,,13.089510764947,16.2036534680854,4.88876197702097
0.755, 5.25,5.25,,,0.01894422,1.836287,1.432954,,,0.02117787,1.86242,1.432576,,12.7624471656423,15.9594366460129,4.91856593352177
0.766, 5.05,5.05,,,0.02124832,1.837763,1.431559,,,0.02341338,1.862919,1.431136,,12.4303830142307,15.7116356822733,4.96972234143432
0.777, 4.87,4.87,,,0.0235062,1.839191,1.429833,,,0.02560937,1.863456,1.429384,,12.0629862952258,15.4041900932662,5.01840707470975
0.787, 4.74,4.74,,,0.02511147,1.840469,1.427294,,,0.02716992,1.864061,1.426863,,11.633250441401,14.9864181692134,5.04865072462613
0.8, 4.68,4.68,,,0.02583817,1.840973,1.426353,,,0.02786525,1.864285,1.425948,,11.4698543917546,14.7705432163132,5.02441550657804
0.81, 4.53,4.53,,,0.02765165,1.842202,1.424534,,,0.02961586,1.864747,1.424145,,11.1266997209868,14.4052151907956,5.03287042676159
0.822, 4.48,4.48,,,0.02992661,1.842904,1.422875,,,0.03188277,1.865204,1.422485,,10.7763972574515,14.0394150284648,5.06821025143064
0.832, 4.31,4.31,,,0.03254813,1.844368,1.420294,,,0.03445964,1.865815,1.419901,,10.2889121558012,13.5985126694314,5.1542684981439
0.844, 4.08,4.08,,,0.03383537,1.845845,1.418802,,,0.03567447,1.866134,1.418415,,10.0244822432162,13.4079111233043,5.24624254228741
0.855, 3.85,3.85,,,0.03565768,1.847371,1.416802,,,0.03742729,1.866555,1.416414,,9.66420087358117,13.1316521771797,5.34676072595802
0.866, 3.78,3.78,,,0.03684349,1.848054,1.415268,,,0.0385801,1.866856,1.414874,,9.39780898921172,12.8895954023721,5.36063283977629
0.877, 3.84,3.84,,,0.03834948,1.847986,1.41419,,,0.04010359,1.8671,1.413786,,9.17782994650824,12.6126474609342,5.32921354358173
0.889, 3.78,3.78,,,0.04040189,1.84859,1.412701,,,0.04212055,1.867416,1.412289,,8.88307655617318,12.2755545828861,5.31035453803448
0.899, 3.82,3.82,,,0.04241671,1.848596,1.41181,,,0.0441472,1.867633,1.41138,,8.67563774043688,12.0083994248981,5.29657292422019
0.91, 3.76,3.76,,,0.04380491,1.849202,1.410234,,,0.04549911,1.867907,1.409801,,8.40489844078169,11.7198145489855,5.2841650321645
0.922, 3.79,3.79,,,0.04493474,1.849247,1.409076,,,0.04664823,1.868107,1.408638,,8.20164226202199,11.4999046619455,5.30086270978641
0.932, 3.83,3.83,,,0.04593334,1.849307,1.407169,,,0.04767847,1.868395,1.406729,,7.89896158360208,11.2031209979361,5.33083144459635
0.943, 3.76,3.76,,,0.0469951,1.84996,1.405277,,,0.04871288,1.868666,1.404848,,7.60114143841503,10.9060555886314,5.35144965069275
0.955, 3.93,3.93,,,0.04889119,1.849311,1.40398,,,0.05068574,1.86888,1.403537,,7.35954057872191,10.5649593660674,5.34162741205278
0.966, 4.01,4.01,,,0.0515608,1.849243,1.40159,,,0.05338418,1.869221,1.401139,,6.95615303266083,10.0342289228906,5.31643938264199
0.977, 4.08,4.08,,,0.05369288,1.849187,1.399375,,,0.0555335,1.869504,1.398907,,6.60063742738655,9.58763274756874,5.28371978922037
0.988, 4.12,4.12,,,0.05700089,1.849258,1.397076,,,0.05885071,1.869779,1.39657,,6.23529872969869,9.09480985323062,5.27852543050112
