経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.48,-0.48,,,-0.155573,1.534424,1.011384,,,-0.1555874,1.5321,1.011987,,44.8235181620417,36.1880180271454,14.3109218706066
0.01, 0.09,0.09,,,-0.1547335,1.533013,1.013192,,,-0.154732,1.533471,1.013071,,44.8235181620417,35.943647525821,14.5228020167271
0.022, 0.54,0.54,,,-0.1550101,1.531007,1.014224,,,-0.1550041,1.53361,1.013539,,44.8235181620417,35.9066074109827,14.4985411854704
0.033, 1.46,-1.46,,,-0.1625213,1.538391,1.016086,,,-0.1626686,1.531349,1.018007,,44.8235181620417,36.5327547404357,15.0533625589531
0.044, 0.86,-0.86,,,-0.1586609,1.54,1.019291,,,-0.1587291,1.535852,1.020436,,44.8235181620417,36.2334558593345,15.2036096410394
0.055, 1.14,-1.14,,,-0.1599153,1.539786,1.018042,,,-0.1600092,1.534307,1.01953,,44.8235181620417,36.3891909982663,14.965101149407
0.066, 0.95,-0.95,,,-0.1587466,1.538745,1.01689,,,-0.1588022,1.534162,1.018119,,44.8235181620417,36.2412081238268,14.7699797257224
0.077, 0.33,-0.33,,,-0.1585334,1.538504,1.021307,,,-0.1585467,1.536905,1.021742,,44.8235181620417,35.9525199413059,14.9708402156974
0.088, 0.13,-0.13,,,-0.1579515,1.539508,1.023809,,,-0.1579546,1.538903,1.023976,,44.8235181620417,35.6873310239706,15.1730684510156
0.099, 0.44,0.44,,,-0.1570949,1.53916,1.027044,,,-0.1570954,1.541264,1.026456,,44.8235181620417,35.3458728013906,15.3614467706297
0.111, 1.28,1.28,,,-0.1552184,1.538367,1.030974,,,-0.1552672,1.544514,1.029223,,44.8235181620417,34.8317576466812,15.6568353685399
0.122, 1.83,1.83,,,-0.1542689,1.537966,1.034066,,,-0.1543876,1.546767,1.03153,,44.8235181620417,34.4795794424972,15.8440406031968
0.133, 2.01,2.01,,,-0.1544708,1.538261,1.03623,,,-0.1546282,1.54793,1.033416,,44.8235181620417,34.2732906598304,15.9993198270141
0.144, 2.07,2.07,,,-0.1559404,1.537428,1.036946,,,-0.1560991,1.547352,1.034069,,44.8235181620417,34.316857020239,15.9388914375613
0.155, 1.87,1.87,,,-0.1569902,1.5388,1.03827,,,-0.1571238,1.547759,1.035669,,44.8235181620417,34.3555158898655,15.9600069667928
0.166, 1.75,1.75,,,-0.156781,1.539013,1.037382,,,-0.1568977,1.54742,1.034963,,44.8235181620417,34.4738523290375,15.8198941776054
0.178, 2.36,2.36,,,-0.1554735,1.538968,1.041104,,,-0.1556819,1.550305,1.037828,,44.8235181620417,34.2263809219161,15.8987862754183
0.188, 2.62,2.62,,,-0.1547312,1.538685,1.042091,,,-0.1549824,1.551256,1.038473,,44.8235181620417,34.1815578067352,15.8437281220509
0.2, 2.59,2.59,,,-0.1546399,1.539058,1.042299,,,-0.1548917,1.551503,1.038732,,44.8235181620417,34.201057996273,15.7815904778059
0.21, 2.68,2.68,,,-0.1542977,1.539392,1.043141,,,-0.1545686,1.552254,1.039471,,44.8235181620417,34.1955904299945,15.7187732297573
0.222, 2.94,2.94,,,-0.1532965,1.539706,1.044804,,,-0.1536302,1.553843,1.04078,,44.8235181620417,34.093943557595,15.692152568208
0.233, 3.51,3.51,,,-0.1502418,1.540467,1.047597,,,-0.1507165,1.557306,1.042763,,44.8235181620417,33.8123860923692,15.8418139615893
0.244, 4.03,4.03,,,-0.1476548,1.541546,1.051,,,-0.1482856,1.560874,1.045379,,44.8235181620417,33.5030160976171,16.0627722826378
0.255, 4.56,4.56,,,-0.145557,1.541693,1.053619,,,-0.1463435,1.563554,1.047226,,44.8235181620417,33.3016996925277,16.1694991080912
0.266, 4.78,4.78,,,-0.1448341,1.541277,1.05412,,,-0.1456642,1.564204,1.047466,,44.8235181620417,33.3501359776789,16.0546238671847
0.278, 4.97,4.97,,,-0.144071,1.5414,1.055113,,,-0.14494,1.56527,1.04825,,44.8235181620417,33.4133459615938,15.9142378704381
0.289, 4.88,4.88,,,-0.1440408,1.542314,1.055567,,,-0.1448572,1.565772,1.048876,,44.8235181620417,33.5505268921616,15.7835626948738
0.3, 4.67,4.67,,,-0.1439872,1.543684,1.055644,,,-0.1447347,1.566115,1.04924,,44.8235181620417,33.6124596307372,15.7888338932191
