経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.12,-0.12,,,0.07160692,1.628508,1.012438,,,0.07148144,1.627922,1.012542,,44.7499911776726,36.635361254387,15.4030716498208
0.011, 0.9,0.9,,,0.07201214,1.622562,1.012289,,,0.07293003,1.626912,1.011532,,44.7499911776726,36.8042991486169,15.1345547229049
0.022, 1.82,1.82,,,0.0714324,1.61755,1.012475,,,0.0732713,1.626351,1.010971,,44.7499911776726,36.9335570599679,14.9477012429806
0.033, 2.56,2.56,,,0.07115057,1.613541,1.012625,,,0.07372191,1.625909,1.010529,,44.7499911776726,36.9907837983364,14.859520088155
0.044, 3.18,3.18,,,0.070197,1.610604,1.013154,,,0.07340078,1.625938,1.010558,,44.7499911776726,37.0176127806496,14.8951941651972
0.055, 3.75,3.75,,,0.06905083,1.607647,1.013443,,,0.07286362,1.625769,1.010389,,44.7499911776726,37.0820351231085,14.9300025157863
0.066, 4.26,4.26,,,0.06780854,1.604413,1.012995,,,0.07216185,1.624967,1.009587,,44.7499911776726,37.2464992435566,14.9009059107317
0.077, 4.79,4.79,,,0.0671009,1.600904,1.012449,,,0.07199955,1.62406,1.008679,,44.7499911776726,37.4019748353071,14.794114198483
0.089, 5.45,5.45,,,0.06730525,1.597825,1.013022,,,0.07281331,1.624166,1.008786,,44.7499911776726,37.4706182345555,14.6263647571356
0.099, 5.97,5.97,,,0.06809485,1.595302,1.013441,,,0.07402749,1.624201,1.008821,,44.7499911776726,37.4650721211038,14.4323703146327
0.111, 6.7,6.7,,,0.06919058,1.592414,1.014729,,,0.07570513,1.624871,1.009491,,44.7499911776726,37.3196778882877,14.2866678695388
0.122, 7.46,7.46,,,0.07025956,1.590324,1.017013,,,0.07735648,1.626468,1.011088,,44.7499911776726,37.1228352569802,14.1883148557749
0.133, 8.18,8.18,,,0.07162337,1.588295,1.019107,,,0.07926759,1.627914,1.012534,,44.7499911776726,36.969285778522,14.1148971544294
0.144, 8.9,8.9,,,0.0723819,1.585667,1.020627,,,0.0806215,1.62882,1.01344,,44.7499911776726,36.9068305304894,14.0549204112229
