経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.007, 0.84,0.84,,,-0.1092919,1.570646,0.9783456,,,-0.109169,1.574843,0.9784038,,45.8734855478893,47.8012927271009,1.9763527473866
0.015, 2.52,2.52,,,-0.1073374,1.566534,0.9819411,,,-0.1070259,1.57913,0.9821049,,45.8734855478893,47.5801004720799,1.73087927726355
0.021, 3.27,3.27,,,-0.1067637,1.564729,0.9838705,,,-0.1063601,1.581064,0.9840761,,45.8734855478893,47.5626800750865,1.71634612921807
0.033, 4.09,4.09,,,-0.1067061,1.561739,0.9851539,,,-0.1061764,1.582195,0.9854338,,45.8734855478893,47.6547680980087,1.80775230718092
0.044, 4.16,4.16,,,-0.1084129,1.560811,0.985878,,,-0.1077953,1.581574,0.9862067,,45.8734855478893,47.8980696747578,2.05890027696416
0.056, 4.9,4.9,,,-0.1081214,1.558443,0.9871538,,,-0.1073381,1.582938,0.9876095,,45.8734855478893,48.1007179666983,2.25481165469297
0.067, 5.74,5.74,,,-0.1072697,1.556461,0.9890662,,,-0.1063643,1.585147,0.9896463,,45.8734855478893,48.1487888367391,2.29123470464555
0.077, 7.02,7.02,,,-0.1048499,1.554301,0.9921527,,,-0.1038264,1.589388,0.9928902,,45.8734855478893,48.0836868904768,2.21478824137433
0.088, 8.27,8.27,,,-0.1025394,1.552102,0.9952282,,,-0.1014751,1.593452,0.9960802,,45.8734855478893,47.9273097137809,2.05385618240247
0.099, 9.29,9.29,,,-0.1004434,1.550694,0.9979875,,,-0.09933214,1.597116,0.9989327,,45.8734855478893,47.8444117101313,1.97119680848036
0.111, 9.71,9.71,,,-0.09990536,1.549485,0.9985478,,,-0.09873419,1.598003,0.999543,,45.8734855478893,47.8584648239576,1.98534362396167
0.121, 9.66,9.66,,,-0.1005205,1.549616,0.9989316,,,-0.0992928,1.597879,0.9999326,,45.8734855478893,47.92048635499,2.04698373162821
0.133, 9.6,9.6,,,-0.1004435,1.549696,0.9985129,,,-0.09916497,1.597691,0.9995494,,45.8734855478893,48.0037326982775,2.13028663741828
0.144, 10.34,10.34,,,-0.09962912,1.547722,0.9997909,,,-0.09827887,1.59939,1.000979,,45.8734855478893,48.0399053791153,2.16699527464759
0.156, 11.75,11.75,,,-0.09762832,1.54355,1.001367,,,-0.09628284,1.60224,1.002869,,45.8734855478893,48.0144390195036,2.15984854909711
0.167, 12.57,12.57,,,-0.09566641,1.541372,1.002076,,,-0.0944295,1.604196,1.003681,,45.8734855478893,47.8826505231356,2.05118621884153
0.178, 13.42,13.42,,,-0.094128,1.539334,1.003547,,,-0.09294917,1.606424,1.005239,,45.8734855478893,47.7838689150131,1.9707995903025
0.187, 13.77,13.77,,,-0.09333764,1.538027,1.003294,,,-0.09216645,1.60687,1.005064,,45.8734855478893,47.7811504997991,1.97882698334458
0.199, 13.53,13.53,,,-0.09389365,1.538748,1.003058,,,-0.09265385,1.60634,1.00483,,45.8734855478893,47.8550428992786,2.04191018187655
0.21, 13.71,13.71,,,-0.09390362,1.538277,1.003508,,,-0.09253659,1.606798,1.005336,,45.8734855478893,47.9391464312832,2.11349974045282
0.221, 14.08,14.08,,,-0.09330828,1.537142,1.003577,,,-0.09178372,1.607518,1.005564,,45.8734855478893,48.0712047201159,2.24157901731794
0.232, 14.69,14.69,,,-0.09252368,1.535305,1.003985,,,-0.09084153,1.608692,1.006223,,45.8734855478893,48.2138839528125,2.38925410636653
0.243, 15.15,15.15,,,-0.09190928,1.533286,1.003327,,,-0.09015882,1.608955,1.005898,,45.8734855478893,48.3644793745368,2.56475623909304
0.254, 15.25,15.25,,,-0.09130301,1.532504,1.002133,,,-0.089545,1.608705,1.004944,,45.8734855478893,48.4799403041483,2.70624146937856
0.266, 15.19,15.19,,,-0.0910622,1.532482,1.001275,,,-0.08926407,1.60837,1.004206,,45.8734855478893,48.5759932517733,2.81055809189564
0.276, 14.95,14.95,,,-0.0917367,1.532634,1.00045,,,-0.08986283,1.607298,1.003344,,45.8734855478893,48.6378132922308,2.8569096753042
0.288, 14.99,14.99,,,-0.09145614,1.533397,1.001506,,,-0.08950893,1.608283,1.004333,,45.8734855478893,48.6329126316377,2.83393227924545
0.299, 14.92,14.92,,,-0.09132995,1.534204,1.00196,,,-0.08929025,1.608716,1.004704,,45.8734855478893,48.6502100852294,2.83158269423634
0.31, 14.98,14.98,,,-0.09159365,1.534302,1.002748,,,-0.08948553,1.609145,1.005484,,45.8734855478893,48.6712299918152,2.84427446602152
0.321, 15.15,15.15,,,-0.09131804,1.533597,1.002616,,,-0.08923001,1.609285,1.00542,,45.8734855478893,48.667695369018,2.84874439782208
0.333, 15.29,15.29,,,-0.09094796,1.533456,1.002948,,,-0.08890499,1.609832,1.00584,,45.8734855478893,48.6675860859944,2.86224917553927
0.344, 15.32,15.32,,,-0.09053752,1.533276,1.002457,,,-0.08856993,1.60979,1.005449,,45.8734855478893,48.6761306524083,2.89116947634079
0.354, 15.19,15.19,,,-0.0902912,1.533754,1.001993,,,-0.08839305,1.60962,1.005039,,45.8734855478893,48.6916420115817,2.92409098722413
0.366, 15.14,15.14,,,-0.09026854,1.534329,1.00239,,,-0.08838571,1.609934,1.00546,,45.8734855478893,48.7054731442661,2.94337474514857
