経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.8,-0.8,,,-0.1772153,1.536848,1.034217,,,-0.1774027,1.532937,1.034986,,44.8235181620417,40.0080846670226,11.2008883799133
0.01, 0.01,-0.01,,,-0.1748862,1.534648,1.034845,,,-0.1748875,1.53462,1.034851,,44.8235181620417,39.8948093978847,11.140477065933
0.021, 0.36,0.36,,,-0.1734622,1.533852,1.035101,,,-0.1733865,1.535613,1.034755,,44.8235181620417,39.7711624867807,11.1518544532263
0.033, 0.35,0.35,,,-0.1729313,1.534697,1.035709,,,-0.1728569,1.53642,1.035367,,44.8235181620417,39.7202878241636,11.2536490284625
0.044, 0.17,0.17,,,-0.1721835,1.536381,1.03598,,,-0.1721455,1.537235,1.035808,,44.8235181620417,39.6963343514109,11.4087429834038
0.055, 0.12,0.12,,,-0.1716522,1.537404,1.0365,,,-0.1716243,1.538007,1.036378,,44.8235181620417,39.7309839001062,11.5168674362772
0.066, 0.16,-0.16,,,-0.1701593,1.540348,1.037016,,,-0.1701969,1.539578,1.037173,,44.8235181620417,39.8157123944024,11.618948025677
0.078, 0.31,-0.31,,,-0.16918,1.542648,1.038131,,,-0.1692573,1.541139,1.038441,,44.8235181620417,39.8997134735723,11.7083936192375
0.09, 0.74,-0.74,,,-0.1686588,1.546103,1.039198,,,-0.1688513,1.542489,1.039944,,44.8235181620417,39.9656760236461,11.7890496133544
0.1, 0.85,-0.85,,,-0.1670177,1.548909,1.040651,,,-0.1672429,1.54474,1.041519,,44.8235181620417,39.9414151923894,11.9026091891086
0.11, 0.72,-0.72,,,-0.1645843,1.551506,1.042891,,,-0.1647698,1.547984,1.043633,,44.8235181620417,39.8103404507697,12.0053958492942
0.121, 0.58,-0.58,,,-0.1620037,1.553968,1.044888,,,-0.1621472,1.551149,1.045487,,44.8235181620417,39.6764243505344,12.0713344937066
0.133, 0.38,-0.38,,,-0.1592089,1.556414,1.047032,,,-0.1593003,1.554538,1.047433,,44.8235181620417,39.513749739599,12.1437233978369
0.144, 0.04,-0.04,,,-0.1558391,1.558891,1.049828,,,-0.1558479,1.558702,1.049869,,44.8235181620417,39.3534998457516,12.2242094910029
0.155, 0.17,0.17,,,-0.1523973,1.562163,1.052616,,,-0.1523598,1.562984,1.052437,,44.8235181620417,39.2484549543345,12.3347330477555
0.166, 0.18,0.18,,,-0.1493514,1.566139,1.055291,,,-0.1493109,1.567021,1.055096,,44.8235181620417,39.2050798392174,12.4391222410305
0.177, 0.21,0.21,,,-0.1466394,1.570251,1.058631,,,-0.1465906,1.571282,1.058402,,44.8235181620417,39.2029556504446,12.559879982196
0.188, 0.06,0.06,,,-0.1435466,1.575681,1.062011,,,-0.1435333,1.575953,1.06195,,44.8235181620417,39.231096029042,12.6910605917448
0.199, 0.01,-0.01,,,-0.1405439,1.580505,1.065313,,,-0.1405467,1.580451,1.065325,,44.8235181620417,39.2766807102941,12.8150720641856
0.21, 0.06,-0.06,,,-0.1373096,1.585934,1.069411,,,-0.1373239,1.585663,1.069473,,44.8235181620417,39.2821892577064,12.9562503628538
0.221, 0.04,-0.04,,,-0.1337381,1.591248,1.073499,,,-0.1337477,1.591068,1.073541,,44.8235181620417,39.2587412189383,13.0728681557238
0.233, 0.18,0.18,,,-0.1294501,1.595825,1.07735,,,-0.1294036,1.596691,1.077149,,44.8235181620417,39.2263456326064,13.1630770229028
0.244, 0.1,0.1,,,-0.1257045,1.601582,1.08115,,,-0.125678,1.602073,1.081035,,44.8235181620417,39.1882092724369,13.244397252898
0.255, 0.21,0.21,,,-0.1216865,1.606764,1.085278,,,-0.1216331,1.607766,1.085041,,44.8235181620417,39.0991777590833,13.356858022
0.266, 0.41,0.41,,,-0.1167999,1.61253,1.090162,,,-0.1166947,1.61454,1.089683,,44.8235181620417,38.9871899805681,13.4638204889732
0.278, 0.59,0.59,,,-0.1121981,1.617694,1.094199,,,-0.1120503,1.620536,1.093517,,44.8235181620417,38.9249020721655,13.5505553512823
0.288, 0.7,0.7,,,-0.1078133,1.623651,1.099108,,,-0.1076366,1.62703,1.098289,,44.8235181620417,38.8678973149389,13.6865606355719
0.3, 0.42,0.42,,,-0.1040394,1.630423,1.102768,,,-0.1039291,1.632465,1.102267,,44.8235181620417,38.8697038999241,13.859598350737
0.31, 0.1,0.1,,,-0.1003187,1.637827,1.107031,,,-0.1002911,1.63832,1.106909,,44.8235181620417,38.8768721832585,14.0365429339987
0.322, 0.01,-0.01,,,-0.09666439,1.644026,1.111263,,,-0.09666763,1.64397,1.111276,,44.8235181620417,38.8939920519368,14.213400432351
0.333, 0.13,-0.13,,,-0.09284608,1.650742,1.116006,,,-0.09288408,1.650105,1.116168,,44.8235181620417,38.9075704676289,14.3618417832257
0.344, 0.41,-0.41,,,-0.08935793,1.657486,1.119916,,,-0.08948001,1.655518,1.12042,,44.8235181620417,38.9660368852972,14.5031379026539
0.355, 0.4,-0.4,,,-0.0854307,1.663522,1.124564,,,-0.08555363,1.661579,1.125065,,44.8235181620417,38.9609039982788,14.6450845975823
