経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.003, 0.71,-0.71,,,0.05995337,1.790535,1.018548,,,0.05832911,1.787598,1.019738,,45.8734855478893,12.9043904454763,34.2825933772211
0.009, 0.31,-0.31,,,0.06079489,1.78823,1.020058,,,0.06007899,1.786932,1.020582,,45.8734855478893,12.9904935153047,34.2060713549843
0.021, 0.12,-0.12,,,0.06202633,1.786292,1.020551,,,0.06176303,1.785815,1.020743,,45.8734855478893,13.0186603608844,34.1963007696485
0.031, 0.11,-0.11,,,0.06408498,1.784532,1.020216,,,0.06382231,1.784058,1.020406,,45.8734855478893,13.0434693148068,34.2234473557493
0.043, 0.07,-0.07,,,0.06552275,1.783371,1.020464,,,0.06535357,1.783067,1.020586,,45.8734855478893,13.0715994481207,34.2477935643683
0.054, 0.03,0.03,,,0.0664205,1.782335,1.020942,,,0.06648932,1.782459,1.020893,,45.8734855478893,13.0685950187432,34.2936446229906
0.065, 0.06,0.06,,,0.06718025,1.781515,1.020917,,,0.06732966,1.781782,1.02081,,45.8734855478893,13.0300104274218,34.3741452303083
0.076, 0.05,0.05,,,0.0671999,1.781948,1.021397,,,0.06731845,1.782159,1.021313,,45.8734855478893,12.9964622466996,34.4615238379287
0.087, 0.19,0.19,,,0.06649004,1.781694,1.021648,,,0.06692647,1.782466,1.02134,,45.8734855478893,12.992924208808,34.5394187281505
0.098, 0.44,0.44,,,0.06492211,1.781803,1.022611,,,0.06594,1.783598,1.021897,,45.8734855478893,13.0074375066167,34.5683309181026
0.109, 0.49,0.49,,,0.06413281,1.782203,1.022839,,,0.06526277,1.784202,1.022042,,45.8734855478893,13.0095309595391,34.5244162180561
0.12, 0.69,0.69,,,0.06395802,1.782014,1.024317,,,0.06554843,1.784835,1.023192,,45.8734855478893,13.0089845444207,34.4863959710992
0.132, 0.82,0.82,,,0.06363945,1.781901,1.025117,,,0.06553575,1.78527,1.023772,,45.8734855478893,13.0076039924731,34.465345328663
0.144, 1.02,1.02,,,0.06328277,1.781728,1.026408,,,0.06563193,1.785909,1.024739,,45.8734855478893,13.0208887100391,34.4317339686927
0.154, 1.28,1.28,,,0.06231641,1.781618,1.027778,,,0.06526119,1.78687,1.025679,,45.8734855478893,13.0170834410037,34.4046078731588
0.165, 1.56,1.56,,,0.06196221,1.78083,1.029068,,,0.06555603,1.787255,1.026499,,45.8734855478893,13.0275566820308,34.3657782488079
0.176, 1.81,1.81,,,0.06230041,1.779298,1.029674,,,0.06645263,1.786744,1.026699,,45.8734855478893,13.0604363580066,34.3044499819569
0.188, 2.25,2.25,,,0.06237002,1.777342,1.031361,,,0.06753156,1.786653,1.027653,,45.8734855478893,13.1561614565606,34.1696732779101
0.198, 2.66,2.66,,,0.06362984,1.774609,1.032804,,,0.06970792,1.785635,1.028442,,45.8734855478893,13.2963049815983,34.013746893687
0.209, 3.01,3.01,,,0.06465342,1.77204,1.033573,,,0.07149316,1.784497,1.028675,,45.8734855478893,13.4223509965815,33.8886110013854
0.22, 3.11,3.11,,,0.06621163,1.770857,1.034459,,,0.07326429,1.783742,1.029417,,45.8734855478893,13.5190656187639,33.7912125065314
0.231, 3.15,3.15,,,0.06748408,1.769513,1.034363,,,0.07464647,1.782603,1.029247,,45.8734855478893,13.5428722424535,33.7719821094583
0.243, 3.02,3.02,,,0.06866999,1.769723,1.034584,,,0.07553862,1.782262,1.029674,,45.8734855478893,13.5025041180348,33.8101389601948
0.254, 2.85,2.85,,,0.07055886,1.769325,1.034301,,,0.07703909,1.781149,1.029657,,45.8734855478893,13.4525660450815,33.8460862447962
0.265, 2.71,2.71,,,0.07397129,1.768003,1.034573,,,0.0801251,1.779248,1.030152,,45.8734855478893,13.4476329410908,33.8291781119764
0.276, 2.63,2.63,,,0.07663131,1.766704,1.034716,,,0.08260416,1.777627,1.03042,,45.8734855478893,13.4496154034422,33.8177546209074
0.287, 2.43,2.43,,,0.08056659,1.765246,1.034723,,,0.08607449,1.775332,1.030762,,45.8734855478893,13.482495079418,33.7810662608017
0.298, 2.16,2.16,,,0.08457027,1.763834,1.03425,,,0.08946804,1.772815,1.030725,,45.8734855478893,13.5004268868112,33.7517169387548
0.309, 1.92,1.92,,,0.08938991,1.761914,1.034128,,,0.09372886,1.769886,1.030991,,45.8734855478893,13.4807226453777,33.7381419381572
0.322, 1.5,1.5,,,0.09353705,1.761347,1.033488,,,0.09692024,1.767573,1.031029,,45.8734855478893,13.4363503226695,33.7448184478851
0.331, 1.32,1.32,,,0.09753236,1.759592,1.033331,,,0.1004969,1.765051,1.031169,,45.8734855478893,13.3971407690565,33.7581885428133
0.343, 1.05,1.05,,,0.1016772,1.758269,1.033115,,,0.1040347,1.762618,1.031389,,45.8734855478893,13.385727523271,33.741598013781
0.354, 0.8,0.8,,,0.1062257,1.756444,1.032809,,,0.1080252,1.759765,1.03149,,45.8734855478893,13.3688561027169,33.7490736556196
0.365, 0.53,0.53,,,0.11053,1.755239,1.032863,,,0.1117172,1.757427,1.031994,,45.8734855478893,13.3706140226056,33.7647625997065
0.376, 0.4,0.4,,,0.1139935,1.753513,1.032778,,,0.1149013,1.755181,1.032117,,45.8734855478893,13.3726519802425,33.8012460541429
0.387, 0.15,0.15,,,0.1179016,1.751804,1.031924,,,0.1182362,1.752416,1.031682,,45.8734855478893,13.3850496270148,33.8436478673304
0.398, 0.02,0.02,,,0.1212502,1.75009,1.03173,,,0.1212989,1.750179,1.031695,,45.8734855478893,13.3927924999972,33.8809782652003
0.409, 0.16,-0.16,,,0.1251682,1.748066,1.03116,,,0.1248061,1.747405,1.03142,,45.8734855478893,13.417715859585,33.8528754526423
0.42, 0.27,-0.27,,,0.1295339,1.74574,1.03131,,,0.1289258,1.744624,1.031749,,45.8734855478893,13.4698037345197,33.7651382601004
0.432, 0.44,-0.44,,,0.1343086,1.74319,1.031009,,,0.1333266,1.741376,1.031722,,45.8734855478893,13.5383941998035,33.6335580844963
0.443, 0.7,-0.7,,,0.138938,1.7416,1.030974,,,0.1373751,1.738697,1.032117,,45.8734855478893,13.5456572520101,33.5615678926476
0.454, 0.82,-0.82,,,0.1422922,1.739946,1.0309,,,0.1404562,1.736534,1.03225,,45.8734855478893,13.4871080183004,33.5903195731587
