経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.09087101,1.549669,0.9317559,,,0.09106918,1.546198,0.9338446,,44.7500116682395,14.2331379709558,30.9042111530156
0.011, 0.59,-0.59,,,0.09148134,1.550097,0.9337174,,,0.09162857,1.547587,0.9352336,,44.7500116682395,14.1529097174237,31.0066025160139
0.022, 0.37,-0.37,,,0.09276949,1.549543,0.934629,,,0.09286617,1.547947,0.935594,,44.7500116682395,14.1372165044687,31.0497932160286
0.033, 0.1,0.1,,,0.0942133,1.548074,0.9364358,,,0.09418523,1.54852,0.9361665,,44.7500116682395,14.1796183176562,31.0428127628911
0.044, 0.49,0.49,,,0.09578851,1.546389,0.937404,,,0.09565023,1.54849,0.9361371,,44.7500116682395,14.2712299348969,30.9925186663373
0.055, 0.78,0.78,,,0.09719584,1.545346,0.9383516,,,0.0969679,1.548692,0.9363387,,44.7500116682395,14.3564305660064,30.9429075886815
0.089, 1.27,1.27,,,0.09872995,1.543981,0.9403062,,,0.09834627,1.549399,0.9370461,,44.7500116682395,14.3822179445002,30.9607173064467
0.101, 2.11,2.11,,,0.1017583,1.541069,0.9431599,,,0.1010861,1.550092,0.9377384,,44.7500116682395,14.4604065328481,30.9443999849736
0.112, 2.1,2.1,,,0.1016999,1.541005,0.9430622,,,0.1010305,1.550009,0.9376553,,44.7500116682395,14.4715755993775,30.9305961730451
0.123, 1.91,1.91,,,0.1012107,1.541747,0.9424579,,,0.1006157,1.549909,0.9375554,,44.7500116682395,14.4475862681327,30.9298550975408
0.134, 1.89,1.89,,,0.1008663,1.54183,0.942449,,,0.1002836,1.549933,0.9375801,,44.7500116682395,14.4305620221002,30.9302990598245
0.144, 2.12,2.12,,,0.1014652,1.541005,0.9431999,,,0.1008272,1.550102,0.9377487,,44.7500116682395,14.474213759871,30.856553509408
0.155, 2.18,2.18,,,0.1008854,1.54072,0.9432609,,,0.1002472,1.550045,0.9376912,,44.7500116682395,14.5368090267778,30.7657324865417
0.166, 2.13,2.13,,,0.100752,1.540522,0.9427649,,,0.100145,1.549669,0.9373155,,44.7500116682395,14.5772317927083,30.6919186342354
0.177, 2.14,2.14,,,0.1001545,1.540738,0.9430403,,,0.09954464,1.549915,0.9375616,,44.7500116682395,14.527513139576,30.743653900664
0.189, 2.06,2.06,,,0.1002273,1.541594,0.9433727,,,0.09963751,1.550436,0.9380822,,44.7500116682395,14.4725454862127,30.8031106957344
0.2, 2.07,2.07,,,0.1001841,1.541924,0.9437706,,,0.09959256,1.550798,0.9384448,,44.7500116682395,14.398707728245,30.8769108876627
0.21, 2.17,2.17,,,0.1002048,1.54226,0.9448071,,,0.09958347,1.551561,0.9392076,,44.7500116682395,14.3226877248982,30.9559293439717
