経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.57,-0.57,,,-0.1298527,1.784144,1.524173,,,-0.1294864,1.781716,1.522702,,39.4163307541781,21.0759756071184,32.2111917199896
0.011, 0.07,0.07,,,-0.1289276,1.77971,1.526181,,,-0.1289746,1.780017,1.526366,,39.8015773183084,20.8008675478369,32.0600123171075
0.021, 0.66,0.66,,,-0.1279854,1.775483,1.528345,,,-0.1284207,1.778292,1.530027,,40.1896379202985,20.5482120272798,31.9767591436309
0.033, 1.22,1.22,,,-0.1268515,1.771869,1.529844,,,-0.1276709,1.777067,1.532945,,40.4634875172605,20.2696615527524,31.9150108201577
0.043, 1.98,1.98,,,-0.1244036,1.768486,1.530188,,,-0.1257586,1.77691,1.535205,,40.5004217641695,19.7943111355986,31.9125621974084
0.054, 2.54,2.54,,,-0.1219373,1.766441,1.530271,,,-0.1237126,1.777254,1.536712,,40.4260034401385,19.3030515007633,31.953731161485
0.065, 3.08,3.08,,,-0.120247,1.764404,1.529788,,,-0.1224341,1.777497,1.537588,,40.3730319095045,18.9599130516943,31.9846719175642
0.077, 3.31,3.31,,,-0.118781,1.763532,1.530307,,,-0.1211395,1.777615,1.538675,,40.3479309650033,18.7274441546674,31.9296991415591
0.087, 3.18,3.18,,,-0.1186746,1.763758,1.531347,,,-0.1209222,1.777327,1.539366,,40.4122167036825,18.7745827039124,31.7783216631966
0.099, 3.16,3.16,,,-0.1181388,1.764153,1.531454,,,-0.1203442,1.777649,1.539399,,40.34118956848,18.7837693080905,31.6663543752483
0.11, 2.86,2.86,,,-0.1190789,1.76557,1.531309,,,-0.1210431,1.777777,1.5385,,40.3119051332285,19.014841431471,31.6507064122953
0.121, 2.69,2.69,,,-0.1197197,1.766337,1.531158,,,-0.1215483,1.777822,1.537926,,40.30151641579,19.1761568347994,31.6449519780796
0.132, 2.42,2.42,,,-0.119799,1.768367,1.530529,,,-0.1214052,1.778689,1.536612,,40.1078054261298,19.3256440583617,31.6089705425333
0.143, 2.13,2.13,,,-0.1200348,1.77047,1.529794,,,-0.1214108,1.779548,1.535149,,39.9149584553755,19.5236785576462,31.5852390509225
0.154, 1.92,1.92,,,-0.1200344,1.772604,1.528308,,,-0.1212497,1.780804,1.533153,,39.6318983485741,19.6709715829987,31.59205216443
0.166, 1.8,1.8,,,-0.1196196,1.773965,1.527666,,,-0.1207404,1.781646,1.532207,,39.4414863401912,19.7087578959831,31.5821927866374
