経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.84,-0.84,,,0.2033262,1.82497,1.300988,,,0.2016985,1.821128,1.301502,,45.0005634905908,23.0785596952825,23.8781340606726
0.011, 0.7,0.7,,,0.2035703,1.81471,1.303018,,,0.2049017,1.817925,1.302601,,45.0005634905908,23.4627663631407,23.3856313314429
0.022, 2.04,2.04,,,0.2024466,1.807163,1.30522,,,0.2062716,1.816555,1.304014,,45.0005634905908,23.7733862824761,23.0504893261222
0.033, 3.02,3.02,,,0.2015568,1.801739,1.3061,,,0.2071763,1.81565,1.304305,,45.0005634905908,23.9425581106787,22.9053648857708
0.044, 3.93,3.93,,,0.2002739,1.797193,1.306966,,,0.2075486,1.815278,1.304623,,45.0005634905908,24.0303806805828,22.8341447977296
0.055, 4.49,4.49,,,0.1990986,1.794717,1.306348,,,0.2074201,1.815407,1.303669,,45.0005634905908,24.030723897579,22.8299544767904
0.066, 5.17,5.17,,,0.1973941,1.792057,1.305413,,,0.2069582,1.815868,1.302354,,45.0005634905908,24.0426716056522,22.7904110976911
0.077, 5.73,5.73,,,0.1955681,1.790228,1.303595,,,0.2061782,1.816648,1.300198,,45.0005634905908,24.0477344832336,22.7881810409891
0.088, 5.63,5.63,,,0.1951433,1.791336,1.302269,,,0.2055857,1.817241,1.298894,,45.0005634905908,23.9995167641297,22.8833324036687
0.099, 5.42,5.42,,,0.1949695,1.792819,1.3014,,,0.2050474,1.817779,1.298119,,45.0005634905908,23.9844408295037,22.9304214340437
0.11, 5.57,5.57,,,0.1946949,1.792134,1.301171,,,0.2050316,1.817795,1.297773,,45.0005634905908,24.0437029641882,22.9005308195202
0.122, 5.78,5.78,,,0.1948213,1.790733,1.300135,,,0.2054839,1.817343,1.296558,,45.0005634905908,24.1732938472519,22.8327975429534
0.133, 5.84,5.84,,,0.19532,1.789899,1.299597,,,0.2060188,1.816808,1.295891,,45.0005634905908,24.369861563453,22.7393195765738
0.144, 5.56,5.56,,,0.1968204,1.79024,1.300169,,,0.2069208,1.815906,1.296519,,45.0005634905908,24.6309711504201,22.622873392202
0.155, 5.04,5.04,,,0.1991096,1.791353,1.300396,,,0.2082021,1.814625,1.297,,45.0005634905908,24.8239086211784,22.5530961815829
0.166, 4.73,4.73,,,0.2006091,1.791874,1.300977,,,0.2090953,1.813731,1.297719,,45.0005634905908,24.9899488077336,22.4935505940557
0.178, 4.18,4.18,,,0.2031287,1.792952,1.301106,,,0.2105822,1.812244,1.298194,,45.0005634905908,25.1108841338125,22.4375874406485
0.188, 3.94,3.94,,,0.2048278,1.792809,1.301514,,,0.2118312,1.810995,1.298753,,45.0005634905908,25.1851470710442,22.395262467087
0.2, 3.73,3.73,,,0.2065872,1.792394,1.301384,,,0.2131969,1.80963,1.298781,,45.0005634905908,25.2490656870658,22.3085959066677
0.21, 3.51,3.51,,,0.2090782,1.791313,1.301919,,,0.2152739,1.807553,1.299477,,45.0005634905908,25.3328806435859,22.2067936474689
0.229, 3.29,3.29,,,0.2117411,1.790108,1.30242,,,0.2175061,1.805321,1.300145,,45.0005634905908,25.4429457239033,22.0754047171562
0.237, 3.05,3.05,,,0.2152547,1.788112,1.303469,,,0.2205678,1.802259,1.301369,,45.0005634905908,25.5908380983388,21.9009719358918
