経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.55,-0.55,,,0.4808798,1.545487,1.279475,,,0.4798916,1.542935,1.279215,,45.0005634905908,24.4053683008653,21.8874823126565
0.011, 0.15,-0.15,,,0.481203,1.542575,1.280852,,,0.48094,1.541886,1.280782,,45.0005634905908,24.6640395103665,21.6657880387454
0.022, 0.41,0.41,,,0.4799056,1.540262,1.28101,,,0.4806388,1.542188,1.281215,,45.0005634905908,24.7751291190308,21.6357061789305
0.033, 0.93,0.93,,,0.4776964,1.539153,1.281069,,,0.4793485,1.543478,1.281543,,45.0005634905908,24.7506531368212,21.7437000044396
0.044, 1.23,1.23,,,0.4749052,1.54002,1.279552,,,0.4771084,1.545718,1.280198,,45.0005634905908,24.5704283553019,22.0170031862832
0.055, 1.5,1.5,,,0.4717684,1.541383,1.27786,,,0.4744855,1.548341,1.278668,,45.0005634905908,24.4166056692845,22.2356443657202
0.066, 1.66,1.66,,,0.4690176,1.543101,1.275521,,,0.4720393,1.550787,1.276434,,45.0005634905908,24.3236450897202,22.4008546843144
0.078, 1.76,1.76,,,0.4673482,1.544159,1.274402,,,0.4705371,1.552289,1.275377,,45.0005634905908,24.3804534790137,22.3735424661308
0.088, 1.6,1.6,,,0.4683277,1.544224,1.275457,,,0.4712061,1.55162,1.276322,,45.0005634905908,24.4927571537692,22.1872046654744
0.1, 1.85,1.85,,,0.4667632,1.544187,1.276724,,,0.4700469,1.55278,1.277697,,45.0005634905908,24.7856561477962,21.8023644975884
0.111, 2.02,2.02,,,0.466704,1.54316,1.277946,,,0.4702483,1.552578,1.278978,,45.0005634905908,25.0295143849472,21.4719950868174
0.122, 2.06,2.06,,,0.4660237,1.543652,1.278138,,,0.4695926,1.553234,1.27918,,45.0005634905908,25.2098467419429,21.2788356349173
0.133, 1.99,1.99,,,0.4644924,1.545627,1.277621,,,0.4679459,1.55488,1.278638,,45.0005634905908,25.1877083919117,21.3298759296172
0.144, 1.88,1.88,,,0.4634912,1.547254,1.277293,,,0.4668084,1.556018,1.278266,,45.0005634905908,24.9392397771992,21.5994788565808
0.154, 1.73,1.73,,,0.4572279,1.55449,1.27684,,,0.4603277,1.562499,1.277727,,45.0005634905908,24.5196476077832,21.9996869496718
0.166, 1.59,1.59,,,0.4524786,1.56008,1.275877,,,0.4553952,1.567431,1.276702,,45.0005634905908,24.062764314084,22.4763794989601
0.177, 1.55,1.55,,,0.4472663,1.565492,1.273901,,,0.4501728,1.572654,1.274732,,45.0005634905908,23.6757060423267,22.9520014161258
0.188, 1.54,1.54,,,0.4434955,1.569329,1.272621,,,0.4464041,1.576422,1.273468,,45.0005634905908,23.5178330542442,23.1982570496088
0.199, 1.34,1.34,,,0.4414326,1.572702,1.271771,,,0.4439542,1.578872,1.272511,,45.0005634905908,23.5920601329838,23.1393893583379
0.21, 1.06,1.06,,,0.4398433,1.57615,1.272911,,,0.4418086,1.581018,1.27347,,45.0005634905908,23.7632946782583,22.8369605431366
0.222, 0.88,0.88,,,0.4370461,1.580117,1.27423,,,0.4386665,1.58416,1.274665,,45.0005634905908,23.8151084918601,22.6009262874622
0.233, 0.63,0.63,,,0.4336026,1.585123,1.275266,,,0.4347736,1.588053,1.275561,,45.0005634905908,23.7889693586339,22.4629581776145
0.244, 0.56,0.56,,,0.4287755,1.590412,1.274246,,,0.4298168,1.59301,1.274504,,45.0005634905908,23.7178705064471,22.5023598302926
0.255, 0.46,0.46,,,0.4239583,1.595887,1.271349,,,0.4248155,1.598011,1.271568,,45.0005634905908,23.6242849645912,22.6786521305067
0.266, 0.36,0.36,,,0.4184563,1.60205,1.269167,,,0.4191278,1.603699,1.269343,,45.0005634905908,23.4988946477501,22.8948959136118
0.277, 0.23,0.23,,,0.4137091,1.607601,1.267759,,,0.4141506,1.608676,1.267876,,45.0005634905908,23.362191830411,23.0772517140928
0.288, 0.1,0.1,,,0.4091816,1.613027,1.266559,,,0.4093624,1.613464,1.266607,,45.0005634905908,23.2538462501693,23.217523305174
0.3, 0.01,0.01,,,0.4047498,1.618009,1.266439,,,0.4047696,1.618057,1.266444,,45.0005634905908,23.2390930419726,23.2350768908524
0.31, 0.03,-0.03,,,0.4012336,1.621789,1.26741,,,0.4011767,1.62165,1.267395,,45.0005634905908,23.3583669245822,23.0835935445607
0.322, 0,0,,,0.3981328,1.624705,1.26808,,,0.3981297,1.624697,1.268079,,45.0005634905908,23.5409037250712,22.8433655528526
0.333, 0.08,-0.08,,,0.3951448,1.628196,1.269663,,,0.3949976,1.627829,1.269626,,45.0005634905908,23.7362710355591,22.5682455407404
0.344, 0.04,-0.04,,,0.3911288,1.631967,1.271101,,,0.3910523,1.631774,1.271082,,45.0005634905908,23.8681090507973,22.3692445697152
0.355, 0.02,0.02,,,0.3874418,1.635285,1.27221,,,0.38747,1.635357,1.272217,,45.0005634905908,23.9569698094263,22.2418171490108
0.366, 0.01,0.01,,,0.3840556,1.638702,1.272354,,,0.3840752,1.638751,1.272359,,45.0005634905908,24.0261357181318,22.1969240243929
0.377, 0.12,0.12,,,0.3797534,1.642312,1.272352,,,0.3799688,1.642858,1.272408,,45.0005634905908,24.0494522757621,22.2078779399695
0.388, 0.12,0.12,,,0.3753138,1.646716,1.273109,,,0.3755393,1.647287,1.273166,,45.0005634905908,24.0232755764964,22.2198922423852
0.4, 0.03,0.03,,,0.3707765,1.651861,1.273781,,,0.37083,1.651997,1.273794,,45.0005634905908,23.9700701118899,22.2204523178815
0.411, 0.03,0.03,,,0.3662443,1.656409,1.274571,,,0.3662935,1.656533,1.274583,,45.0005634905908,23.9166682793502,22.213144015673
0.422, 0.04,0.04,,,0.3617155,1.660863,1.274614,,,0.3617859,1.661041,1.274631,,45.0005634905908,23.8890145517176,22.2269700257157
0.433, 0.08,0.08,,,0.3569685,1.665321,1.27282,,,0.3571213,1.665705,1.272858,,45.0005634905908,23.8711126264012,22.3036098687124
0.444, 0.15,0.15,,,0.3518742,1.669966,1.270518,,,0.3521557,1.670671,1.270589,,45.0005634905908,23.8134094823514,22.4549480734883
