経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.64,-0.64,,,-0.1355416,1.799878,1.141984,,,-0.1365658,1.797047,1.143028,,45.7999961295596,31.5093966324892,27.1499567990547
0.01, 0.05,0.05,,,-0.1374585,1.797447,1.143733,,,-0.1373715,1.797687,1.143645,,45.7999961295596,31.5208132933691,27.1517753368706
0.022, 0.74,0.74,,,-0.138849,1.795123,1.145556,,,-0.1376569,1.798411,1.144343,,45.7999961295596,31.5306795013507,27.1744413190006
0.033, 1.31,1.31,,,-0.1402743,1.792717,1.146599,,,-0.1381629,1.79853,1.144457,,45.7999961295596,31.5706429370723,27.1785684606917
0.044, 1.92,1.92,,,-0.1413981,1.790685,1.148227,,,-0.1383107,1.799195,1.145099,,45.7999961295596,31.5950574475811,27.1376283079459
0.055, 2.61,2.61,,,-0.1419157,1.78788,1.149594,,,-0.1377227,1.799461,1.145355,,45.7999961295596,31.6410656005501,27.0648441066284
0.066, 3.24,3.24,,,-0.1421531,1.785006,1.15056,,,-0.1369584,1.79941,1.145306,,45.7999961295596,31.6587352994412,26.9784080650871
0.077, 4.02,4.02,,,-0.1420829,1.781984,1.15225,,,-0.1356732,1.79987,1.145749,,45.7999961295596,31.6544356954783,26.8627234467866
0.088, 5.01,5.01,,,-0.1407134,1.778243,1.154543,,,-0.1328082,1.80057,1.146424,,45.7999961295596,31.5327456335171,26.7319850919742
0.099, 5.93,5.93,,,-0.139647,1.77492,1.156862,,,-0.1304135,1.801402,1.147226,,45.7999961295596,31.3827239476671,26.5658151318283
0.111, 6.77,6.77,,,-0.1377786,1.771504,1.158613,,,-0.1274075,1.801777,1.147588,,45.7999961295596,31.2096811098602,26.3834934822922
0.122, 7.42,7.42,,,-0.1365027,1.768292,1.159408,,,-0.1252726,1.801499,1.147319,,45.7999961295596,31.1026554636389,26.2395011457642
0.133, 7.89,7.89,,,-0.1351588,1.765952,1.160014,,,-0.1232973,1.801318,1.147145,,45.7999961295596,31.0380384607941,26.1460761133493
0.144, 8.34,8.34,,,-0.1340764,1.763775,1.16059,,,-0.121598,1.801167,1.146999,,45.7999961295596,31.0133302521592,26.079580808535
0.155, 8.63,8.63,,,-0.1327915,1.76169,1.160256,,,-0.1198838,1.800389,1.14625,,45.7999961295596,31.0760962737904,26.0222857682767
0.166, 9.02,9.02,,,-0.1307979,1.759438,1.160373,,,-0.11731,1.799934,1.145811,,45.7999961295596,31.1672246551608,25.9285072735821
0.177, 9.48,9.48,,,-0.1284796,1.757875,1.161579,,,-0.1143428,1.80046,1.146318,,45.7999961295596,31.1928071279852,25.85292440233
0.189, 10.06,10.06,,,-0.1254,1.755793,1.163139,,,-0.1105264,1.801022,1.14686,,45.7999961295596,31.0450974611049,25.8069077116249
0.199, 10.59,10.59,,,-0.1214509,1.754367,1.165035,,,-0.1059743,1.801976,1.147779,,45.7999961295596,30.8388667350444,25.7741279271629
0.21, 11.2,11.2,,,-0.1181752,1.752304,1.166803,,,-0.101997,1.802656,1.148435,,45.7999961295596,30.6402687451691,25.7375608029115
0.222, 11.56,11.56,,,-0.1162515,1.749984,1.166769,,,-0.09965134,1.802023,1.147824,,45.7999961295596,30.6146008949824,25.6414310156605
0.233, 11.7,11.7,,,-0.114852,1.747078,1.164643,,,-0.09811696,1.799821,1.145702,,45.7999961295596,30.7924863367761,25.4165658265155
0.244, 11.81,11.81,,,-0.1135643,1.744737,1.162918,,,-0.09670511,1.798108,1.144051,,45.7999961295596,31.0077363273846,25.1788957405803
0.255, 11.94,11.94,,,-0.1122874,1.742009,1.160913,,,-0.09527367,1.796044,1.142061,,45.7999961295596,31.1909595618661,24.986069260393
0.267, 12.16,12.16,,,-0.1107599,1.740394,1.160597,,,-0.09348242,1.795439,1.141478,,45.7999961295596,31.2365408280238,24.9012434359038
0.277, 12.3,12.3,,,-0.1092893,1.739322,1.160497,,,-0.09182419,1.795026,1.14108,,45.7999961295596,31.1719682214074,24.9337397675231
0.288, 12.11,12.11,,,-0.108963,1.740513,1.160528,,,-0.09173024,1.795264,1.141309,,45.7999961295596,31.091050972562,25.0572586125837
0.299, 11.92,11.92,,,-0.1084117,1.740887,1.159849,,,-0.09143162,1.794766,1.140829,,45.7999961295596,31.0115065917015,25.139060370902
0.31, 11.91,11.91,,,-0.1047476,1.739756,1.158808,,,-0.08786297,1.793586,1.139692,,45.7999961295596,30.8805035670662,25.1653822116835
0.321, 12.1,12.1,,,-0.1021555,1.737684,1.157999,,,-0.08511563,1.792387,1.138535,,45.7999961295596,30.7969020539517,25.1217868229717
0.332, 12.39,12.39,,,-0.09909132,1.734223,1.156425,,,-0.08185429,1.790342,1.136565,,45.7999961295596,30.7773984493194,24.9192017102793
0.343, 12.55,12.55,,,-0.09677812,1.731252,1.154492,,,-0.07952797,1.788197,1.134497,,45.7999961295596,30.8002249408904,24.690264020955
0.355, 12.93,12.93,,,-0.09428125,1.727596,1.153225,,,-0.07675388,1.786379,1.132744,,45.7999961295596,30.8097393941395,24.4466363026821
0.366, 13.23,13.23,,,-0.09193449,1.724986,1.1525,,,-0.07420816,1.785185,1.131592,,45.7999961295596,30.773290090648,24.2915210034003
0.377, 13.51,13.51,,,-0.08926701,1.722203,1.151578,,,-0.07130518,1.783726,1.130186,,45.7999961295596,30.6964368042456,24.2282119817452
0.388, 13.79,13.79,,,-0.08623593,1.71971,1.150876,,,-0.06801064,1.782471,1.128976,,45.7999961295596,30.6037408945043,24.2248412834836
0.4, 14.16,14.16,,,-0.08365069,1.716991,1.150578,,,-0.06506512,1.781495,1.128035,,45.7999961295596,30.5265768345034,24.1752045926191
0.41, 14.49,14.49,,,-0.08125138,1.713334,1.14894,,,-0.06233773,1.779381,1.125998,,45.7999961295596,30.582717572824,24.0440120302395
0.422, 14.78,14.78,,,-0.07978857,1.709611,1.146847,,,-0.06041344,1.777068,1.123768,,45.7999961295596,30.8428487352198,23.8799047871656
0.432, 14.43,14.43,,,-0.08007146,1.707335,1.142083,,,-0.06076884,1.77326,1.120097,,45.7999961295596,31.3699514942746,23.7437347245669
0.444, 14.02,14.02,,,-0.08025804,1.705501,1.137449,,,-0.06102758,1.769598,1.116567,,45.7999961295596,31.8931508003274,23.7045021190661
0.455, 13.63,13.63,,,-0.07980452,1.703971,1.133293,,,-0.06065699,1.766279,1.113367,,45.7999961295596,32.338779650135,23.7386718469856
0.466, 13.49,13.49,,,-0.07823265,1.702174,1.130553,,,-0.05913524,1.76382,1.110997,,45.7999961295596,32.5152136767704,23.7348110826646
0.477, 13.84,13.84,,,-0.0744573,1.699137,1.129781,,,-0.05510329,1.762438,1.109665,,45.7999961295596,32.3959654073695,23.617432577497
0.488, 14.5,14.5,,,-0.06894805,1.69498,1.13,,,-0.04923846,1.761436,1.108698,,45.7999961295596,32.0574919773739,23.4082409645138
0.499, 15.07,15.07,,,-0.06341232,1.69157,1.130415,,,-0.04353218,1.760723,1.108011,,45.7999961295596,31.6917114518364,23.2324797114928
0.51, 15.51,15.51,,,-0.05754782,1.688462,1.130375,,,-0.03766015,1.759673,1.106999,,45.7999961295596,31.3079675292816,23.1256111596181
0.522, 15.6,15.6,,,-0.05283682,1.686822,1.129526,,,-0.03316772,1.758477,1.105846,,45.7999961295596,31.0987349351644,23.0567696848892
0.532, 15.47,15.47,,,-0.04913727,1.685476,1.127529,,,-0.02974421,1.756548,1.103986,,45.7999961295596,31.0263076112211,23.0349847971377
0.544, 15.36,15.36,,,-0.04597852,1.684088,1.125521,,,-0.02672645,1.754693,1.102199,,45.7999961295596,31.0658714808874,22.9942273519471
0.555, 15.06,15.06,,,-0.04349008,1.683259,1.122745,,,-0.02449505,1.752504,1.100089,,45.7999961295596,31.2491766776367,22.929545462307
0.566, 14.73,14.73,,,-0.04103966,1.681641,1.119005,,,-0.02234564,1.749415,1.09711,,45.7999961295596,31.4766800272752,22.8255968162212
0.577, 14.44,14.44,,,-0.03768899,1.680075,1.115643,,,-0.01930669,1.74656,1.094358,,45.7999961295596,31.6279721282755,22.7403167841649
0.588, 14.19,14.19,,,-0.03478035,1.678723,1.112826,,,-0.01668012,1.744094,1.091981,,45.7999961295596,31.6970594898077,22.7063058581393
0.599, 13.91,13.91,,,-0.03084239,1.678013,1.110497,,,-0.01312989,1.74211,1.090068,,45.7999961295596,31.6926130367817,22.6830097910759
0.61, 13.89,13.89,,,-0.02713287,1.676085,1.108566,,,-0.009539012,1.740088,1.088119,,45.7999961295596,31.6254722791088,22.6640321109951
