経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.98,-0.98,,,-0.2056981,1.628858,1.378638,,,-0.2031419,1.624836,1.3776,,45.0005395849294,17.5033632988902,34.5429226150972
0.01, 0.09,0.09,,,-0.2013591,1.625989,1.377562,,,-0.2016057,1.626372,1.377662,,45.0005395849294,17.271234203765,34.9025662158362
0.022, 1.19,1.19,,,-0.1970717,1.622877,1.37694,,,-0.2002445,1.627733,1.378197,,45.0005395849294,16.9538643501701,35.1898337190493
0.033, 2.09,2.09,,,-0.193638,1.620148,1.377077,,,-0.1992845,1.628693,1.379252,,45.0005395849294,16.5837329942524,35.3939744072819
0.044, 2.95,2.95,,,-0.1906864,1.617269,1.37794,,,-0.198694,1.629284,1.380945,,45.0005395849294,16.2630983103251,35.5344918851663
0.055, 3.69,3.69,,,-0.1880152,1.614864,1.379105,,,-0.1980943,1.629884,1.382787,,45.0005395849294,15.9591002592057,35.629602266712
0.066, 4.27,4.27,,,-0.1865103,1.612382,1.380521,,,-0.1982185,1.629759,1.384709,,45.0005395849294,15.7416987590685,35.6707541553162
0.077, 4.42,4.42,,,-0.1863477,1.611527,1.381648,,,-0.1984454,1.629532,1.385959,,45.0005395849294,15.7491863537378,35.5833926231682
0.088, 3.92,3.92,,,-0.1889399,1.612432,1.381,,,-0.1995675,1.62841,1.384886,,45.0005395849294,16.0822741797228,35.3931001430925
0.099, 3.85,3.85,,,-0.189462,1.612364,1.380411,,,-0.1998744,1.628103,1.384303,,45.0005395849294,16.3245819639753,35.3189106303923
0.11, 4.1,4.1,,,-0.1890698,1.611119,1.380482,,,-0.2000895,1.627888,1.384736,,45.0005395849294,16.6704883471284,35.2505062877581
0.122, 4.19,4.19,,,-0.188695,1.610945,1.381403,,,-0.1999021,1.628076,1.385775,,45.0005395849294,16.8131095232187,35.1693055860701
0.132, 4.54,4.54,,,-0.1872408,1.610012,1.383587,,,-0.1993724,1.628606,1.388293,,45.0005395849294,16.7993842584635,35.076339883864
0.144, 5.08,5.08,,,-0.1849148,1.608667,1.386004,,,-0.1985123,1.629466,1.391215,,45.0005395849294,16.6753326586624,35.0875345636021
0.155, 5.92,5.92,,,-0.1807926,1.60706,1.387188,,,-0.1967381,1.63124,1.393198,,45.0005395849294,16.4320071762519,35.2623156845045
0.166, 6.73,6.73,,,-0.1766956,1.605556,1.387906,,,-0.1949625,1.633015,1.394693,,45.0005395849294,16.2064931191538,35.4495482399172
0.177, 7.43,7.43,,,-0.1735776,1.603923,1.388753,,,-0.1938216,1.634156,1.396145,,45.0005395849294,15.9837862697264,35.5687589432787
0.188, 7.92,7.92,,,-0.1715333,1.602578,1.389027,,,-0.1931438,1.634834,1.396809,,45.0005395849294,15.8672649532758,35.5396213570902
0.199, 8.23,8.23,,,-0.1708507,1.601164,1.38919,,,-0.1932609,1.634717,1.397253,,45.0005395849294,15.9009804736281,35.4530999381868
0.21, 7.62,7.62,,,-0.1732907,1.602903,1.387929,,,-0.1939534,1.634024,1.395512,,45.0005395849294,16.1326434083554,35.3562444433567
0.222, 8.4,8.4,,,-0.170825,1.600217,1.387242,,,-0.1934187,1.634559,1.39573,,45.0005395849294,16.4372100727074,35.18771977556
0.233, 8.59,8.59,,,-0.1705472,1.599304,1.387021,,,-0.1934595,1.634518,1.39588,,45.0005395849294,16.8081508060192,34.990518559331
0.244, 8.7,8.7,,,-0.170178,1.598958,1.387953,,,-0.1932611,1.634717,1.397001,,45.0005395849294,17.018286692629,34.8272667974268
0.255, 9.11,9.11,,,-0.1677116,1.598664,1.389778,,,-0.1918248,1.636153,1.399232,,45.0005395849294,17.0659938551066,34.7313128875421
0.266, 9.48,9.48,,,-0.1649002,1.599004,1.39133,,,-0.1899516,1.638026,1.401086,,45.0005395849294,17.0369467689222,34.6552928841953
0.277, 9.85,9.85,,,-0.1615074,1.599857,1.3927,,,-0.1875141,1.640464,1.402702,,45.0005395849294,16.9707673603482,34.5478984077691
0.288, 10.05,10.05,,,-0.1588367,1.601171,1.39448,,,-0.1852719,1.642706,1.404577,,45.0005395849294,17.0016517673683,34.3564311351888
0.299, 9.97,9.97,,,-0.1575472,1.603067,1.39421,,,-0.1835852,1.644393,1.40421,,45.0005395849294,17.1795389167093,34.1070643506255
0.311, 9.91,9.91,,,-0.1555296,1.605632,1.393689,,,-0.1811602,1.646818,1.403716,,45.0005395849294,17.4856526188652,33.8449660938035
0.321, 9.76,9.76,,,-0.1538376,1.608427,1.391884,,,-0.1788842,1.649094,1.401931,,45.0005395849294,17.8135614540562,33.6624839348263
0.333, 9.61,9.61,,,-0.1514685,1.611944,1.389703,,,-0.1759287,1.652049,1.399778,,45.0005395849294,18.1464375441828,33.5053247014923
0.344, 9.56,9.56,,,-0.1486652,1.615195,1.389219,,,-0.1727817,1.655196,1.399304,,45.0005395849294,18.4151166880869,33.2615245209476
0.355, 9.26,9.26,,,-0.1465929,1.619348,1.389456,,,-0.1696909,1.658287,1.399235,,45.0005395849294,18.7245720602013,32.8859255987514
0.366, 9.1,9.1,,,-0.1443524,1.622857,1.390087,,,-0.1667123,1.661266,1.399732,,45.0005395849294,19.1160238510199,32.4750658259463
0.377, 8.75,8.75,,,-0.1425325,1.627143,1.389045,,,-0.1637056,1.664272,1.398488,,45.0005395849294,19.6410399873414,32.0830368841589
0.388, 8.77,8.77,,,-0.1391889,1.630551,1.38749,,,-0.1601348,1.667843,1.39716,,45.0005395849294,20.1007561019201,31.8480954587212
