経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.38,-0.38,,,0.4709207,1.543866,1.0971,,,0.4706016,1.542013,1.097204,,45.8734855478893,37.1334835215999,10.1842958587426
0.011, 0.28,0.28,,,0.4691815,1.539471,1.094466,,,0.4694131,1.540827,1.094398,,45.8734855478893,37.4397765162166,10.0301897198826
0.022, 0.81,0.81,,,0.4668787,1.536591,1.092381,,,0.4675554,1.540574,1.092195,,45.8734855478893,37.6173375240337,9.9308386447539
0.033, 1.21,1.21,,,0.4657564,1.534574,1.091608,,,0.4667545,1.540521,1.091322,,45.8734855478893,37.6313359963481,9.83783196141399
0.044, 1.72,1.72,,,0.4641296,1.532654,1.091374,,,0.465535,1.541138,1.090944,,45.8734855478893,37.5947944853054,9.75675078803305
0.058, 2.16,2.16,,,0.4629273,1.53149,1.091996,,,0.4646717,1.542123,1.091424,,45.8734855478893,37.5138430855151,9.72119880061882
0.066, 2.5,2.5,,,0.4607705,1.531083,1.091996,,,0.4627846,1.543412,1.091294,,45.8734855478893,37.3999804201249,9.73770822115697
0.077, 2.87,2.87,,,0.4583972,1.530534,1.091722,,,0.4606995,1.544654,1.090902,,45.8734855478893,37.3649654563192,9.73896070706116
0.09, 3.18,3.18,,,0.4556177,1.529916,1.090553,,,0.4581807,1.545589,1.089658,,45.8734855478893,37.3899878536473,9.74783909896147
0.1, 3.61,3.61,,,0.451906,1.529095,1.089065,,,0.4548097,1.546902,1.088077,,45.8734855478893,37.4777250461892,9.6946472947329
0.111, 4.08,4.08,,,0.4497652,1.527608,1.088527,,,0.4530231,1.547738,1.087431,,45.8734855478893,37.5638503141318,9.61355672984212
0.121, 4.56,4.56,,,0.4482007,1.526693,1.089369,,,0.4517835,1.549162,1.088132,,45.8734855478893,37.6236486186512,9.49649326714121
0.133, 5.14,5.14,,,0.4460387,1.52588,1.090612,,,0.4500235,1.551222,1.089181,,45.8734855478893,37.6413456382982,9.4034336498367
0.144, 5.55,5.55,,,0.4444204,1.525769,1.092082,,,0.448673,1.553165,1.090479,,45.8734855478893,37.6266709772748,9.33306733541806
0.155, 5.99,5.99,,,0.4424598,1.525118,1.09267,,,0.4470151,1.554689,1.090899,,45.8734855478893,37.60838997647,9.29766475838776
0.166, 6.4,6.4,,,0.4402242,1.52511,1.093566,,,0.445065,1.556669,1.091647,,45.8734855478893,37.5943027116989,9.28008299817975
0.177, 6.02,6.02,,,0.4347849,1.529589,1.091483,,,0.4395878,1.559225,1.089654,,45.8734855478893,37.2441155076026,9.75163070761896
0.189, 6.1,6.1,,,0.4292481,1.531397,1.089126,,,0.4342844,1.561437,1.087367,,45.8734855478893,37.1814758444675,9.99046448700158
0.199, 6.11,6.11,,,0.4248625,1.533376,1.087506,,,0.4300058,1.563469,1.085859,,45.8734855478893,37.2340307335737,10.100359666368
0.211, 5.86,5.86,,,0.4181888,1.538777,1.086461,,,0.4234205,1.567581,1.084879,,45.8734855478893,36.8526637167839,10.6749390690225
0.222, 6.07,6.07,,,0.4160132,1.537981,1.08458,,,0.4212601,1.567852,1.083089,,45.8734855478893,37.2782357166519,10.2829639149733
