経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.1,-0.1,,,-0.1621688,1.666389,1.359432,,,-0.162101,1.665877,1.359393,,45.0005395849294,37.6702680735338,8.81781836933792
0.01, 2.16,2.16,,,-0.1499916,1.665773,1.368155,,,-0.151553,1.676425,1.368795,,45.0005395849294,36.7956043180455,9.10057624027694
0.022, 3.12,3.12,,,-0.1422407,1.667982,1.37085,,,-0.144588,1.68339,1.371714,,45.0005395849294,36.4567518125614,9.30951513626796
0.033, 4.24,4.24,,,-0.1333884,1.67044,1.376877,,,-0.136636,1.691342,1.377875,,45.0005395849294,36.2549743697159,9.30894566926176
0.043, 3.58,3.58,,,-0.129987,1.677683,1.380515,,,-0.1325823,1.695395,1.381311,,45.0005395849294,36.739924617481,8.78936807091558
0.055, 2.3,2.3,,,-0.1276844,1.687414,1.377894,,,-0.129193,1.698785,1.378509,,45.0005395849294,37.5496776719984,8.25092975947489
0.066, 1.76,1.76,,,-0.1243622,1.693814,1.370361,,,-0.1254376,1.70254,1.370986,,45.0005395849294,38.158752944096,8.23880788158274
0.077, 2.03,2.03,,,-0.1184925,1.698212,1.367784,,,-0.1196972,1.708281,1.3686,,45.0005395849294,38.4114733514485,8.36593050510386
0.089, 3.18,3.18,,,-0.10924,1.701125,1.367724,,,-0.1111412,1.716837,1.369066,,45.0005395849294,38.3606635756267,8.5693967121747
0.099, 4.29,4.29,,,-0.1001845,1.703984,1.368013,,,-0.1028038,1.725174,1.369881,,45.0005395849294,38.2322047963864,8.78073641959217
0.11, 4.7,4.7,,,-0.09282637,1.709076,1.370486,,,-0.09562956,1.732348,1.372477,,45.0005395849294,38.3929806147853,8.55258078690607
0.122, 5.19,5.19,,,-0.08457607,1.714662,1.373715,,,-0.08764032,1.740338,1.375809,,45.0005395849294,38.4310725787265,8.36808969859514
0.132, 4.56,4.56,,,-0.08017267,1.722753,1.373001,,,-0.08261165,1.745366,1.374869,,45.0005395849294,39.0822559658855,7.89088061626518
0.143, 4.03,4.03,,,-0.07530189,1.730744,1.374516,,,-0.07726781,1.75071,1.376136,,45.0005395849294,39.602484139732,7.43218134607088
0.154, 4.05,4.05,,,-0.06994072,1.736099,1.37572,,,-0.07178289,1.756195,1.377374,,45.0005395849294,39.9921020248095,7.19276529307772
0.166, 5.25,5.25,,,-0.06175129,1.737731,1.374745,,,-0.06418991,1.763788,1.377009,,45.0005395849294,39.9099143608138,7.44903227605802
0.177, 5.26,5.26,,,-0.05721151,1.742393,1.375124,,,-0.05950275,1.768475,1.377469,,45.0005395849294,40.2513725833938,7.34614487058499
0.188, 4.96,4.96,,,-0.0535459,1.747825,1.371413,,,-0.05552852,1.772449,1.373768,,45.0005395849294,40.6997779050217,7.32024564774666
0.199, 4.28,4.28,,,-0.05184622,1.753326,1.368009,,,-0.05339873,1.774579,1.370136,,45.0005395849294,41.1491804342406,7.26846769263694
0.21, 4.51,4.51,,,-0.04805582,1.755983,1.365002,,,-0.04963578,1.778342,1.367323,,45.0005395849294,41.3079037808511,7.36524378652017
0.221, 5.49,5.49,,,-0.041869,1.756827,1.36818,,,-0.04391533,1.784063,1.370849,,45.0005395849294,41.017931522802,7.23993457817322
0.232, 6.38,6.38,,,-0.03477572,1.759008,1.37284,,,-0.0372677,1.79071,1.375664,,45.0005395849294,40.7676290023485,6.96426943160306
0.243, 6.84,6.84,,,-0.02876916,1.762501,1.375757,,,-0.03152236,1.796456,1.378611,,45.0005395849294,40.5990906741738,6.84332300646705
0.255, 5.43,5.43,,,-0.02959531,1.76951,1.376243,,,-0.03148028,1.796498,1.37853,,45.0005395849294,41.2380582683422,6.46086444010095
0.265, 5.09,5.09,,,-0.02638806,1.774587,1.375042,,,-0.02808571,1.799892,1.37727,,45.0005395849294,41.4128462194335,6.5177334473216
0.277, 4.81,4.81,,,-0.02454865,1.778021,1.37535,,,-0.02604297,1.801935,1.377479,,45.0005395849294,41.6787864575566,6.41514827771093
0.288, 5.98,5.98,,,-0.01818424,1.778053,1.37575,,,-0.02023521,1.807743,1.378417,,45.0005395849294,41.3100587054743,6.66417952924061
0.3, 7.2,7.2,,,-0.01132253,1.778209,1.380667,,,-0.01400071,1.813977,1.383656,,45.0005395849294,40.9473107838439,6.59121262036785
0.31, 9.32,9.32,,,-0.001056306,1.776598,1.383506,,,-0.005113065,1.822865,1.387244,,45.0005395849294,40.2086531664187,6.97051905451971
0.321, 9.09,9.09,,,0.003431942,1.782578,1.387683,,,-0.0002557337,1.827722,1.391189,,45.0005395849294,40.5308468409807,6.60470651247136
0.332, 9.72,9.72,,,0.009869412,1.785739,1.385874,,,0.006037116,1.834015,1.389854,,45.0005395849294,40.6863258478257,6.71118702423465
0.344, 9.83,9.83,,,0.0142579,1.789887,1.38228,,,0.01071429,1.838692,1.386687,,45.0005395849294,41.1135234326708,6.80524171469618
0.354, 9.89,9.89,,,0.01915365,1.794856,1.379699,,,0.01601362,1.843992,1.384491,,45.0005395849294,41.6487131354779,6.86052654496029
0.366, 9.71,9.71,,,0.02280331,1.799908,1.37885,,,0.02016482,1.848143,1.383744,,45.0005395849294,42.19361195192,6.79719617896461
0.377, 9.5,9.5,,,0.02643285,1.805153,1.378676,,,0.02435958,1.852337,1.38357,,45.0005395849294,42.8160675642294,6.65711284496723
0.388, 9.46,9.46,,,0.0310549,1.810497,1.376889,,,0.02951244,1.85749,1.381961,,45.0005395849294,43.4717827817766,6.67561710757434
0.399, 9.85,9.85,,,0.03648251,1.81432,1.375384,,,0.03525439,1.863232,1.380846,,45.0005395849294,43.9323390095998,6.77363885717278
0.41, 10.94,10.94,,,0.04397358,1.816419,1.375224,,,0.04276791,1.870746,1.381437,,45.0005395849294,44.1149406968842,6.8899966759747
0.421, 9.76,9.76,,,0.0509009,1.81851,1.374514,,,0.04995948,1.866986,1.380177,,45.0005259245515,46.4834794804048,7.00017274686295
0.432, 7.82,7.82,,,0.05900491,1.819847,1.373959,,,0.05830282,1.858643,1.378567,,45.0005259245515,46.4210993644509,7.09832170873114
0.444, 6.18,6.18,,,0.06726035,1.819604,1.375738,,,0.06665641,1.850289,1.379346,,45.0005259245515,46.5030855378717,7.04514441865416
0.455, 4.8,4.8,,,0.07310025,1.820441,1.376818,,,0.0726891,1.844257,1.379604,,45.0005259245515,46.3626670977275,6.991087741746
0.466, 3.59,3.59,,,0.07775956,1.821592,1.375595,,,0.07754301,1.839403,1.377706,,45.0005259245515,46.0839100099835,7.04308383601627
0.477, 2.82,2.82,,,0.08423956,1.818889,1.375197,,,0.08403468,1.832911,1.376873,,45.0005259245515,46.2290446956183,7.11469111039521
0.488, 2.25,2.25,,,0.09159088,1.814431,1.376448,,,0.09134817,1.825597,1.377762,,45.0005259245515,46.6193114486489,7.06655193846455
0.499, 1.91,1.91,,,0.09874338,1.808977,1.377431,,,0.09848535,1.81846,1.378541,,45.0005259245515,46.9252253677772,7.09580606475247
0.51, 1.55,1.55,,,0.1069617,1.802545,1.381237,,,0.1066823,1.810263,1.382092,,45.0005259245515,47.3962044639838,6.88746267586314
0.521, 1.21,1.21,,,0.1134582,1.797749,1.381853,,,0.1132087,1.803737,1.382517,,45.0005259245515,47.7055266474131,6.99139638091053
0.533, 1.52,1.52,,,0.1177253,1.792,1.383756,,,0.1173919,1.799554,1.384567,,45.0005259245515,47.8256969923263,6.85082810349558
0.544, 1.77,1.77,,,0.1208587,1.787702,1.383307,,,0.1204722,1.796474,1.384264,,45.0005259245515,47.8308059736833,6.94277397310955
0.555, 2.24,2.24,,,0.1225432,1.783723,1.380879,,,0.1220905,1.794855,1.382145,,45.0005259245515,47.665365136211,7.12102995265541
0.566, 2.94,2.94,,,0.1245901,1.778322,1.380902,,,0.124016,1.79293,1.382574,,45.0005259245515,47.5931495481261,7.13962898413461
0.577, 3.51,3.51,,,0.1267391,1.773492,1.376975,,,0.126062,1.790884,1.379044,,45.0005259245515,47.5992489068852,7.37525342847028
0.588, 4.24,4.24,,,0.1285721,1.768137,1.373298,,,0.1277732,1.789173,1.375874,,45.0005259245515,47.5667098865847,7.54345366229041
0.599, 4.94,4.94,,,0.1306053,1.762744,1.369596,,,0.1296908,1.787255,1.372693,,45.0005259245515,47.5544223766098,7.74668593538869
0.611, 5.77,5.77,,,0.132626,1.756743,1.367203,,,0.1315854,1.78536,1.370854,,45.0005259245515,47.5089059972474,7.79772281499409
0.622, 6.67,6.67,,,0.1350201,1.750037,1.367415,,,0.1338314,1.783114,1.37159,,45.0005259245515,47.475851297679,7.71673214161714
0.633, 7.4,7.4,,,0.1383416,1.743257,1.367395,,,0.1370091,1.779937,1.371993,,45.0005259245515,47.4922437512309,7.67593200774543
0.644, 7.79,7.79,,,0.1409967,1.738614,1.366616,,,0.1396927,1.777253,1.371424,,45.0005259245515,47.3408287068289,7.587316282146
0.655, 7.88,7.88,,,0.1427563,1.736175,1.365721,,,0.1416813,1.775265,1.370554,,45.0005259245515,46.9833127099572,7.46258678608873
0.666, 8.06,8.06,,,0.1447409,1.733086,1.365626,,,0.1438814,1.773064,1.370546,,45.0005259245515,46.6409563175264,7.36716136207629
0.677, 8.1,8.1,,,0.1474008,1.729993,1.364868,,,0.146762,1.770184,1.369898,,45.0005259245515,46.3386794740299,7.43935902091518
0.688, 7.94,7.94,,,0.1493923,1.728479,1.363462,,,0.1491053,1.76784,1.36852,,45.0005259245515,45.8763473970719,7.5832284140415
0.699, 7.53,7.53,,,0.1513307,1.728228,1.363708,,,0.1513985,1.765547,1.368501,,45.0005259245515,45.3625020348271,7.56968244174703
0.71, 6.66,6.66,,,0.1493228,1.733804,1.364795,,,0.1501172,1.766828,1.368978,,45.0005259245515,44.0961166960555,7.59155697572892
0.722, 5.91,5.91,,,0.1533641,1.7334,1.3629,,,0.1542636,1.762682,1.366656,,45.0005259245515,43.7328701706295,7.75643432261032
0.733, 4.98,4.98,,,0.1579164,1.733462,1.362565,,,0.1588078,1.758138,1.365711,,45.0005259245515,43.4228274022628,7.7890843334817
0.743, 4.16,4.16,,,0.1625662,1.732897,1.36289,,,0.1634203,1.753525,1.365474,,45.0005259245515,43.1091919544927,7.75486508669217
0.755, 3.22,3.22,,,0.1678945,1.732323,1.363663,,,0.1686413,1.748304,1.365645,,45.0005259245515,42.7992277332993,7.78247954073809
0.767, 2.58,2.58,,,0.1740824,1.729442,1.363375,,,0.1746988,1.742247,1.364975,,45.0005259245515,42.7268823716238,7.8576269874427
0.778, 2.52,2.52,,,0.1854219,1.718611,1.364012,,,0.1858594,1.731086,1.365573,,45.0005259245515,43.4643993474893,7.64423907710487
0.789, 2.47,2.47,,,0.1981896,1.706257,1.371933,,,0.1984344,1.718511,1.373339,,45.0005259245515,44.2433140987623,6.89190357936053
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.57,-0.57,,,-0.1980282,1.633145,1.372401,,,-0.1976553,1.630323,1.372084,,45.0005395849294,37.9330869152931,10.0135684549999
0.011, 0.15,-0.15,,,-0.1991145,1.629718,1.373499,,,-0.1990177,1.62896,1.373415,,45.0005395849294,38.1653099255168,9.79554796898639
0.022, 0.75,0.75,,,-0.1990334,1.624799,1.372282,,,-0.1995045,1.628473,1.372696,,45.0005395849294,38.1497712455874,9.85582438673441
0.034, 0.77,-0.77,,,-0.2070043,1.625165,1.368321,,,-0.2065891,1.621389,1.367873,,45.0005395849294,39.2165374812312,9.37207027581441
0.044, 0.73,0.73,,,-0.2040967,1.619857,1.362693,,,-0.2045173,1.623461,1.363142,,45.0005395849294,38.8882239573432,9.87886176039014
