経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.3008441,1.767705,1.101138,,,0.2993419,1.763959,1.101005,,46.050527461344,24.2650762192172,21.9540510420022
0.011, 0.84,-0.84,,,0.3012247,1.767513,1.102226,,,0.2996674,1.763622,1.102091,,46.050527461344,24.3044198152889,21.9077560210962
0.022, 1.06,-1.06,,,0.301149,1.769028,1.102995,,,0.2991832,1.764124,1.102843,,46.050527461344,24.2596991529427,21.9232007859271
0.033, 1.02,-1.02,,,0.3014179,1.768483,1.104444,,,0.299529,1.763765,1.104314,,46.050527461344,24.2690804175067,21.8870964069791
0.043, 0.96,-0.96,,,0.3009577,1.768595,1.105043,,,0.2991735,1.764134,1.104936,,46.050527461344,24.2837004370183,21.8491564147427
0.066, 0.87,-0.87,,,0.3004178,1.768525,1.104328,,,0.2988137,1.764507,1.104233,,46.050527461344,24.3165963346929,21.8146929886972
0.079, 0.52,-0.52,,,0.2991277,1.767596,1.102527,,,0.2981723,1.765173,1.102469,,46.050527461344,24.5667246853275,21.5667810343866
0.091, 0.51,-0.51,,,0.2999507,1.76664,1.10421,,,0.2990382,1.764274,1.104163,,46.050527461344,24.978144533629,21.1319643737343
0.101, 0.54,-0.54,,,0.300711,1.766052,1.106172,,,0.2997497,1.763536,1.106134,,46.050527461344,25.1508339091562,20.9383660821922
0.113, 0.68,-0.68,,,0.3010655,1.766583,1.107651,,,0.2998601,1.763422,1.10761,,46.050527461344,25.1901467693775,20.8906469668838
0.125, 0.65,-0.65,,,0.3007272,1.766787,1.108097,,,0.2995595,1.763734,1.108056,,46.050527461344,25.1352491254512,20.9471565354094
0.134, 0.6,-0.6,,,0.3002727,1.766936,1.107832,,,0.2991913,1.764116,1.107788,,46.050527461344,25.0844188590625,21.0060549625307
0.146, 0.62,-0.62,,,0.3005232,1.766759,1.108429,,,0.2994211,1.763877,1.108384,,46.050527461344,25.1326280404302,20.9573659603872
0.159, 0.84,-0.84,,,0.3032747,1.76536,1.111678,,,0.3017871,1.761423,1.111631,,46.050527461344,25.3574368805161,20.7194055914204
0.17, 1.05,-1.05,,,0.306732,1.763134,1.116796,,,0.3048973,1.758197,1.116767,,46.050527461344,25.667809205501,20.3916350675563
0.182, 1.23,-1.23,,,0.3098577,1.761041,1.121287,,,0.3077373,1.755251,1.12128,,46.050527461344,25.9369801230117,20.1153983195458
0.194, 1.23,-1.23,,,0.3131931,1.757542,1.12606,,,0.3111078,1.751754,1.126075,,46.050527461344,26.2378789758815,19.8126570231987
0.206, 1.03,-1.03,,,0.3158616,1.753446,1.129322,,,0.31414,1.748609,1.129326,,46.050527461344,26.460524353608,19.5904931737953
0.217, 0.86,-0.86,,,0.3179024,1.750225,1.131828,,,0.3164758,1.746186,1.131818,,46.050527461344,26.5990747370662,19.4549839319804
0.228, 0.56,-0.56,,,0.3202561,1.745875,1.135007,,,0.3193261,1.743229,1.134987,,46.050527461344,26.6878945145614,19.3757947209469
0.24, 0.49,-0.49,,,0.3225152,1.743071,1.139472,,,0.3217053,1.740761,1.139451,,46.050527461344,26.7361839506496,19.3326074360267
0.251, 0.5,-0.5,,,0.3253951,1.740165,1.143914,,,0.3245622,1.737797,1.143891,,46.050527461344,26.6713739949661,19.3986758540298
0.262, 0.4,-0.4,,,0.3273901,1.737439,1.14836,,,0.3267237,1.735555,1.148341,,46.050527461344,26.5719008302095,19.498473452763
0.275, 0.32,-0.32,,,0.3298581,1.73438,1.152683,,,0.3293203,1.732862,1.152667,,46.050527461344,26.5567804993551,19.5146849063069
