経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.77,-0.77,,,-0.007045921,1.808382,1.24814,,,-0.006285526,1.804597,1.248054,,44.8235181620417,38.696025854542,11.4596654573438
0.01, 0.01,0.01,,,-0.005931091,1.805219,1.24868,,,-0.005943984,1.805282,1.248682,,44.8235181620417,38.675268910232,11.6248134504635
0.022, 0.85,0.85,,,-0.004154565,1.802054,1.24895,,,-0.005012989,1.806208,1.24906,,44.8235181620417,38.7017393076237,11.8035834017301
0.033, 1.85,1.85,,,-0.001897216,1.798854,1.249955,,,-0.003800206,1.807881,1.250214,,44.8235181620417,38.6768535140753,12.0463069737368
0.044, 2.79,2.79,,,0.0002208818,1.796285,1.251597,,,-0.002704576,1.80992,1.252001,,44.8235181620417,38.6042827561634,12.2572940726482
0.055, 3.71,3.71,,,0.001752414,1.793769,1.253714,,,-0.002174854,1.811881,1.254245,,44.8235181620417,38.522689318609,12.3779502147525
0.066, 4.23,4.23,,,0.001981091,1.791923,1.25503,,,-0.002514243,1.812601,1.255602,,44.8235181620417,38.4284941823865,12.3947311353026
0.078, 4.81,4.81,,,0.00222805,1.790075,1.256692,,,-0.002889082,1.813546,1.257314,,44.8235181620417,38.3551277074585,12.4195904618688
0.088, 4.74,4.74,,,0.00149481,1.790136,1.256997,,,-0.0035128,1.813298,1.257587,,44.8235181620417,38.3617973869974,12.3129720656654
0.1, 4.25,4.25,,,-1.757406E-05,1.791431,1.256436,,,-0.004457809,1.812185,1.256958,,44.8235181620417,38.4155646346475,12.1882869658365
0.112, 4.31,4.31,,,-0.0003417768,1.790848,1.256451,,,-0.004835621,1.811931,1.256977,,44.8235181620417,38.4299831635842,12.1433502987638
0.122, 4.53,4.53,,,-0.0008435082,1.789617,1.256918,,,-0.005570561,1.811766,1.257478,,44.8235181620417,38.4352150883428,12.1608552193458
0.133, 4.95,4.95,,,-0.0004189834,1.78836,1.257996,,,-0.005606554,1.812545,1.258616,,44.8235181620417,38.4224016538164,12.2217898965568
0.144, 5.46,5.46,,,-0.0004090928,1.786479,1.25934,,,-0.006169006,1.813143,1.260024,,44.8235181620417,38.3761271234773,12.3048023058718
0.154, 5.84,5.84,,,-0.0003407896,1.785821,1.261402,,,-0.006547362,1.814332,1.262084,,44.8235181620417,38.2451924007317,12.3826647526959
0.166, 6.31,6.31,,,-0.0003906246,1.784565,1.263521,,,-0.007146314,1.8154,1.264193,,44.8235181620417,38.1023014321768,12.4441313308737
0.177, 6.4,6.4,,,-0.001016455,1.784528,1.264884,,,-0.007912204,1.815789,1.265508,,44.8235181620417,37.9728181245895,12.5138931735676
0.188, 6.47,6.47,,,-0.001403028,1.784515,1.265829,,,-0.008389205,1.816103,1.266429,,44.8235181620417,37.9097823104936,12.5396839671559
0.199, 6.43,6.43,,,-0.001864433,1.784506,1.265968,,,-0.008816749,1.815884,1.266548,,44.8235181620417,37.8741560447742,12.5581997557069
0.211, 6.36,6.36,,,-0.002243947,1.7851,1.266689,,,-0.009142399,1.816152,1.267253,,44.8235181620417,37.839988024402,12.5883669928841
0.222, 6.32,6.32,,,-0.002681809,1.785089,1.266816,,,-0.009549737,1.815942,1.267363,,44.8235181620417,37.8071723814478,12.6103798381928
0.233, 6.35,6.35,,,-0.0034496,1.785062,1.267827,,,-0.01038244,1.816044,1.26834,,44.8235181620417,37.7177891133618,12.667458019951
0.244, 6.52,6.52,,,-0.003916519,1.784402,1.268741,,,-0.01108862,1.81618,1.269238,,44.8235181620417,37.6167774485374,12.7674861375623
0.255, 6.52,6.52,,,-0.00399787,1.784365,1.268808,,,-0.01121096,1.816134,1.269296,,44.8235181620417,37.5616953895086,12.8395915888499
0.266, 6.48,6.48,,,-0.005226834,1.783715,1.268912,,,-0.01245116,1.815315,1.269377,,44.8235181620417,37.4857607635241,12.9216443566133
0.277, 6.43,6.43,,,-0.005941018,1.783685,1.269228,,,-0.01314586,1.815019,1.269654,,44.8235181620417,37.3958857218314,12.9882600435083
0.289, 6.4,6.4,,,-0.007421477,1.783059,1.269642,,,-0.01461951,1.814236,1.27002,,44.8235181620417,37.2975549061817,13.0330694983112
0.3, 6.26,6.26,,,-0.009303614,1.781806,1.268691,,,-0.01638492,1.812282,1.269022,,44.8235181620417,37.1956519016954,13.1086481006952
0.31, 6.29,6.29,,,-0.01008231,1.780514,1.26794,,,-0.01727632,1.811114,1.268261,,44.8235181620417,37.0976318596442,13.2562126260597
0.322, 6.26,6.26,,,-0.01072218,1.779217,1.266575,,,-0.01797144,1.809654,1.266892,,44.8235181620417,37.0023507233739,13.4223953928099
0.333, 6.38,6.38,,,-0.01198622,1.777321,1.266185,,,-0.01946074,1.808308,1.266477,,44.8235181620417,36.8689161514617,13.5836313951913
0.344, 6.55,6.55,,,-0.01257594,1.775434,1.265662,,,-0.02035567,1.807263,1.265894,,44.8235181620417,36.6753520108646,13.7506568365069
0.356, 6.66,6.66,,,-0.01366271,1.773545,1.265062,,,-0.02167542,1.805864,1.265237,,44.8235181620417,36.4846394741665,13.9347594578196
0.367, 6.83,6.83,,,-0.01460117,1.771047,1.264024,,,-0.0229443,1.80418,1.264124,,44.8235181620417,36.2607595397819,14.1396907404266
0.377, 7.17,7.17,,,-0.01545307,1.767936,1.263341,,,-0.02434176,1.802667,1.263381,,44.8235181620417,36.0571311157228,14.3588808963029
0.389, 7.37,7.37,,,-0.0162309,1.765431,1.262339,,,-0.02551425,1.8011,1.262338,,44.8235181620417,35.8793208060078,14.5901579253529
0.4, 7.6,7.6,,,-0.01700006,1.762321,1.260704,,,-0.02672198,1.79906,1.26066,,44.8235181620417,35.7024598925611,14.8230007752264
0.411, 7.85,7.85,,,-0.0182041,1.759231,1.259669,,,-0.02835844,1.797138,1.259579,,44.8235181620417,35.5570280937056,14.9962809621004
0.422, 7.92,7.92,,,-0.0192579,1.756767,1.257889,,,-0.02957752,1.794997,1.25777,,44.8235181620417,35.4649981273899,15.1059618442876
0.435, 7.99,7.99,,,-0.02087591,1.753683,1.255793,,,-0.03137012,1.792251,1.255679,,44.8235181620417,35.4125900873467,15.2216481701355
0.444, 8.07,8.07,,,-0.02171247,1.751211,1.253822,,,-0.03240222,1.790125,1.253705,,44.8235181620417,35.3395548765842,15.3603641856764
0.455, 8.22,8.22,,,-0.02301358,1.74875,1.252955,,,-0.03400744,1.788341,1.252787,,44.8235181620417,35.1998638515663,15.5189167775624
0.466, 8.41,8.41,,,-0.02364488,1.746301,1.251834,,,-0.03501105,1.786774,1.251575,,44.8235181620417,35.011992673484,15.6865705962641
0.477, 8.66,8.66,,,-0.02403058,1.743863,1.251047,,,-0.03588252,1.7855,1.250644,,44.8235181620417,34.7555907942713,15.8910801147016
0.489, 8.82,8.82,,,-0.0241043,1.742033,1.250089,,,-0.03635971,1.784398,1.249562,,44.8235181620417,34.5013267642094,16.1393779746896
0.5, 9.08,9.08,,,-0.02415563,1.739599,1.249056,,,-0.03695949,1.783151,1.248399,,44.8235181620417,34.2521648853154,16.3919993443019
0.511, 9.12,9.12,,,-0.0250031,1.737778,1.247852,,,-0.03803278,1.781471,1.247097,,44.8235181620417,34.0379394230539,16.6188265052314
0.523, 9.12,9.12,,,-0.02554277,1.736586,1.246902,,,-0.03870986,1.780236,1.246027,,44.8235181620417,33.8173379793797,16.8062964097112
0.533, 8.99,8.99,,,-0.02683382,1.735413,1.245656,,,-0.03987522,1.778435,1.244646,,44.8235181620417,33.6149014232975,16.8938440645089
0.544, 8.75,8.75,,,-0.02884854,1.734852,1.244975,,,-0.04157528,1.776673,1.243853,,44.8235181620417,33.4255002828837,16.9674086149174
0.555, 8.54,8.54,,,-0.03029363,1.734283,1.244051,,,-0.04276282,1.775112,1.242834,,44.8235181620417,33.2564360301576,17.0361886179454
0.567, 8.42,8.42,,,-0.03118502,1.7331,1.242367,,,-0.04356254,1.773294,1.241062,,44.8235181620417,33.0641969462225,17.1809271526194
0.577, 8.32,8.32,,,-0.0317251,1.731922,1.240654,,,-0.04409459,1.77164,1.239256,,44.8235181620417,32.8462524460614,17.3753843404257
0.589, 8.27,8.27,,,-0.03213272,1.73076,1.239122,,,-0.04455243,1.770153,1.23761,,44.8235181620417,32.5981424162704,17.5916486140977
0.6, 8.21,8.21,,,-0.03225424,1.72963,1.237375,,,-0.04474533,1.768675,1.235713,,44.8235181620417,32.2850294779573,17.8547867671919
0.611, 8.22,8.22,,,-0.0323024,1.728508,1.236158,,,-0.04497827,1.767541,1.234343,,44.8235181620417,31.9781968984112,18.1284024301812
0.622, 8.29,8.29,,,-0.03249127,1.727397,1.235608,,,-0.04543523,1.766717,1.233634,,44.8235181620417,31.6934907160656,18.3818331771876
0.633, 8.23,8.23,,,-0.03316117,1.726283,1.234426,,,-0.04612997,1.765301,1.232326,,44.8235181620417,31.4443220069827,18.5706332609713
0.644, 8.06,8.06,,,-0.03425796,1.725744,1.233392,,,-0.04701895,1.763902,1.231237,,44.8235181620417,31.2691105841747,18.6946985211503
0.656, 7.73,7.73,,,-0.03572041,1.725169,1.23132,,,-0.04799631,1.761762,1.229187,,44.8235181620417,31.1586971642194,18.7623771562053
0.667, 7.33,7.33,,,-0.0376847,1.724584,1.229051,,,-0.04935737,1.75924,1.226982,,44.8235181620417,31.0593247447501,18.8416876030932
0.677, 7.04,7.04,,,-0.03895887,1.723983,1.22712,,,-0.05022986,1.757295,1.225104,,44.8235181620417,30.9834959866948,18.9263973143697
0.689, 6.87,6.87,,,-0.03993964,1.72281,1.224978,,,-0.05098993,1.755245,1.222965,,44.8235181620417,30.8549620753757,19.057246659753
0.7, 6.75,6.75,,,-0.04127111,1.721675,1.223856,,,-0.05222746,1.75355,1.221805,,44.8235181620417,30.6757310863529,19.2301682617055
0.711, 6.86,6.86,,,-0.04204399,1.719368,1.222429,,,-0.05330241,1.751691,1.220251,,44.8235181620417,30.4244416035918,19.4870516692413
0.723, 7.03,7.03,,,-0.04206315,1.717698,1.221771,,,-0.0537523,1.750782,1.219416,,44.8235181620417,30.127731364114,19.7724972195439
0.733, 7.1,7.1,,,-0.04273862,1.716071,1.220927,,,-0.05467801,1.749396,1.218381,,44.8235181620417,29.7695118577773,20.0681863457692
0.744, 7.07,7.07,,,-0.04334223,1.715038,1.220058,,,-0.05533958,1.748201,1.217353,,44.8235181620417,29.4457301642774,20.2936918651311
0.755, 7.18,7.18,,,-0.04366301,1.713384,1.219152,,,-0.05591443,1.747006,1.216238,,44.8235181620417,29.146164905806,20.476862165648
0.767, 7.16,7.16,,,-0.04442696,1.712313,1.218366,,,-0.05672969,1.745797,1.215343,,44.8235181620417,28.9086724047843,20.6655341833883
0.778, 7.09,7.09,,,-0.04530217,1.711204,1.217172,,,-0.05756362,1.744332,1.214106,,44.8235181620417,28.7410800577834,20.8230998129667
0.79, 7.02,7.02,,,-0.04619803,1.710096,1.215971,,,-0.05840954,1.742856,1.212864,,44.8235181620417,28.5747769089524,20.978274876402
0.8, 6.83,6.83,,,-0.04776113,1.708947,1.214337,,,-0.05971634,1.74081,1.211276,,44.8235181620417,28.4652992248874,21.1111715709321
0.818, 6.81,6.81,,,-0.04870546,1.707182,1.212613,,,-0.06068242,1.738894,1.209533,,44.8235181620417,28.3614035127662,21.2434911144933
