経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.53,-0.53,,,-0.1932272,1.638466,1.349688,,,-0.1915897,1.636388,1.349611,,45.0005395849294,6.96728239871684,38.2781207418041
0.01, 0.27,0.27,,,-0.1924494,1.633634,1.348523,,,-0.193289,1.634689,1.348557,,45.0005395849294,6.64865280214195,38.5489138291975
0.022, 1.19,1.19,,,-0.1906323,1.628978,1.348124,,,-0.1943657,1.633612,1.348252,,45.0005395849294,6.2669135400528,38.8806526928589
0.033, 2.02,2.02,,,-0.1887395,1.625033,1.347289,,,-0.1951219,1.632856,1.347476,,45.0005395849294,5.8839653345142,39.2320727460661
0.043, 2.92,2.92,,,-0.1863615,1.621085,1.345581,,,-0.1956484,1.632329,1.345817,,45.0005395849294,5.52410615593549,39.5697470439511
0.055, 3.68,3.68,,,-0.1850477,1.616993,1.344143,,,-0.1968431,1.631135,1.344414,,45.0005395849294,5.23603610551731,39.8457925466701
0.065, 4.33,4.33,,,-0.1841117,1.613379,1.343114,,,-0.1980376,1.62994,1.343415,,45.0005395849294,5.00519407412804,40.0714961415124
0.077, 4.98,4.98,,,-0.1838027,1.609112,1.342481,,,-0.1998879,1.62809,1.34279,,45.0005395849294,4.76970111093024,40.2941124909358
0.088, 5.6,5.6,,,-0.1832317,1.60524,1.343106,,,-0.2014136,1.626564,1.343369,,45.0005395849294,4.57962378180734,40.4593518378331
0.099, 6.2,6.2,,,-0.183019,1.601223,1.343034,,,-0.2031917,1.624786,1.343238,,45.0005395849294,4.44884572652151,40.5717357673091
0.11, 6.81,6.81,,,-0.1826243,1.597348,1.342402,,,-0.2048262,1.623152,1.342567,,45.0005395849294,4.29919713974453,40.7128782074852
0.122, 7.5,7.5,,,-0.181479,1.593589,1.341284,,,-0.2060252,1.621953,1.341434,,45.0005395849294,4.1336542763244,40.8753479127512
0.132, 8.21,8.21,,,-0.1801851,1.589868,1.341129,,,-0.2071521,1.620826,1.341231,,45.0005395849294,3.94392059108455,41.0604152982573
0.144, 8.84,8.84,,,-0.178894,1.586714,1.342094,,,-0.2080324,1.619945,1.342094,,45.0005395849294,3.75441955915684,41.2461657026614
