経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.71,-0.71,,,-0.1301301,1.632499,1.118746,,,-0.1299478,1.628954,1.119039,,44.8234874261913,39.5825126671546,5.36907025760058
0.011, 0.29,0.29,,,-0.1287941,1.628505,1.119465,,,-0.1288746,1.62993,1.119346,,44.8234874261913,39.3920801682048,5.51700617449084
0.022, 0.78,0.78,,,-0.128751,1.626926,1.121014,,,-0.1289697,1.630807,1.120682,,44.8234874261913,39.3048279190805,5.62040285592969
0.033, 1.23,1.23,,,-0.1290371,1.623508,1.119901,,,-0.1293857,1.629605,1.119398,,44.8234874261913,39.3746461108335,5.52424788235682
0.044, 0.21,0.21,,,-0.1304635,1.627507,1.119149,,,-0.1305192,1.628566,1.119062,,44.8234874261913,39.5798488934525,5.36045013222108
0.055, 0.36,0.36,,,-0.1332293,1.624121,1.118228,,,-0.1333106,1.625901,1.118084,,44.8234874261913,39.932839890125,5.06275677241696
0.066, 0.94,0.94,,,-0.1308204,1.62302,1.11873,,,-0.1310577,1.627689,1.11836,,44.8234874261913,39.7677883734246,5.16008141585264
0.077, 1.01,1.01,,,-0.1304606,1.622265,1.117838,,,-0.1307225,1.627276,1.117441,,44.8234874261913,39.7097112765282,5.20495874565856
0.089, 1.42,1.42,,,-0.1299404,1.621033,1.118763,,,-0.1303179,1.628098,1.118199,,44.8234874261913,39.6367341223719,5.27258273920176
0.102, 1.21,1.21,,,-0.1298795,1.622444,1.119082,,,-0.1301932,1.628467,1.118596,,44.8234874261913,39.6590039535411,5.26830704090031
0.11, 1.14,1.14,,,-0.1303303,1.62271,1.119324,,,-0.1306092,1.628363,1.118866,,44.8234874261913,39.7509826934395,5.20766862313635
0.121, 1.34,1.34,,,-0.1297022,1.62267,1.120222,,,-0.1300404,1.62934,1.119678,,44.8234874261913,39.67742497322,5.27105875328561
0.132, 1.51,1.51,,,-0.1286803,1.622686,1.120558,,,-0.1290688,1.630212,1.119939,,44.8234874261913,39.6105437627283,5.33465293533063
0.144, 1.46,1.46,,,-0.1285072,1.623373,1.120955,,,-0.1288851,1.630633,1.120351,,44.8234874261913,39.5542971564785,5.39488495685028
0.156, 1.6,1.6,,,-0.1275277,1.624058,1.122081,,,-0.1279493,1.632041,1.121407,,44.8234874261913,39.480725775881,5.46995300260799
0.167, 0.12,0.12,,,-0.1302182,1.630085,1.121842,,,-0.1302438,1.630689,1.121789,,44.8234874261913,39.8279759987159,5.2972755799115
0.177, 0.61,-0.61,,,-0.1309371,1.633311,1.121516,,,-0.1308216,1.630272,1.121778,,44.8234874261913,40.0137059125531,5.15863811154382
0.188, 0.07,0.07,,,-0.1287249,1.63167,1.122196,,,-0.1287404,1.632018,1.122165,,44.8234874261913,39.803930318412,5.27926778666588
0.199, 0.46,-0.46,,,-0.1288459,1.635848,1.124126,,,-0.128751,1.633541,1.124331,,44.8234874261913,39.7711180905524,5.38208432892824
0.21, 0.08,0.08,,,-0.1277307,1.632859,1.122963,,,-0.1277489,1.633258,1.122927,,44.8234874261913,39.7398904665361,5.33340386452092
0.221, 0.29,0.29,,,-0.1254679,1.634489,1.124602,,,-0.1255369,1.635918,1.124478,,44.8234874261913,39.582724403013,5.44485333876713
0.233, 0.63,0.63,,,-0.1235933,1.634344,1.125138,,,-0.123748,1.63746,1.124869,,44.8234874261913,39.5303470988203,5.47478749574536
0.244, 0.83,0.83,,,-0.1235369,1.633744,1.125824,,,-0.1237424,1.637886,1.125466,,44.8234874261913,39.5326317970341,5.47260354281902
0.255, 0.74,0.74,,,-0.1239295,1.633703,1.125416,,,-0.1241083,1.63737,1.125102,,44.8234874261913,39.6026685548345,5.40453857519981
0.266, 0.89,0.89,,,-0.1233896,1.63301,1.12507,,,-0.1236044,1.637439,1.124695,,44.8234874261913,39.6506984437414,5.35005799968809
0.277, 1.14,1.14,,,-0.1226951,1.632258,1.125233,,,-0.1229712,1.637932,1.124759,,44.8234874261913,39.6878205208474,5.29953167670894
0.288, 1.27,1.27,,,-0.1231323,1.631049,1.124974,,,-0.1234342,1.637384,1.124448,,44.8234874261913,39.7498796179192,5.24422507521746
0.299, 1.09,1.09,,,-0.1241817,1.630584,1.123911,,,-0.124411,1.636005,1.123474,,44.8234874261913,40.0581636126236,4.98251784671462
0.324, 0.97,0.97,,,-0.1244879,1.630599,1.123306,,,-0.1246802,1.635426,1.122925,,44.8234874261913,40.2283275257754,4.82876602390794
0.333, 1.2,1.2,,,-0.1235541,1.63049,1.124019,,,-0.1238146,1.636471,1.123537,,44.8234874261913,40.0123979313634,5.00969346111858
0.344, 1.53,1.53,,,-0.1226952,1.629872,1.124779,,,-0.1230301,1.63747,1.124165,,44.8234874261913,39.9786807034639,5.0391337100562
0.355, 1.64,1.64,,,-0.1219689,1.629891,1.124929,,,-0.1223299,1.638038,1.124268,,44.8234874261913,39.9579032685869,5.06004689493917
0.366, 1.64,1.64,,,-0.1219776,1.629903,1.124964,,,-0.1223382,1.638056,1.124302,,44.8234874261913,39.9599659856589,5.05915640905091
0.377, 1.74,1.74,,,-0.1212703,1.629891,1.124989,,,-0.1216538,1.63853,1.124288,,44.8234874261913,39.9544198722072,5.06225347286651
0.388, 1.81,1.81,,,-0.1205703,1.630517,1.125718,,,-0.1209703,1.639508,1.124987,,44.8234874261913,39.9452196076512,5.07161125865584
