経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 1,-1,,,-0.1217638,1.579978,0.9892074,,,-0.1208896,1.577083,0.9931781,,45.8734855478893,26.2711915150839,54.3061939568765
0.01, 1.01,-1.01,,,-0.1223081,1.580114,0.9898316,,,-0.121429,1.577184,0.9938552,,45.8734855478893,26.3446194617128,54.3212920896166
0.023, 1.26,-1.26,,,-0.1228863,1.580881,0.9892418,,,-0.121797,1.577219,0.9942714,,45.8734855478893,26.4178339649361,54.3205100329784
0.034, 1.31,-1.31,,,-0.1231661,1.580994,0.9892733,,,-0.1220414,1.577199,0.994488,,45.8734855478893,26.4573978346024,54.3281939955809
0.044, 1.25,-1.25,,,-0.123193,1.581054,0.9899162,,,-0.1221208,1.577435,0.99489,,45.8734855478893,26.4658519010123,54.3368546752074
0.055, 1.16,-1.16,,,-0.1229881,1.581097,0.9905787,,,-0.121992,1.577747,0.9951861,,45.8734855478893,26.4495243342558,54.3539472231298
0.066, 0.53,-0.53,,,-0.1216131,1.579924,0.9931448,,,-0.1211549,1.578401,0.9952407,,45.8734855478893,26.3760383310206,54.3933027720322
0.076, 0.55,0.55,,,-0.1188086,1.577768,0.9968804,,,-0.1193023,1.579358,0.9946921,,45.8734855478893,26.1213815650923,54.4299501510041
0.088, 1.38,1.38,,,-0.1162101,1.576033,0.9992452,,,-0.1174804,1.580017,0.9937696,,45.8734855478893,25.8684596671649,54.4229184714492
0.099, 2.14,2.14,,,-0.1144063,1.573937,1.001362,,,-0.1164271,1.580134,0.9928748,,45.8734855478893,25.6063938537406,54.370906582367
0.111, 2.69,2.69,,,-0.1135227,1.57212,1.002928,,,-0.1160953,1.579928,0.9922626,,45.8734855478893,25.4616604417083,54.3182970517489
0.123, 2.83,2.83,,,-0.1138743,1.571671,1.00384,,,-0.1165615,1.579877,0.9926598,,45.8734855478893,25.4571234886784,54.2415018219529
0.132, 2.39,2.39,,,-0.1148001,1.572903,1.002526,,,-0.1170414,1.579838,0.9930859,,45.8734855478893,25.5511427475346,54.2021121221056
0.143, 2.03,2.03,,,-0.1154198,1.574402,1.002016,,,-0.1173102,1.580299,0.9939827,,45.8734855478893,25.6384650060959,54.2140444622535
0.154, 1.88,1.88,,,-0.1163076,1.575219,1.00272,,,-0.1180553,1.58069,0.995261,,45.8734855478893,25.6838652722456,54.2278653496545
0.166, 1.83,1.83,,,-0.1164573,1.575941,1.003381,,,-0.1181524,1.581256,0.9961303,,45.8734855478893,25.7084078487978,54.235508331123
0.177, 1.72,1.72,,,-0.1170686,1.576723,1.004095,,,-0.1186626,1.58172,0.9972729,,45.8734855478893,25.7229049249078,54.25678778489
0.188, 1.69,1.69,,,-0.116938,1.577548,1.004849,,,-0.1185096,1.582462,0.9981318,,45.8734855478893,25.7288369440368,54.2924277109874
0.199, 1.45,1.45,,,-0.1178258,1.579124,1.00571,,,-0.1191749,1.583318,0.9999641,,45.8734855478893,25.7278141232371,54.3588854497623
0.21, 1.26,1.26,,,-0.1181594,1.580694,1.00656,,,-0.119342,1.58435,1.001539,,45.8734855478893,25.7331706989446,54.4255036979782
0.221, 1,1,,,-0.1187751,1.583065,1.008103,,,-0.1197146,1.585963,1.00411,,45.8734855478893,25.787964182489,54.5180425133729
0.232, 0.56,0.56,,,-0.1201614,1.585689,1.009167,,,-0.1206879,1.587311,1.006921,,45.8734855478893,25.882888441385,54.6426934622569
