経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,0.08234613,1.807106,1.190615,,,0.08066106,1.802845,1.190491,,44.7500116682395,50.3343912537153,21.6500307927687
0.011, 0.76,-0.76,,,0.08184569,1.806424,1.190634,,,0.0804472,1.802885,1.190532,,44.7500116682395,50.3279401402238,21.6333156127875
0.021, 0.87,-0.87,,,0.08196589,1.806193,1.189903,,,0.08036423,1.802132,1.189778,,44.7500116682395,50.4070303135171,21.6060648663047
0.034, 0.63,-0.63,,,0.08160464,1.804727,1.189532,,,0.08045024,1.801793,1.189439,,44.7500116682395,50.4395215224947,21.563138836113
0.044, 0.44,-0.44,,,0.0818886,1.803172,1.188831,,,0.08108172,1.801115,1.188762,,44.7500116682395,50.517573507063,21.5185394096212
0.055, 0.31,-0.31,,,0.08183155,1.802611,1.188883,,,0.08127347,1.801189,1.188836,,44.7500116682395,50.5177989032993,21.5310676837577
0.066, 0.3,-0.3,,,0.08171804,1.802716,1.189025,,,0.08117446,1.801333,1.18898,,44.7500116682395,50.5063685820414,21.5504329770631
0.077, 0.2,-0.2,,,0.08087879,1.802261,1.189019,,,0.08051684,1.801342,1.188988,,44.7500116682395,50.5186595071108,21.5877121485156
0.088, 0.27,-0.27,,,0.08070521,1.801717,1.188148,,,0.08020949,1.80046,1.188106,,44.7500116682395,50.5568197729418,21.6130111684973
0.099, 0.04,0.04,,,0.08028395,1.799616,1.18744,,,0.08035651,1.7998,1.187447,,44.7500116682395,50.6246162287567,21.5719549025389
0.111, 0.11,0.11,,,0.08040151,1.798471,1.186628,,,0.08060822,1.799,1.186646,,44.7500116682395,50.6057956430224,21.4470239159067
0.121, 0.62,0.62,,,0.08159548,1.797266,1.187699,,,0.0827114,1.800148,1.187795,,44.7500116682395,50.4109064457632,21.2535349073883
0.134, 1.29,1.29,,,0.08266865,1.796374,1.189872,,,0.08497968,1.802391,1.190037,,44.7500116682395,50.0801682047873,21.0815780696292
0.144, 1.49,1.49,,,0.08355281,1.796546,1.190966,,,0.08621213,1.803478,1.191125,,44.7500116682395,49.8426415528207,21.0375370110865
0.155, 1.56,1.56,,,0.08345872,1.796715,1.191466,,,0.08624613,1.803975,1.191622,,44.7500116682395,49.7741552479188,21.0479615870172
0.168, 1.46,1.46,,,0.0824048,1.796194,1.190479,,,0.08502421,1.802996,1.190642,,44.7500116682395,49.9224488959569,21.1163471466316
0.178, 1.22,1.22,,,0.08202916,1.796228,1.189428,,,0.08423322,1.801936,1.189582,,44.7500116682395,50.0837403936238,21.1808651117362
0.189, 1.19,1.19,,,0.08167885,1.79495,1.187991,,,0.08383313,1.800516,1.188163,,44.7500116682395,50.2894759309832,21.2389746520303
0.2, 1.05,1.05,,,0.08067396,1.794348,1.186703,,,0.08256513,1.799223,1.186869,,44.7500116682395,50.4723132597874,21.3014845415748
0.211, 0.94,0.94,,,0.0799249,1.793736,1.18561,,,0.08162612,1.798118,1.185764,,44.7500116682395,50.5370497909393,21.3212272028213
0.222, 1.17,1.17,,,0.0801,1.793081,1.185981,,,0.0822089,1.79852,1.186167,,44.7500116682395,50.476373807136,21.2889408995131
0.234, 1.3,1.3,,,0.07974807,1.79301,1.1865,,,0.08208591,1.799052,1.186699,,44.7500116682395,50.3926220298639,21.2433579258082
0.244, 1.47,1.47,,,0.07911427,1.791498,1.185797,,,0.08175728,1.798365,1.186012,,44.7500116682395,50.2798726852774,21.1344454398812
0.256, 1.96,1.96,,,0.07899082,1.789777,1.186346,,,0.08248782,1.798954,1.186601,,44.7500116682395,50.0416800898853,20.9297054025656
0.266, 2.1,2.1,,,0.07876597,1.789003,1.186191,,,0.08248746,1.798803,1.186449,,44.7500116682395,49.9521772934921,20.8584238428237
0.277, 2.02,2.02,,,0.07856058,1.789076,1.18588,,,0.08214235,1.79849,1.186136,,44.7500116682395,50.0106095602155,20.8977230426671
0.288, 2.05,2.05,,,0.07825941,1.789206,1.186144,,,0.0819065,1.798768,1.186414,,44.7500116682395,50.0763911102814,20.951196592191
0.3, 1.96,1.96,,,0.07751285,1.788607,1.185141,,,0.08100849,1.797763,1.18541,,44.7500116682395,50.1332626788229,20.9727799893677
0.31, 2,2,,,0.0765067,1.78745,1.184141,,,0.08008376,1.796793,1.184439,,44.7500116682395,50.2845274590672,21.0392121149339
0.322, 1.9,1.9,,,0.0754247,1.78696,1.183156,,,0.07882637,1.795815,1.183462,,44.7500116682395,50.4332821448615,21.1156265616943
0.332, 1.82,1.82,,,0.07552205,1.786943,1.182791,,,0.0787802,1.795432,1.183078,,44.7500116682395,50.3920243883281,21.095711438176
0.344, 1.91,1.91,,,0.0757941,1.78682,1.18309,,,0.07920912,1.795738,1.183384,,44.7500116682395,50.3355797065978,21.0477054549304
0.354, 2.21,2.21,,,0.07574463,1.785316,1.182939,,,0.07967171,1.795619,1.183265,,44.7500116682395,50.2425900987304,20.9514356488053
0.366, 2.29,2.29,,,0.07639121,1.785028,1.183043,,,0.08044413,1.795716,1.183362,,44.7500116682395,50.1202443386271,20.8475074932865
0.377, 2.35,2.35,,,0.07709123,1.784423,1.182749,,,0.08126044,1.795422,1.183069,,44.7500116682395,50.0765926008563,20.8342893700631
0.388, 2.28,2.28,,,0.07691838,1.784486,1.182492,,,0.08097053,1.795163,1.182809,,44.7500116682395,50.1178913385235,20.8620113995854
0.399, 2.25,2.25,,,0.0769107,1.78384,1.181681,,,0.0808996,1.794352,1.181998,,44.7500116682395,50.1433372075683,20.8625390316841
0.411, 2.2,2.2,,,0.07698409,1.783116,1.180745,,,0.0808906,1.793419,1.181065,,44.7500116682395,50.182262454565,20.8510472387254
0.422, 2.13,2.13,,,0.07703596,1.781761,1.179022,,,0.08080116,1.791698,1.179344,,44.7500116682395,50.2461076460551,20.8441487478556
0.433, 2.07,2.07,,,0.07710224,1.780417,1.177402,,,0.08076006,1.790079,1.177725,,44.7500116682395,50.2932461953001,20.8328960115111
0.443, 1.95,1.95,,,0.07717486,1.779763,1.176201,,,0.0806151,1.788858,1.176504,,44.7500116682395,50.2805966853093,20.8159417749157
0.455, 1.97,1.97,,,0.07725777,1.779116,1.175684,,,0.08074483,1.788342,1.175989,,44.7500116682395,50.2596792315582,20.7986562741547
0.466, 2,2,,,0.07730559,1.777883,1.174565,,,0.08083415,1.787224,1.174871,,44.7500116682395,50.2402746646662,20.7876886982001
0.477, 1.76,1.76,,,0.07747559,1.776557,1.172162,,,0.08057749,1.784783,1.172429,,44.7500116682395,50.2201836637817,20.7546869325963
0.488, 1.78,1.78,,,0.07769459,1.774565,1.170246,,,0.08082059,1.782871,1.170517,,44.7500116682395,50.2181209467097,20.7173975158603
0.499, 1.66,1.66,,,0.07773063,1.771611,1.166759,,,0.08063519,1.779375,1.167021,,44.7500116682395,50.2417192496354,20.6121869923604
