経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.59,-0.59,,,0.1929839,1.569482,0.9202049,,,0.1921872,1.566804,0.9210723,,45.7999961295596,31.9241257073514,23.553922065267
0.011, 0.26,-0.26,,,0.1940679,1.568553,0.9212487,,,0.1937225,1.567381,0.9216288,,45.7999961295596,31.8361118921559,23.482898345159
0.023, 0.04,-0.04,,,0.1954253,1.568585,0.9225385,,,0.1953682,1.56839,0.9226021,,45.7999961295596,31.726921076028,23.4865320056964
0.034, 0.04,0.04,,,0.195275,1.568612,0.9230629,,,0.1953314,1.568804,0.9230003,,45.7999961295596,31.7536988319238,23.4937463928064
0.044, 0,0,,,0.1951115,1.568467,0.9227041,,,0.195118,1.568489,0.9226969,,45.7999961295596,31.8157579289956,23.4653567123113
0.055, 0.32,0.32,,,0.1943869,1.56704,0.9231868,,,0.1948187,1.568509,0.9227167,,45.7999961295596,32.0240377117501,23.2991987049962
0.066, 0.46,0.46,,,0.1933027,1.565398,0.9224025,,,0.1939211,1.5675,0.9217434,,45.7999961295596,32.3276635175701,23.0898909788002
0.078, 0.38,0.38,,,0.1917791,1.564967,0.9215472,,,0.1923017,1.566731,0.9210019,,45.7999961295596,32.5793013399692,23.0094176922385
0.088, 0.1,0.1,,,0.1897375,1.565859,0.9207373,,,0.1898735,1.566312,0.920598,,45.7999961295596,32.7533379702727,23.0801972330904
0.1, 0.09,-0.09,,,0.1883043,1.567346,0.9210413,,,0.1881725,1.56691,0.9211752,,45.7999961295596,32.820850973245,23.1411720376617
0.112, 0.07,-0.07,,,0.1889489,1.567677,0.9215211,,,0.188856,1.567369,0.921617,,45.7999961295596,32.628410398735,23.2014313799372
0.122, 0.07,0.07,,,0.1893442,1.567517,0.9221498,,,0.1894352,1.567823,0.9220546,,45.7999961295596,32.49184760027,23.1590825007143
0.133, 0.26,0.26,,,0.1893967,1.567873,0.9236453,,,0.1897498,1.569082,0.9232683,,45.7999961295596,32.3604757454298,22.9634710109704
0.143, 0.46,0.46,,,0.1894775,1.567672,0.9246168,,,0.1900851,1.569794,0.9239546,,45.7999961295596,32.2190908335449,22.7791327481379
0.155, 0.79,0.79,,,0.1872523,1.568114,0.9269761,,,0.18829,1.57175,0.9258409,,45.7999961295596,32.1999116628892,22.740017963397
0.166, 0.46,0.46,,,0.1853836,1.569242,0.9261059,,,0.1859907,1.571344,0.9254494,,45.7999961295596,32.2706997414773,22.8551066477091
0.178, 0.22,0.22,,,0.1810664,1.571448,0.9268267,,,0.1813585,1.572449,0.9265146,,45.7999961295596,32.3619169153045,22.9389660004576
0.189, 0.18,-0.18,,,0.1763972,1.574823,0.9277594,,,0.1761551,1.574004,0.9280134,,45.7999961295596,32.5161869787001,23.013951230174
0.2, 0.31,-0.31,,,0.1722749,1.576249,0.9283621,,,0.1718499,1.574823,0.9288031,,45.7999961295596,32.6196165304234,23.0616515624626
0.211, 0.7,-0.7,,,0.1691824,1.578717,0.9284364,,,0.1682135,1.575478,0.9294347,,45.7999961295596,32.6916169675555,23.0687652042853
0.222, 0.83,-0.83,,,0.1659691,1.57995,0.9289229,,,0.1648352,1.57616,0.9300915,,45.7999961295596,32.6879798919236,23.069453345825
0.233, 0.97,-0.97,,,0.1632571,1.581772,0.9298216,,,0.1619286,1.577311,0.9312019,,45.7999961295596,32.6063352279519,23.0620169775731
0.244, 0.88,-0.88,,,0.1614762,1.582866,0.931427,,,0.1602873,1.578842,0.9326775,,45.7999961295596,32.4909255247577,23.0274784194487
0.255, 0.57,-0.57,,,0.1606436,1.583704,0.9339848,,,0.1598794,1.58106,0.9348152,,45.7999961295596,32.1901888888762,22.9313674152174
0.266, 0.21,-0.21,,,0.159561,1.584046,0.9364767,,,0.1592917,1.583096,0.9367782,,45.7999961295596,31.9091710085799,22.8630177140951
0.277, 0.22,-0.22,,,0.1577792,1.58513,0.9374328,,,0.1574931,1.584112,0.9377573,,45.7999961295596,31.8038050982807,22.8292236465696
0.289, 0.45,-0.45,,,0.1538259,1.586941,0.9378552,,,0.1532457,1.584888,0.938506,,45.7999961295596,31.9096866878478,22.8264335143713
0.299, 0.72,-0.72,,,0.1500908,1.588309,0.9375854,,,0.149149,1.585012,0.9386249,,45.7999961295596,32.058649694406,22.861769497059
0.311, 0.84,-0.84,,,0.1465874,1.589777,0.9382747,,,0.1454721,1.58591,0.9394906,,45.7999961295596,32.1637287367679,22.9182688203011
0.322, 1.13,-1.13,,,0.1434612,1.591118,0.9378642,,,0.1419528,1.585915,0.9394959,,45.7999961295596,32.2307909472675,22.9455366422563
0.333, 1.29,-1.29,,,0.140535,1.592482,0.9382758,,,0.138815,1.586572,0.9401289,,45.7999961295596,32.2604749485744,22.9769025775995
0.344, 1.13,-1.13,,,0.1377641,1.593187,0.9398924,,,0.1362642,1.588016,0.9415209,,45.7999961295596,32.1736086051274,22.9937987575886
0.355, 0.92,-0.92,,,0.1358548,1.593974,0.941857,,,0.1346376,1.589754,0.9431964,,45.7999961295596,32.0225999569698,23.0267356363972
0.366, 0.68,-0.68,,,0.1344391,1.593828,0.9431285,,,0.1335511,1.590715,0.9441227,,45.7999961295596,31.8608235158853,22.990337559323
0.377, 0.5,-0.5,,,0.1326696,1.59421,0.9445696,,,0.1320258,1.591934,0.9452978,,45.7999961295596,31.7781338329996,22.9385186230794
0.388, 0.22,-0.22,,,0.1307406,1.594673,0.9466097,,,0.1304497,1.593639,0.9469414,,45.7999961295596,31.7078409431125,22.9049789800934
0.4, 0.14,-0.14,,,0.128098,1.595402,0.947842,,,0.1279231,1.59478,0.9480416,,45.7999961295596,31.6936136594673,22.9296666981614
0.41, 0.03,-0.03,,,0.1248832,1.596131,0.9491947,,,0.1248503,1.596015,0.949232,,45.7999961295596,31.773048757304,22.9565281238723
0.422, 0.15,-0.15,,,0.1214664,1.597473,0.9497598,,,0.1212711,1.596789,0.9499781,,45.7999961295596,31.8841588565353,22.9844516439696
0.433, 0.15,-0.15,,,0.118201,1.598772,0.9509951,,,0.1180003,1.598074,0.9512171,,45.7999961295596,31.9849109741785,23.0032653995148
0.444, 0.04,-0.04,,,0.1170179,1.599376,0.9522383,,,0.1169656,1.599194,0.9522963,,45.7999961295596,31.9765200870166,23.0015441918919
0.456, 0.17,0.17,,,0.1158998,1.599924,0.9539845,,,0.1161184,1.600691,0.9537397,,45.7999961295596,31.8627701197446,22.9855632572261
