経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.2,-0.2,,,0.01539801,1.841355,1.32113,,,0.01541442,1.840366,1.321024,,45.0005634905908,44.3853751993561,6.45008127924886
0.011, 3.06,3.06,,,0.01868824,1.82782,1.324249,,,0.01805791,1.843009,1.325854,,45.0005634905908,42.9671206086154,6.70934586141774
0.022, 4.93,4.93,,,0.01877357,1.817828,1.327331,,,0.01738107,1.842332,1.329805,,45.0005634905908,42.0700162672334,6.82633461892668
0.034, 8.82,8.82,,,0.02558785,1.802928,1.328091,,,0.02169436,1.846646,1.332521,,45.0005634905908,40.2559146590654,7.87302479472436
0.045, 8.96,8.96,,,0.0218438,1.79821,1.329569,,,0.01762968,1.842581,1.334027,,45.0005634905908,39.9175027007706,8.05459170837825
0.056, 4.89,4.89,,,0.005885456,1.804969,1.326681,,,0.004299745,1.829251,1.329207,,45.0005634905908,41.6113724923246,7.2155046997392
0.066, 0.41,0.41,,,-0.007932587,1.814918,1.316041,,,-0.008013502,1.816938,1.316284,,45.0005634905908,43.1500194091204,7.47622069706632
0.077, 1.84,-1.84,,,-0.01518606,1.819147,1.310302,,,-0.01491134,1.81004,1.30913,,45.0005634905908,43.7675094740413,7.77614710178006
0.088, 0.72,0.72,,,-0.009547537,1.811633,1.305686,,,-0.009735748,1.815215,1.306164,,45.0005634905908,42.5485871184913,8.39369949217545
0.099, 3.66,3.66,,,-0.002905773,1.802506,1.309366,,,-0.004322246,1.820629,1.311608,,45.0005634905908,41.0320256177621,8.53524918236946
0.11, 7.35,7.35,,,0.006642854,1.791245,1.319499,,,0.002647512,1.827599,1.323279,,45.0005634905908,39.1051985706691,8.77666391941288
0.122, 8.15,8.15,,,0.008158255,1.787916,1.322129,,,0.003222965,1.828174,1.326063,,45.0005634905908,38.352050707323,9.06761204071248
0.133, 2.92,2.92,,,-0.008411845,1.80079,1.313886,,,-0.009713478,1.815238,1.315511,,45.0005634905908,40.2763779052493,8.39657670928325
0.144, 1.92,1.92,,,-0.01130335,1.803277,1.31608,,,-0.01214609,1.812805,1.317114,,45.0005634905908,40.3403801910859,8.16762706712823
0.155, 2.16,2.16,,,-0.01074254,1.802435,1.317516,,,-0.01180409,1.813147,1.318599,,45.0005634905908,39.6910068040066,8.24150068358808
0.166, 4.26,4.26,,,-0.005967021,1.795397,1.313022,,,-0.008540891,1.81641,1.315191,,45.0005634905908,38.3967338036298,9.26344380405098
0.178, 5.83,5.83,,,-0.002858154,1.789291,1.312733,,,-0.006952681,1.817999,1.315644,,45.0005634905908,37.2631444141007,10.0735682500942
0.19, 2.95,2.95,,,-0.01411851,1.794402,1.315331,,,-0.01598317,1.808968,1.316748,,45.0005634905908,38.0467617504864,9.28793600795945
0.199, 1.08,1.08,,,-0.0221538,1.796839,1.314879,,,-0.02278618,1.802165,1.315394,,45.0005634905908,38.5609417919911,8.86669605545203
0.211, 0.6,0.6,,,-0.02589343,1.795744,1.314447,,,-0.02626505,1.798686,1.314728,,45.0005634905908,38.1284439804975,9.15233711991421
0.221, 2.39,2.39,,,-0.0248716,1.786569,1.312911,,,-0.02660528,1.798346,1.314022,,45.0005634905908,36.9582960044533,10.0527148293648
0.233, 5.2,5.2,,,-0.02205011,1.772892,1.309722,,,-0.02657381,1.798377,1.312139,,45.0005634905908,35.2886528932111,11.4979512278972
0.244, 5.79,5.79,,,-0.02562231,1.76559,1.31148,,,-0.03104118,1.79391,1.313964,,45.0005634905908,34.4779367820475,11.9929273393113
0.255, 1.26,1.26,,,-0.04559875,1.772115,1.307393,,,-0.04663908,1.778312,1.30795,,45.0005634905908,35.7825097074061,10.9012172535127
0.266, 1.67,-1.67,,,-0.05809523,1.776356,1.29747,,,-0.05679391,1.768157,1.296622,,45.0005634905908,36.387404903848,10.8669075067192
0.277, 1.12,-1.12,,,-0.0629904,1.768393,1.288917,,,-0.06203339,1.762918,1.288315,,45.0005634905908,35.5556825464766,11.800711307264
0.288, 0,0,,,-0.06781898,1.757126,1.290761,,,-0.06782006,1.757131,1.290762,,45.0005634905908,34.4246920438544,12.3122677024269
0.299, 0.75,0.75,,,-0.07261482,1.747931,1.29255,,,-0.07338138,1.75157,1.29286,,45.0005634905908,33.407659829268,12.9012553887345
0.311, 2.71,2.71,,,-0.07307915,1.735606,1.289706,,,-0.07621787,1.748733,1.290812,,45.0005634905908,31.8635146103434,14.3103831394508
0.322, 2.57,2.57,,,-0.08192131,1.727501,1.28956,,,-0.0850054,1.739946,1.290549,,45.0005634905908,31.3627080788614,14.6656690796207
0.333, 1.7,1.7,,,-0.09390927,1.720805,1.285679,,,-0.09593859,1.729013,1.286322,,45.0005634905908,31.3853125892905,14.6168554265282
0.344, 1,-1,,,-0.1087971,1.72216,1.282844,,,-0.1076322,1.717319,1.282458,,45.0005634905908,31.7484737373542,14.3079097572665
0.355, 2.01,-2.01,,,-0.1195241,1.717509,1.266063,,,-0.1171762,1.707775,1.265072,,45.0005634905908,31.8920921210355,14.7726332541411
0.366, 2.03,-2.03,,,-0.1290033,1.708176,1.263837,,,-0.1265669,1.698384,1.262905,,45.0005634905908,31.4293775534946,15.0093283305994
0.377, 1.88,-1.88,,,-0.1381738,1.698163,1.268492,,,-0.1358519,1.689099,1.267738,,45.0005634905908,30.9424431358308,15.1539934407419
0.388, 1.27,-1.27,,,-0.1444317,1.688299,1.263932,,,-0.142783,1.682168,1.263392,,45.0005634905908,30.3027378812526,15.8786150198132
0.399, 0.78,-0.78,,,-0.1518985,1.677853,1.262857,,,-0.1508586,1.674093,1.262528,,45.0005634905908,29.8966626558279,16.2489598191366
0.41, 0.22,0.22,,,-0.1580235,1.665554,1.263049,,,-0.1583304,1.666621,1.263139,,45.0005634905908,29.2902306668655,16.7457160485535
0.422, 1.12,1.12,,,-0.1634444,1.654536,1.263111,,,-0.1650492,1.659902,1.263547,,45.0005634905908,28.6659001676811,17.2874439497617
0.433, 1.62,1.62,,,-0.1706941,1.644165,1.26284,,,-0.173059,1.651892,1.263448,,45.0005634905908,28.2856584245258,17.6016906994455
0.444, 1.2,1.2,,,-0.1806519,1.636807,1.264433,,,-0.1824056,1.642545,1.26485,,45.0005634905908,28.2633954235457,17.4965160344378
0.455, 2.45,2.45,,,-0.1836542,1.625955,1.26018,,,-0.1873644,1.637587,1.261141,,45.0005634905908,27.6487859908271,18.3003609754876
0.467, 2.55,2.55,,,-0.1921066,1.616839,1.257393,,,-0.1959839,1.628967,1.258417,,45.0005634905908,27.6275031219655,18.3617233932834
0.478, 2.44,2.44,,,-0.200209,1.609493,1.257672,,,-0.2038875,1.621064,1.25862,,45.0005634905908,27.6969439457774,18.2400452841529
0.489, 2.42,2.42,,,-0.2074254,1.602355,1.251302,,,-0.2111212,1.61383,1.25237,,45.0005634905908,27.5809451387837,18.6036213661972
0.5, 2.68,2.68,,,-0.2136821,1.594459,1.249938,,,-0.2177908,1.60716,1.251133,,45.0005634905908,27.5185889284913,18.6887101529621
0.511, 2.76,2.76,,,-0.2205405,1.587078,1.25235,,,-0.2247871,1.600164,1.253531,,45.0005634905908,27.429900632134,18.6820473036121
0.522, 3.21,3.21,,,-0.2236194,1.581112,1.251345,,,-0.2286673,1.596284,1.252773,,45.0005634905908,27.0470275586742,19.1435153616642
0.533, 3.84,3.84,,,-0.2268294,1.573848,1.251671,,,-0.2329953,1.591956,1.253325,,45.0005634905908,26.6256510023872,19.4869201881034
0.544, 3.64,3.64,,,-0.2337448,1.568203,1.255489,,,-0.2395596,1.585392,1.256875,,45.0005634905908,26.6436827012942,19.2364195921694
0.555, 3.96,3.96,,,-0.2369602,1.562912,1.251305,,,-0.2434134,1.581538,1.252922,,45.0005634905908,26.2824322985976,19.718062320921
0.566, 3.76,3.76,,,-0.2436813,1.557421,1.249918,,,-0.2497998,1.575151,1.251464,,45.0005634905908,26.3552216225569,19.6553202049512
0.577, 3.38,3.38,,,-0.2503985,1.55312,1.249436,,,-0.2558804,1.569071,1.250796,,45.0005634905908,26.4103634457393,19.560464247945
0.588, 1.52,1.52,,,-0.2598332,1.555534,1.246756,,,-0.2622295,1.562722,1.247409,,45.0005634905908,26.9831140652943,19.1299728044642
0.599, 1.27,1.27,,,-0.2636829,1.553287,1.240415,,,-0.2656709,1.55928,1.241019,,45.0005634905908,27.161194167474,19.1959524300105
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.45,0.45,,,-0.002126638,1.820377,1.338686,,,-0.002355829,1.822595,1.339079,,45.0005634905908,40.1594792208576,11.8021140573258
0.012, 1.77,1.77,,,-0.001186142,1.814129,1.335392,,,-0.002180874,1.82277,1.33693,,45.0005634905908,39.5234998343679,12.1788373993828
0.022, 3.22,3.22,,,-0.0003422331,1.806909,1.339205,,,-0.002300352,1.822651,1.341847,,45.0005634905908,38.8984453351517,12.002390566143
0.033, 1.37,1.37,,,-0.007357243,1.810093,1.338591,,,-0.008128852,1.816822,1.339727,,45.0005634905908,39.4422649817349,11.7415678471131
0.044, 1.83,1.83,,,-0.007122671,1.807798,1.330596,,,-0.008201689,1.816749,1.3322,,45.0005634905908,39.2411159162755,12.3933941258098
0.055, 1.86,1.86,,,-0.009260224,1.80549,1.324056,,,-0.01039369,1.814557,1.325741,,45.0005634905908,39.0795921921833,12.8320894800291
0.066, 3.5,3.5,,,-0.007337816,1.798202,1.325833,,,-0.009654954,1.815296,1.328839,,45.0005634905908,38.3842516332689,12.717676984426
0.078, 5.01,5.01,,,-0.004681088,1.792206,1.328562,,,-0.008302733,1.816648,1.33265,,45.0005634905908,37.5955799570381,12.7842721807541
0.089, 5.47,5.47,,,-0.004078755,1.790098,1.326655,,,-0.008196659,1.816755,1.331139,,45.0005634905908,37.264735848133,13.050231201897
0.1, 2.79,2.79,,,-0.01268252,1.796798,1.325227,,,-0.01455314,1.810398,1.327589,,45.0005634905908,38.250373099073,12.6906413888962
0.113, 2.68,2.68,,,-0.01242127,1.797628,1.320375,,,-0.01423749,1.810714,1.322699,,45.0005634905908,38.2296366453299,12.8999098415055
0.123, 3.68,3.68,,,-0.01064962,1.793653,1.322479,,,-0.01333053,1.811621,1.325546,,45.0005634905908,37.5808779752588,12.9634382829816
0.134, 4.97,4.97,,,-0.007341178,1.789464,1.327069,,,-0.01122336,1.813728,1.330925,,45.0005634905908,36.8555733772894,12.884649491777
0.145, 5.78,5.78,,,-0.005329354,1.786717,1.324635,,,-0.01007065,1.81488,1.329174,,45.0005634905908,36.430151641579,13.2943003211327
0.155, 4.28,4.28,,,-0.009342982,1.791383,1.323445,,,-0.01273561,1.812216,1.326874,,45.0005634905908,36.7684713923226,13.2162841950565
0.166, 3.34,3.34,,,-0.01142534,1.794667,1.321012,,,-0.01403943,1.810912,1.323722,,45.0005634905908,36.899481247147,13.2323470919901
