経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.2,-0.2,,,-0.1670968,1.526262,1.01359,,,-0.1671392,1.525479,1.014176,,44.8235181620417,32.5151214692192,36.592614516656
0.01, 0.67,0.67,,,-0.1691062,1.521585,1.016282,,,-0.1689705,1.524254,1.014275,,44.8235181620417,32.3681562929377,36.7447842969402
0.021, 1.51,1.51,,,-0.1709677,1.517128,1.018987,,,-0.1706716,1.523158,1.014426,,44.8235181620417,32.290555100842,36.9068305304894
0.033, 2.01,2.01,,,-0.173577,1.513292,1.020404,,,-0.1731949,1.521295,1.014315,,44.8235181620417,32.2334922870091,37.0661071224072
0.044, 2.86,2.86,,,-0.1759324,1.507926,1.022347,,,-0.175438,1.519279,1.013707,,44.8235181620417,32.0423084672714,37.0683371791092
0.055, 3.55,3.55,,,-0.1781694,1.502332,1.022663,,,-0.1776193,1.51649,1.011944,,44.8235181620417,31.8240292878503,36.9121649080827
0.066, 4.38,4.38,,,-0.1802088,1.496159,1.023109,,,-0.1796217,1.51365,1.00993,,44.8235181620417,31.579108956313,36.7737955246325
0.077, 5.17,5.17,,,-0.1815915,1.49163,1.024901,,,-0.1810088,1.512239,1.009321,,44.8235181620417,31.3403733608969,36.856734509416
0.088, 6.03,6.03,,,-0.1830195,1.487665,1.028165,,,-0.1824641,1.511588,1.009856,,44.8235181620417,31.1246247664929,37.190659033551
0.099, 7.01,7.01,,,-0.1835085,1.483408,1.031198,,,-0.1830363,1.511112,1.009756,,44.8235181620417,30.8626084719387,37.4952274054503
0.112, 7.7,7.7,,,-0.1836763,1.48224,1.035778,,,-0.1832615,1.512506,1.011951,,44.8235181620417,30.745535617728,37.9651375770815
0.121, 7.71,7.71,,,-0.18771,1.485098,1.043727,,,-0.1871952,1.514929,1.019312,,44.8235181620417,31.0044680819577,39.0533369457444
0.133, 7.86,7.86,,,-0.191242,1.486253,1.050068,,,-0.1906679,1.516409,1.024878,,44.8235181620417,31.1484996920723,39.6294633862028
