経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.94,-0.94,,,0.4969758,1.516222,1.081957,,,0.4970194,1.511531,1.082065,,45.8734855478893,45.5141288150874,1.18745610180624
0.011, 1.4,-1.4,,,0.4991365,1.516638,1.081553,,,0.4992312,1.509654,1.081718,,45.8734855478893,45.6606466139907,1.3497320004599
0.022, 0.32,-0.32,,,0.5038593,1.508986,1.083256,,,0.5039034,1.507381,1.083292,,45.8734855478893,46.281589339441,1.88834063973827
0.034, 0.25,0.25,,,0.5056455,1.505521,1.084206,,,0.5056028,1.506785,1.084178,,45.8734855478893,46.5656227481721,2.1880275609509
0.044, 0.77,0.77,,,0.5084032,1.500548,1.083605,,,0.5082472,1.504371,1.083531,,45.8734855478893,46.975539954898,2.48396172020586
0.055, 1.52,1.52,,,0.5095271,1.49578,1.083204,,,0.509186,1.50335,1.083079,,45.8734855478893,47.2555401370364,2.67217654217129
0.066, 2.3,2.3,,,0.5090832,1.492711,1.083827,,,0.508559,1.504219,1.083636,,45.8734855478893,47.2728546661005,2.69965140422994
0.077, 3.06,3.06,,,0.5077797,1.488924,1.082419,,,0.5071015,1.504227,1.08219,,45.8734855478893,47.2853265911779,2.6087202445663
0.088, 3.83,3.83,,,0.507096,1.485732,1.082467,,,0.506255,1.504862,1.08221,,45.8734855478893,47.3298321025712,2.56994077941563
0.1, 4.23,4.23,,,0.5007787,1.487885,1.082134,,,0.5001682,1.509044,1.081824,,45.8734855478893,46.6512016009963,1.75390437792346
0.111, 4.44,4.44,,,0.4965152,1.489802,1.082098,,,0.4960862,1.511981,1.081746,,45.8734855478893,46.2081921286625,1.28861546946735
0.122, 4.24,4.24,,,0.4904329,1.495833,1.083359,,,0.4903809,1.517006,1.082891,,45.8734855478893,45.2628803134601,1.02526579395824
0.134, 3.94,3.94,,,0.4884131,1.498036,1.082431,,,0.4885021,1.517742,1.082016,,45.8734855478893,45.0174818686942,0.991302999420572
0.145, 3.86,3.86,,,0.4870346,1.499551,1.082601,,,0.4871925,1.51883,1.082189,,45.8734855478893,44.8550702200345,1.08100824688401
0.155, 3.5,3.5,,,0.4875295,1.500746,1.082221,,,0.4876505,1.518236,1.081837,,45.8734855478893,44.8831183910807,1.08335889911014
0.166, 3.28,3.28,,,0.4882724,1.502161,1.083405,,,0.4883591,1.518568,1.082999,,45.8734855478893,44.8369155777258,1.20868945179765
0.177, 2.86,2.86,,,0.4901809,1.503388,1.084018,,,0.4901933,1.517681,1.083623,,45.8734855478893,44.9065527694709,1.33222046313235
0.189, 2.65,2.65,,,0.4905998,1.504788,1.084906,,,0.4905962,1.518036,1.08451,,45.8734855478893,44.8622419184635,1.4633981911952
0.199, 2.38,2.38,,,0.4896523,1.507562,1.085866,,,0.489659,1.519436,1.085482,,45.8734855478893,44.730757365505,1.60352058533581
0.211, 2.16,2.16,,,0.4890972,1.509766,1.086826,,,0.4891205,1.520543,1.086453,,45.8734855478893,44.5735025095253,1.74023834371332
0.222, 1.95,1.95,,,0.4875715,1.51267,1.087859,,,0.4876165,1.522412,1.087497,,45.8734855478893,44.3716840855458,1.89950074164469
0.233, 1.85,1.85,,,0.4869588,1.514255,1.088728,,,0.4870179,1.523488,1.088365,,45.8734855478893,44.2166900221184,2.03201387837482
0.244, 1.69,1.69,,,0.4858496,1.516381,1.089423,,,0.4859171,1.524819,1.089078,,45.8734855478893,44.0891567334849,2.13634181339241
0.255, 1.58,1.58,,,0.483269,1.518538,1.089072,,,0.4833587,1.52645,1.088744,,45.8734855478893,43.9214994996887,2.22624673716181
0.267, 1.59,1.59,,,0.4805822,1.52058,1.089247,,,0.4806893,1.528532,1.088912,,45.8734855478893,43.8147197402707,2.290636636223
0.277, 1.69,1.69,,,0.4789209,1.521063,1.088923,,,0.4790282,1.529501,1.088573,,45.8734855478893,43.8698530257168,2.24341185584203
0.289, 1.59,1.59,,,0.4758017,1.523973,1.089072,,,0.4759262,1.53189,1.088727,,45.8734855478893,43.6614639599387,2.41751337294084
0.299, 1.66,1.66,,,0.4739172,1.525388,1.089686,,,0.4740476,1.533695,1.08931,,45.8734855478893,43.595955617432,2.50639675657093
