経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.52,-0.52,,,0.09790767,1.823464,1.208571,,,0.09667143,1.821189,1.208835,,44.7500116682395,46.3668847394226,29.0069417487333
0.011, 0.22,0.22,,,0.09665769,1.821616,1.210351,,,0.09718403,1.822588,1.210234,,44.7500116682395,46.176196108386,28.9615278222056
0.022, 1.15,1.15,,,0.09502752,1.819661,1.212947,,,0.09773257,1.82468,1.212326,,44.7500116682395,45.9458957963602,28.8891107435458
0.033, 1.83,1.83,,,0.09411689,1.818227,1.214925,,,0.09841958,1.826254,1.213901,,44.7500116682395,45.7065352386525,28.7976340225373
0.044, 2.57,2.57,,,0.09257458,1.815974,1.216357,,,0.09857982,1.827247,1.214893,,44.7500116682395,45.5313921177342,28.6789458286328
0.055, 3.14,3.14,,,0.09128168,1.813633,1.216857,,,0.09859204,1.827424,1.21507,,44.7500116682395,45.4821225495274,28.5640859556516
0.066, 3.44,3.44,,,0.08896546,1.811943,1.216623,,,0.09695211,1.827052,1.214698,,44.7500116682395,45.5451344579619,28.477012998988
0.077, 3.57,3.57,,,0.08617811,1.809689,1.214929,,,0.09445795,1.825358,1.213004,,44.7500116682395,45.7422537119231,28.4250779495317
0.088, 3.57,3.57,,,0.08390681,1.808225,1.213447,,,0.09221673,1.823934,1.211581,,44.7500116682395,45.9336014561963,28.4109616564574
0.1, 3.46,3.46,,,0.08153569,1.806929,1.211536,,,0.08959973,1.822137,1.209783,,44.7500116682395,46.1223366531846,28.4329753555398
0.112, 3.52,3.52,,,0.0802891,1.805496,1.210356,,,0.08847946,1.820953,1.2086,,44.7500116682395,46.1852905050128,28.4031598730951
0.122, 3.9,3.9,,,0.08001676,1.804444,1.211256,,,0.08906287,1.821619,1.209266,,44.7500116682395,46.0131970634741,28.2853339905493
0.133, 4.56,4.56,,,0.08023884,1.802641,1.212812,,,0.09073356,1.822752,1.210398,,44.7500116682395,45.7189388618401,28.1126053414355
0.144, 5.17,5.17,,,0.08079387,1.800673,1.213992,,,0.09256089,1.823495,1.211141,,44.7500116682395,45.3580863176516,27.8893623221732
0.156, 5.77,5.77,,,0.0809315,1.798486,1.214978,,,0.09391648,1.824028,1.211675,,44.7500116682395,44.995044697895,27.6187895083744
0.167, 6.12,6.12,,,0.08045354,1.79622,1.21454,,,0.09409791,1.823369,1.211015,,44.7500116682395,44.8406312005309,27.3713812805011
0.177, 6.29,6.29,,,0.07947888,1.79398,1.213176,,,0.0934211,1.821957,1.209604,,44.7500116682395,44.8414918043424,27.1613290637063
0.189, 6.15,6.15,,,0.07836927,1.792644,1.211044,,,0.09196284,1.820018,1.207664,,44.7500116682395,44.9924731317441,27.0402605489423
0.199, 5.67,5.67,,,0.07633865,1.79181,1.207667,,,0.08890736,1.817047,1.204694,,44.7500116682395,45.2819297105252,27.0450758321732
0.211, 5.21,5.21,,,0.07414155,1.791334,1.204803,,,0.08574718,1.814522,1.202168,,44.7500116682395,45.5281546081577,27.1146703352371
0.221, 4.83,4.83,,,0.07317919,1.791117,1.202586,,,0.08398148,1.812561,1.200207,,44.7500116682395,45.7211279374081,27.233298764988
0.232, 4.62,4.62,,,0.07220633,1.790706,1.201115,,,0.0825704,1.811212,1.198859,,44.7500116682395,45.8007440352529,27.2973795979978
0.244, 4.71,4.71,,,0.07228222,1.790322,1.201227,,,0.08286557,1.811242,1.198889,,44.7500116682395,45.730891692555,27.3352512883444
0.255, 4.82,4.82,,,0.07262819,1.790227,1.201703,,,0.08343664,1.811637,1.199283,,44.7500116682395,45.6507291795918,27.3007895698461
0.266, 4.87,4.87,,,0.07287975,1.788825,1.200545,,,0.0837743,1.81045,1.198096,,44.7500116682395,45.6185999706302,27.2560450018385
0.277, 5,5,,,0.07258102,1.784975,1.197391,,,0.08370423,1.807231,1.194877,,44.7500116682395,45.5429078163544,27.0756204372915
0.289, 5.12,5.12,,,0.07291399,1.781642,1.194646,,,0.08421677,1.804446,1.192092,,44.7500116682395,45.4943349274236,26.8833113439194
0.3, 5.19,5.19,,,0.07373065,1.778351,1.191731,,,0.08513951,1.801528,1.189174,,44.7500116682395,45.4946764368725,26.7153006478434
0.311, 5.38,5.38,,,0.07451011,1.775068,1.189359,,,0.08627027,1.799109,1.186755,,44.7500116682395,45.5196749285391,26.5583394899898
0.322, 5.33,5.33,,,0.07518084,1.771993,1.186063,,,0.08679584,1.795859,1.183505,,44.7500116682395,45.5160754189467,26.4361730223472
0.333, 5.28,5.28,,,0.0756333,1.769204,1.183045,,,0.08711123,1.792866,1.180512,,44.7500116682395,45.487695983735,26.3630831700728
0.344, 5.22,5.22,,,0.07650547,1.766023,1.179586,,,0.08783773,1.789424,1.177071,,44.7500116682395,45.4484326423838,26.3302316686266
0.355, 5.01,5.01,,,0.0766184,1.762949,1.175485,,,0.08748871,1.785413,1.173059,,44.7500116682395,45.4179802448167,26.3184871586755
0.366, 4.98,4.98,,,0.07706188,1.758993,1.171362,,,0.08781746,1.781298,1.168945,,44.7500116682395,45.3630279593786,26.2456414856572
0.378, 5,5,,,0.07787107,1.754165,1.166697,,,0.08862478,1.776608,1.164254,,44.7500116682395,45.2757449744039,26.1135234326708
0.388, 5.23,5.23,,,0.07852104,1.748419,1.16214,,,0.08967271,1.771921,1.159567,,44.7500116682395,45.1439257421854,25.9090053764971
0.4, 5.43,5.43,,,0.08029349,1.742377,1.157213,,,0.09174818,1.766855,1.154502,,44.7500116682395,44.9415882238435,25.6257386564791
0.411, 5.65,5.65,,,0.08162215,1.73558,1.151593,,,0.09338388,1.761098,1.148744,,44.7500116682395,44.746613649222,25.3152433880925
0.422, 5.77,5.77,,,0.08256115,1.728989,1.145699,,,0.09446612,1.755132,1.142778,,44.7500116682395,44.6217236437237,25.0633630939845
0.433, 5.64,5.64,,,0.08301567,1.722541,1.1386,,,0.09456322,1.74813,1.135777,,44.7500116682395,44.5983541521288,24.8599429906893
0.444, 5.31,5.31,,,0.08316603,1.716213,1.130595,,,0.09397373,1.740336,1.127982,,44.7500116682395,44.624667455174,24.6887835774936
