経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.27,-0.27,,,0.4949098,1.562635,1.403491,,,0.494692,1.561315,1.403431,,46.050527461344,36.7581099956401,9.78608901102279
0.008, 0.47,0.47,,,0.4968091,1.556432,1.405976,,,0.4971815,1.558732,1.406089,,46.050527461344,36.9417020603265,9.6801971761722
0.014, 1.43,1.43,,,0.4949877,1.552778,1.40321,,,0.4961146,1.559839,1.403592,,46.050527461344,37.0900503498764,9.64746434925944
0.022, 2.65,2.65,,,0.4966516,1.544104,1.404816,,,0.4987001,1.557157,1.405593,,46.050527461344,37.2617817913992,9.617727413988
0.033, 4.01,4.01,,,0.4973359,1.535621,1.406047,,,0.5004023,1.555391,1.407316,,46.050527461344,37.3841651175419,9.62683973986087
0.044, 4.71,4.71,,,0.4958146,1.533177,1.405278,,,0.4994272,1.556403,1.406806,,46.050527461344,37.367243324344,9.68641008682309
0.056, 5.25,5.25,,,0.4949386,1.531036,1.40348,,,0.4989354,1.556913,1.405257,,46.050527461344,37.4420475540524,9.69856099301841
0.066, 5.06,5.06,,,0.4945379,1.532562,1.401705,,,0.4983417,1.557529,1.403417,,46.050527461344,37.5583485969084,9.59117932319657
0.077, 5.26,5.26,,,0.4947105,1.531332,1.399852,,,0.498567,1.557295,1.40167,,46.050527461344,37.7788510028425,9.43538100501677
0.088, 5.47,5.47,,,0.4940543,1.530891,1.398621,,,0.4979779,1.557906,1.400508,,46.050527461344,37.9618215203318,9.26603159190076
0.099, 5.4,5.4,,,0.4934811,1.531948,1.396704,,,0.4973056,1.558604,1.398528,,46.050527461344,38.0532060337889,9.14219685059986
0.111, 5.16,5.16,,,0.4919151,1.534875,1.395746,,,0.4956275,1.560344,1.397426,,46.050527461344,37.9139248201099,9.19502836235974
0.121, 5.07,5.07,,,0.4894688,1.537823,1.394222,,,0.4931927,1.56287,1.395846,,46.050527461344,37.7456255485496,9.31637435355107
0.131, 5.18,5.18,,,0.4846253,1.542184,1.389457,,,0.488523,1.567714,1.391085,,46.050527461344,37.5180846328716,9.49458849818943
0.145, 5.13,5.13,,,0.4811951,1.545892,1.38667,,,0.4851528,1.57121,1.388253,,46.050527461344,37.3089032651718,9.65223096739382
0.154, 4.98,4.98,,,0.4792703,1.548753,1.385175,,,0.4831445,1.573293,1.386642,,46.050527461344,37.2101387325218,9.67237490224292
0.164, 4.85,4.85,,,0.4775583,1.551263,1.38347,,,0.4813223,1.575184,1.384848,,46.050527461344,37.2296286767761,9.60201627178688
0.176, 4.76,4.76,,,0.4771602,1.552266,1.382284,,,0.4807979,1.575728,1.383594,,46.050527461344,37.3507210972016,9.44545809508306
0.186, 4.67,4.67,,,0.4777336,1.552263,1.381543,,,0.4811982,1.575312,1.382802,,46.050527461344,37.6099404293685,9.17410407841968
0.198, 4.69,4.69,,,0.478207,1.551739,1.38106,,,0.481589,1.574907,1.382283,,46.050527461344,37.845605854838,8.912045948958
0.209, 4.4,4.4,,,0.478985,1.552609,1.380882,,,0.482092,1.574385,1.381981,,46.050527461344,38.0218076550481,8.6926013685422
0.22, 4.25,4.25,,,0.4787089,1.553792,1.378972,,,0.481696,1.574796,1.380013,,46.050527461344,38.0442345805638,8.64990244213407
0.231, 4.15,4.15,,,0.4771307,1.555961,1.377609,,,0.4800963,1.576455,1.378631,,46.050527461344,37.9054963669086,8.78704324534153
0.243, 4,4,,,0.4755859,1.558305,1.37474,,,0.4785226,1.578088,1.375742,,46.050527461344,37.6989104710212,8.99809181595373
0.254, 3.92,3.92,,,0.4701895,1.564275,1.368352,,,0.4731989,1.58361,1.369332,,46.050527461344,37.2976505288274,9.37729110151596
0.264, 3.85,3.85,,,0.4667709,1.568133,1.363743,,,0.4698271,1.587108,1.364713,,46.050527461344,36.9976413080723,9.66991518043652
0.276, 3.64,3.64,,,0.4635625,1.572565,1.359344,,,0.4665404,1.590518,1.360259,,46.050527461344,36.7292524471998,9.92006060654355
0.287, 3.68,3.68,,,0.460539,1.575452,1.35486,,,0.4635955,1.593572,1.355786,,46.050527461344,36.5737631950713,10.070834466955
0.298, 3.51,3.51,,,0.4584055,1.578665,1.350824,,,0.4613258,1.595927,1.35169,,46.050527461344,36.5426072880393,10.080634080594
0.309, 3.4,3.4,,,0.4564836,1.581284,1.348014,,,0.4593156,1.598012,1.348813,,46.050527461344,36.5275262307716,10.0473522772419
0.32, 3.25,3.25,,,0.454955,1.583738,1.344551,,,0.4576501,1.59974,1.345281,,46.050527461344,36.5686337231474,9.96545318873064
0.331, 3.37,3.37,,,0.4525248,1.58559,1.341042,,,0.4553101,1.602167,1.341785,,46.050527461344,36.5875499315274,9.93238312123699
0.343, 3.4,3.4,,,0.4499658,1.588073,1.337343,,,0.4527721,1.6048,1.338084,,46.050527461344,36.5999501396204,9.91069897877291
0.354, 3.4,3.4,,,0.4475066,1.590599,1.333526,,,0.4503095,1.607355,1.334238,,46.050527461344,36.6213764424505,9.8574602169951
