経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.02,0.02,,,-0.1061229,1.796907,1.518487,,,-0.106124,1.796993,1.518502,,35.8267181055788,28.952552953886,10.0267780404871
0.011, 1.15,1.15,,,-0.1061162,1.7923,1.515496,,,-0.1062125,1.797946,1.516504,,35.5907589819831,28.3347640681972,10.4256593693687
0.022, 2.25,2.25,,,-0.1055357,1.78852,1.511537,,,-0.1057603,1.799596,1.513606,,35.1794040204769,27.6119439514692,10.8892925973273
0.033, 3.07,3.07,,,-0.1048393,1.786086,1.508013,,,-0.1051736,1.80117,1.510939,,34.7833281917189,26.9963731696516,11.2961814690143
0.045, 3.63,3.63,,,-0.1050663,1.784273,1.505121,,,-0.1054806,1.802092,1.508649,,34.5486326530845,26.6849285049969,11.5249552338031
0.056, 3.91,3.91,,,-0.1050309,1.783656,1.503261,,,-0.1054827,1.802831,1.50705,,34.3596993806157,26.5482086121853,11.5036040630518
0.067, 4.08,4.08,,,-0.1033697,1.784058,1.502242,,,-0.1038674,1.804063,1.506111,,34.0447661969394,26.2746407605188,11.2823998552
0.077, 4.36,4.36,,,-0.1007493,1.783562,1.502734,,,-0.1013543,1.804996,1.506757,,33.8057744694366,25.9487997650415,10.9935059132361
0.088, 4.54,4.54,,,-0.09714715,1.784195,1.502984,,,-0.09787124,1.806536,1.507032,,33.4076393387011,25.4471343372952,10.6751601963907
0.099, 4.64,4.64,,,-0.0922183,1.785426,1.504141,,,-0.09305809,1.808271,1.508119,,32.9548217149922,24.864987085251,10.3372126909465
0.112, 4.58,4.58,,,-0.08845154,1.787449,1.504165,,,-0.08934824,1.810005,1.507964,,32.4953309966498,24.372865139057,10.0629609666083
0.121, 4.18,4.18,,,-0.0851585,1.79175,1.502571,,,-0.0859554,1.812372,1.505976,,31.85617215719,23.8721678905986,9.8693823118596
0.133, 3.8,3.8,,,-0.08291624,1.795557,1.500764,,,-0.08360127,1.814323,1.503809,,31.3202038128392,23.5339335172172,9.68529420469849
0.144, 3.03,3.03,,,-0.08129019,1.801656,1.497916,,,-0.08173594,1.816595,1.500312,,30.6839751244517,23.3165729982139,9.51091008853063
0.155, 2.06,2.06,,,-0.0806259,1.808469,1.494592,,,-0.08085327,1.81866,1.496204,,30.0942531928288,23.2433414195182,9.32194181134335
0.166, 0.89,0.89,,,-0.0796569,1.816772,1.490391,,,-0.07971249,1.821165,1.491077,,29.3644031040932,23.1600899535889,9.15907595511655
0.177, 0.24,-0.24,,,-0.07901601,1.824438,1.486562,,,-0.07901157,1.82324,1.486377,,28.7463085674475,23.1543150288063,9.05985123848402
0.188, 1.48,-1.48,,,-0.07779464,1.832758,1.482701,,,-0.07783439,1.82546,1.481577,,28.0714039339612,23.1040294699887,9.0079785145022
