経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.29,-0.29,,,0.1139304,1.786827,1.618629,,,0.1139289,1.785394,1.618492,,38.6594399472709,32.9399762992442,5.7254302449875
0.01, 0.32,0.32,,,0.1149602,1.782118,1.620402,,,0.1149563,1.783703,1.620557,,39.0477259454974,33.2110904055197,5.85849214471349
0.022, 0.93,0.93,,,0.1145388,1.779019,1.620206,,,0.1145326,1.783627,1.620675,,39.0650541349395,33.0198348687978,6.06129496967965
0.034, 1.26,1.26,,,0.1124188,1.777645,1.619743,,,0.1124523,1.783927,1.620408,,38.9965131885257,32.696019024353,6.30048690709691
0.044, 1.52,1.52,,,0.1109698,1.776788,1.619104,,,0.1110471,1.784362,1.619928,,38.8969187879147,32.4233237293287,6.48243759199411
0.054, 1.82,1.82,,,0.1101755,1.77583,1.618316,,,0.1102974,1.784874,1.619315,,38.77930293368,32.2039107385369,6.59891408532955
0.065, 1.8,1.8,,,0.1109178,1.775943,1.618303,,,0.1110498,1.78487,1.619291,,38.780320631838,32.1906396813489,6.61849879845592
0.076, 1.58,1.58,,,0.1118899,1.776582,1.618966,,,0.1120012,1.784422,1.619811,,38.8831388816476,32.4533048438562,6.45415377942815
0.087, 1.27,1.27,,,0.1126551,1.777864,1.619404,,,0.1127438,1.784186,1.62007,,38.9371042047782,32.6400251350954,6.31984408955288
0.099, 1.01,1.01,,,0.114072,1.779348,1.619274,,,0.1141496,1.784358,1.619783,,38.89765303323,32.8071496141512,6.11984377650256
0.109, 0.57,0.57,,,0.114844,1.78222,1.618556,,,0.1148961,1.78508,1.618835,,38.7317682334741,32.8701410320188,5.91058898427121
0.12, 0.24,0.24,,,0.1148615,1.785075,1.617249,,,0.1148863,1.786245,1.61736,,38.462740749932,32.7602706120874,5.78014731579265
0.132, 0.11,-0.11,,,0.1142961,1.788525,1.6152,,,0.1142834,1.787996,1.615151,,38.0555590338925,32.4970897703121,5.67402240074312
