経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.7,-0.7,,,-0.1746959,1.657226,1.359817,,,-0.1741957,1.653782,1.359838,,45.0005395849294,36.7367349192273,8.26521936859456
0.01, 0.09,-0.09,,,-0.1724216,1.656053,1.362026,,,-0.1723571,1.655621,1.36203,,45.0005395849294,36.5136165509139,8.49553419477195
0.021, 0.43,0.43,,,-0.1707647,1.654776,1.363035,,,-0.1710858,1.656892,1.363013,,45.0005395849294,36.3735225447463,8.63788216330299
0.04, 0.79,0.79,,,-0.1707531,1.652752,1.362376,,,-0.1713423,1.656636,1.362347,,45.0005395849294,36.37463586555,8.62896449781605
0.046, 0.76,0.76,,,-0.1725781,1.651081,1.35782,,,-0.173133,1.654845,1.357832,,45.0005395849294,36.6151199893449,8.39652975173401
0.055, 1.08,1.08,,,-0.1721044,1.649722,1.357306,,,-0.1728932,1.655085,1.357338,,45.0005395849294,36.633633216575,8.38824729382221
0.066, 0.88,0.88,,,-0.1725638,1.650447,1.357757,,,-0.1731962,1.654782,1.357779,,45.0005395849294,36.7010471818071,8.31689572464321
0.077, 0.7,0.7,,,-0.1721151,1.651911,1.359376,,,-0.1726169,1.655361,1.35938,,45.0005395849294,36.7236175412913,8.28214030801876
0.088, 0.95,0.95,,,-0.1711824,1.651402,1.360351,,,-0.1718699,1.656108,1.360346,,45.0005395849294,36.6874653510205,8.31469981888616
0.1, 1.57,1.57,,,-0.1688066,1.650277,1.36267,,,-0.1699483,1.65803,1.362644,,45.0005395849294,36.6225444047661,8.37801054808851
0.111, 1.71,1.71,,,-0.1680201,1.650267,1.36274,,,-0.1692664,1.658712,1.362712,,45.0005395849294,36.6051376681507,8.39543094508187
0.121, 1.58,1.58,,,-0.1681861,1.650817,1.362196,,,-0.1693377,1.65864,1.36218,,45.0005395849294,36.6259219332167,8.37526737343944
0.133, 1.91,1.91,,,-0.1670159,1.650124,1.36158,,,-0.1684052,1.659573,1.361575,,45.0005395849294,36.6353134430641,8.3676440287642
0.143, 2.03,2.03,,,-0.1658176,1.650651,1.360973,,,-0.1672914,1.660686,1.360985,,45.0005395849294,36.6447356887619,8.36135257094005
