1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall2, 28.78,28.78,,,-0.1471971,1.587499,1.02546,,,-0.119912,1.725653,0.9957626,,49.0611484052078,47.8514365594972,16.0899888781756, 1.919
PointPlane3, 21.45,21.45,,,0.1731174,1.540952,0.997936,,,0.1802524,1.642327,0.9635848,,59.7499809323891,41.425096163369,18.8453776126896, 1.867
PointBall3, 22.92,22.92,,,0.07700749,1.759063,1.284826,,,0.08936337,1.870752,1.262297,,3.66356353157198,12.5804516576299,12.737192541889, 1.567
PointPlane2, 19.88,19.88,,,-0.1075227,1.714541,1.300011,,,-0.0937871,1.810195,1.27668,,29.7499911776726,18.0781202864581,15.5885847051578, 1.434
PointPlane1, 28.39,28.39,,,0.07667905,1.520145,1.069263,,,0.08783542,1.658107,1.037801,,44.750001422956,32.4344876732164,13.3664484611015, 1.6
PointBall1, 23.44,23.44,,,0.249889,1.665355,1.117333,,,0.2638664,1.773665,1.074738,,39.7584173541442,22.8150407591527,22.2470678567892, 1.256
PointPyramid, 22.15,22.15,,,0.06620437,1.73276,1.316366,,,0.07755873,1.840176,1.291812,,48.7770808455319,61.5670434274799,13.9087552208257, 1.334
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 21.94,21.94,,,-0.09601458,1.701107,1.301765,,,-0.0865541,1.804842,1.267407,,29.7499911776726,12.666632420858,18.7183702486075, 1.456
PointBall1, 23.75,23.75,,,0.2442551,1.663276,1.110945,,,0.2615803,1.775017,1.074636,,39.4692749640561,22.347922427267,19.5751679372715, 1.478
PointPlane3, 26.16,26.16,,,0.1788579,1.518624,1.005871,,,0.1795412,1.642405,0.96363,,59.7499809323891,41.1584285101195,18.5947779790154, 1.778
PointPlane1, 26.82,26.82,,,0.08713339,1.528068,1.073255,,,0.09270036,1.656952,1.036646,,44.750001422956,29.2312622303071,15.7830589684366, 1.578
PointBall2, 38.36,38.36,,,-0.1059239,1.530365,1.037784,,,-0.1066494,1.710643,0.9723655,,51.7015150497522,35.7729337824562,19.6957719991849, 1.467
PointPyramid, 17.89,17.89,,,0.05271528,1.752727,1.300017,,,0.06541169,1.840823,1.29124,,48.7770808455319,54.633486367512,9.79715306339668, 1.4
PointBall3, 25.22,25.22,,,0.05813569,1.747104,1.279282,,,0.07531788,1.8713,1.265708,,2.25698066658091,9.85470679706256,9.84596330139461, 1.456
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 24.24,24.24,,,0.08386814,1.54479,1.066941,,,0.09081292,1.663417,1.043111,,44.750001422956,33.7824562042591,11.5784193918172, 1.6
PointPyramid, 17.13,17.13,,,0.06671473,1.756991,1.301082,,,0.07682392,1.841408,1.290724,,48.7770808455319,55.7973573998837,9.55174608089448, 1.467
PointBall1, 16.63,16.63,,,0.258261,1.694118,1.096232,,,0.2657269,1.775301,1.079796,,39.4130932446016,28.5718484654273,12.3095125749471, 1.267
PointBall3, 21.3,21.3,,,0.05841883,1.767055,1.283997,,,0.06950285,1.871412,1.265906,,1.82981061593506,12.3786195732726,11.2795012937516, 1.501
PointBall2, 32.87,32.87,,,-0.1321996,1.571443,1.02125,,,-0.1091013,1.73207,0.995187,,47.891372674463,46.126311823171,12.0468636341387, 1.467
PointPlane2, 16.94,16.94,,,-0.1214287,1.736984,1.313561,,,-0.1125733,1.817872,1.289977,,29.7499911776726,14.9745421781245,17.0647592984485, 1.533
PointPlane3, 20.45,20.45,,,0.1654053,1.545179,0.9965937,,,0.1709003,1.641646,0.9631917,,59.7499809323891,40.9969969935785,19.0896337083487, 1.411
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
