経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.78,-0.78,,,-0.2014535,1.792561,1.295702,,,-0.2014525,1.788667,1.296188,,37.6301202227097,37.6538756199819,6.8677844745251
0.011, 0.76,0.76,,,-0.2029767,1.783606,1.2952,,,-0.2029876,1.78739,1.294749,,37.9271446508806,37.7348850763786,6.53543046696864
0.022, 0.96,0.96,,,-0.206727,1.779794,1.29716,,,-0.2067183,1.784571,1.296589,,38.5813435664742,38.7031087605142,6.5679353363242
0.033, 2.71,-2.71,,,-0.2173562,1.789106,1.298449,,,-0.2177332,1.775676,1.300207,,40.5844979754182,42.32304403309,7.38487801851664
0.044, 1.75,-1.75,,,-0.2162739,1.785412,1.299049,,,-0.2164834,1.776739,1.300166,,40.3498570782956,41.857631540902,7.2197180725662
0.055, 0.41,-0.41,,,-0.2131852,1.781663,1.303468,,,-0.213214,1.779637,1.30374,,39.707904691543,40.7905237958092,7.44800518639017
0.066, 1.31,1.31,,,-0.2084306,1.777096,1.305881,,,-0.2084336,1.783586,1.304994,,38.8153014446988,39.1375531758671,7.52965326545643
0.077, 0.63,-0.63,,,-0.2121527,1.783791,1.308878,,,-0.2121756,1.780653,1.309333,,39.4851039270172,40.4266044967688,8.01172800366098
0.089, 1.44,-1.44,,,-0.2134783,1.786636,1.309762,,,-0.2135691,1.779524,1.310819,,39.740091957111,41.0596434869025,8.23821280136786
0.099, 1.26,-1.26,,,-0.2126615,1.786439,1.308141,,,-0.212727,1.780192,1.309044,,39.5884993277956,40.6930091877425,7.99114352162267
0.11, 1.15,-1.15,,,-0.2119133,1.786473,1.307067,,,-0.2119629,1.780796,1.30787,,39.4512740009995,40.4001614201329,7.8116043203222
0.122, 1.03,-1.03,,,-0.2108759,1.786746,1.306793,,,-0.2109072,1.781653,1.307509,,39.2573410301974,40.046596687586,7.75575130371232
0.132, 1.3,-1.3,,,-0.2117349,1.787379,1.307314,,,-0.2117775,1.780957,1.308216,,39.4154325843272,40.2503275644798,7.75172661485589
0.144, 1.31,-1.31,,,-0.2117065,1.787468,1.30757,,,-0.2117491,1.780986,1.308485,,39.4090975840483,40.2539373193557,7.78931143726528
0.156, 1.31,-1.31,,,-0.2116047,1.787596,1.30919,,,-0.2116463,1.781102,1.310112,,39.3845806207048,40.2777405279508,7.8431008830296
