経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.02,-0.02,,,0.209369,1.567215,0.9213605,,,0.2093615,1.567134,0.9213908,,45.7999961295596,26.0900036769184,20.7183144687308
0.011, 1.39,1.39,,,0.2105458,1.562051,0.9251641,,,0.2111001,1.568535,0.9227413,,45.7999961295596,25.9415785477425,20.7281209125588
0.022, 2.99,2.99,,,0.2118354,1.556247,0.9295609,,,0.2129321,1.570184,0.9243307,,45.7999961295596,25.8028830227684,20.7343722430227
0.033, 4.53,4.53,,,0.2121888,1.550108,0.9332821,,,0.2137219,1.571247,0.9253562,,45.7999961295596,25.771780049701,20.6557977489974
0.044, 5.82,5.82,,,0.2130259,1.544598,0.9360635,,,0.2148821,1.571804,0.9258928,,45.7999961295596,25.79512222054,20.5616248108891
0.055, 6.97,6.97,,,0.2124823,1.539103,0.9378986,,,0.2146363,1.57169,0.9257832,,45.7999961295596,25.8832555640427,20.4408875602906
0.066, 7.97,7.97,,,0.2112315,1.534125,0.9392693,,,0.2136908,1.571428,0.9255301,,45.7999961295596,26.0553097319948,20.2683894300549
0.077, 9.02,9.02,,,0.2102342,1.52833,0.940155,,,0.2130569,1.570648,0.9247788,,45.7999961295596,26.309812818671,20.029445513875
0.089, 10.01,10.01,,,0.2095213,1.52319,0.9412255,,,0.2126568,1.570203,0.9243497,,45.7999961295596,26.5307523566998,19.8114890608832
0.1, 10.94,10.94,,,0.20927,1.518162,0.94206,,,0.2126403,1.569599,0.9237667,,45.7999961295596,26.6900545618263,19.6357670814489
0.11, 11.82,11.82,,,0.2093635,1.514042,0.9435092,,,0.2129077,1.569654,0.9238202,,45.7999961295596,26.7593502441223,19.5394511715482
0.122, 12.52,12.52,,,0.2099165,1.510817,0.9447151,,,0.2135867,1.569715,0.923879,,45.7999961295596,26.7645838764282,19.5126495099909
0.133, 13.08,13.08,,,0.2095099,1.507491,0.9449946,,,0.2133033,1.569082,0.9232688,,45.7999961295596,26.8117377935985,19.4552093282168
0.144, 13.45,13.45,,,0.2094117,1.505424,0.9451911,,,0.2133247,1.568741,0.9229397,,45.7999961295596,26.8795871833781,19.3913641367267
0.155, 13.51,13.51,,,0.2083382,1.504236,0.9444194,,,0.2123455,1.567854,0.9220847,,45.7999961295596,26.9050091467614,19.3843478250971
0.166, 13.38,13.38,,,0.2075029,1.505188,0.9445641,,,0.2116154,1.568185,0.9224036,,45.7999961295596,26.8842931835852,19.4404800256815
0.177, 13.71,13.71,,,0.2054891,1.502768,0.9442269,,,0.209825,1.567315,0.9215649,,45.7999961295596,26.9311773082908,19.4247142419686
0.188, 13.86,13.86,,,0.2044736,1.501348,0.9437239,,,0.2089116,1.566619,0.9208941,,45.7999961295596,27.003910283191,19.3665603054461
0.2, 13.76,13.76,,,0.2045611,1.501885,0.9436512,,,0.2089606,1.566724,0.9209956,,45.7999961295596,27.0209942933771,19.3474152857353
0.211, 13.87,13.87,,,0.2039464,1.501949,0.9443586,,,0.2083857,1.567268,0.9215196,,45.7999961295596,27.00962544382,19.3604216731003
0.222, 13.87,13.87,,,0.2038506,1.502088,0.9445307,,,0.2083138,1.56741,0.9216568,,45.7999961295596,26.9860493390085,19.3896463441983
0.233, 13.95,13.95,,,0.2020708,1.502394,0.9453546,,,0.2066626,1.568077,0.9223003,,45.7999961295596,26.9551461489687,19.446512790098
0.244, 13.91,13.91,,,0.1998509,1.503397,0.9460998,,,0.2046038,1.568873,0.9230673,,45.7999961295596,26.9348417046786,19.5126904911247
0.256, 13.79,13.79,,,0.1978625,1.504943,0.9468452,,,0.2027083,1.56982,0.9239798,,45.7999961295596,26.9162823736728,19.5682250501734
0.266, 13.59,13.59,,,0.1953304,1.507358,0.9480209,,,0.20023,1.571259,0.9253673,,45.7999961295596,26.8269298414372,19.6918992820333
0.278, 13.61,13.61,,,0.1939306,1.508978,0.9497706,,,0.1988617,1.572929,0.9269772,,45.7999961295596,26.7342253939596,19.7907918807267
0.289, 13.57,13.57,,,0.1924197,1.511148,0.9516662,,,0.1972789,1.574846,0.9288252,,45.7999961295596,26.6190820681357,19.8886889793762
0.299, 13.51,13.51,,,0.1909733,1.51303,0.9531488,,,0.1957448,1.576441,0.9303625,,45.7999961295596,26.5727016698674,19.9154957635753
0.311, 13.62,13.62,,,0.1892028,1.514263,0.955029,,,0.1939999,1.578187,0.9320463,,45.7999961295596,26.5617989807081,19.9225223204884
0.322, 13.71,13.71,,,0.1870714,1.515532,0.9567893,,,0.191945,1.579864,0.933663,,45.7999961295596,26.5698705565352,19.9273717546642
0.333, 13.67,13.67,,,0.1831011,1.518682,0.9595487,,,0.1881067,1.58283,0.9365216,,45.7999961295596,26.6131363886286,19.9266699527465
0.344, 13.89,13.89,,,0.1776273,1.521147,0.9632716,,,0.1829003,1.586366,0.9399306,,45.7999961295596,26.6901757976807,19.9044240272388
0.355, 13.96,13.96,,,0.1732926,1.523673,0.9661219,,,0.1786864,1.589212,0.9426745,,45.7999961295596,26.7082433550799,19.9148024993938
0.367, 14.2,14.2,,,0.1711514,1.525625,0.9695082,,,0.176575,1.592247,0.9455997,,45.7999961295596,26.6450538617319,19.9593916806021
0.377, 14.55,14.55,,,0.1692939,1.526955,0.9730136,,,0.1747341,1.595183,0.9484302,,45.7999961295596,26.5590634900217,20.0116494564877
0.389, 15.11,15.11,,,0.164365,1.529728,0.9792875,,,0.1698946,1.600536,0.9535906,,45.7999961295596,26.4157456346555,20.1214242537734
0.4, 15.43,15.43,,,0.1608002,1.531749,0.9832865,,,0.1664175,1.604035,0.9569639,,45.7999961295596,26.3507666317948,20.1781318977794
0.411, 15.59,15.59,,,0.1557081,1.534391,0.9868554,,,0.1615143,1.607427,0.9602334,,45.7999961295596,26.3471739523913,20.2148902673222
0.422, 15.92,15.92,,,0.1502079,1.536417,0.990823,,,0.1563563,1.610985,0.9636637,,45.7999961295596,26.385506680494,20.2337979379659
0.433, 16.13,16.13,,,0.1438365,1.538872,0.9943762,,,0.1503363,1.614421,0.9669756,,45.7999961295596,26.4928038267272,20.1998518987356
0.444, 16.34,16.34,,,0.1376064,1.541305,0.9979551,,,0.1444295,1.617864,0.9702944,,45.7999961295596,26.5893485479587,20.1692099634243
0.455, 16.67,16.67,,,0.1311553,1.543191,1.00182,,,0.1382746,1.621323,0.9736296,,45.7999961295596,26.6321584649378,20.1697341804285
0.466, 16.97,16.97,,,0.1254961,1.545708,1.006124,,,0.132742,1.625223,0.9773885,,45.7999961295596,26.6031096712061,20.1982211911167
