経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.15,-0.15,,,-0.1846702,1.644146,1.342015,,,-0.1845782,1.6434,1.342077,,45.0005395849294,38.228584796227,8.3452264947584
0.01, 0.79,0.79,,,-0.1832359,1.640341,1.342688,,,-0.183731,1.644247,1.34236,,45.0005395849294,38.0313084479192,8.51356930877349
0.021, 1.49,1.49,,,-0.1817406,1.6379,1.343649,,,-0.182693,1.645285,1.343022,,45.0005395849294,37.9117801407702,8.64531511646041
0.032, 2.24,2.24,,,-0.1799418,1.635502,1.344636,,,-0.1813868,1.646591,1.343686,,45.0005395849294,37.8427235150885,8.7307291909755
0.043, 3.03,3.03,,,-0.1780358,1.633007,1.345313,,,-0.1800093,1.647969,1.344031,,45.0005395849294,37.7535963790891,8.80667235469627
0.055, 3.55,3.55,,,-0.1770323,1.631075,1.345707,,,-0.1793626,1.648615,1.344213,,45.0005395849294,37.6968545841383,8.83479992668931
0.066, 4.06,4.06,,,-0.1754821,1.629777,1.346161,,,-0.1781621,1.649816,1.344461,,45.0005395849294,37.6453617894184,8.86786999418296
0.077, 4.38,4.38,,,-0.1741731,1.629264,1.347153,,,-0.1770722,1.650906,1.345297,,45.0005395849294,37.6390028834781,8.90567252886609
0.088, 4.81,4.81,,,-0.1721342,1.628889,1.349295,,,-0.1753276,1.65265,1.347205,,45.0005395849294,37.6284195056537,8.99027210334531
0.099, 5.17,5.17,,,-0.1700827,1.628956,1.350222,,,-0.1735207,1.654457,1.347963,,45.0005395849294,37.6088441840372,9.02880632202292
0.11, 5.27,5.27,,,-0.1689994,1.62947,1.35044,,,-0.1724925,1.655485,1.348167,,45.0005395849294,37.6315921284349,8.96694530043155
0.122, 5.57,5.57,,,-0.1674608,1.629359,1.350547,,,-0.1711276,1.65685,1.348185,,45.0005395849294,37.6722761490939,8.88254550897999
0.132, 6.22,6.22,,,-0.1633921,1.629825,1.350944,,,-0.1674187,1.660559,1.348377,,45.0005395849294,37.7894446259504,8.69926507166576
0.144, 6.48,6.48,,,-0.1600969,1.631754,1.351533,,,-0.1642006,1.663777,1.348876,,45.0005395849294,37.9466789913632,8.54642422531427
0.155, 6.47,6.47,,,-0.1574117,1.634592,1.353193,,,-0.1614178,1.66656,1.350471,,45.0005395849294,38.1180211121141,8.47732149585692
0.166, 6.5,6.5,,,-0.1544739,1.637414,1.354875,,,-0.1584343,1.669543,1.352062,,45.0005395849294,38.2476239480086,8.45551782508569
