経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 4.97,4.97,,,-0.004710536,1.803696,1.3169,,,0.002231605,1.827183,1.312708,,45.0005634905908,61.9120567634239,18.9204362669374
0.011, 7.85,7.85,,,-0.004258361,1.794222,1.319781,,,0.006416708,1.831368,1.313069,,45.0005634905908,61.5003807830356,18.6185060555317
0.022, 7.91,7.91,,,-0.005517602,1.793098,1.324229,,,0.005479738,1.830431,1.317099,,45.0005634905908,61.9236612545008,19.2101148268604
0.033, 1.78,-1.78,,,-0.02463942,1.805718,1.324262,,,-0.02748883,1.797462,1.325914,,45.0005634905908,64.5267214068368,21.626746678536
0.044, 5.27,-5.27,,,-0.02967441,1.810615,1.323333,,,-0.03859119,1.78636,1.328563,,45.0005634905908,65.7099765155336,22.9583227560268
0.055, 1.74,-1.74,,,-0.02910245,1.801,1.320149,,,-0.03200234,1.792949,1.321709,,45.0005634905908,65.2432833629118,22.1257739457888
0.066, 2.6,2.6,,,-0.0284352,1.788578,1.314184,,,-0.02423998,1.800711,1.312071,,45.0005634905908,64.4432291767459,21.0522407004131
0.078, 12.68,12.68,,,-0.01333855,1.769267,1.319234,,,0.004382364,1.829334,1.309262,,45.0005634905908,61.8246030237247,18.5808392708546
0.089, 17.06,17.06,,,-0.003637671,1.761543,1.324217,,,0.01791106,1.842862,1.310102,,45.0005634905908,60.2995720886604,17.4414886169209
0.099, 18.89,18.89,,,0.004227329,1.761826,1.33045,,,0.02693605,1.851887,1.313199,,45.0005634905908,59.7257679124552,17.4203850405201
0.111, 6.19,6.19,,,-0.02286714,1.782318,1.322155,,,-0.01365685,1.811294,1.316427,,45.0005634905908,63.1446463271228,20.390712992044
0.122, 9.42,9.42,,,-0.01235563,1.781906,1.331321,,,0.001092039,1.826043,1.321973,,45.0005634905908,62.5510824141986,20.21564158811
0.132, 8.36,8.36,,,-0.01542566,1.782559,1.328393,,,-0.003230885,1.82172,1.32037,,45.0005634905908,62.8546911445462,20.306250875118
0.144, 8.68,8.68,,,-0.01505995,1.781736,1.326005,,,-0.00246647,1.822485,1.317945,,45.0005634905908,62.6984642320079,20.0158397774269
0.155, 7.91,7.91,,,-0.01635697,1.783023,1.326622,,,-0.00481236,1.820139,1.319197,,45.0005634905908,62.8115175200039,20.1614730668573
0.166, 8,8,,,-0.01597391,1.783058,1.326506,,,-0.004359387,1.820592,1.31908,,45.0005634905908,62.718866006491,20.0343905706964
0.177, 8.26,8.26,,,-0.01475949,1.783335,1.326469,,,-0.002820417,1.822131,1.318808,,45.0005634905908,62.6303877384447,19.9511254443892
0.188, 8.11,8.11,,,-0.01473822,1.783765,1.326754,,,-0.003076494,1.821875,1.319205,,45.0005634905908,62.5450581875183,19.8930654229651
0.2, 7.77,7.77,,,-0.01488797,1.784632,1.326529,,,-0.003777236,1.821174,1.31931,,45.0005634905908,62.4427282962207,19.7951785695991
0.211, 7.44,7.44,,,-0.01546841,1.785066,1.327435,,,-0.004917413,1.820034,1.320493,,45.0005634905908,62.3293881402875,19.7226368399903
0.222, 7.19,7.19,,,-0.01628589,1.785015,1.327738,,,-0.006137997,1.818813,1.320994,,45.0005634905908,62.2591874579516,19.6870959516332
0.233, 6.92,6.92,,,-0.01670916,1.785366,1.328632,,,-0.007016174,1.817935,1.322107,,45.0005634905908,62.1284849616314,19.5971423627673
0.244, 6.9,6.9,,,-0.01710571,1.784938,1.329222,,,-0.007525824,1.817425,1.322719,,45.0005634905908,61.9877694082666,19.4766595367083
0.255, 6.53,6.53,,,-0.01839915,1.784868,1.329625,,,-0.009333901,1.815617,1.323484,,45.0005634905908,61.9819091061218,19.4608391114835
0.266, 6.01,6.01,,,-0.01979852,1.785115,1.329343,,,-0.01149031,1.813461,1.323705,,45.0005634905908,61.8901386869872,19.3665090790287
0.277, 5.57,5.57,,,-0.02091885,1.785388,1.32999,,,-0.0132861,1.811665,1.324757,,45.0005634905908,61.7561235490117,19.2606599328592
0.289, 5.4,5.4,,,-0.02113694,1.785613,1.330194,,,-0.01386727,1.811084,1.325065,,45.0005634905908,61.5085428588667,19.1115398319546
0.3, 4.74,4.74,,,-0.02241736,1.786461,1.330585,,,-0.01612132,1.80883,1.326053,,45.0005634905908,61.3123798313626,18.9809449111108
0.311, 4.53,4.53,,,-0.02334097,1.786122,1.330756,,,-0.01741731,1.807534,1.326371,,45.0005634905908,61.0771003115705,18.8463082259381
0.322, 4.06,4.06,,,-0.02446832,1.786511,1.331558,,,-0.01922755,1.805724,1.327582,,45.0005634905908,60.8894272089685,18.7509587877781
0.333, 3.44,3.44,,,-0.02555763,1.78751,1.331209,,,-0.02115777,1.803793,1.327826,,45.0005634905908,60.7617026750435,18.6712863408742
0.344, 2.84,2.84,,,-0.02737409,1.787697,1.331531,,,-0.02378523,1.801166,1.328723,,45.0005634905908,60.5722605534957,18.540423335113
0.355, 2.21,2.21,,,-0.02914695,1.788112,1.331156,,,-0.02638462,1.798567,1.328968,,45.0005634905908,60.4612768127606,18.4720036245536
0.366, 1.81,1.81,,,-0.03039742,1.788212,1.331253,,,-0.02816393,1.796787,1.329457,,45.0005634905908,60.265988049446,18.3229706085585
0.377, 1,1,,,-0.03268583,1.788738,1.331166,,,-0.03146058,1.793491,1.330163,,45.0005634905908,60.1400666854117,18.2708204081493
0.388, 0.49,0.49,,,-0.03364244,1.789557,1.331109,,,-0.03304893,1.791902,1.330611,,45.0005634905908,59.9051355052575,18.1327583832032
0.399, 0.19,0.19,,,-0.03452647,1.789732,1.331646,,,-0.03429787,1.790653,1.331449,,45.0005634905908,59.6593716453811,17.9871370466035
0.411, 0.28,-0.28,,,-0.03579026,1.790177,1.331743,,,-0.03611932,1.788832,1.332033,,45.0005634905908,59.4828932225173,17.912471128222
0.422, 1.05,-1.05,,,-0.03807763,1.790651,1.33153,,,-0.03928358,1.785668,1.332613,,45.0005634905908,59.3564664244985,17.8550428992786
0.433, 1.48,-1.48,,,-0.0394637,1.790855,1.331658,,,-0.04114562,1.783805,1.333194,,45.0005634905908,59.1810876620605,17.7345686109559
0.444, 1.61,-1.61,,,-0.04008464,1.790714,1.332416,,,-0.04188241,1.783069,1.334096,,45.0005634905908,59.0132357678783,17.6718008817774
0.455, 2.15,-2.15,,,-0.0420442,1.790744,1.332875,,,-0.04443198,1.780519,1.335137,,45.0005634905908,58.9397975759659,17.6618629568116
0.466, 2.89,-2.89,,,-0.04430662,1.791187,1.332097,,,-0.04750293,1.777448,1.335132,,45.0005634905908,58.8915081398777,17.6162987661264
0.477, 3.37,-3.37,,,-0.04600297,1.791261,1.332351,,,-0.0497257,1.775225,1.335907,,45.0005634905908,58.8711405163395,17.6269470307461
0.488, 3.87,-3.87,,,-0.04798292,1.791144,1.332513,,,-0.0522351,1.772716,1.336608,,45.0005634905908,58.8002977962395,17.5890821705885
0.5, 3.59,-3.59,,,-0.04966908,1.78853,1.331611,,,-0.05353161,1.77142,1.335337,,45.0005634905908,58.5069958210627,17.2416014288755
0.511, 1.32,-1.32,,,-0.05139446,1.778541,1.327273,,,-0.05274788,1.772203,1.328564,,45.0005634905908,57.7677576375742,16.2717794805186
0.522, 4.29,4.29,,,-0.04327755,1.764647,1.327018,,,-0.03954025,1.785411,1.323066,,45.0005634905908,55.8815258186835,14.4985548458483
0.533, 7,7,,,-0.03834113,1.75807,1.330754,,,-0.03295439,1.791997,1.324109,,45.0005634905908,54.7751035058222,13.9570344116304
0.544, 5.44,5.44,,,-0.04337823,1.759509,1.33163,,,-0.03909203,1.785859,1.326316,,45.0005634905908,55.0291592151202,14.3315891686863
0.555, 5.41,-5.41,,,-0.06556942,1.779572,1.332783,,,-0.07116084,1.75379,1.338693,,45.0005634905908,58.1237265966421,17.3324600177813
0.566, 5.32,-5.32,,,-0.06819714,1.776707,1.327724,,,-0.0737054,1.751246,1.333224,,45.0005634905908,57.9996630440103,16.8237082689683
0.578, 3.95,-3.95,,,-0.06915343,1.770771,1.326227,,,-0.07313798,1.751813,1.330156,,45.0005634905908,57.6125894043278,16.2695118577773
0.588, 0.52,0.52,,,-0.06658739,1.75631,1.322281,,,-0.06610936,1.758842,1.321806,,45.0005634905908,56.3410404426873,14.7377822148709
0.599, 3.19,3.19,,,-0.06428574,1.747827,1.321315,,,-0.06162789,1.763323,1.318542,,45.0005634905908,55.346479549845,13.7420337229197
0.611, 4.25,4.25,,,-0.06390788,1.743775,1.323167,,,-0.06055078,1.7644,1.319386,,45.0005634905908,54.9016873981875,13.5900568954742
0.622, 2.72,2.72,,,-0.07004604,1.744008,1.325175,,,-0.06778955,1.757162,1.322633,,45.0005634905908,55.4474194976851,14.3037911533116
0.633, 5.06,-5.06,,,-0.08524895,1.758849,1.326689,,,-0.09036082,1.73459,1.331831,,45.0005634905908,57.6744982372421,16.4648979512848
0.644, 4.61,-4.61,,,-0.08719519,1.755303,1.321859,,,-0.09179452,1.733157,1.326289,,45.0005634905908,57.4303053208311,15.9114596910706
0.655, 4.2,-4.2,,,-0.08911836,1.751955,1.320237,,,-0.09319201,1.731759,1.324184,,45.0005634905908,57.0810640979085,15.5143610415128
0.666, 0.37,0.37,,,-0.08629639,1.737181,1.318498,,,-0.08597925,1.738972,1.318169,,45.0005634905908,55.687227432771,14.1493341134927
0.677, 2.66,2.66,,,-0.08422011,1.729894,1.318447,,,-0.08213915,1.742812,1.316152,,45.0005634905908,54.7717362226551,13.3011151421875
0.688, 3.67,3.67,,,-0.08466741,1.725171,1.320571,,,-0.08193189,1.743019,1.317343,,45.0005634905908,54.3677612803417,13.1478619231763
0.7, 2.85,2.85,,,-0.08984399,1.723427,1.319122,,,-0.08765107,1.7373,1.316657,,45.0005634905908,54.6069135172855,13.191599892083
0.711, 1.22,-1.22,,,-0.09958801,1.73024,1.321312,,,-0.1006314,1.72432,1.322442,,45.0005634905908,55.6832386024067,14.3817364161771
0.722, 6.55,-6.55,,,-0.1116789,1.738236,1.321306,,,-0.1181909,1.70676,1.327496,,45.0005634905908,57.3655756198681,15.7593001560698
