1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane2, 0.38,0.38,,,-0.1203767,1.800964,1.263985,,,-0.1198117,1.802796,1.263864,,29.7499911776726,30.9793193261336,17.4560317968064, 1.788
PointPlane3, 0.66,-0.66,,,0.15689,1.645111,0.9630183,,,0.1559284,1.641967,0.9633771,,59.7499809323891,55.3010690384118,17.9899579146522, 1.467
PointBall3, 3.44,3.44,,,0.05376723,1.855319,1.247452,,,0.05947021,1.871441,1.24581,,1.2373299282944,20.4773897977467,20.1421914433669, 1.376
PointPyramid, 9.18,-9.18,,,0.06272851,1.888156,1.264818,,,0.04824934,1.844967,1.270435,,48.5275603817165,67.2436339792795,19.6897614328826, 1.155
PointBall1, 4.64,4.64,,,0.2283933,1.759557,1.062794,,,0.2363575,1.78122,1.060582,,38.1049139794616,23.2781753833159,20.8191314731693, 1.401
PointBall2, 2.83,2.83,,,-0.1449785,1.68038,0.9817469,,,-0.1415046,1.694094,0.9809827,,54.5306612875134,61.6898638857173,14.4887432793786, 1.668
PointPlane1, 0.78,-0.78,,,0.05606296,1.649903,1.02564,,,0.05491117,1.646181,1.025875,,44.750001422956,44.2004102666847,17.4768536279118, 1.401
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 5.68,5.68,,,0.2350193,1.754347,1.070887,,,0.2437146,1.781122,1.067173,,38.1329075089959,21.6289886880687,19.3529921350374, 1.311
PointPlane2, 1.24,1.24,,,-0.1055155,1.794343,1.259861,,,-0.1037511,1.800258,1.259469,,29.7499911776726,30.6889099359897,16.9383632362801, 1.557
PointBall2, 0.81,0.81,,,-0.1376785,1.69823,0.9847194,,,-0.1365261,1.702103,0.9845169,,53.1802236431545,62.1372685846596,16.7670620966631, 1.867
PointBall3, 3.37,3.37,,,0.05832747,1.855676,1.252046,,,0.06376293,1.871544,1.250233,,0.473539509939633,19.6592492711619,19.7759293895063, 1.412
PointPlane1, 3.36,-3.36,,,0.05955126,1.667581,1.030072,,,0.05443877,1.651647,1.031341,,44.750001422956,43.5443057283657,18.234838972603, 1.734
PointPyramid, 4.31,4.31,,,0.06275859,1.824585,1.259501,,,0.06987806,1.844766,1.257056,,48.277076861255,45.1241796658444,20.37545605741, 1.267
PointPlane3, 0.28,-0.28,,,0.1434625,1.62727,0.9540433,,,0.14298,1.625944,0.954126,,59.7499809323891,58.6848266213446,20.214553880515, 1.31
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 0.94,-0.94,,,0.06297104,1.652397,1.02735,,,0.06144691,1.647979,1.027673,,44.750001422956,44.3073471204492,19.3756512869784, 1.567
PointBall1, 0.49,0.49,,,0.240782,1.777199,1.062698,,,0.2416282,1.779456,1.062347,,38.4949041098385,20.5096095067124,21.9996698741993, 1.189
PointBall3, 1.09,1.09,,,0.05967136,1.866399,1.245242,,,0.06161624,1.871426,1.244506,,1.29391964481879,22.2856703773566,22.3851128062628, 1.478
PointPyramid, 1.48,1.48,,,0.07384196,1.840597,1.268602,,,0.07632796,1.84753,1.267712,,48.527550136433,29.5505838104031,20.7638889046995, 1.579
PointPlane3, 0.91,0.91,,,0.1498352,1.652177,0.9721425,,,0.1513089,1.656438,0.9717321,,59.7499809323891,56.6951550054471,19.6811741777875, 1.955
PointPlane2, 0.68,-0.68,,,-0.1147139,1.810826,1.271891,,,-0.1157686,1.807637,1.272249,,29.7499911776726,29.4738261466464,19.1758238630866, 1.668
PointBall2, 1.68,1.68,,,-0.1336808,1.693233,0.980063,,,-0.1310208,1.70118,0.9796919,,53.3337765367071,63.5855691767232,18.6412881508743, 1.588
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 3.22,3.22,,,0.06023962,1.844814,1.273002,,,0.06536382,1.859935,1.270772,,48.527550136433,30.7565185616077,20.1838829169005, 1.502
PointBall2, 1.63,1.63,,,-0.1441728,1.685081,0.980159,,,-0.141573,1.69279,0.9798868,,54.7480422970836,65.8224970487892,18.7068938235739, 1.323
PointBall3, 0.32,0.32,,,0.06666279,1.869598,1.236216,,,0.06717336,1.87111,1.235991,,2.45702430864258,18.90696030408,20.1560720949214, 1.334
PointPlane3, 5.57,5.57,,,0.1444786,1.629326,0.9728746,,,0.1539054,1.655496,0.9711882,,59.7499809323891,58.5363246525426,20.0562898641134, 1.469
PointBall1, 5.9,5.9,,,0.248564,1.74735,1.074635,,,0.257879,1.775104,1.070826,,39.4469778121311,22.0892221894626,19.8369059016248, 2.301
PointPlane1, 0,0,,,0.0653024,1.654293,1.033991,,,0.06530368,1.654296,1.03399,,44.750001422956,43.4653009324346,18.4938192481556, 2.122
PointPlane2, 2.39,2.39,,,-0.1018393,1.790932,1.264349,,,-0.09828617,1.802221,1.262869,,29.7499911776726,28.1464113617917,18.7334103247413, 1.29
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 0.09,0.09,,,0.05316436,1.644764,1.024931,,,0.05331516,1.645202,1.024896,,44.750001422956,43.9423725572114,19.4219002041088, 1.422
PointPlane3, 0.7,0.7,,,0.1538514,1.640229,0.9645985,,,0.1549457,1.643533,0.9642814,,59.7499809323891,56.5470730932674,18.9595237309224, 1.623
PointPlane2, 1.41,-1.41,,,-0.1024502,1.812627,1.268385,,,-0.1045188,1.805961,1.269347,,29.7499911776726,27.425112669659,18.7884992139591, 1.446
PointBall1, 3.43,3.43,,,0.2555565,1.760253,1.079211,,,0.2614761,1.776136,1.076539,,39.2300544252225,19.2842616508794,22.1383466161536, 1.734
PointBall3, 2.86,2.86,,,0.06814685,1.857953,1.245439,,,0.07266924,1.871303,1.243117,,1.87220773336764,19.0355830078559,20.7329549788093, 1.267
PointPyramid, 2.76,2.76,,,0.05736388,1.846931,1.27278,,,0.06163602,1.85983,1.270371,,48.277076861255,41.4235286349981,20.6938214110487, 1.868
PointBall2, 4.21,4.21,,,-0.133923,1.69147,0.9889649,,,-0.1274302,1.711337,0.986643,,51.5915285166082,59.0495177317398,19.0580936031865, 2.19
