経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.84,-0.84,,,0.1197174,1.752406,1.659286,,,0.1195741,1.748197,1.659011,,46.572278767333,42.4960868708969,4.43416082021463
0.01, 0.19,0.19,,,0.1211681,1.748166,1.657969,,,0.1211948,1.749104,1.65803,,46.3924023254517,42.3348705053088,4.29035033746825
0.022, 0.41,0.41,,,0.1237442,1.74481,1.659876,,,0.1237936,1.746837,1.66,,46.8408110621741,42.9984609307499,4.0045282729981
0.032, 0.67,0.67,,,0.1252432,1.742252,1.660857,,,0.1253191,1.745586,1.661056,,47.0868822805546,43.3369343607455,3.88660292582529
0.043, 0.97,0.97,,,0.1268943,1.739639,1.661681,,,0.1269933,1.744464,1.661961,,47.3066641015512,43.6518163180045,3.75822482819229
0.054, 1.18,1.18,,,0.1286838,1.737798,1.662172,,,0.1287975,1.743706,1.6625,,47.454746013731,43.9458798592526,3.59706139656874
0.065, 1.56,1.56,,,0.1287911,1.737367,1.660714,,,0.1289465,1.745153,1.661133,,47.1716415107012,43.7531046054826,3.52003159246994
0.076, 1.72,1.72,,,0.1277095,1.737899,1.659535,,,0.1279108,1.746485,1.659974,,46.9098028010605,43.6293518264495,3.44997370377243
0.089, 1.88,1.88,,,0.1270573,1.738402,1.658313,,,0.1273177,1.747789,1.658788,,46.6524993369025,43.3856882496844,3.52686647720481
0.1, 2.22,2.22,,,0.1252796,1.738869,1.656239,,,0.1256518,1.749969,1.656839,,46.2199332235191,42.7476256555558,3.8538163111743
0.11, 3.04,3.04,,,0.1242504,1.737791,1.653075,,,0.1248192,1.752949,1.653989,,45.6232991406484,41.786983481188,4.27658750667366
0.12, 4.15,4.15,,,0.1240302,1.735252,1.649621,,,0.1248466,1.755921,1.651012,,45.0220273594603,40.7803058330952,4.67931167063007
0.133, 5.1,5.1,,,0.1255138,1.732291,1.647155,,,0.126466,1.757725,1.649029,,44.6537128338113,40.0434923666946,4.94838867304227
0.143, 5.26,5.26,,,0.1280966,1.729981,1.648418,,,0.1289753,1.756199,1.650342,,44.9651421305408,40.3695621735027,4.84189279335377
0.154, 5.48,5.48,,,0.1283109,1.729562,1.647593,,,0.1292931,1.756846,1.649651,,44.8331862945428,40.1108551055093,5.00405855521012
0.165, 5.76,5.76,,,0.1314697,1.725781,1.649743,,,0.1322402,1.754488,1.65172,,45.311975711848,40.9897365026928,4.46067347940072
0.176, 5.04,5.04,,,0.1283868,1.729621,1.650132,,,0.1291978,1.754759,1.651774,,45.2575493509613,41.12538064074,4.39271096461621
0.188, 4.91,4.91,,,0.1256415,1.731381,1.649457,,,0.1266179,1.755853,1.650921,,45.0356365110029,41.2049728329233,4.32359158657321
0.198, 4.97,4.97,,,0.1257215,1.731544,1.648944,,,0.1267334,1.756349,1.650407,,44.9346589971234,41.1480910190983,4.31038925816179
0.21, 5,5,,,0.1273006,1.7312,1.648986,,,0.1282623,1.756114,1.6505,,44.9824464143215,41.0921210355022,4.32965764816103
0.221, 4.67,4.67,,,0.1276249,1.732103,1.649753,,,0.1284805,1.755391,1.651209,,45.1293603641857,41.1419404339219,4.36636948704142
0.232, 4.78,4.78,,,0.1298586,1.731368,1.649653,,,0.1307268,1.755198,1.651172,,45.168254875332,41.0997571867818,4.41774275345408
0.243, 5,5,,,0.1316465,1.731679,1.647832,,,0.1325393,1.756626,1.649524,,44.8778249946212,40.5682318803624,4.6078094104067
0.254, 4.9,4.9,,,0.1309255,1.733688,1.64641,,,0.1318476,1.758106,1.648084,,44.5751007737466,40.2187208649751,4.69577626805304
0.266, 4.78,4.78,,,0.1289623,1.736553,1.644333,,,0.1299369,1.760377,1.645936,,44.1079124324238,39.821835658823,4.71891353322261
0.276, 4.55,4.55,,,0.1258402,1.740918,1.641403,,,0.1268712,1.763591,1.642846,,43.4396433275315,39.3702747898863,4.67809717765208
0.288, 4.66,4.66,,,0.1221135,1.744599,1.637157,,,0.1232649,1.767821,1.638577,,42.5472791373016,38.6425283993566,4.69844559128377
0.298, 4.62,4.62,,,0.1167757,1.750539,1.631121,,,0.118094,1.773573,1.632488,,41.3084262903081,37.5566820307973,4.89693002926736
0.31, 5.36,5.36,,,0.1144357,1.752918,1.623801,,,0.1159742,1.779641,1.625475,,39.9670113255917,36.0533471910279,5.05105623180751
0.321, 5.23,5.23,,,0.1119084,1.757673,1.618998,,,0.1134892,1.783751,1.620577,,39.0368249638854,35.2805898551203,5.07767262448873
0.332, 5.5,5.5,,,0.1110607,1.760251,1.614031,,,0.11274,1.787667,1.615657,,38.13254550898,34.4622683285275,5.04969830486093
0.343, 5.5,5.5,,,0.109203,1.764697,1.608333,,,0.1109107,1.792083,1.609951,,37.0902245196954,33.4627350581078,5.08553844087276
0.354, 6,6,,,0.1094562,1.765718,1.603408,,,0.1112445,1.795634,1.605117,,36.2332441234762,32.7085251003753,4.90224818516187
0.366, 5.55,5.55,,,0.1080039,1.770533,1.600193,,,0.1097223,1.798186,1.601622,,35.606294246818,32.4228456161001,4.78450469177065
0.377, 5.64,5.64,,,0.1078238,1.773593,1.595194,,,0.1095349,1.801722,1.59656,,34.7214876606944,31.715852754786,4.61146356151097
0.388, 5.92,5.92,,,0.1074557,1.776016,1.589527,,,0.1092181,1.805538,1.590907,,33.7435412025458,30.8461784523475,4.49448761060637
0.399, 6.03,6.03,,,0.1068333,1.778571,1.584862,,,0.1086206,1.808622,1.586194,,32.9343721291862,30.1879463101612,4.39511775245801
0.41, 6.2,6.2,,,0.1076314,1.780901,1.57977,,,0.1094118,1.811836,1.581065,,32.0716816949797,29.4456686925766,4.22336197838701
0.421, 6.42,6.42,,,0.10859,1.783694,1.573315,,,0.1103512,1.815717,1.57463,,31.0010529874677,28.4016162503856,4.08058328106342
0.432, 6.55,6.55,,,0.1094471,1.786158,1.567922,,,0.1112302,1.818853,1.569213,,30.1108266463886,27.5862248748652,4.00423457487196
0.443, 6.21,6.21,,,0.1094037,1.790786,1.562936,,,0.1111519,1.821747,1.564083,,29.2675305337907,26.8907716178327,4.00609281316132
0.454, 5.91,5.91,,,0.1089711,1.795653,1.556811,,,0.1107631,1.825132,1.557864,,28.2517601966184,25.9739980397358,4.16551113150049
0.465, 5.87,5.87,,,0.1081789,1.799738,1.549371,,,0.1100571,1.829005,1.550417,,27.0459620491933,24.7989647710236,4.32870739811919
0.476, 6.13,6.13,,,0.1090309,1.802011,1.542005,,,0.1109649,1.83256,1.543137,,25.893447913548,23.5530170652272,4.32748564806541
0.487, 5.82,5.82,,,0.1086646,1.806622,1.535507,,,0.1105691,1.83565,1.53656,,24.8509254336885,22.5811102016841,4.41321818014168
