経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.18,-0.18,,,0.1822718,1.800395,1.218795,,,0.1820512,1.799526,1.218773,,44.8235181620417,37.2307932239972,14.3283892251492
0.011, 1.35,1.35,,,0.1817521,1.793638,1.220857,,,0.1833778,1.800195,1.221045,,44.8235181620417,37.5863694471987,14.0448757645543
0.023, 3.03,3.03,,,0.1814484,1.787171,1.224689,,,0.1850185,1.801908,1.22511,,44.8235181620417,37.7428900578631,13.7399052652788
0.033, 4.48,4.48,,,0.1823415,1.782309,1.230184,,,0.1875161,1.80411,1.23072,,44.8235181620417,37.6963457350592,13.4494975826823
0.044, 5.7,5.7,,,0.1816785,1.778982,1.234441,,,0.1881853,1.806699,1.235051,,44.8235181620417,37.64839780842,13.2933347031657
0.055, 6.65,6.65,,,0.1807021,1.775907,1.236675,,,0.1882764,1.808262,1.237353,,44.8235181620417,37.6177405051835,13.251148040931
0.067, 7.54,7.54,,,0.1788525,1.773244,1.23807,,,0.1874349,1.80997,1.238927,,44.8235181620417,37.7430369069262,13.2435178660668
0.08, 7.97,7.97,,,0.1772074,1.771865,1.237654,,,0.1862964,1.810626,1.238716,,44.8235181620417,37.9103731218403,13.3146457465567
0.088, 8.07,8.07,,,0.1762056,1.771608,1.23715,,,0.1855138,1.810865,1.238271,,44.8235181620417,37.8897596114989,13.4641141870994
0.099, 8.01,8.01,,,0.1748261,1.772628,1.236789,,,0.1841401,1.811555,1.237874,,44.8235181620417,37.7951580790321,13.5747009231
0.11, 8.24,8.24,,,0.1730314,1.773297,1.237941,,,0.1827415,1.813336,1.238994,,44.8235181620417,37.6282931471576,13.7376043453662
0.121, 8.52,8.52,,,0.1706007,1.77365,1.238428,,,0.180829,1.815009,1.239448,,44.8235181620417,37.4131592697617,13.9840247571583
0.133, 8.72,8.72,,,0.1692273,1.774074,1.239317,,,0.1797651,1.816374,1.240314,,44.8235181620417,37.3106449633617,14.0744257234024
0.143, 8.46,8.46,,,0.1704491,1.774464,1.239031,,,0.1806086,1.81553,1.239964,,44.8235181620417,37.3188480203266,13.9767164549498
0.155, 8.37,8.37,,,0.1721172,1.774021,1.239293,,,0.182067,1.814668,1.240202,,44.8235181620417,37.3769831738295,13.8349123402163
0.166, 8.66,8.66,,,0.1739874,1.772326,1.24105,,,0.1841687,1.814422,1.241956,,44.8235181620417,37.420061175726,13.6726543708087
0.177, 8.91,8.91,,,0.1768682,1.770144,1.242688,,,0.1871337,1.813504,1.243623,,44.8235181620417,37.5701579936548,13.3976863304013
0.188, 8.83,8.83,,,0.1784015,1.769089,1.241982,,,0.1884861,1.812064,1.242939,,44.8235181620417,37.6645341298851,13.2892647643073
0.199, 8.49,8.49,,,0.1774733,1.770022,1.239682,,,0.1872461,1.81131,1.240633,,44.8235181620417,37.6404952797702,13.4037421467056
0.21, 8.33,8.33,,,0.1764971,1.771058,1.238959,,,0.1861692,1.811542,1.239884,,44.8235181620417,37.5678972011024,13.522059802858
0.221, 7.49,7.49,,,0.1771216,1.771767,1.234052,,,0.1859721,1.808168,1.234916,,44.8235181620417,37.4881171787221,13.754334039499
