経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.82,-0.82,,,0.4950143,1.532946,1.290057,,,0.4937983,1.529028,1.289879,,45.0005634905908,27.8553069999192,17.4573636836575
0.011, 0.59,-0.59,,,0.4962922,1.530222,1.291023,,,0.4954369,1.52739,1.290892,,45.0005634905908,28.3033042177555,17.0268841930075
0.022, 0.27,-0.27,,,0.4972045,1.527279,1.291656,,,0.4968264,1.526,1.291595,,45.0005634905908,28.637838336257,16.7172580661686
0.033, 0.04,0.04,,,0.4970281,1.525524,1.292606,,,0.4970901,1.525736,1.292616,,45.0005634905908,28.8179094385243,16.5470429265994
0.043, 0.25,0.25,,,0.4966167,1.524655,1.293911,,,0.4969693,1.525857,1.293967,,45.0005634905908,28.7594908321788,16.5774611732216
0.054, 0.17,0.17,,,0.4962638,1.525495,1.294442,,,0.4965088,1.526318,1.294479,,45.0005634905908,28.5106072834859,16.8050550228641
0.065, 0.35,0.35,,,0.4953058,1.525339,1.294514,,,0.4958102,1.527016,1.29459,,45.0005634905908,28.3583333428197,16.9538523973394
0.076, 1.19,1.19,,,0.493964,1.521424,1.298516,,,0.4957175,1.527109,1.298785,,45.0005634905908,27.9678838822339,17.3725378591683
0.087, 1.89,1.89,,,0.4928443,1.518178,1.298707,,,0.4956614,1.527165,1.299173,,45.0005634905908,27.7302616076216,17.6679742684014
0.098, 2.4,2.4,,,0.4933068,1.514495,1.299549,,,0.4969112,1.525915,1.300191,,45.0005634905908,27.6416911320241,17.8189419354251
0.11, 2.8,2.8,,,0.4949145,1.510373,1.300194,,,0.49911,1.523716,1.300985,,45.0005634905908,27.7208496072072,17.7910884247649
0.121, 2.97,2.97,,,0.4984814,1.505814,1.301048,,,0.5028667,1.51996,1.301905,,45.0005634905908,27.9582055044493,17.5789427550478
0.132, 2.99,2.99,,,0.5023609,1.501862,1.303079,,,0.506711,1.516115,1.303942,,45.0005634905908,28.2082109116822,17.3336177348134
0.143, 2.9,2.9,,,0.5060638,1.498726,1.305602,,,0.5102363,1.51259,1.306424,,45.0005634905908,28.4212035248329,17.1030527529646
0.154, 2.83,2.83,,,0.5085034,1.49673,1.306689,,,0.5125616,1.510265,1.307478,,45.0005634905908,28.4751227441878,17.0340217404915
0.166, 2.85,2.85,,,0.5100104,1.49508,1.308056,,,0.5141141,1.508712,1.308847,,45.0005634905908,28.4114141564774,17.0922952053212
0.176, 3.07,3.07,,,0.5093482,1.494371,1.307774,,,0.5138063,1.50902,1.308633,,45.0005634905908,28.2411529131325,17.2692312508467
0.188, 3.31,3.31,,,0.5104303,1.491748,1.308153,,,0.5152944,1.507532,1.309114,,45.0005634905908,28.0551293011692,17.488459826536
0.199, 3.65,3.65,,,0.5109583,1.489041,1.308248,,,0.5163879,1.506438,1.309362,,45.0005634905908,27.8697904156511,17.7233875915957
0.209, 3.81,3.81,,,0.5125308,1.486499,1.309098,,,0.518209,1.504617,1.310311,,45.0005634905908,27.8217912625946,17.8217764638518
0.221, 3.97,3.97,,,0.5151553,1.482882,1.309437,,,0.5210469,1.50178,1.310752,,45.0005634905908,27.923576446321,17.7716633673059
0.232, 4.11,4.11,,,0.5171297,1.480029,1.310366,,,0.5232016,1.499625,1.311747,,45.0005634905908,28.0288399037854,17.6858796088123
0.243, 4.07,4.07,,,0.518875,1.478592,1.310478,,,0.5248516,1.497975,1.311838,,45.0005634905908,28.1051467750694,17.6055753694278
0.254, 4.05,4.05,,,0.5181784,1.47939,1.310534,,,0.5241295,1.498697,1.311851,,45.0005634905908,28.0974611049197,17.5763865568221
0.266, 4.05,4.05,,,0.5180266,1.479527,1.310834,,,0.5239879,1.498839,1.312136,,45.0005634905908,28.069074839519,17.5894100196596
0.276, 4.17,4.17,,,0.5189954,1.477827,1.311516,,,0.5251442,1.497682,1.312854,,45.0005634905908,28.0168597523146,17.6394052954455
0.288, 4.2,4.2,,,0.520511,1.476085,1.312485,,,0.5267342,1.496092,1.313851,,45.0005634905908,27.9515614381191,17.7198085725702
0.299, 4.35,4.35,,,0.5221334,1.473522,1.312727,,,0.5285957,1.494231,1.314199,,45.0005634905908,27.918216455519,17.8054898782291
0.311, 4.58,4.58,,,0.5227623,1.471423,1.312151,,,0.5295768,1.49325,1.313774,,45.0005634905908,27.9343391166061,17.8535163520416
0.321, 4.81,4.81,,,0.5227633,1.470013,1.311886,,,0.5299128,1.492913,1.313643,,45.0005634905908,27.952522787218,17.8829561740924
0.332, 4.81,4.81,,,0.5220527,1.470748,1.311643,,,0.5291976,1.493629,1.313373,,45.0005634905908,27.9407833999087,17.8723096170199
0.343, 4.83,4.83,,,0.5210268,1.471628,1.311391,,,0.5282233,1.494603,1.313104,,45.0005634905908,27.8832219822802,17.9069625808097
0.354, 4.92,4.92,,,0.5197393,1.472259,1.311543,,,0.5271505,1.495676,1.313275,,45.0005634905908,27.7105855407176,18.0631912008952
0.365, 5.03,5.03,,,0.517584,1.473682,1.311943,,,0.5252438,1.497583,1.313681,,45.0005634905908,27.4950008708491,18.2485539920747
0.377, 5.04,5.04,,,0.5168725,1.474359,1.312028,,,0.5245422,1.498284,1.31376,,45.0005634905908,27.48823215357,18.2488801335985
0.388, 5.09,5.09,,,0.516946,1.47397,1.311724,,,0.5246584,1.498168,1.313496,,45.0005634905908,27.5897953561545,18.1665917243154
0.399, 5.17,5.17,,,0.5167477,1.473677,1.311265,,,0.5245581,1.498268,1.313098,,45.0005634905908,27.656299198705,18.1264694866999
0.41, 5.56,5.56,,,0.5142297,1.473791,1.310732,,,0.5225872,1.500239,1.312782,,45.0005634905908,27.7620749203429,18.0844365037173
0.422, 5.77,5.77,,,0.5124853,1.474238,1.309545,,,0.5211446,1.501682,1.311712,,45.0005634905908,27.796960110558,18.0803435129711
0.432, 6.05,6.05,,,0.5079004,1.477039,1.307985,,,0.5170274,1.505799,1.310271,,45.0005634905908,27.7075153707711,18.1779366682111
0.443, 6.17,6.17,,,0.5026099,1.481513,1.306361,,,0.5120081,1.510818,1.308655,,45.0005634905908,27.5255591363454,18.3300740050976
0.455, 6.19,6.19,,,0.4975839,1.486336,1.306156,,,0.5071379,1.515689,1.308361,,45.0005634905908,27.2553739357712,18.52952918369
0.465, 6.27,6.27,,,0.4924195,1.490902,1.305752,,,0.5022049,1.520622,1.307911,,45.0005634905908,27.0434007283258,18.6885069548399
0.477, 6.47,6.47,,,0.4873305,1.494704,1.304771,,,0.4975228,1.525304,1.30697,,45.0005634905908,26.8420074836104,18.8702173024624
0.488, 6.72,6.72,,,0.482416,1.497972,1.303705,,,0.493057,1.529769,1.306023,,45.0005634905908,26.7699592351554,18.9610280800453
0.498, 7.05,7.05,,,0.4769029,1.501451,1.301595,,,0.4880399,1.534787,1.304096,,45.0005634905908,26.8145467088165,18.9574422308308
0.51, 7.26,7.26,,,0.4721419,1.504873,1.298929,,,0.4835781,1.539248,1.301567,,45.0005634905908,26.8991744578253,18.9086046720769
0.521, 7.25,7.25,,,0.4670152,1.51012,1.296788,,,0.4783621,1.544464,1.29943,,45.0005634905908,27.0182878309938,18.7964393086483
0.532, 7.02,7.02,,,0.4620773,1.516522,1.296219,,,0.4730471,1.549779,1.298653,,45.0005634905908,27.0172957460445,18.7237319469568
0.543, 6.69,6.69,,,0.4566905,1.523937,1.296451,,,0.4671856,1.555641,1.298589,,45.0005634905908,26.9159272038459,18.7176240504614
0.554, 6.32,6.32,,,0.4504651,1.532442,1.297508,,,0.460477,1.562349,1.299337,,45.0005634905908,26.6833934200236,18.8398161313127
