経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.58,-0.58,,,-0.11561,1.81111,1.153205,,,-0.1165382,1.808481,1.15405,,45.7999961295596,33.3750388466998,25.3475313989479
0.011, 0.31,0.31,,,-0.1173217,1.806996,1.154421,,,-0.1168275,1.8084,1.153973,,45.7999961295596,33.4313332642725,25.2554126401754
0.022, 0.92,0.92,,,-0.1197257,1.803377,1.154446,,,-0.1182617,1.807522,1.153126,,45.7999961295596,33.506103343036,25.264401168873
0.033, 1.72,1.72,,,-0.1214697,1.799392,1.155227,,,-0.1187373,1.807149,1.152766,,45.7999961295596,33.5357873443428,25.1989235622168
0.045, 2.51,2.51,,,-0.1230274,1.79508,1.155671,,,-0.1190464,1.806445,1.152088,,45.7999961295596,33.5771919499393,25.067046273392
0.056, 3.36,3.36,,,-0.1243581,1.790835,1.156484,,,-0.1190602,1.806052,1.151708,,45.7999961295596,33.5898073089852,24.9479038719203
0.066, 4.05,4.05,,,-0.1254078,1.787138,1.156901,,,-0.1190688,1.805487,1.151164,,45.7999961295596,33.5783735726328,24.8153982057094
0.077, 4.55,4.55,,,-0.1267843,1.785424,1.158142,,,-0.1196561,1.806034,1.151691,,45.7999961295596,33.5735002327956,24.8398297916906
0.088, 4.94,4.94,,,-0.127435,1.782975,1.158083,,,-0.1196927,1.805381,1.151062,,45.7999961295596,33.5499770619487,24.8396180558322
0.099, 5.19,5.19,,,-0.1285726,1.782107,1.158682,,,-0.1204211,1.805618,1.15129,,45.7999961295596,33.5295718723711,24.9138041534379
0.11, 5.34,5.34,,,-0.1271998,1.782136,1.159609,,,-0.1188467,1.806319,1.151966,,45.7999961295596,33.4242469432058,24.919136823484
0.121, 5.61,5.61,,,-0.1270912,1.782525,1.161521,,,-0.1182504,1.807921,1.15351,,45.7999961295596,33.5184318341448,24.9953651475947
0.133, 5.42,5.42,,,-0.1277306,1.784509,1.162296,,,-0.1190257,1.809002,1.154553,,45.7999961295596,33.666168821781,25.2734819051218
0.144, 4.71,4.71,,,-0.129057,1.789599,1.163033,,,-0.1212879,1.810765,1.156252,,45.7999961295596,33.7716679207653,25.8104064759298
0.155, 4.9,4.9,,,-0.1279417,1.789578,1.164095,,,-0.1198446,1.811602,1.157059,,45.7999961295596,33.8250082816041,25.8057619474235
0.166, 4.89,4.89,,,-0.1273467,1.791642,1.166077,,,-0.1192488,1.81359,1.158975,,45.7999961295596,33.6759940486287,25.9755963039571
0.177, 5.24,5.24,,,-0.1251002,1.78893,1.16542,,,-0.1165965,1.812543,1.157966,,45.7999961295596,33.8048899599637,25.4260563741031
0.188, 4.64,4.64,,,-0.1272979,1.792498,1.165432,,,-0.1195841,1.813359,1.158752,,45.7999961295596,33.8476196222222,25.9024398573401
0.199, 5.16,5.16,,,-0.1249319,1.789606,1.165626,,,-0.1165143,1.812891,1.158302,,45.7999961295596,33.8911586618749,25.4394076860117
0.211, 5.15,5.15,,,-0.1248608,1.7888,1.16477,,,-0.1164771,1.812033,1.157475,,45.7999961295596,33.8994641716745,25.3996440333177
0.222, 5.02,5.02,,,-0.1253358,1.78939,1.164592,,,-0.1171402,1.812002,1.157444,,45.7999961295596,33.8448499805909,25.5199680574829
0.233, 5.01,5.01,,,-0.1240478,1.789638,1.164777,,,-0.1159133,1.812208,1.157644,,45.7999961295596,33.7963590539278,25.4461729881963
0.243, 4.96,4.96,,,-0.1226223,1.789716,1.16463,,,-0.1146242,1.812056,1.157496,,45.7999961295596,33.5894726297252,25.4628984134609
0.255, 4.74,4.74,,,-0.1220965,1.789819,1.163483,,,-0.1144555,1.811173,1.156645,,45.7999961295596,33.5430478352285,25.4850435936812
0.265, 4.43,4.43,,,-0.1212109,1.790035,1.161923,,,-0.11408,1.810031,1.155544,,45.7999961295596,33.5674589306428,25.404706910899
0.277, 4.26,4.26,,,-0.1204415,1.790063,1.160932,,,-0.1136053,1.809255,1.154796,,45.7999961295596,33.5264129099679,25.4106764960675
0.288, 4.01,4.01,,,-0.1169075,1.789813,1.159327,,,-0.1105158,1.807915,1.153505,,45.7999961295596,33.363413865056,25.3607939183997
0.299, 3.75,3.75,,,-0.1135603,1.789686,1.157704,,,-0.107633,1.806595,1.152232,,45.7999961295596,33.2086417827704,25.3365279645012
0.31, 3.44,3.44,,,-0.1129725,1.789928,1.156166,,,-0.107496,1.805467,1.151145,,45.7999961295596,33.2795698802326,25.3850701175817
0.322, 3.15,3.15,,,-0.1084758,1.789106,1.153709,,,-0.1034924,1.803339,1.149093,,45.7999961295596,33.1688183659228,25.342743436473
