経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,-0.2514812,1.579782,1.304317,,,-0.2485752,1.576376,1.303263,,45.0005634905908,13.9757269313213,42.310114485351
0.01, 1.17,-1.17,,,-0.2527551,1.580203,1.303791,,,-0.2490752,1.575876,1.302448,,45.0005634905908,14.0733439922227,42.2441143692377
0.022, 1.2,-1.2,,,-0.2530446,1.580165,1.303328,,,-0.2492517,1.575699,1.301934,,45.0005634905908,14.151918486248,42.2290059912141
0.033, 1.18,-1.18,,,-0.2541116,1.578911,1.303691,,,-0.2504084,1.574543,1.302316,,45.0005634905908,14.2856160204359,42.2120910282053
0.044, 1.13,-1.13,,,-0.2544369,1.578224,1.303968,,,-0.2509024,1.574049,1.302649,,45.0005634905908,14.3538128960798,42.1855250081678
0.055, 1.1,-1.1,,,-0.2541935,1.578278,1.304234,,,-0.2507437,1.574207,1.302951,,45.0005634905908,14.3054082005526,42.2049534807212
0.066, 0.88,-0.88,,,-0.253729,1.577221,1.304428,,,-0.2509738,1.573977,1.303407,,45.0005634905908,14.2550398256936,42.2599604076712
0.077, 0.32,-0.32,,,-0.2519355,1.575218,1.305433,,,-0.2509206,1.57403,1.30506,,45.0005634905908,14.1342376882998,42.4054366027551
0.088, 0.25,0.25,,,-0.2492254,1.574004,1.305012,,,-0.2500221,1.574929,1.305302,,45.0005634905908,14.0209470512367,42.6060768191355
0.099, 0.57,0.57,,,-0.2478507,1.573159,1.305426,,,-0.249679,1.575272,1.306091,,45.0005634905908,14.0039091448262,42.7257519753476
0.11, 0.66,0.66,,,-0.2471242,1.573291,1.305011,,,-0.2492295,1.575722,1.305781,,45.0005634905908,14.0588289868667,42.7660466752348
0.122, 0.66,0.66,,,-0.2470661,1.573357,1.306024,,,-0.2491679,1.575783,1.306795,,45.0005634905908,14.1037741916756,42.7879613365769
0.134, 0.64,0.64,,,-0.2466912,1.573905,1.306417,,,-0.2487111,1.57624,1.307162,,45.0005634905908,14.1671216331437,42.7687582602598
0.144, 0.72,0.72,,,-0.2461329,1.573911,1.307495,,,-0.2484091,1.576542,1.308337,,45.0005634905908,14.2041762621335,42.7709097697885
0.156, 0.63,0.63,,,-0.2461905,1.574444,1.307759,,,-0.248192,1.576759,1.308497,,45.0005634905908,14.1685030388649,42.7474685612093
0.166, 0.74,0.74,,,-0.2454198,1.574447,1.308721,,,-0.247778,1.577173,1.309586,,45.0005634905908,14.1096310787259,42.7502074669903
0.185, 0.86,0.86,,,-0.2439476,1.575113,1.309626,,,-0.246682,1.578269,1.310625,,45.0005634905908,14.0535842555037,42.7692158829215
0.191, 0.98,0.98,,,-0.241667,1.576541,1.31142,,,-0.2448009,1.58015,1.312565,,45.0005634905908,14.0535842555037,42.837142112327
0.199, 1.09,1.09,,,-0.2402465,1.577231,1.31208,,,-0.2437216,1.581229,1.313351,,45.0005634905908,14.0570292320705,42.8647463210895
0.212, 1.1,1.1,,,-0.2389356,1.57846,1.313467,,,-0.2424491,1.582502,1.314753,,45.0005634905908,14.0665727136227,42.8716174912033
0.222, 1.13,1.13,,,-0.2369136,1.580268,1.315863,,,-0.2405269,1.584424,1.317183,,45.0005634905908,14.0470144674786,42.8730586610781
0.234, 1.14,1.14,,,-0.2358096,1.581335,1.317007,,,-0.2394377,1.585513,1.318328,,45.0005634905908,14.0123597961416,42.8293317912284
0.244, 1.13,1.13,,,-0.2347676,1.582448,1.317767,,,-0.2383606,1.58659,1.319075,,45.0005634905908,14.0055321684825,42.7958741105102
0.256, 1.1,1.1,,,-0.2343946,1.582993,1.317553,,,-0.2379057,1.587045,1.318833,,45.0005634905908,14.0296273676566,42.7724636377814
0.267, 1.09,1.09,,,-0.2332661,1.584211,1.317966,,,-0.2367354,1.588216,1.319234,,45.0005634905908,14.0521772365738,42.7695642225594
0.277, 0.99,0.99,,,-0.2321122,1.586026,1.318506,,,-0.235274,1.589677,1.319663,,45.0005634905908,14.0738212516777,42.7647386940451
0.288, 1.08,1.08,,,-0.2297801,1.587793,1.319195,,,-0.2332024,1.591749,1.320448,,45.0005634905908,14.0862590258101,42.7462083913425
0.3, 1.18,1.18,,,-0.2266579,1.590225,1.320024,,,-0.2304008,1.59455,1.321396,,45.0005634905908,14.087704464553,42.7468845800515
0.311, 1.36,1.36,,,-0.2229926,1.59262,1.321498,,,-0.2273236,1.597627,1.323086,,45.0005634905908,14.1006348660657,42.7370593532039
0.322, 1.36,1.36,,,-0.2205031,1.595094,1.322048,,,-0.2248414,1.60011,1.323643,,45.0005634905908,14.1327691976691,42.7493605235568
0.333, 1.54,1.54,,,-0.2179773,1.596388,1.32186,,,-0.2228881,1.602063,1.323671,,45.0005634905908,14.1721162088353,42.7733652227268
0.344, 1.45,1.45,,,-0.216769,1.598237,1.321734,,,-0.2213825,1.603569,1.323439,,45.0005634905908,14.1966442712359,42.7791879588322
0.355, 1.45,1.45,,,-0.2155654,1.599452,1.321723,,,-0.2201734,1.604778,1.323426,,45.0005634905908,14.1960594363045,42.7771115813823
0.366, 1.46,1.46,,,-0.2130731,1.601872,1.322569,,,-0.2177147,1.607236,1.324283,,45.0005634905908,14.1826295772227,42.7728017321359
0.377, 1.57,1.57,,,-0.2092422,1.60493,1.323548,,,-0.2142435,1.610708,1.325392,,45.0005634905908,14.1664377604721,42.7794850720528
0.388, 1.51,1.51,,,-0.2066325,1.607982,1.323947,,,-0.2114294,1.613522,1.325712,,45.0005634905908,14.1425005094183,42.784030562819
0.4, 1.54,1.54,,,-0.2039176,1.61048,1.324906,,,-0.2088179,1.616133,1.326705,,45.0005634905908,14.1094210504148,42.8056207901846
0.41, 1.45,1.45,,,-0.2015899,1.613382,1.324832,,,-0.2062208,1.61873,1.326525,,45.0005634905908,14.0645210956078,42.7612074863425
0.422, 1.37,1.37,,,-0.1991005,1.616435,1.324942,,,-0.20347,1.621481,1.326541,,45.0005634905908,14.0679925391569,42.7633350902097
0.433, 1.17,1.17,,,-0.1968248,1.620071,1.324685,,,-0.2005615,1.62439,1.326057,,45.0005634905908,14.1207497726116,42.7545719577485
0.443, 1.05,1.05,,,-0.1946552,1.623068,1.324325,,,-0.1980057,1.626945,1.325562,,45.0005634905908,14.1865458368291,42.735987013534
0.455, 0.94,0.94,,,-0.1924113,1.626078,1.324079,,,-0.1954051,1.629546,1.32519,,45.0005634905908,14.2472568253509,42.7227364469129
0.466, 0.94,0.94,,,-0.1899587,1.628516,1.324121,,,-0.1929587,1.631992,1.325236,,45.0005634905908,14.2716038877436,42.7240478431971
0.477, 0.99,0.99,,,-0.1871743,1.631007,1.325289,,,-0.1903123,1.634639,1.32645,,45.0005634905908,14.2157372107557,42.7442412969163
0.488, 1.11,1.11,,,-0.1845575,1.63275,1.326811,,,-0.188101,1.63685,1.328112,,45.0005634905908,14.1186640036519,42.7209093713608
0.499, 1.14,1.14,,,-0.1825407,1.634568,1.327337,,,-0.1861772,1.638774,1.328666,,45.0005634905908,14.06293307667,42.7198950882973
0.51, 1.34,1.34,,,-0.1805342,1.635223,1.328137,,,-0.1847992,1.640152,1.329695,,45.0005634905908,14.0483233024419,42.735638673896
0.521, 1.44,1.44,,,-0.1785231,1.636567,1.327898,,,-0.1830997,1.641851,1.329575,,45.0005634905908,14.0896126485993,42.7755167322555
0.533, 1.53,1.53,,,-0.1759834,1.638475,1.327718,,,-0.1808546,1.644096,1.32951,,45.0005634905908,14.1348114241741,42.8008294126151
0.544, 1.61,1.61,,,-0.1741144,1.63978,1.327347,,,-0.1792477,1.645703,1.329246,,45.0005634905908,14.2055679131382,42.8279794138104
0.555, 1.71,1.71,,,-0.1722758,1.640971,1.327532,,,-0.1777094,1.647242,1.329541,,45.0005634905908,14.2036332621096,42.8200973757276
0.566, 1.72,1.72,,,-0.1710735,1.642119,1.327887,,,-0.1765307,1.64842,1.329901,,45.0005634905908,14.1771509118871,42.7989613559291
0.577, 1.54,1.54,,,-0.1699178,1.644448,1.327738,,,-0.1748288,1.650122,1.329543,,45.0005634905908,14.1232274236641,42.7644996374308
0.588, 1.46,1.46,,,-0.1693431,1.645624,1.327901,,,-0.1739746,1.650976,1.329599,,45.0005634905908,14.1009567387214,42.7503816368093
0.599, 1.55,1.55,,,-0.1675346,1.646785,1.327571,,,-0.1724654,1.652486,1.329376,,45.0005634905908,14.0761102187596,42.7324353152644
0.61, 1.37,1.37,,,-0.1663711,1.649176,1.32771,,,-0.1707315,1.65422,1.329305,,45.0005634905908,14.0676126098949,42.7169854277918
0.622, 1.37,1.37,,,-0.163923,1.65161,1.327766,,,-0.1682893,1.656662,1.329365,,45.0005634905908,14.0818245256149,42.7159335786889
0.633, 1.47,1.47,,,-0.1601955,1.654682,1.32721,,,-0.1648659,1.660085,1.328924,,45.0005634905908,14.1101074844072,42.7241605413152
0.644, 1.49,1.49,,,-0.1570002,1.657736,1.327557,,,-0.1617364,1.663215,1.329294,,45.0005634905908,14.1011394462766,42.7276985792069
0.654, 1.51,1.51,,,-0.1544259,1.660143,1.328094,,,-0.1592401,1.665711,1.329853,,45.0005634905908,14.0581818264608,42.718979842974
0.667, 1.55,1.55,,,-0.1510403,1.6633,1.328351,,,-0.1559645,1.668987,1.330147,,45.0005634905908,14.033683646137,42.7538103916772
0.677, 1.6,1.6,,,-0.1479549,1.66603,1.328356,,,-0.1530529,1.671898,1.330214,,45.0005634905908,14.0215668908866,42.8464858108516
0.688, 1.75,1.75,,,-0.1442281,1.668721,1.328066,,,-0.1498176,1.675133,1.330094,,45.0005634905908,13.9615508740934,42.9264980596571
0.699, 1.8,1.8,,,-0.140638,1.671926,1.327376,,,-0.1464151,1.678536,1.329457,,45.0005634905908,13.872865139057,42.9755251561552
0.71, 1.82,1.82,,,-0.1374865,1.674934,1.327892,,,-0.1433309,1.68162,1.329987,,45.0005634905908,13.8112278061547,42.9627287971013
0.721, 2.01,2.01,,,-0.1338722,1.677304,1.32818,,,-0.1402947,1.684656,1.330481,,45.0005634905908,13.8032578293887,42.941370796161
0.732, 1.99,1.99,,,-0.13107,1.680248,1.328143,,,-0.1374204,1.687531,1.330428,,45.0005634905908,13.855862237365,42.908480021128
0.744, 1.97,1.97,,,-0.1281946,1.683235,1.328056,,,-0.134489,1.690462,1.330331,,45.0005634905908,13.9146787022186,42.8888329825272
0.755, 2.16,2.16,,,-0.1244566,1.685691,1.328787,,,-0.1313483,1.693603,1.33128,,45.0005634905908,13.9261482970631,42.8940922280418
0.766, 2.27,2.27,,,-0.1212248,1.688153,1.329143,,,-0.1284765,1.696475,1.331762,,45.0005634905908,13.9044214659179,42.9016873981875
0.777, 2.56,2.56,,,-0.116715,1.690682,1.329265,,,-0.1248933,1.700058,1.33222,,45.0005634905908,13.908342848166,42.9299268145251
0.788, 2.74,2.74,,,-0.1129179,1.693214,1.329706,,,-0.121689,1.703262,1.332883,,45.0005634905908,13.9392964108495,42.9586375139023
