経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.83,0.83,,,0.1798644,1.805723,1.231767,,,0.1800425,1.809862,1.231381,,44.8235181620417,39.5346569480667,5.64243277671088
0.011, 3.15,3.15,,,0.1818855,1.794187,1.235221,,,0.1824383,1.80988,1.233802,,44.8235181620417,39.9744698919578,5.31061280455528
0.022, 3.83,3.83,,,0.1675017,1.795287,1.227969,,,0.1688531,1.81436,1.226553,,44.8235181620417,39.14135076094,5.68213410393043
0.033, 4.76,4.76,,,0.1618608,1.792656,1.225901,,,0.1639138,1.81631,1.224372,,44.8235181620417,38.8958362029613,6.03120713344937
0.044, 4.58,4.58,,,0.1528108,1.803744,1.231941,,,0.1554523,1.826439,1.230234,,44.8235181620417,37.3168775108059,7.75577606314737
0.055, 4.22,4.22,,,0.1461598,1.808909,1.230103,,,0.14906,1.829746,1.228519,,44.8235181620417,36.4235468488354,8.89434807553734
0.066, 3.85,3.85,,,0.1475354,1.809168,1.228879,,,0.1502269,1.828169,1.227455,,44.8235181620417,36.3772381675514,8.99029344768588
0.077, 3.48,3.48,,,0.1526482,1.809113,1.23081,,,0.1549511,1.826306,1.229545,,44.8235181620417,36.7212986921326,8.57061163203951
0.089, 3.05,3.05,,,0.1577744,1.808575,1.231641,,,0.159692,1.823668,1.230555,,44.8235181620417,37.0462654234205,8.18731423308931
0.1, 2.46,2.46,,,0.1629335,1.808284,1.231552,,,0.1643588,1.820462,1.230689,,44.8235181620417,37.4691190080744,7.66526239878514
0.111, 2.46,2.46,,,0.1652558,1.806979,1.231925,,,0.16659,1.81917,1.231093,,44.8235181620417,37.8686099313225,7.22045146410793
0.122, 2.42,2.42,,,0.1641804,1.807389,1.231139,,,0.1655086,1.819416,1.230359,,44.8235181620417,37.9718653132268,7.17487788191286
0.133, 2.63,2.63,,,0.161806,1.807489,1.230518,,,0.1632766,1.82053,1.229703,,44.8235181620417,37.9788730871202,7.22981992206754
0.144, 2.69,2.69,,,0.161047,1.80792,1.230832,,,0.1625547,1.821269,1.230026,,44.8235181620417,38.0612280907459,7.18466042007939
0.155, 2.69,2.69,,,0.1608422,1.807581,1.230086,,,0.1623317,1.820916,1.229304,,44.8235181620417,38.1827883791165,7.07709262760785
0.166, 2.51,2.51,,,0.1616524,1.807576,1.229432,,,0.1630186,1.820035,1.228745,,44.8235181620417,38.4074674456118,6.88794676550709
0.177, 2.3,2.3,,,0.1625845,1.807358,1.228342,,,0.1637923,1.818784,1.227748,,44.8235181620417,38.6872900428367,6.61283699867836
0.188, 2.11,2.11,,,0.1631775,1.807282,1.227295,,,0.1642519,1.817772,1.226777,,44.8235181620417,38.9233208834166,6.38189934464337
0.199, 2.08,2.08,,,0.1633704,1.807773,1.227968,,,0.1644072,1.818128,1.227436,,44.8235181620417,38.9280371289073,6.3101883367693
0.21, 1.87,1.87,,,0.1632246,1.807996,1.22644,,,0.1641408,1.817288,1.225982,,44.8235181620417,39.0714984182421,6.18335941137431
0.222, 1.36,1.36,,,0.163457,1.809169,1.224323,,,0.1641067,1.815922,1.224016,,44.8235181620417,39.3196562593559,5.97346642336016
0.232, 0.7,0.7,,,0.1647857,1.809412,1.220908,,,0.1651089,1.812916,1.220767,,44.8235181620417,39.6874107095086,5.65513137868503
0.244, 0.22,0.22,,,0.1663069,1.809593,1.218935,,,0.1664009,1.810679,1.218895,,44.8235181620417,40.0515349142185,5.28683392850841
0.255, 0.78,-0.78,,,0.1680419,1.810398,1.214213,,,0.1677197,1.806518,1.21433,,44.8235181620417,40.4686272344679,4.96956482020097
0.266, 1.64,-1.64,,,0.1709594,1.809466,1.209362,,,0.1703323,1.801281,1.209537,,44.8235181620417,41.0876643371928,4.48711655603658
0.277, 2.37,-2.37,,,0.1728736,1.810792,1.207749,,,0.172008,1.799,1.207986,,44.8235181620417,41.2632104392608,4.29354430459
0.288, 3.14,-3.14,,,0.1755019,1.810231,1.203966,,,0.174442,1.794592,1.204186,,44.8235181620417,41.7342954033967,3.91611659929444
0.3, 3.92,-3.92,,,0.1841813,1.802245,1.196212,,,0.1832751,1.782685,1.19618,,44.8235181620417,43.2239152236944,2.67451972387823
0.31, 4.19,-4.19,,,0.1805734,1.809087,1.199918,,,0.1793633,1.788194,1.200059,,44.8235181620417,42.4225803770947,3.31776792554639
0.321, 5.05,-5.05,,,0.1878061,1.802698,1.19241,,,0.1867599,1.777472,1.192292,,44.8235181620417,43.5414814452225,2.43083544310282
0.333, 4.92,-4.92,,,0.1858732,1.807421,1.197679,,,0.1846305,1.782859,1.197782,,44.8235181620417,42.8154596774102,2.89624302609246
0.344, 5.82,-5.82,,,0.1916761,1.802655,1.190781,,,0.1906113,1.773554,1.190604,,44.8235181620417,43.7919171543611,2.17951330350059
0.355, 5.63,-5.63,,,0.1891155,1.806854,1.195051,,,0.1878024,1.778736,1.195122,,44.8235181620417,43.0360816116514,2.67561724986994
0.366, 6.47,-6.47,,,0.1953795,1.800942,1.187554,,,0.1943102,1.768607,1.187306,,44.8235181620417,43.9949752576404,2.01537980688779
0.378, 6,-6,,,0.191255,1.805194,1.192304,,,0.18993,1.775246,1.192315,,44.8235181620417,43.2229077708198,2.54337475937813
0.389, 7.29,-7.29,,,0.1991408,1.798986,1.182974,,,0.1980572,1.762558,1.182498,,44.8235181620417,44.3513506129525,1.97486675439665
0.399, 7.23,-7.23,,,0.1960314,1.803654,1.186268,,,0.1945928,1.76753,1.186065,,44.8235181620417,43.6455222988595,2.35110280515861
0.41, 8.29,-8.29,,,0.2049177,1.796008,1.177846,,,0.2040311,1.754551,1.177149,,44.8235181620417,44.8365569928044,1.7249899468156
0.421, 8.22,-8.22,,,0.2017511,1.800702,1.181113,,,0.2003896,1.759609,1.18066,,44.8235181620417,44.1333992826025,2.09228005083937
0.433, 9.19,-9.19,,,0.2118995,1.790682,1.171782,,,0.211443,1.744725,1.170664,,44.8235181620417,45.5998135358408,1.73933846631522
0.444, 9.13,-9.13,,,0.2274089,1.773602,1.165911,,,0.2286361,1.727984,1.164183,,44.8235181620417,47.6248860212214,2.86819314749907
0.455, 9.01,-9.01,,,0.2432392,1.758647,1.163561,,,0.2460944,1.713717,1.161464,,44.8235181620417,49.4593006114157,4.65993100939948
0.466, 7.78,-7.78,,,0.2481398,1.749126,1.163629,,,0.2510378,1.710362,1.161663,,44.8235181620417,50.0765174687775,5.30581374302325
0.477, 6.37,-6.37,,,0.2466762,1.744157,1.163916,,,0.248936,1.712424,1.162477,,44.8235181620417,49.7204016606466,4.96502872094466
0.489, 5.66,-5.66,,,0.2264045,1.753973,1.160634,,,0.2270905,1.725696,1.159401,,44.8235181620417,47.7530579325246,3.07847951170979
0.5, 4.94,-4.94,,,0.2271977,1.748028,1.157781,,,0.2278182,1.723346,1.156806,,44.8235181620417,47.6207947380224,2.89590493173795
0.511, 4.86,-4.86,,,0.2289085,1.748808,1.160807,,,0.2294761,1.724506,1.160104,,44.8235181620417,47.1174029800115,2.32868548459622
0.521, 5.39,-5.39,,,0.2364271,1.740397,1.153471,,,0.2374012,1.713464,1.152413,,44.8235181620417,48.054825926942,3.2456424105786
0.533, 5.64,-5.64,,,0.232883,1.745055,1.154285,,,0.2334263,1.716872,1.153258,,44.8235181620417,47.2600685523301,2.58414415739943
0.544, 6.44,-6.44,,,0.2409806,1.735978,1.144905,,,0.242067,1.703821,1.143442,,44.8235181620417,48.210144424346,3.44696457863995
0.555, 6.34,-6.34,,,0.2398715,1.737029,1.145538,,,0.2406018,1.705379,1.14418,,44.8235181620417,47.6766520235004,3.01200917977399
0.566, 6.43,-6.43,,,0.2477031,1.727681,1.140114,,,0.2489065,1.695579,1.138625,,44.8235181620417,48.3957035834586,3.61156615664128
0.577, 6.3,-6.3,,,0.2438401,1.730581,1.140525,,,0.2444832,1.699111,1.139197,,44.8235181620417,47.542421734572,2.91174691474672
0.588, 6.52,-6.52,,,0.2517408,1.720994,1.134151,,,0.2528844,1.688467,1.132545,,44.8235181620417,48.4241000941428,3.67610205099191
0.599, 5.98,-5.98,,,0.2468124,1.723796,1.135849,,,0.2472697,1.693914,1.134634,,44.8235181620417,47.2753579303617,2.7239766953952
0.611, 6.62,-6.62,,,0.2543312,1.71476,1.12711,,,0.2552512,1.681739,1.125397,,44.8235181620417,48.2337256517992,3.59117804253614
0.622, 6.25,-6.25,,,0.2519547,1.716972,1.129611,,,0.2523898,1.685755,1.128216,,44.8235181620417,47.3868266145144,2.92027269814094
0.633, 6.88,-6.88,,,0.2610382,1.706571,1.120632,,,0.2620193,1.67224,1.118732,,44.8235181620417,48.4045759989436,3.78728984362282
