経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.76,-0.76,,,0.07134296,1.641434,1.020828,,,0.07111654,1.638215,1.022835,,44.7499911776726,13.4796238387256,31.867219987865
0.01, 0.3,-0.3,,,0.07122351,1.638886,1.021477,,,0.07113752,1.637634,1.022254,,44.7499911776726,13.5790065034783,31.7391266237351
0.022, 0.15,0.15,,,0.07140572,1.637252,1.022932,,,0.07145028,1.637907,1.022527,,44.7499911776726,13.6454078931941,31.6612863750252
0.032, 0.61,0.61,,,0.07164307,1.635337,1.024167,,,0.07181862,1.637938,1.022558,,44.7499911776726,13.6524267661446,31.6446207139141
0.044, 1.09,1.09,,,0.07221156,1.63343,1.025563,,,0.07251821,1.638072,1.022691,,44.7499911776726,13.639977892955,31.6344710530899
0.055, 1.69,1.69,,,0.07261153,1.631864,1.028075,,,0.07306533,1.63903,1.023649,,44.7499911776726,13.6489826433514,31.5829236168583
0.066, 2.29,2.29,,,0.07387915,1.629286,1.02964,,,0.07446078,1.639029,1.023648,,44.7499911776726,13.7163197689575,31.4615409134012
0.078, 2.98,2.98,,,0.07437599,1.627122,1.032199,,,0.07509626,1.639797,1.024417,,44.7499911776726,13.7298221987972,31.4078453827353
0.089, 3.49,3.49,,,0.07477726,1.625269,1.033841,,,0.07557899,1.640102,1.024721,,44.7499911776726,13.66927257349,31.4320447422913
0.1, 3.96,3.96,,,0.07535475,1.623548,1.035363,,,0.07623175,1.640404,1.025023,,44.7499911776726,13.7088133912685,31.3665090790287
0.111, 4.33,4.33,,,0.07570754,1.622005,1.036375,,,0.0766516,1.640463,1.025082,,44.7499911776726,13.7647005588233,31.2993444156944
0.122, 4.69,4.69,,,0.07576958,1.620387,1.037174,,,0.07679231,1.640373,1.024993,,44.7499911776726,13.8640601716882,31.1995758452643
0.134, 5.14,5.14,,,0.07608701,1.61861,1.038515,,,0.0771905,1.640569,1.025189,,44.7499911776726,13.9637587326812,31.0881413120565
0.144, 5.61,5.61,,,0.07716142,1.616679,1.03974,,,0.0783334,1.640651,1.02527,,44.7499911776726,14.0857262710697,30.9493416267006
0.155, 6.08,6.08,,,0.07780708,1.614751,1.041044,,,0.07903251,1.640788,1.025408,,44.7499911776726,14.199109115684,30.8145478471814
0.166, 6.37,6.37,,,0.0783674,1.612895,1.04117,,,0.07960945,1.640217,1.024837,,44.7499911776726,14.3011085965897,30.6944355588745
0.178, 6.65,6.65,,,0.07935576,1.611772,1.041964,,,0.08062235,1.640334,1.024954,,44.7499911776726,14.3866165862032,30.596705799855
0.188, 6.92,6.92,,,0.07936776,1.610998,1.043002,,,0.08068801,1.640715,1.025334,,44.7499911776726,14.4313013900573,30.5527091375407
0.199, 6.9,6.9,,,0.07897188,1.6111,1.042948,,,0.08032188,1.640718,1.025338,,44.7499911776726,14.4377268903402,30.5585250434571
0.211, 6.87,6.87,,,0.07859974,1.611104,1.042791,,,0.07997826,1.64063,1.02525,,44.7499911776726,14.4665041840599,30.5416681370546
0.222, 6.94,6.94,,,0.07825565,1.610722,1.04281,,,0.0796786,1.640547,1.025167,,44.7499911776726,14.5796052833788,30.4394509438752
0.232, 6.92,6.92,,,0.07801007,1.610422,1.042354,,,0.07945106,1.640184,1.024804,,44.7499911776726,14.6650629003487,30.3615902045983
0.244, 6.83,6.83,,,0.07802788,1.611012,1.042339,,,0.07945056,1.640396,1.025016,,44.7499911776726,14.6722106931162,30.3543946005079
0.255, 6.75,6.75,,,0.07813315,1.61167,1.042439,,,0.07953092,1.640698,1.025318,,44.7499911776726,14.6569127773484,30.3667743180341
0.266, 6.66,6.66,,,0.07807469,1.612453,1.042615,,,0.07945947,1.641085,1.025705,,44.7499911776726,14.6257568703163,30.4004983761226
0.277, 6.56,6.56,,,0.07794908,1.613164,1.042675,,,0.07932582,1.641382,1.026002,,44.7499911776726,14.6174496529695,30.4136840559484
0.288, 6.55,6.55,,,0.07825983,1.613939,1.043346,,,0.07966022,1.642085,1.026705,,44.7499911776726,14.6105204262493,30.431852358635
0.299, 6.35,6.35,,,0.07740913,1.615158,1.043238,,,0.07878958,1.642478,1.027098,,44.7499911776726,14.6353020594158,30.4160985277528
0.311, 6.24,6.24,,,0.07712018,1.616279,1.043606,,,0.07850167,1.643143,1.027762,,44.7499911776726,14.6845425993195,30.3773645260475
0.321, 6.14,6.14,,,0.07693426,1.617892,1.044491,,,0.07830928,1.644322,1.028942,,44.7499911776726,14.7526088475991,30.3162172592045
0.332, 6.04,6.04,,,0.07625703,1.618912,1.044838,,,0.07761726,1.644939,1.029559,,44.7499911776726,14.8065861235604,30.2648883890202
0.344, 5.94,5.94,,,0.07618338,1.620537,1.045786,,,0.07753237,1.646161,1.03078,,44.7499911776726,14.8721132490867,30.2037206316103
0.355, 5.84,5.84,,,0.07534838,1.622906,1.047432,,,0.07669593,1.64809,1.03271,,44.7499911776726,14.9224841852666,30.1637811015501
0.366, 5.55,5.55,,,0.07431963,1.626474,1.048967,,,0.07563712,1.650399,1.035019,,44.7499911776726,15.0038949152658,30.1017561554232
0.377, 5.23,5.23,,,0.07356315,1.630179,1.050508,,,0.07486343,1.652756,1.037376,,44.7499911776726,15.0811221545148,30.0573052855417
