経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,0.3137823,1.800097,1.512857,,,0.3119781,1.796132,1.511996,,36.032347775009,12.7435266883943,26.8668420507415
0.007, 0.68,-0.68,,,0.3132978,1.799531,1.511948,,,0.3119295,1.796505,1.511289,,35.940727620032,12.6273878625265,26.7616178668637
0.016, 0.73,-0.73,,,0.3115509,1.801294,1.5109,,,0.3100701,1.798016,1.510189,,35.5692336414128,12.4178752306612,26.7214836764175
0.028, 0.81,-0.81,,,0.3102871,1.803154,1.509354,,,0.3086493,1.799527,1.508572,,35.1936073984607,12.165993229006,26.6894313070819
0.039, 1.09,-1.09,,,0.3087818,1.805807,1.508816,,,0.3065865,1.800954,1.50778,,34.8365524393451,12.06821480489,26.6797119481634
0.05, 1.14,-1.14,,,0.3069702,1.807616,1.507591,,,0.3046638,1.802512,1.506513,,34.4425154219975,11.9176347510908,26.6198060681676
0.061, 1.04,-1.04,,,0.3054475,1.808597,1.50583,,,0.3033468,1.803933,1.504848,,34.0792176701542,11.6669224192985,26.5384875457196
0.072, 0.89,-0.89,,,0.3037297,1.809263,1.504228,,,0.3019484,1.805281,1.503389,,33.7314825039017,11.3965126762616,26.4174565969949
0.084, 0.91,-0.91,,,0.3024791,1.810652,1.502705,,,0.3006719,1.806589,1.501848,,33.3908336587159,11.1245763859876,26.3153913755204
0.094, 0.85,-0.85,,,0.3009692,1.811628,1.50137,,,0.2992808,1.807818,1.500568,,33.0678545124213,10.91184844266,26.2451855705428
0.105, 0.87,-0.87,,,0.2986875,1.813336,1.500228,,,0.296955,1.809418,1.499406,,32.6441573994283,10.7291716232969,26.1891250869426
0.116, 0.95,-0.95,,,0.2970009,1.815055,1.499156,,,0.295108,1.810765,1.498261,,32.283578062799,10.5827887206259,26.1243680652238
0.127, 0.95,-0.95,,,0.2955541,1.815976,1.498517,,,0.2936694,1.811688,1.497632,,32.0344230140941,10.5817283337868,26.0061204185084
0.138, 1,-1,,,0.2938132,1.817268,1.497989,,,0.2918393,1.812749,1.497066,,31.746144642912,10.5972823816414,25.8442859208176
0.149, 1,-1,,,0.2921244,1.817914,1.498146,,,0.2901717,1.813412,1.497239,,31.5652300123057,10.7469514589853,25.664317271385
0.16, 1.09,-1.09,,,0.2906719,1.819458,1.497269,,,0.2885412,1.814525,1.496284,,31.2580900742555,10.6749211397764,25.5556643326393
0.171, 1.27,-1.27,,,0.288141,1.821966,1.496216,,,0.2856742,1.816253,1.495081,,30.7764934492796,10.5572267383685,25.5242010671032
0.183, 1.48,-1.48,,,0.2861777,1.824507,1.494948,,,0.2832996,1.817843,1.493627,,30.3266947690998,10.3806859900302,25.5194301801007
0.193, 1.56,-1.56,,,0.2841415,1.826496,1.493232,,,0.2811039,1.819468,1.491832,,29.8603089749822,10.104701959012,25.552971530634
0.204, 1.56,-1.56,,,0.2819525,1.828141,1.491376,,,0.2789133,1.821088,1.489964,,29.3882268032553,9.80367418632528,25.5252085199777
0.215, 1.44,-1.44,,,0.280144,1.828891,1.489514,,,0.2773582,1.822389,1.488203,,29.004144786346,9.49672122469842,25.4440026956479
0.226, 1.33,-1.33,,,0.2784124,1.829584,1.487869,,,0.275852,1.82357,1.486653,,28.6513245443979,9.2465194495323,25.3454652667815
0.237, 1.38,-1.38,,,0.2770818,1.831048,1.486051,,,0.2744424,1.824815,1.484785,,28.274465452335,8.95389878570624,25.2665851217993
0.248, 1.25,-1.25,,,0.2750503,1.831969,1.483787,,,0.2726554,1.826289,1.48263,,27.8228448192447,8.66229240494369,25.2003835151112
0.26, 1.3,-1.3,,,0.272735,1.833713,1.4821,,,0.2702505,1.827809,1.480894,,27.3502418456081,8.47989306200787,25.1803249576244
0.271, 1.23,-1.23,,,0.2703716,1.834879,1.480099,,,0.2680288,1.829303,1.47896,,26.8781750418064,8.32522514010425,25.1512915318179
0.282, 1.22,-1.22,,,0.2678956,1.836126,1.478816,,,0.2655811,1.830613,1.477692,,26.4580876836894,8.31805258790169,25.1280193704159
0.293, 1.15,-1.15,,,0.2656322,1.837216,1.476941,,,0.2634394,1.831982,1.475876,,26.0121258621691,8.22139260723112,25.0821631891518
0.304, 1.13,-1.13,,,0.2632095,1.83843,1.475305,,,0.2610746,1.833329,1.474263,,25.5661350123456,8.15328793913846,25.0827198495537
0.315, 1.01,-1.01,,,0.2612709,1.839137,1.473179,,,0.2593604,1.834573,1.472238,,25.1472258618276,7.96412500156525,25.1262179080725
0.327, 0.96,-0.96,,,0.2580441,1.840499,1.471438,,,0.2562203,1.836145,1.470535,,24.6093962909797,8.01819363130412,25.1628772398751
0.338, 0.94,-0.94,,,0.2556533,1.841681,1.469672,,,0.253879,1.83744,1.468796,,24.1574273182515,8.06942175620096,25.1290729270661
0.349, 0.96,-0.96,,,0.2534043,1.84275,1.468861,,,0.2515909,1.838405,1.46797,,23.8163191428568,8.24716888666781,25.0481061593506
0.36, 0.91,-0.91,,,0.2513999,1.843644,1.467182,,,0.2496748,1.839492,1.466335,,23.4251781256368,8.25946834947345,24.9489967021571
0.371, 0.7,-0.7,,,0.2498114,1.843631,1.465048,,,0.2484943,1.840435,1.464396,,23.0797959594879,8.07873386510149,24.8132176678775
0.382, 0.61,-0.61,,,0.2474922,1.844325,1.463295,,,0.2463593,1.841557,1.462728,,22.6637042619241,8.03223479229965,24.7045835121515
0.393, 0.35,-0.35,,,0.2452652,1.84435,1.460696,,,0.2446152,1.842748,1.460366,,22.2128110439602,7.86698946898696,24.5824426577176
0.404, 0.09,-0.09,,,0.2429445,1.84444,1.457775,,,0.242778,1.844027,1.45769,,21.7185461259737,7.74617964763055,24.4615431901308
0.415, 0.03,0.03,,,0.2408309,1.844993,1.455551,,,0.2408866,1.845132,1.45558,,21.2831164558605,7.6723512811727,24.3111304759617
0.427, 0.23,0.23,,,0.2385094,1.845082,1.453567,,,0.2389303,1.846144,1.453786,,20.8769473153373,7.68944553664226,24.1836671967652
0.438, 0.31,0.31,,,0.236008,1.845916,1.451429,,,0.2365586,1.847314,1.451717,,20.3978078508469,7.77382398375326,24.0878618434908
0.449, 0.21,0.21,,,0.2337374,1.847628,1.448904,,,0.2341233,1.84861,1.449106,,19.8537149967044,7.93063231612847,24.0372979544722
0.46, 0.04,-0.04,,,0.2303755,1.850276,1.447006,,,0.2302993,1.850082,1.446967,,19.2188113649791,8.43214406462269,24.0187369159192
0.471, 0.39,-0.39,,,0.2272461,1.853189,1.445431,,,0.2265469,1.851422,1.445076,,18.6233196312153,9.02795767104216,24.0502053040971
0.482, 0.71,-0.71,,,0.2242766,1.856001,1.443439,,,0.2229899,1.852762,1.442792,,18.008071575827,9.55361840644861,24.0850341452531
0.493, 0.96,-0.96,,,0.2219468,1.858364,1.440912,,,0.2202142,1.853995,1.440041,,17.4220055028556,9.84857926377393,24.049988445597
0.505, 1.02,-1.02,,,0.2201695,1.859728,1.438007,,,0.2183279,1.855052,1.437072,,16.9025388950803,9.92723401251974,23.944400554156
0.516, 0.83,-0.83,,,0.2178867,1.859979,1.434304,,,0.2164175,1.856197,1.433546,,16.3213000581704,9.89769429895509,23.7272756766725
0.527, 0.78,-0.78,,,0.2155887,1.860868,1.430962,,,0.2142237,1.857306,1.430245,,15.7387276268622,9.93679713086528,23.5246188469958
0.537, 0.8,-0.8,,,0.2133459,1.862147,1.427313,,,0.2119449,1.858459,1.426569,,15.1092369199035,10.1176963935464,23.3943978789987
0.549, 1.02,-1.02,,,0.2106445,1.864347,1.424127,,,0.2088678,1.859649,1.423181,,14.4320151448057,10.5193960291558,23.3119916489556
0.56, 1.39,-1.39,,,0.2071641,1.867253,1.421683,,,0.2047482,1.86085,1.420408,,13.717759231285,11.1081916163984,23.2213089374161
0.572, 1.69,-1.69,,,0.2044268,1.869446,1.420242,,,0.2015012,1.861665,1.418717,,13.2116678410797,11.5338063049474,23.0937483280267
0.582, 1.8,-1.8,,,0.2020247,1.870811,1.417711,,,0.1989194,1.862497,1.416099,,12.6722220767645,11.8243335158512,22.9385800947803
0.593, 2,-2,,,0.1991335,1.872716,1.414693,,,0.1957085,1.863471,1.41291,,12.0102051561097,12.2026593909976,22.7857819371099
0.604, 2.13,-2.13,,,0.1966919,1.874135,1.411837,,,0.1930672,1.864282,1.409936,,11.4286837201307,12.5323201696619,22.6765706304151
0.615, 2.08,-2.08,,,0.1931134,1.874899,1.408014,,,0.189598,1.865269,1.406145,,10.679271116383,13.0134446578246,22.5793838714194
0.626, 2.17,-2.17,,,0.1909009,1.876178,1.403557,,,0.1872724,1.866147,1.4016,,9.96209785839424,13.3596660834444,22.4609637624324
0.638, 2.15,-2.15,,,0.1889507,1.876662,1.400671,,,0.1853929,1.866713,1.398729,,9.47099958677357,13.5479607332436,22.2882265755823
0.648, 1.94,-1.94,,,0.186878,1.876187,1.397973,,,0.183709,1.867185,1.396233,,9.04018029422177,13.603029985668,22.0040719309969
0.66, 1.71,-1.71,,,0.1843337,1.875628,1.395372,,,0.1815795,1.86767,1.393851,,8.57755195781675,13.6937468481524,21.6955266815641
0.671, 1.35,-1.35,,,0.1820298,1.874309,1.393569,,,0.179887,1.867993,1.392379,,8.2543081416991,13.6316194491908,21.3337537694105
0.682, 1.16,-1.16,,,0.1801266,1.87375,1.391311,,,0.1783269,1.868349,1.390311,,7.88226945550872,13.6077624528575,20.991559593968
0.693, 1.03,-1.03,,,0.1769701,1.873618,1.389101,,,0.1753894,1.868813,1.388229,,7.37198091417526,13.8456485435191,20.7134103930432
0.705, 0.94,-0.94,,,0.1726749,1.87384,1.385876,,,0.1712351,1.869429,1.385086,,6.63246909624078,14.4007670302224,20.5373212909513
0.715, 1.05,-1.05,,,0.1678747,1.875011,1.382046,,,0.1662708,1.870085,1.381166,,5.73627188933272,15.2283451704303,20.4915402417659
0.727, 1.07,-1.07,,,0.1643096,1.875569,1.378551,,,0.1626765,1.870541,1.377652,,5.01653261472156,15.8681016514259,20.4633674197709
0.738, 1.07,-1.07,,,0.160356,1.875992,1.374787,,,0.1587299,1.870963,1.373882,,4.23840632338896,16.5583468893612,20.4250005407233
0.749, 0.88,-0.88,,,0.1570547,1.875386,1.37176,,,0.1557258,1.871233,1.37101,,3.64792410635515,16.9891388611571,20.302069091915
0.76, 0.67,-0.67,,,0.1547358,1.874546,1.368879,,,0.1537496,1.871421,1.368312,,3.16829692368288,17.221426758176,20.1200752914499
0.771, 0.43,-0.43,,,0.1519806,1.873609,1.36585,,,0.1513556,1.871596,1.365484,,2.6375980701301,17.5010820157709,19.9193138392151
0.782, 0.21,-0.21,,,0.1497817,1.8727,1.362715,,,0.1494848,1.871728,1.36254,,2.13945424513321,17.6918474864335,19.6782030455813
0.793, 0.06,0.06,,,0.1473827,1.871519,1.361226,,,0.1474666,1.871799,1.361275,,1.82220114508118,17.6616153624611,19.3070813122614
0.804, 0.19,0.19,,,0.1449375,1.870984,1.359535,,,0.1451959,1.871865,1.359687,,1.45736820154294,17.669560579792,18.9179090970149
0.816, 0.4,0.4,,,0.142851,1.869995,1.359108,,,0.1433962,1.871888,1.359423,,1.31596354614305,17.5212840072263,18.5177163718491
0.826, 0.42,0.42,,,0.1403093,1.869913,1.358233,,,0.1408781,1.871914,1.358556,,1.11680046485128,17.6144921811412,18.2271208590556
0.838, 0.5,0.5,,,0.1372024,1.869575,1.355848,,,0.1378684,1.871935,1.356223,,0.852257160457076,18.003498764305,18.076446890158
0.849, 0.33,0.33,,,0.1338893,1.870352,1.351877,,,0.1343312,1.871915,1.352128,,0.873124828533797,18.7828574778617,18.1357312229567
0.86, 0.3,0.3,,,0.1301657,1.870407,1.347609,,,0.1305632,1.871814,1.347838,,1.45387274561075,19.6081150613636,18.1933319141718
0.871, 0.35,0.35,,,0.1277437,1.870051,1.344206,,,0.1282053,1.871697,1.344479,,1.95093804107903,20.1117236778746,18.164247261948
0.882, 0.64,0.64,,,0.1261829,1.868561,1.341812,,,0.1270238,1.871609,1.342315,,2.25324860863359,20.2029972007609,17.9499637430802
0.894, 1.16,1.16,,,0.1248237,1.865985,1.339569,,,0.1263151,1.871534,1.34047,,2.4869541967527,20.0415059200663,17.5616111505112
0.905, 1.65,1.65,,,0.1232625,1.863548,1.337221,,,0.1253294,1.871433,1.338478,,2.77424603251398,19.9413446137699,17.1873765585637
0.915, 1.75,1.75,,,0.1207853,1.862869,1.334619,,,0.1229464,1.871239,1.335935,,3.27069895885153,20.1918691153653,16.9516974727162
0.927, 1.69,1.69,,,0.1171957,1.862829,1.331562,,,0.1192801,1.870922,1.332828,,3.96061826870646,20.8234549827936,16.8988386402004
0.938, 1.55,1.55,,,0.1130792,1.86309,1.328188,,,0.1149914,1.870486,1.329347,,4.75406851590239,21.6654465292964,16.9513337651531
0.949, 1.58,1.58,,,0.1094095,1.862492,1.325207,,,0.1113635,1.870057,1.326399,,5.42632218229091,22.3495223990356,16.9643077091205
0.96, 1.83,1.83,,,0.1064612,1.860877,1.322181,,,0.1087091,1.86966,1.323573,,5.98120588124806,22.8229040142159,16.8884021114391
0.971, 2.2,2.2,,,0.1043511,1.858792,1.319327,,,0.1069956,1.869324,1.321,,6.41154065726909,23.0379525142495,16.6817581589453
0.982, 2.61,2.61,,,0.1026076,1.856505,1.316946,,,0.105681,1.869041,1.318923,,6.75331136099484,23.080849516138,16.389470466832
0.994, 2.98,2.98,,,0.1006006,1.854366,1.314414,,,0.1040405,1.868696,1.316645,,7.15080360019261,23.1841561244597,16.1038217184072
1.005, 3.35,3.35,,,0.0984759,1.852294,1.313006,,,0.102273,1.868422,1.315465,,7.45371949324551,23.1927263040823,15.8056822618854
1.016, 3.74,3.74,,,0.09638689,1.850211,1.312586,,,0.1005463,1.868233,1.315261,,7.65803947393885,23.0828097803753,15.4792743607228
1.027, 3.98,3.98,,,0.09483507,1.848791,1.311413,,,0.09918022,1.867991,1.314189,,7.90864679157565,23.0211314663391,15.1682002338201
1.038, 4.3,4.3,,,0.09293655,1.846957,1.310484,,,0.09756798,1.867747,1.313429,,8.15636920814204,23.0293208629261,14.924222468362
1.049, 4.39,4.39,,,0.09001783,1.845956,1.308285,,,0.09470183,1.867208,1.31127,,8.67484543851521,23.4087139551006,14.782955377237
1.06, 4.37,4.37,,,0.08688655,1.845393,1.30547,,,0.09154218,1.866528,1.308477,,9.2866246116753,24.0703099653596,14.8309425774629
1.071, 4.31,4.31,,,0.08366057,1.844887,1.302159,,,0.08825542,1.865728,1.305191,,9.96063619795254,24.85094933935,14.9360984594509
1.082, 4.1,4.1,,,0.08099928,1.845023,1.298055,,,0.08537129,1.864811,1.301013,,10.6793445409145,25.7056125939578,15.0785744940253
1.093, 4.1,4.1,,,0.07825264,1.844264,1.295515,,,0.08261047,1.864078,1.298507,,11.2236149799705,26.2564827031156,15.0812655884834
1.105, 4.22,4.22,,,0.07616069,1.843148,1.293907,,,0.08059056,1.86356,1.296968,,11.5936046094669,26.4712067691726,14.9221392607231
