経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.8,-0.8,,,0.09397639,1.766063,1.646917,,,0.09336528,1.762491,1.645182,,43.6704456584473,19.9917309178749,27.4915687008867
0.011, 0.46,0.46,,,0.09588197,1.760034,1.644648,,,0.09622432,1.762098,1.645657,,43.7524113413011,19.6244631186871,27.5421804012281
0.022, 1.59,1.59,,,0.09743354,1.754333,1.642956,,,0.09856294,1.761399,1.646418,,43.8975255363691,19.4284725534548,27.4988855408314
0.033, 2.5,2.5,,,0.09924207,1.749124,1.642179,,,0.1009642,1.760261,1.647613,,44.1331294901378,19.473514234683,27.3430291660453
0.044, 3.26,3.26,,,0.0994136,1.745623,1.640694,,,0.1016214,1.76013,1.647748,,44.1603307177504,19.4853219238821,27.2376427651792
0.055, 3.84,3.84,,,0.09810372,1.743432,1.639039,,,0.1007341,1.760528,1.647337,,44.0781601292272,19.5330068882456,27.2216396323992
0.066, 4.28,4.28,,,0.09642597,1.742248,1.637248,,,0.09941322,1.761298,1.646529,,43.9185522731438,19.4456521862866,27.3426586282931
0.077, 4.84,4.84,,,0.09365684,1.741507,1.634138,,,0.097126,1.763005,1.64471,,43.563259502785,19.1736296648768,27.6032627812757
0.088, 5.52,5.52,,,0.0919579,1.73997,1.631008,,,0.0959867,1.764448,1.643154,,43.26100656495,18.8705878402146,27.8378336689612
0.1, 6.22,6.22,,,0.09071326,1.73819,1.628024,,,0.09529469,1.765709,1.641784,,42.9956707985515,18.5748252894577,28.0267020546347
0.111, 7.05,7.05,,,0.08982913,1.73525,1.625386,,,0.0949882,1.76639,1.641039,,42.8516869997598,18.3444669208256,28.1270033798052
0.122, 7.83,7.83,,,0.08964473,1.732004,1.623338,,,0.09527671,1.766605,1.64081,,42.8061091486966,18.1186745335266,28.1855005333239
0.133, 8.69,8.69,,,0.08985253,1.727679,1.621982,,,0.09586809,1.766062,1.641412,,42.921109040552,17.9808105840608,28.1589686642313
0.144, 9.28,9.28,,,0.09046599,1.72445,1.621315,,,0.09666735,1.765489,1.642045,,43.0420716873868,17.9501635261078,28.039542809917
0.155, 9.45,9.45,,,0.09028051,1.721804,1.62303,,,0.09646265,1.763677,1.643987,,43.4228034966014,18.420965037401,27.7956726199353
0.167, 9.53,9.53,,,0.08977048,1.720119,1.624323,,,0.09599838,1.762418,1.645316,,43.6857760176128,18.8539921885405,27.6098675740193
0.177, 9.23,9.23,,,0.08918878,1.721748,1.62466,,,0.09537299,1.762714,1.64499,,43.6238671846986,18.9199615688033,27.655525679803
0.188, 8.94,8.94,,,0.08897979,1.724113,1.62412,,,0.09506287,1.763755,1.643879,,43.4064656845614,18.7101313331504,27.782135185377
0.2, 9.47,9.47,,,0.08512855,1.724288,1.620148,,,0.0917943,1.766135,1.641231,,42.9056250021344,18.4102621312694,28.0900998687465
0.211, 9.28,9.28,,,0.08357583,1.727605,1.617776,,,0.09027725,1.768585,1.638493,,42.3851202056342,18.1172248259156,28.2211404594213
0.222, 8.98,8.98,,,0.08185741,1.730196,1.617008,,,0.08846542,1.769906,1.636947,,42.1020566837383,18.2333329159329,28.1139816245149
0.233, 8.49,8.49,,,0.08095521,1.732835,1.617701,,,0.08730005,1.770444,1.636289,,41.9864420748748,18.6031073944764,27.811764545172
0.244, 8.1,8.1,,,0.0808084,1.735491,1.617583,,,0.08694709,1.771477,1.635107,,41.7637710839396,18.7885214120733,27.5295496742569
0.255, 7.59,7.59,,,0.07965621,1.739658,1.616557,,,0.08551604,1.773441,1.63279,,41.3372633481814,18.8918109449225,27.2957574281151
0.267, 7.08,7.08,,,0.07830068,1.744052,1.615149,,,0.08388387,1.775633,1.630151,,40.8572240062929,18.9518073249223,27.1132838068741
0.277, 6.73,6.73,,,0.07680219,1.748568,1.612379,,,0.08222942,1.778617,1.626508,,40.1957509394356,18.8761510291387,26.9664979230534
0.288, 6.53,6.53,,,0.07574396,1.75238,1.609264,,,0.08109213,1.781549,1.622873,,39.537252419879,18.6957964740288,26.8572883239058
0.3, 6.56,6.56,,,0.07522944,1.756096,1.604407,,,0.08063906,1.785417,1.618019,,38.6537845507956,18.2028993013855,26.7771548392458
0.311, 6.66,6.66,,,0.07586289,1.75943,1.599376,,,0.0813507,1.789279,1.613108,,37.7542520772312,17.6153732755196,26.5866233025557
0.322, 6.52,6.52,,,0.07583167,1.763248,1.595492,,,0.0811968,1.792529,1.608788,,36.9828437036472,17.2743163265422,26.3202203191292
0.333, 6.29,6.29,,,0.07545594,1.767055,1.592248,,,0.08065182,1.795365,1.604881,,36.2980762772738,17.1376920563764,25.9899226253425
0.344, 6,6,,,0.07410342,1.771042,1.589036,,,0.07911348,1.798107,1.600916,,35.6251011721743,17.1455365284198,25.7011712635736
0.355, 5.9,5.9,,,0.07354636,1.774398,1.585024,,,0.07852107,1.801097,1.596569,,34.8781892713668,16.9797507664041,25.4419672993319
0.366, 5.83,5.83,,,0.07314533,1.777806,1.580579,,,0.07809234,1.804248,1.591872,,34.0758094058532,16.7163189151839,25.2278562427358
0.378, 5.93,5.93,,,0.07232411,1.781269,1.574393,,,0.07736106,1.808183,1.585776,,33.0493344550021,16.3016871705145,25.0482513008664
