1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall3, 10.46,10.46,,,0.05543818,1.819721,1.257897,,,0.06158648,1.871527,1.261587,,1.12221904586813,7.77945291324636,8.0118996121591, 1.54
PointPlane2, 8.26,8.26,,,-0.1108567,1.780988,1.300278,,,-0.1087539,1.822105,1.297309,,29.7499911776726,26.0228543815093,4.85470153212522, 1.523
PointBall1, 14.22,14.22,,,0.2391754,1.722189,1.092985,,,0.2449866,1.793011,1.091085,,35.4482778247669,31.1701821269892,4.8621212517915, 1.221
PointPyramid, 12.3,12.3,,,0.05164926,1.789281,1.281596,,,0.05631734,1.850582,1.282614,,48.7770808455319,47.7263074973846,4.51613888278599, 1.225
PointBall2, 8.93,8.93,,,-0.1331668,1.683362,1.005263,,,-0.1306737,1.727912,1.006205,,48.6601958215181,51.8039610542624,3.51958656296922, 1.267
PointPlane3, 14.06,14.06,,,0.1592661,1.617069,0.9924221,,,0.1592797,1.687288,0.9895433,,59.7499809323891,57.6523615947581,2.09751176215461, 1.156
PointPlane1, 9.78,9.78,,,0.06694093,1.620977,1.051038,,,0.06914011,1.669804,1.049498,,44.750001422956,43.2548389043011,3.01096907005839, 1.189
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 9.12,9.12,,,-0.1433923,1.672074,1.001812,,,-0.1389327,1.717458,1.001466,,50.5293726585258,54.0311422466541,5.61510006796038, 1.357
PointPlane1, 12.27,12.27,,,0.0784291,1.618466,1.06095,,,0.07943374,1.679795,1.059489,,44.750001422956,43.6433810346143,1.45683096449099, 1.401
PointPlane3, 14.88,14.88,,,0.1466179,1.610533,0.990324,,,0.1503892,1.684806,0.9881103,,59.7499809323891,58.3382833230691,3.25010295086931, 1.457
PointBall1, 9.1,9.1,,,0.2173104,1.749357,1.07451,,,0.2213259,1.794551,1.07115,,35.0638918644481,28.7562772282638,6.45071990191849, 1.321
PointPyramid, 13.2,13.2,,,0.06594764,1.774735,1.292516,,,0.0695986,1.840608,1.291431,,48.7770808455319,49.5456854265396,3.24642638820745, 1.378
PointBall3, 9.41,9.41,,,0.05335395,1.824684,1.261241,,,0.05783997,1.871502,1.26066,,1.26191551369282,6.46004481742336,5.49212080782922, 1.198
PointPlane2, 10.09,10.09,,,-0.1122341,1.769374,1.29347,,,-0.1027582,1.818872,1.291708,,29.7499911776726,29.8272167093743,10.9759600115203, 1.19
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 10.65,10.65,,,-0.09944664,1.770495,1.301387,,,-0.09112468,1.823042,1.298931,,29.7499911776726,28.6564642616053,9.30862891924781, 1.211
PointPlane1, 8.63,8.63,,,0.06029449,1.635583,1.059648,,,0.06393547,1.678545,1.058239,,44.750001422956,43.3389629268726,5.10771990647195, 1.233
PointBall3, 10.47,10.47,,,0.04373632,1.820125,1.261979,,,0.05418132,1.871403,1.262722,,1.81261732272529,12.8440474333857,11.5620055939248, 1.244
PointPyramid, 10.04,10.04,,,0.06223835,1.783024,1.296403,,,0.06623311,1.833018,1.298139,,48.7770808455319,46.7106823017281,5.0833801011551, 1.376
PointBall2, 11.97,11.97,,,-0.132697,1.675241,1.010885,,,-0.1291676,1.734933,1.013008,,47.3770628593675,51.2851877106686,4.08173502168016, 1.456
PointBall1, 13.96,13.96,,,0.2290524,1.728846,1.090897,,,0.2380338,1.798002,1.094041,,34.2600639988707,31.4453636108022,7.92052705153264, 1.2
PointPlane3, 14.31,14.31,,,0.1591518,1.615763,0.9916649,,,0.1651356,1.687031,0.989395,,59.7499809323891,58.3001913591279,5.04814614441524, 1.311
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 12.89,12.89,,,0.2282364,1.735217,1.097261,,,0.239019,1.798776,1.096792,,34.0749556322308,27.4425245289162,9.62971866451592, 1.011
PointBall3, 9.49,9.49,,,0.06259899,1.824486,1.26047,,,0.06890818,1.871515,1.260768,,1.17819159078516,6.97133526210281,7.66508310632441, 1.221
PointPlane1, 11.63,11.63,,,0.05994547,1.622561,1.059511,,,0.07072492,1.679727,1.059421,,44.750001422956,45.8965510960746,10.6796766588537, 1.245
PointBall2, 12.52,12.52,,,-0.1486651,1.66806,1.014726,,,-0.1391114,1.729922,1.015337,,48.3011771830707,54.8609487360166,8.81628072304381, 1.289
PointPlane2, 11.24,11.24,,,-0.1313783,1.766634,1.295244,,,-0.1147951,1.820343,1.294257,,29.7499911776726,33.2655884833907,17.1740576900529, 1.077
PointPlane3, 12.74,12.74,,,0.1272844,1.627476,0.9864477,,,0.1517653,1.686209,0.9889201,,59.7499809323891,64.6882758667794,22.756982445276, 1.022
PointPyramid, 13.1,13.1,,,0.06130967,1.771865,1.2951,,,0.07343339,1.836255,1.295278,,48.7770808455319,49.2422064697827,10.6704396820319, 1.379
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall3, 12.41,12.41,,,0.03972337,1.810856,1.279329,,,0.05596979,1.870654,1.282201,,4.039535979728,16.2938990475301,15.4697769829462, 1.255
PointPlane1, 12.39,12.39,,,0.05864937,1.624147,1.062319,,,0.0730709,1.684377,1.064071,,44.750001422956,48.1329769492506,13.5931526786294, 1.322
PointPlane2, 12.02,12.02,,,-0.1266037,1.764601,1.293284,,,-0.1053937,1.820829,1.295099,,29.7499911776726,37.36027311649,20.7590531309017, 1.189
PointPlane3, 21.64,21.64,,,0.1389669,1.593242,0.9866809,,,0.1823619,1.692173,0.9923633,,59.7499809323891,65.6843086653469,23.8975471653008, 1.374
PointPyramid, 15.49,15.49,,,0.04369987,1.765496,1.291424,,,0.07545091,1.836037,1.295471,,48.7770808455319,50.0415776370506,24.4384332457172, 1.478
PointBall2, 10.92,10.92,,,-0.1356022,1.67041,1.003147,,,-0.1308625,1.724819,1.002964,,49.2172626196279,52.4191186096467,4.97893840080232, 1.355
PointBall1, 13.74,13.74,,,0.2382257,1.723565,1.092738,,,0.2514723,1.790974,1.094165,,35.9278219779544,29.441949654677,11.2096404133175, 1.189
