経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.25,0.25,,,0.3326951,1.768716,1.537249,,,0.3327821,1.769969,1.537275,,42.0122021326127,38.1863503226695,4.22336197838701
0.011, 2.06,2.06,,,0.3307768,1.761569,1.53537,,,0.3314227,1.771856,1.535626,,41.60527654866,37.8784112525087,3.96126073335739
0.022, 2.98,2.98,,,0.3312023,1.756089,1.536085,,,0.3320515,1.770962,1.536429,,41.7985845571704,38.3688222363632,3.62676844976339
0.032, 3.92,3.92,,,0.3323892,1.749633,1.537572,,,0.333304,1.769223,1.537932,,42.1723290830585,39.3551664118627,2.97302096697262
0.044, 4.92,4.92,,,0.3329405,1.744026,1.537948,,,0.3338985,1.768584,1.538334,,42.3087552777439,39.9082682852697,2.51263634764751
0.055, 5.82,5.82,,,0.333479,1.738563,1.539014,,,0.3343932,1.767623,1.539347,,42.5138624377172,40.5918062776267,2.01751509471765
0.066, 7.15,7.15,,,0.3326294,1.733083,1.53791,,,0.3335458,1.768838,1.538296,,42.254745558385,40.5967376740702,1.70616808042092
0.077, 8.2,8.2,,,0.3315366,1.729107,1.537029,,,0.332431,1.77011,1.537413,,41.9821732067623,40.5381619733782,1.47657757444052
0.088, 8.98,8.98,,,0.3276633,1.728276,1.535781,,,0.3287874,1.773183,1.536179,,41.3187876869907,39.7668321469675,1.6216027636083
0.1, 9.65,9.65,,,0.3220013,1.729916,1.532577,,,0.3236999,1.778145,1.533098,,40.2273405634678,38.190096681325,2.19633072287305
0.11, 9.04,9.04,,,0.3128285,1.739501,1.529602,,,0.315504,1.784633,1.530096,,38.763286140522,35.8028226894324,3.50364041957851
0.123, 8.71,8.71,,,0.3086076,1.745012,1.526385,,,0.3117006,1.788431,1.527054,,37.882895271574,34.286370471727,4.22813585359718
0.134, 8.08,8.08,,,0.3030543,1.7522,1.523885,,,0.3065414,1.792428,1.524736,,36.9381537771514,32.5464617913537,5.16361134289484
0.145, 7.82,7.82,,,0.2984564,1.757928,1.519456,,,0.3023211,1.796813,1.520492,,35.8754583341397,30.7910178461454,5.94418839141081
0.156, 7.37,7.37,,,0.2936861,1.764221,1.515819,,,0.297752,1.800832,1.516979,,34.8772159694372,29.1759376995696,6.6607059512575
0.167, 6.3,6.3,,,0.2901929,1.771669,1.515326,,,0.2939655,1.802942,1.516328,,34.3445090403243,28.346821059294,7.18263953791495
0.179, 5.33,5.33,,,0.2869661,1.778273,1.515369,,,0.2903416,1.804671,1.516183,,33.902694851062,27.7794970248835,7.55587777604493
0.188, 4.47,4.47,,,0.2834269,1.785006,1.514052,,,0.2864255,1.807131,1.514702,,33.2640824267206,27.0225191330669,7.95171796328318
0.2, 3.65,3.65,,,0.2803366,1.791323,1.512681,,,0.2828677,1.809389,1.513179,,32.6679059665116,26.4257006350937,8.17860488836625
