経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.99,-0.99,,,0.1792338,1.806037,1.217988,,,0.1786592,1.801146,1.217672,,44.8235181620417,43.3600613806316,7.75893929441871
0.011, 0.62,-0.62,,,0.1808349,1.804484,1.220026,,,0.1804784,1.801387,1.219831,,44.8235181620417,43.3683839659037,7.5996183062725
0.021, 0.33,-0.33,,,0.1813975,1.803787,1.221742,,,0.1812111,1.802151,1.221645,,44.8235181620417,43.234430299629,7.43070261015672
0.032, 0.53,0.53,,,0.1825917,1.80108,1.225365,,,0.1828829,1.803699,1.225506,,44.8235181620417,43.0876188025996,7.15222982902899
0.043, 1,1,,,0.183064,1.799815,1.22753,,,0.1836126,1.804791,1.227781,,44.8235181620417,42.9663966085835,7.01584760368511
0.054, 1.44,1.44,,,0.1834078,1.797862,1.228276,,,0.184187,1.804987,1.228632,,44.8235181620417,42.9839980055848,6.96474797171846
0.065, 1.54,1.54,,,0.1826477,1.797225,1.227344,,,0.1834841,1.804854,1.227741,,44.8235181620417,43.0697066319997,7.03067850528144
0.077, 1.63,1.63,,,0.1825087,1.796583,1.226985,,,0.1833995,1.804691,1.227426,,44.8235181620417,43.1621156738038,7.10180297067686
0.088, 2.29,2.29,,,0.181678,1.793473,1.226523,,,0.182933,1.804852,1.227187,,44.8235181620417,43.3280756056385,7.23288582314592
0.099, 2.57,2.57,,,0.181075,1.791742,1.225445,,,0.182499,1.80449,1.22624,,44.8235181620417,43.4597855548333,7.41648215670047
0.111, 3.01,3.01,,,0.1796161,1.79016,1.224955,,,0.1813178,1.805104,1.225928,,44.8235181620417,43.5074636890078,7.60010837233181
0.121, 3.43,3.43,,,0.1784848,1.78913,1.225362,,,0.1804418,1.806111,1.226477,,44.8235181620417,43.4843605747832,7.68150373440582
0.132, 3.51,3.51,,,0.1788862,1.789042,1.22628,,,0.1808749,1.806446,1.227383,,44.8235181620417,43.4176364586381,7.5690856539849
0.143, 3.3,3.3,,,0.1798467,1.789581,1.226524,,,0.1817043,1.805962,1.227528,,44.8235181620417,43.3536205124235,7.46810643255814
0.154, 4.73,4.73,,,0.1794988,1.785127,1.230313,,,0.18211,1.808584,1.231642,,44.8235181620417,43.2173684875571,7.23727848843364
0.165, 5.32,5.32,,,0.1798651,1.78301,1.232023,,,0.1827424,1.809419,1.233455,,44.8235181620417,43.1896823165269,7.05402110300722
0.177, 5.44,5.44,,,0.1802188,1.782212,1.232068,,,0.1831402,1.809225,1.233578,,44.8235181620417,43.2927327927618,7.05908056549411
0.188, 5.42,5.42,,,0.1799432,1.781587,1.230634,,,0.1828669,1.808465,1.23223,,44.8235181620417,43.4277758741788,7.18790902871298
0.199, 5.77,5.77,,,0.1785111,1.779646,1.228823,,,0.181633,1.808248,1.230689,,44.8235181620417,43.678194507845,7.37865827767678
0.209, 5.72,5.72,,,0.1778991,1.779144,1.227056,,,0.181032,1.807493,1.229021,,44.8235181620417,43.8144021364831,7.56835994640578
0.221, 5.53,5.53,,,0.1781431,1.779262,1.226098,,,0.181194,1.806667,1.228015,,44.8235181620417,43.8140298911837,7.6258351328984
0.232, 5.42,5.42,,,0.1781614,1.780617,1.227405,,,0.1811576,1.807504,1.229162,,44.8235181620417,43.6027960516954,7.49035491938669
0.243, 5.33,5.33,,,0.1784454,1.78142,1.228229,,,0.1814137,1.807846,1.229901,,44.8235181620417,43.479835574584,7.47228309311938
0.254, 5.25,5.25,,,0.1783765,1.782424,1.229183,,,0.1813512,1.808477,1.230732,,44.8235181620417,43.2418649603337,7.45361447908995
0.266, 5.12,5.12,,,0.1786589,1.782569,1.228752,,,0.1815817,1.807974,1.230251,,44.8235181620417,43.1919260336068,7.4843008106296
0.276, 4.92,4.92,,,0.1785068,1.783173,1.227944,,,0.1813228,1.807578,1.229432,,44.8235181620417,43.2687519992532,7.55517682790087
0.287, 4.56,4.56,,,0.1788321,1.783831,1.226509,,,0.1814542,1.806423,1.227931,,44.8235181620417,43.3346257568703,7.64341774688003
0.299, 4.36,4.36,,,0.1794689,1.783744,1.225528,,,0.181975,1.805356,1.226942,,44.8235181620417,43.4490689883238,7.70917539128445
0.31, 4.33,4.33,,,0.1799111,1.783567,1.225504,,,0.182379,1.80505,1.226913,,44.8235181620417,43.4954528016866,7.66259947885658
0.321, 4.06,4.06,,,0.1808083,1.78408,1.225105,,,0.1831036,1.804185,1.226415,,44.8235181620417,43.4988166697592,7.6145806890067
0.332, 3.86,3.86,,,0.1823211,1.784013,1.225123,,,0.1844927,1.803151,1.226341,,44.8235181620417,43.4562406867527,7.53811843092345
0.344, 3.4,3.4,,,0.1835838,1.7853,1.22495,,,0.1854993,1.802186,1.225982,,44.8235181620417,43.3432488704575,7.46447960220979
0.354, 3.04,3.04,,,0.1843175,1.786151,1.224307,,,0.1860504,1.80125,1.22521,,44.8235181620417,43.2354343374091,7.49153312698574
0.365, 2.92,2.92,,,0.1845564,1.786255,1.223778,,,0.1862323,1.800735,1.224663,,44.8235181620417,43.2625570178484,7.57585010239592
0.377, 2.41,2.41,,,0.1863801,1.785781,1.221188,,,0.1877818,1.797727,1.221959,,44.8235181620417,43.364538569508,7.75165062900349
0.388, 1.77,1.77,,,0.1887031,1.784426,1.216918,,,0.1897368,1.793219,1.217539,,44.8235181620417,43.6331084303884,7.94284981666634
0.399, 1.46,1.46,,,0.190566,1.78285,1.214259,,,0.1914064,1.7901,1.214798,,44.8235181620417,43.8591023082624,7.98126194571593
0.41, 1.11,1.11,,,0.1930836,1.781331,1.212027,,,0.1937091,1.786806,1.212442,,44.8235181620417,43.9737026340624,7.94485191581109
0.421, 0.89,0.89,,,0.1945517,1.780679,1.21103,,,0.1950533,1.785087,1.211356,,44.8235181620417,43.9087372915796,7.86586675667338
0.432, 0.93,0.93,,,0.1958354,1.779566,1.211059,,,0.1963605,1.78418,1.21138,,44.8235181620417,43.7067788487261,7.72501972217068
0.443, 0.5,0.5,,,0.1993077,1.777721,1.208795,,,0.1995859,1.780184,1.208955,,44.8235181620417,43.5274761427191,7.54847214364343
0.454, 0.17,0.17,,,0.2020854,1.775823,1.206553,,,0.2021825,1.776689,1.206607,,44.8235181620417,43.4664176683329,7.44969138929459
0.465, 0.01,0.01,,,0.2034873,1.773864,1.204018,,,0.2034949,1.773933,1.204022,,44.8235181620417,43.5580378233098,7.46765990895358
0.477, 0.38,-0.38,,,0.2056006,1.771202,1.199532,,,0.2053928,1.769325,1.199404,,44.8235181620417,43.7441809635803,7.53363953449985
0.488, 0.93,-0.93,,,0.2091503,1.766588,1.192609,,,0.2086465,1.761981,1.192272,,44.8235181620417,44.0227775418833,7.63519676066904
0.499, 1.18,-1.18,,,0.211836,1.76273,1.188084,,,0.2112014,1.756896,1.187636,,44.8235181620417,44.2149244182671,7.73149559509729
0.51, 1.47,-1.47,,,0.2151874,1.758879,1.183906,,,0.2143993,1.751586,1.183324,,44.8235181620417,44.3757890291228,7.80348493317229
0.521, 1.79,-1.79,,,0.2180954,1.755627,1.179929,,,0.2171447,1.746736,1.17921,,44.8235181620417,44.458809976174,7.78837911646952
0.532, 1.91,-1.91,,,0.2216817,1.751823,1.177271,,,0.2206785,1.742338,1.176524,,44.8235181620417,44.4026521623809,7.66270193169128
