経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.9,-0.9,,,0.500398,1.527669,1.279242,,,0.499528,1.523299,1.278735,,45.0005634905908,34.2866675849476,13.1050340769512
0.01, 0.61,-0.61,,,0.4992024,1.527217,1.278227,,,0.4986026,1.524224,1.277868,,45.0005634905908,34.2487361304475,13.2823987168352
0.023, 0.33,-0.33,,,0.499025,1.525733,1.277287,,,0.4987043,1.524122,1.277091,,45.0005634905908,34.3428800402526,13.2847329339191
0.033, 0.45,-0.45,,,0.5001341,1.525316,1.27869,,,0.4997038,1.523123,1.27843,,45.0005634905908,34.465847347553,13.0502918198242
0.044, 0.41,-0.41,,,0.501754,1.523456,1.28074,,,0.5013703,1.521456,1.28051,,45.0005634905908,34.6651351865154,12.7473806225262
0.055, 0.38,-0.38,,,0.503315,1.52169,1.282872,,,0.5029705,1.519856,1.28267,,45.0005634905908,34.8357772128958,12.4115846266106
0.066, 0.35,-0.35,,,0.5039688,1.520881,1.284068,,,0.503651,1.519176,1.283885,,45.0005634905908,34.8947900456826,12.261910426625
0.077, 0.31,-0.31,,,0.5036598,1.520984,1.283632,,,0.5033731,1.519453,1.283466,,45.0005634905908,34.8581187610493,12.3345733920881
0.088, 0.4,-0.4,,,0.5025282,1.522604,1.282202,,,0.5021598,1.520667,1.281986,,45.0005634905908,34.7324466989127,12.5660032466165
0.099, 0.2,-0.2,,,0.5024465,1.521547,1.280776,,,0.5022587,1.520568,1.280661,,45.0005634905908,34.6839182062102,12.7946088180016
0.11, 0.11,-0.11,,,0.5017418,1.521751,1.279678,,,0.5016336,1.521193,1.279611,,45.0005634905908,34.6251649206047,13.0066785018663
0.122, 0.24,-0.24,,,0.5024605,1.521735,1.280779,,,0.5022383,1.520588,1.280641,,45.0005634905908,34.6182869203019,12.9775127411484
0.133, 0.28,-0.28,,,0.5028046,1.521671,1.282124,,,0.5025378,1.520289,1.281962,,45.0005634905908,34.6274905999524,12.8496686789162
0.144, 0.66,-0.66,,,0.5050372,1.52165,1.284924,,,0.5044141,1.518412,1.284561,,45.0005634905908,34.6121021841806,12.681683596049
0.155, 0.81,-0.81,,,0.5059032,1.521616,1.285965,,,0.5051484,1.517678,1.285535,,45.0005634905908,34.6268827131332,12.5713700676075
0.166, 0.68,-0.68,,,0.5051949,1.521587,1.285031,,,0.5045584,1.518268,1.284661,,45.0005634905908,34.6413456382982,12.6369450044567
0.178, 0.67,-0.67,,,0.5051455,1.52155,1.284257,,,0.5045228,1.518304,1.283889,,45.0005634905908,34.6551733558881,12.6940761201795
0.189, 0.54,-0.54,,,0.5057364,1.520204,1.28301,,,0.5052352,1.517591,1.282701,,45.0005634905908,34.6992383200923,12.8309052960147
0.199, 0.53,-0.53,,,0.5057068,1.520185,1.282552,,,0.5052132,1.517613,1.282244,,45.0005634905908,34.7050883769536,12.8717165289435
0.21, 0.64,-0.64,,,0.5057186,1.520857,1.283497,,,0.5051148,1.517712,1.283129,,45.0005634905908,34.6808992626811,12.8041505920066
0.222, 0.77,-0.77,,,0.5064006,1.520902,1.284561,,,0.5056793,1.517147,1.284131,,45.0005634905908,34.6538107331866,12.7397948438903
0.233, 0.79,-0.79,,,0.5064211,1.521003,1.286611,,,0.5056794,1.517147,1.286181,,45.0005634905908,34.6095511085966,12.6580793167079
0.244, 0.77,-0.77,,,0.5062321,1.521058,1.286219,,,0.5055109,1.517316,1.285799,,45.0005634905908,34.5963176174479,12.6998092100545
0.254, 0.75,-0.75,,,0.5061687,1.521044,1.285652,,,0.5054597,1.517367,1.285234,,45.0005634905908,34.6043738253498,12.7413435892415
0.266, 0.61,-0.61,,,0.5052432,1.521111,1.285229,,,0.504671,1.518155,1.284885,,45.0005634905908,34.5830397300709,12.8570068632016
0.277, 0.5,-0.5,,,0.5046815,1.521046,1.284633,,,0.5042111,1.518615,1.284347,,45.0005634905908,34.6024203913015,12.9000472990587
0.289, 0.51,-0.51,,,0.5047721,1.521041,1.285133,,,0.5042881,1.518538,1.284841,,45.0005634905908,34.6013617120096,12.8556869291812
0.299, 0.62,-0.62,,,0.5041656,1.522299,1.285665,,,0.503576,1.51925,1.285314,,45.0005634905908,34.5871890698762,12.8193972813571
0.311, 0.51,-0.51,,,0.5021285,1.523654,1.285592,,,0.5016488,1.521178,1.285311,,45.0005634905908,34.5513954645268,12.7910613886002
